# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.3
metadata : {}


# id : NWRW1800000037.3.1.1
진화하는 백화점 DM

진화하는	진화/NNG+하/XSV+는/ETM
모양이	모양/NNG+이/JKS
변하기	변하/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.3.6.2
과거 기획전, 초특가전 등 행사 소개에 치중했던 것과 달리 제품 정보와 사진, 연관 코디법까지 보여주기 위해서는 지면이 넓은 게 유리하기 때문이다.

과거	과거/NNG
기획전,	기획전/NNG+,/SP
초특가전	초/XPN+특가전/NNG
등	등/NNB
행사	행사/NNG
소개에	소개/NNG+에/JKB
치중했던	치중/NNG+하/XSV+았/EP+던/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
제품	제품/NNG
정보와	정보/NNG+와/JC
사진,	사진/NNG+,/SP
연관	연관/NNG
코디법까지	코디법/NNG+까지/JX
보여주기	보이/VV+어/EC+주/VX+기/ETN
위해서는	위하/VV+아서/EC+는/JX
지면이	지면/NNG+이/JKS
넓은	넓/VA+은/ETM
게	거/NNB+이/JKS
유리하기	유리/NNG+하/XSA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.3.7.1
롯데백화점은 작년 11월부터 모든 DM을 가로 15cm, 세로 20.5cm 크기로 제작하기 시작했다.

롯데백화점은	롯데백화점/NNP+은/JX
작년	작년/NNG
11월부터	11/SN+월/NNB+부터/JX
모든	모든/MMN
DM을	DM/SL+을/JKO
가로	가로/NNG
15cm,	15/SN+cm/SW+,/SP
세로	세로/NNG
20.5cm	20/SN+./SP+5/SN+cm/SW
크기로	크기/NNG+로/JKB
제작하기	제작/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.3.7.2
이규철 롯데백화점 광고제작 매니저는 “스마트폰이 일상화되면서 사진과 가격만 보고 빨리빨리 넘기길 선호하는 사람들이 늘어난 것도 한 이유”라고 설명했다.

이규철	이규철/NNP
롯데백화점	롯데백화점/NNP
광고제작	광고/NNG+제작/NNG
매니저는	매니저/NNG+는/JX
“스마트폰이	“/SS+스마트폰/NNG+이/JKS
일상화되면서	일상/NNG+화/XSN+되/XSV+면서/EC
사진과	사진/NNG+과/JC
가격만	가격/NNG+만/JX
보고	보/VV+고/EC
빨리빨리	빨리빨리/MAG
넘기길	넘기/VV+기/ETN+ㄹ/JKO
선호하는	선호/NNG+하/XSV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
것도	것/NNB+도/JX
한	한/MMN
이유”라고	이유/NNG+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.3.8.1
갤러리아백화점은 작년 10월부터 고급 잡지를 연상시키는 사진 위주의 DM을 내놓았다.

갤러리아백화점은	갤러리아백화점/NNP+은/JX
작년	작년/NNG
10월부터	10/SN+월/NNB+부터/JX
고급	고급/NNG
잡지를	잡지/NNG+를/JKO
연상시키는	연상/NNG+시키/XSV+는/ETM
사진	사진/NNG
위주의	위주/NNG+의/JKG
DM을	DM/SL+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.3.8.2
회사 관계자는 “신상품 위주로 페이지당 한두 개의 상품 사진만 올리고 이미지의 질을 높여 고급스러운 소책자 느낌을 주려고 했다”며 “작년 12월엔 우수고객용으로 잡지사 바자와 함께 크리스마스 선물 DM을 만들어 좋은 반응을 얻기도 했다”고 전했다.

회사	회사/NNG
관계자는	관계자/NNG+는/JX
“신상품	“/SS+신/XPN+상품/NNG
위주로	위주/NNG+로/JKB
페이지당	페이지/NNG+당/XSN
한두	한두/MMN
개의	개/NNB+의/JKG
상품	상품/NNG
사진만	사진/NNG+만/JX
올리고	올리/VV+고/EC
이미지의	이미지/NNG+의/JKG
질을	질/NNG+을/JKO
높여	높이/VV+어/EC
고급스러운	고급/NNG+스럽/XSA+ㄴ/ETM
소책자	소/XPN+책자/NNG
느낌을	느낌/NNG+을/JKO
주려고	주/VV+려고/EC
했다”며	하/VX+았/EP+다/EF+”/SS+며/EC
“작년	“/SS+작년/NNG
12월엔	12/SN+월/NNB+에/JKB+ㄴ/JX
우수고객용으로	우수/NNG+고객/NNG+용/XSN+으로/JKB
잡지사	잡지사/NNG
바자와	바자/NNP+와/JKB
함께	함께/MAG
크리스마스	크리스마스/NNG
선물	선물/NNG
DM을	DM/SL+을/JKO
만들어	만들/VV+어/EC
좋은	좋/VA+은/ETM
반응을	반응/NNG+을/JKO
얻기도	얻/VV+기/ETN+도/JX
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.3.9.1
스마트폰 인구가 계속 늘어나는 점을 감안해 신세계백화점은 3월 모바일 애플리케이션(앱·응용프로그램)을 이용한 모바일 DM을 백화점 업계 처음으로 선보일 계획이다.

스마트폰	스마트폰/NNG
인구가	인구/NNG+가/JKS
계속	계속/MAG
늘어나는	늘어나/VV+는/ETM
점을	점/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
신세계백화점은	신세계백화점/NNP+은/JX
3월	3/SN+월/NNB
모바일	모바일/NNG
애플리케이션(앱·응용프로그램)을	애플리케이션/NNG+(/SS+앱/NNG+·/SP+응용/NNG+프로그램/NNG+)/SS+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
DM을	DM/SL+을/JKO
백화점	백화점/NNG
업계	업계/NNG
처음으로	처음/NNG+으로/JKB
선보일	선보이/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


