# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.394
metadata : {}


# id : NWRW1800000022.394.1.1
[인천·부천] 인천시 내년 예산 7조원 넘을 듯;지하철 추가 건설… 송도엔 국제 대학 캠퍼스

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
◆사회복지	◆/SW+사회/NNG+복지/NNG
분야=만	분야/NNG+=/SW+만/NNG
5세아·장애아	5/SN+세아/NNB+·/SP+장애아/NNG
등의	등/NNB+의/JKG
보육료	보육료/NNG
지원	지원/NNG
1540억원,	1540/SN+억/NR+원/NNB+,/SP
기초노령연금	기초/NNG+노령/NNG+연금/NNG
1405억원,	1405/SN+억/NR+원/NNB+,/SP
어린이과학관	어린이/NNG+과학관/NNG
건립	건립/NNG
150억원,	150/SN+억/NR+원/NNB+,/SP
밥	밥/NNG
굶는	굶/VV+는/ETM
아이	아이/NNG
급식	급식/NNG
125억원,	125/SN+억/NR+원/NNB+,/SP
노인인력	노인/NNG+인력/NNG
활용	활용/NNG
지원사업	지원/NNG+사업/NNG
93억원.	93/SN+억/NR+원/NNB+./SF


# id : NWRW1800000022.394.8.1
◆문화·관광 분야=아시아경기대회 관련 경기장과 도로 건설 4640억원, 중구 문화회관 건립 36억원, 공공 도서관 확충 140억원, 로봇랜드 조성 130억원.

◆문화·관광	◆/SW+문화/NNG+·/SP+관광/NNG
분야=아시아경기대회	분야/NNG+=/SW+아시아/NNP+경기/NNG+대회/NNG
관련	관련/NNG
경기장과	경기장/NNG+과/JC
도로	도로/NNG
건설	건설/NNG
4640억원,	4640/SN+억/NR+원/NNB+,/SP
중구	중구/NNP
문화회관	문화/NNG+회관/NNG
건립	건립/NNG
36억원,	36/SN+억/NR+원/NNB+,/SP
공공	공공/NNG
도서관	도서관/NNG
확충	확충/NNG
140억원,	140/SN+억/NR+원/NNB+,/SP
로봇랜드	로봇/NNG+랜드/NNG
조성	조성/NNG
130억원.	130/SN+억/NR+원/NNB+./SF


# id : NWRW1800000022.394.9.1
◆경제 분야=인천종합비즈니스센터 건립 170억원, 인천신용보증재단 출연금 50억원, 중소기업 공동 도매물류센터 건립 지원 27억원, 재래시장 시설 현대화 126억원.

◆경제	◆/SW+경제/NNG
분야=인천종합비즈니스센터	분야/NNG+=/SW+인천종합비즈니스센터/NNP
건립	건립/NNG
170억원,	170/SN+억/NR+원/NNB+,/SP
인천신용보증재단	인천신용보증재단/NNP
출연금	출연금/NNG
50억원,	50/SN+억/NR+원/NNB+,/SP
중소기업	중소기업/NNG
공동	공동/NNG
도매물류센터	도매/NNG+물류/NNG+센터/NNG
지원	지원/NNG
27억원,	27/SN+억/NR+원/NNB+,/SP
재래시장	재래시장/NNG
시설	시설/NNG
현대화	현대/NNG+화/XSN
126억원.	126/SN+억/NR+원/NNB+./SF


# id : NWRW1800000022.394.10.1
◆특이한 사업=경유자동차 배출가스 저감장치 달기 사업 300억원, 암환자 의료비 지원 20억원, 전등사 등 전통 사찰 4곳 정비사업 25억원, 소래박물관·자장면박물관 건립 29억원, 어재연 장군(신미양요 때 강화 광성보 전투에서 전사) 기념사업 15억원.

◆특이한	◆/SW+특이/NNG+하/XSA+ㄴ/ETM
사업=경유자동차	사업/NNG+=/SW+경유/NNG+자동차/NNG
배출가스	배출/NNG+가스/NNG
저감장치	저감/NNG+장치/NNG
달기	달/VV+기/ETN
사업	사업/NNG
300억원,	300/SN+억/NR+원/NNB+,/SP
암환자	암/NNG+환자/NNG
의료비	의료비/NNG
지원	지원/NNG
20억원,	20/SN+억/NR+원/NNB+,/SP
전등사	전등사/NNP
등	등/NNB
전통	전통/NNG
사찰	사찰/NNG
4곳	4/SN+곳/NNG
정비사업	정비/NNG+사업/NNG
25억원,	25/SN+억/NR+원/NNB+,/SP
소래박물관·자장면박물관	소래박물관/NNP+·/SP+자장면박물관/NNP
건립	건립/NNG
29억원,	29/SN+억/NR+원/NNB+,/SP
어재연	어재연/NNP
장군(신미양요	장군/NNG+(/SS+신미양요/NNG
때	때/NNG
강화	강화/NNP
광성보	광성보/NNP
전투에서	전투/NNG+에서/JKB
전사)	전사/NNG+)/SS
기념사업	기념사업/NNG
15억원.	15/SN+억/NR+원/NNB+./SF


