# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.8
metadata : {}


# id : NWRW1800000041.8.1.1
“2주도 못 버틸걸” 우려 딛고 완판녀로 승승장구

“2주도	“/SS+2/SN+주/NNB+도/JX
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.8.6.3
그녀는 대학 때 방학만 하면 대형마트와 백화점에서 판매 아르바이트를 했다.

그녀는	그녀/NP+는/JX
대학	대학/NNG
때	때/NNG
방학만	방학/NNG+만/JX
하면	하/VV+면/EC
대형마트와	대형/NNG+마트/NNG+와/JC
백화점에서	백화점/NNG+에서/JKB
판매	판매/NNG
아르바이트를	아르바이트/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.8.6.4
수입과자 코너든, 의류매장이든 항상 목표 물량 이상으로 물건을 팔며 ‘완판녀’로 불렸다.

수입과자	수입/NNG+과자/NNG
코너든,	코너/NNG+든/JX+,/SP
의류매장이든	의류/NNG+매장/NNG+이든/JX
항상	항상/MAG
목표	목표/NNG
물량	물량/NNG
이상으로	이상/NNG+으로/JKB
물건을	물건/NNG+을/JKO
팔며	팔/VV+며/EC
‘완판녀’로	‘/SS+완판녀/NNG+’/SS+로/JKB
불렸다.	불리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.8.7.1
“다른 아르바이트생들은 여기저기 돌아다니며 시간 때우는 경우가 많았어요.

“다른	“/SS+다른/MMD
아르바이트생들은	아르바이트/NNG+생/XSN+들/XSN+은/JX
여기저기	여기저기/NNG
돌아다니며	돌아다니/VV+며/EC
시간	시간/NNG
때우는	때우/VV+는/ETM
경우가	경우/NNG+가/JKS
많았어요.	많/VA+았/EP+어요/EF+./SF


# id : NWRW1800000041.8.7.2
저는 제품에 관심을 보이는 손님이 있으면 재빠르게 다가가 말을 건넸죠.”

저는	저/NP+는/JX
제품에	제품/NNG+에/JKB
관심을	관심/NNG+을/JKO
보이는	보이/VV+는/ETM
손님이	손/NNG+님/XSN+이/JKS
있으면	있/VA+으면/EC
재빠르게	재빠르/VA+게/EC
다가가	다가가/VV+아/EC
말을	말/NNG+을/JKO
건넸죠.”	건네/VV+었/EP+죠/EF+./SF+”/SS


# id : NWRW1800000041.8.8.1
그런 그녀도 남자뿐인 환경에서 버티는 게 쉽지만은 않았다.

그런	그런/MMD
그녀도	그녀/NP+도/JX
남자뿐인	남자/NNG+뿐/JX+이/VCP+ㄴ/ETM
환경에서	환경/NNG+에서/JKB
버티는	버티/VV+는/ETM
게	거/NNB+이/JKS
쉽지만은	쉽/VA+지/EC+만/JX+은/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.8.8.2
특히 ‘을’의 입장이다 보니 회사를 깎아내리는 말도 수차례 들어야 했다.

특히	특히/MAG
‘을’의	‘/SS+을/NNG+’/SS+의/JKG
입장이다	입장/NNG+이/VCP+다/EC
보니	보/VX+니/EC
회사를	회사/NNG+를/JKO
깎아내리는	깎아내리/VV+는/ETM
말도	말/NNG+도/JX
수차례	수차례/NNG
들어야	듣/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.8.8.3
그럴 때마다 주눅 들기 일쑤였지만 오기로 버텼다.

그럴	그렇/VA+ㄹ/ETM
때마다	때/NNG+마다/JX
주눅	주눅/NNG
들기	들/VV+기/ETN
일쑤였지만	일쑤/NNG+이/VCP+었/EP+지만/EC
오기로	오기/NNG+로/JKB
버텼다.	버티/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.8.8.4
시간이 지나자 거래처를 대하는 노하우가 늘었다.

시간이	시간/NNG+이/JKS
지나자	지나/VV+자/EC
거래처를	거래처/NNG+를/JKO
대하는	대하/VV+는/ETM
노하우가	노하우/NNG+가/JKS
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.8.8.5
대형마트 점포를 담당하던 심 씨는 2011년부터 편의점 영업을 맡았다.

대형마트	대형/NNG+마트/NNG
점포를	점포/NNG+를/JKO
담당하던	담당/NNG+하/XSV+던/ETM
심	심/NNP
씨는	씨/NNB+는/JX
2011년부터	2011/SN+년/NNB+부터/JX
편의점	편의점/NNG
영업을	영업/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.8.8.6
그녀는 편의점의 상품기획자(MD)에 따라 대하는 전략이 다르다.

그녀는	그녀/NP+는/JX
편의점의	편의점/NNG+의/JKG
상품기획자(MD)에	상품/NNG+기획자/NNG+(/SS+MD/SL+)/SS+에/JKB
따라	따르/VV+아/EC
대하는	대하/VV+는/ETM
전략이	전략/NNG+이/JKS
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000041.8.8.7
심 씨는 “여성 MD들은 상품에 대해 꼼꼼히 설명해주는 걸 좋아해요.

심	심/NNP
씨는	씨/NNB+는/JX
“여성	“/SS+여성/NNG
MD들은	MD/SL+들/XSN+은/JX
상품에	상품/NNG+에/JKB
대해	대하/VV+아/EC
꼼꼼히	꼼꼼히/MAG
설명해주는	설명/NNG+하/XSV+아/EC+주/VX+는/ETM
걸	거/NNB+ㄹ/JKO
좋아해요.	좋아하/VV+아요/EF+./SF


# id : NWRW1800000041.8.8.8
40, 50대 남성 MD에게는 애교가 무기죠”라며 미소를 지었다.

40,	40/SN+,/SP
50대	50/SN+대/NNB
남성	남성/NNG
MD에게는	MD/SL+에게/JKB+는/JX
애교가	애교/NNG+가/JKS
무기죠”라며	무기/NNG+이/VCP+죠/EF+”/SS+이/VCP+라며/EC
미소를	미소/NNG+를/JKO
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.8.9.1
심 씨는 지난해 여성 영업사원의 진가를 발휘했다.

심	심/NNP
씨는	씨/NNB+는/JX
지난해	지난해/NNG
여성	여성/NNG
영업사원의	영업/NNG+사원/NNG+의/JKG
진가를	진가/NNG+를/JKO
발휘했다.	발휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.8.9.2
그녀는 편의점 납품용으로 클렌징 오일과 폼으로 구성된 여성용 클렌징 세트를 내놓자고 제안했다.

그녀는	그녀/NP+는/JX
편의점	편의점/NNG
납품용으로	납품/NNG+용/XSN+으로/JKB
클렌징	클렌징/NNG
오일과	오일/NNG+과/JC
폼으로	폼/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
여성용	여성/NNG+용/XSN
세트를	세트/NNG+를/JKO
내놓자고	내놓/VV+자고/EC
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.8.9.3
여성들이 급하게 화장을 지워야 할 경우가 많다는 것에 착안한 것이다.

여성들이	여성/NNG+들/XSN+이/JKS
급하게	급하/VA+게/EC
화장을	화장/NNG+을/JKO
지워야	지우/VV+어야/EC
할	하/VX+ㄹ/ETM
경우가	경우/NNG+가/JKS
많다는	많/VA+다는/ETM
것에	것/NNB+에/JKB
착안한	착안/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.8.9.4
칫솔세트나 세면도구 세트가 아닌 클렌징 세트는 이전엔 편의점에서 볼 수 없는 상품이었다.

칫솔세트나	칫솔/NNG+세트/NNG+나/JC
세면도구	세면도구/NNG
세트가	세트/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
클렌징	클렌징/NNG
세트는	세트/NNG+는/JX
이전엔	이전/NNG+에/JKB+ㄴ/JX
편의점에서	편의점/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상품이었다.	상품/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.8.9.5
반신반의했던 회사에서는 샘플용으로 내놓은 소형 제품들로 수익이 오르니 크게 기뻐했다.

반신반의했던	반신반의/NNG+하/XSV+았/EP+던/ETM
회사에서는	회사/NNG+에서/JKB+는/JX
샘플용으로	샘플/NNG+용/XSN+으로/JKB
내놓은	내놓/VV+은/ETM
소형	소형/NNG
제품들로	제품/NNG+들/XSN+로/JKB
수익이	수익/NNG+이/JKS
오르니	오르/VV+니/EC
크게	크/VA+게/EC
기뻐했다.	기뻐하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.8.10.1
현재 약 200명인 애경 영업사원 중 여성은 6명뿐.

현재	현재/MAG
약	약/MMA
200명인	200/SN+명/NNB+이/VCP+ㄴ/ETM
애경	애경/NNP
영업사원	영업/NNG+사원/NNG
중	중/NNB
여성은	여성/NNG+은/JX
6명뿐.	6/SN+명/NNB+뿐/JX+./SF


# id : NWRW1800000041.8.10.2
여전히 소수다.

여전히	여전히/MAG
소수다.	소수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.8.10.3
아직도 힘들다는 인식 때문에 지원하는 여성들이 별로 없다.

아직도	아직/MAG+도/JX
힘들다는	힘들/VA+다는/ETM
인식	인식/NNG
때문에	때문/NNB+에/JKB
지원하는	지원/NNG+하/XSV+는/ETM
여성들이	여성/NNG+들/XSN+이/JKS
별로	별로/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.8.10.4
‘애경 최초 여성 영업사원’의 꼬리표가 늘 따라붙는 그녀의 책임은 그만큼 막중하다.

‘애경	‘/SS+애경/NNP
최초	최초/NNG
여성	여성/NNG
영업사원’의	영업/NNG+사원/NNG+’/SS+의/JKG
꼬리표가	꼬리표/NNG+가/JKS
늘	늘/MAG
따라붙는	따라붙/VV+는/ETM
그녀의	그녀/NP+의/JKG
책임은	책임/NNG+은/JX
그만큼	그만큼/MAG
막중하다.	막중하/VA+다/EF+./SF


# id : NWRW1800000041.8.11.1
“영업직이 힘들다는 건 편견이라고 생각해요.

“영업직이	“/SS+영업직/NNG+이/JKS
힘들다는	힘들/VA+다는/ETM
건	거/NNB+ㄴ/JX
편견이라고	편견/NNG+이/VCP+라고/EC
생각해요.	생각/NNG+하/XSV+아요/EF+./SF


# id : NWRW1800000041.8.11.2
오히려 정기적으로 실적을 체크하면서 끊임없이 나를 돌아보게 하는 크나큰 매력이 있죠.

오히려	오히려/MAG
정기적으로	정기/NNG+적/XSN+으로/JKB
실적을	실적/NNG+을/JKO
체크하면서	체크/NNG+하/XSV+면서/EC
끊임없이	끊임없이/MAG
나를	나/NP+를/JKO
돌아보게	돌아보/VV+게/EC
하는	하/VX+는/ETM
크나큰	크나크/VA+ㄴ/ETM
매력이	매력/NNG+이/JKS
있죠.	있/VA+죠/EF+./SF


# id : NWRW1800000041.8.11.3
취업을 준비하는 많은 사람들, 특히 여성들이 영업직에 많이 도전했으면 좋겠어요.

취업을	취업/NNG+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
많은	많/VA+은/ETM
사람들,	사람/NNG+들/XSN+,/SP
특히	특히/MAG
여성들이	여성/NNG+들/XSN+이/JKS
영업직에	영업직/NNG+에/JKB
많이	많이/MAG
도전했으면	도전/NNG+하/XSV+았/EP+으면/EC
좋겠어요.	좋/VA+겠/EP+어요/EF+./SF


# id : NWRW1800000041.8.11.4
해보면 알겠지만 여성으로서 장점이 훨씬 많아요.”

해보면	하/VV+아/EC+보/VX+면/EC
알겠지만	알/VV+겠/EP+지만/EC
여성으로서	여성/NNG+으로서/JKB
장점이	장점/NNG+이/JKS
훨씬	훨씬/MAG
많아요.”	많/VA+아요/EF+./SF+”/SS


