# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.229
metadata : {}


# id : NWRW1800000054.229.1.1
[서초동 25시] '과거'에 파묻힌 윤석열의 푸념

[서초동	[/SS+서초동/NNP
사건들을	사건/NNG+들/XSN+을/JKO
조사하느라	조사/NNG+하/XSV+느라/EC
후배들이	후배/NNG+들/XSN+이/JKS
죽을	죽/VV+을/ETM
고생을	고생/NNG+을/JKO
하고	하/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
자꾸	자꾸/MAG
오니까…."	오/VV+니까/EC+…/SE+./SF+"/SS


# id : NWRW1800000054.229.6.1
국감 다음 날인 24일 윤 지검장의 '푸념'이 검찰 내부에서 화제였다.

국감	국감/NNG
다음	다음/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
24일	24/SN+일/NNB
윤	윤/NNP
지검장의	지검장/NNG+의/JKG
'푸념'이	'/SS+푸념/NNG+'/SS+이/JKS
검찰	검찰/NNG
내부에서	내부/NNG+에서/JKB
화제였다.	화제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.229.6.2
서울중앙지검의 한 검사는 "요새 검사들의 심정을 윤 지검장이 대신 얘기한 거 같다"고 했다.

서울중앙지검의	서울중앙지검/NNP+의/JKG
한	한/MMN
검사는	검사/NNG+는/JX
"요새	"/SS+요새/NNG
검사들의	검사/NNG+들/XSN+의/JKG
심정을	심정/NNG+을/JKO
윤	윤/NNP
지검장이	지검장/NNG+이/JKS
대신	대신/NNG
얘기한	얘기/NNG+하/XSV+ㄴ/ETM
거	거/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.229.6.3
'적폐 청산'을 주요 국정 과제로 내건 현 정부 부처들이 8월 말부터 검찰에 수사를 의뢰한 사건이 10건에 가깝다.

'적폐	'/SS+적폐/NNG
청산'을	청산/NNG+'/SS+을/JKO
주요	주요/NNG
국정	국정/NNG
과제로	과제/NNG+로/JKB
내건	내걸/VV+ㄴ/ETM
현	현/MMD
정부	정부/NNG
부처들이	부처/NNG+들/XSN+이/JKS
8월	8/SN+월/NNB
말부터	말/NNB+부터/JX
검찰에	검찰/NNG+에/JKB
수사를	수사/NNG+를/JKO
의뢰한	의뢰/NNG+하/XSV+ㄴ/ETM
사건이	사건/NNG+이/JKS
10건에	10/SN+건/NNB+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000054.229.6.4
'사흘이 멀다 하고 수사 의뢰'라는 말이 과장이 아니다.

'사흘이	'/SS+사흘/NNG+이/JKS
멀다	멀/VA+다/EF
하고	하/VV+고/EC
수사	수사/NNG
의뢰'라는	의뢰/NNG+'/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
과장이	과장/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000054.229.6.5
지난 8월 21일 국정원 개혁위가 민간인 댓글팀장 수십 명을 수사 의뢰한 것을 시작으로 다섯 차례 수사 의뢰를 했다.

지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
21일	21/SN+일/NNB
국정원	국정원/NNG
개혁위가	개혁위/NNG+가/JKS
민간인	민간인/NNG
댓글팀장	댓글/NNG+팀장/NNG
수십	수십/NR
명을	명/NNB+을/JKO
수사	수사/NNG
의뢰한	의뢰/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
시작으로	시작/NNG+으로/JKB
다섯	다섯/NR
차례	차례/NNG
의뢰를	의뢰/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.229.6.6
이달 들어서는 청와대(세월호 참사 당일 상황 일지 조작 의혹), 교육부(역사 교과서 국정화 찬성 여론 조작 의혹)까지 수사 의뢰 행렬에 뛰어들었다.

이달	이달/NNG
들어서는	들어서/VV+는/ETM
청와대(세월호	청와대/NNP+(/SS+세월호/NNP
참사	참사/NNG
당일	당일/NNG
상황	상황/NNG
일지	일지/NNG
조작	조작/NNG
의혹),	의혹/NNG+)/SS+,/SP
교육부(역사	교육부/NNG+(/SS+역사/NNG
교과서	교과서/NNG
국정화	국정/NNG+화/XSN
찬성	찬성/NNG
여론	여론/NNG
의혹)까지	의혹/NNG+)/SS+까지/JX
수사	수사/NNG
의뢰	의뢰/NNG
행렬에	행렬/NNG+에/JKB
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.229.7.1
검찰의 수사 인력은 계속 보강되고 있다.

검찰의	검찰/NNG+의/JKG
수사	수사/NNG
인력은	인력/NNG+은/JX
계속	계속/MAG
보강되고	보강/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.229.7.2
옛 국정원 비리 의혹 수사팀만 25명에 달한다.

옛	옛/MMA
국정원	국정원/NNG
비리	비리/NNG
의혹	의혹/NNG
수사팀만	수사/NNG+팀/NNG+만/JX
25명에	25/SN+명/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.229.7.3
지방의 일부 검찰청에서 차출한 검사들도 수사팀에 참여했다.

지방의	지방/NNG+의/JKG
일부	일부/NNG
검찰청에서	검찰청/NNG+에서/JKB
차출한	차출/NNG+하/XSV+ㄴ/ETM
검사들도	검사/NNG+들/XSN+도/JX
수사팀에	수사/NNG+팀/NNG+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.229.7.4
앞으로 더 수사 의뢰가 이어지면 수사팀은 늘어날 수밖에 없다.

앞으로	앞/NNG+으로/JKB
더	더/MAG
수사	수사/NNG
의뢰가	의뢰/NNG+가/JKS
이어지면	이어지/VV+면/EC
수사팀은	수사/NNG+팀/NNG+은/JX
늘어날	늘어나/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.229.7.5
이로 인해 지금 서울중앙지검은 '수사 의뢰 전담청'이라는 말을 들을 정도다.

이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
지금	지금/MAG
서울중앙지검은	서울중앙지검/NNP+은/JX
'수사	'/SS+수사/NNG
의뢰	의뢰/NNG
전담청'이라는	전담청/NNG+'/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
들을	듣/VV+을/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.229.7.6
한 검사는 "잘못을 바로잡고 범죄 단서가 있다면 수사하는 게 당연하다"면서도 "언제까지 이렇게 수사 의뢰 형태로 검찰에 사건을 넘기려는지 모르겠다.

한	한/MMN
검사는	검사/NNG+는/JX
"잘못을	"/SS+잘못/NNG+을/JKO
바로잡고	바로잡/VV+고/EC
범죄	범죄/NNG
단서가	단서/NNG+가/JKS
있다면	있/VA+다면/EC
수사하는	수사/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
당연하다"면서도	당연/NNG+하/XSA+다/EF+"/SS+면서/EC+도/JX
"언제까지	"/SS+언제/NP+까지/JX
이렇게	이렇/VA+게/EC
수사	수사/NNG
의뢰	의뢰/NNG
형태로	형태/NNG+로/JKB
검찰에	검찰/NNG+에/JKB
사건을	사건/NNG+을/JKO
넘기려는지	넘기/VV+려는지/EC
모르겠다.	모르/VV+겠/EP+다/EF+./SF


# id : NWRW1800000054.229.7.7
검찰이 무슨 국정원 외주 기관도 아니고…"라고 했다.

검찰이	검찰/NNG+이/JKS
무슨	무슨/MMD
국정원	국정원/NNG
외주	외주/NNG
기관도	기관/NNG+도/JX
아니고…"라고	아니/VCN+고/EC+…/SE+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.229.8.1
문무일 검찰총장이 최근 '수사 피로감'을 거론하며 적폐 청산 수사를 최대한 빨리 마치겠다고 한 것도 이 같은 검사들의 인식과 맞닿아 있다고 한다.

문무일	문무일/NNP
검찰총장이	검찰/NNG+총장/NNG+이/JKS
최근	최근/NNG
'수사	'/SS+수사/NNG
피로감'을	피로감/NNG+'/SS+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
적폐	적폐/NNG
청산	청산/NNG
수사를	수사/NNG+를/JKO
최대한	최대한/MAG
빨리	빨리/MAG
마치겠다고	마치/VV+겠/EP+다고/EC
한	하/VV+ㄴ/ETM
것도	것/NNB+도/JX
이	이/NP
같은	같/VA+은/ETM
검사들의	검사/NNG+들/XSN+의/JKG
인식과	인식/NNG+과/JKB
맞닿아	맞닿/VV+아/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.229.8.2
현 상황이 오래 지속될 경우 불필요한 정치적 시비에 휘말릴 수 있다는 것이다.

현	현/MMD
상황이	상황/NNG+이/JKS
오래	오래/MAG
지속될	지속/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
정치적	정치/NNG+적/XSN
시비에	시비/NNG+에/JKB
휘말릴	휘말리/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


