# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.391
metadata : {}


# id : NWRW1800000046.391.1.1
親朴도 숨고르기

親朴도	親朴/SH+도/JX
나설	나서/VV+ㄹ/ETM
필요까진	필요/NNG+까지/JX+ㄴ/JX
없었을	없/VA+었/EP+을/ETM
텐데…	터/NNB+이/VCP+ㄴ데/EF+…/SE
타이밍이	타이밍/NNG+이/JKS
적절치	적절하/VA+지/EC
못했다"는	못하/VX+았/EP+다/EF+"/SS+는/ETM
반응을	반응/NNG+을/JKO
보이기도	보이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.391.4.1
친박계는 이날 안심번호제에 대해 "인기투표 여론조사에 불과"(홍문종 의원), "직접·비밀투표 원칙에 반하는 위헌적 발상"(김재원 의원)이라고 했다.

친박계는	친/XPN+박/NNP+계/XSN+는/JX
이날	이날/NNG
안심번호제에	안심/NNG+번호/NNG+제/XSN+에/JKB
대해	대하/VV+아/EC
"인기투표	"/SS+인기투표/NNG
여론조사에	여론/NNG+조사/NNG+에/JKB
불과"(홍문종	불과/MAG+"/SS+(/SS+홍문종/NNP
의원),	의원/NNG+)/SS+,/SP
"직접·비밀투표	"/SS+직접/NNG+·/SP+비밀/NNG+투표/NNG
원칙에	원칙/NNG+에/JKB
반하는	반하/VV+는/ETM
위헌적	위헌/NNG+적/XSN
발상"(김재원	발상/NNG+"/SS+(/SS+김재원/NNP
의원)이라고	의원/NNG+)/SS+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.391.4.2
그러면서도 김 대표에 대해선 가급적 언급을 피했다.

그러면서도	그러/VV+면서/EC+도/JX
김	김/NNP
대표에	대표/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
가급적	가급적/MAG
언급을	언급/NNG+을/JKO
피했다.	피하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.391.4.3
서청원 최고위원은 당 회의에서 "김 대표가 혼란을 초래해 긁어 부스럼을 만들었다"고 했지만, 동시에 "김 대표가 (어제 의총 때) 당에 기구를 만들어 국민경선제에 대해 의논하겠다고 한 것은 다행스러운 일"이라고도 했다.

서청원	서청원/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
당	당/NNG
회의에서	회의/NNG+에서/JKB
"김	"/SS+김/NNP
대표가	대표/NNG+가/JKS
혼란을	혼란/NNG+을/JKO
초래해	초래/NNG+하/XSV+아/EC
긁어	긁/VV+어/EC
부스럼을	부스럼/NNG+을/JKO
만들었다"고	만들/VV+었/EP+다/EF+"/SS+고/JKQ
했지만,	하/VV+았/EP+지만/EC+,/SP
동시에	동시/NNG+에/JKB
(어제	(/SS+어제/MAG
의총	의총/NNG
때)	때/NNG+)/SS
당에	당/NNG+에/JKB
기구를	기구/NNG+를/JKO
만들어	만들/VV+어/EC
국민경선제에	국민/NNG+경선/NNG+제/XSN+에/JKB
대해	대하/VV+아/EC
의논하겠다고	의논/NNG+하/XSV+겠/EP+다고/EC
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
다행스러운	다행/NNG+스럽/XSA+ㄴ/ETM
일"이라고도	일/NNG+"/SS+이라고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.391.4.4
친박들은 "현 상황에서 정면 충돌로 확전하는 것은 서로 공멸하는 길"이라고 했다.

친박들은	친/XPN+박/NNP+들/XSN+은/JX
"현	"/SS+현/MMD
상황에서	상황/NNG+에서/JKB
정면	정면/NNG
충돌로	충돌/NNG+로/JKB
확전하는	확전/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
서로	서로/MAG
공멸하는	공멸/NNG+하/XSV+는/ETM
길"이라고	길/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.391.5.1
친박계 일각에선 전날 청와대 고위 관계자가 직접 안심번호제를 반박하며 김 대표와 충돌 양상으로 간 데 대해 "굳이 이럴 필요가 없지 않았느냐"고 했다.

친박계	친/XPN+박/NNP+계/XSN
일각에선	일각/NNG+에서/JKB+ㄴ/JX
전날	전날/NNG
청와대	청와대/NNP
고위	고위/NNG
관계자가	관계자/NNG+가/JKS
직접	직접/MAG
안심번호제를	안심/NNG+번호/NNG+제/XSN+를/JKO
반박하며	반박/NNG+하/XSV+며/EC
김	김/NNP
대표와	대표/NNG+와/JKB
충돌	충돌/NNG
양상으로	양상/NNG+으로/JKB
간	가/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
"굳이	"/SS+굳이/MAG
이럴	이렇/VA+ㄹ/ETM
필요가	필요/NNG+가/JKS
없지	없/VA+지/EC
않았느냐"고	않/VX+았/EP+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.391.5.2
영남권의 한 친박 중진은 "안심번호제에 문제가 많다고 보고 이를 당 의총에서 따지기로 의견을 모았었다"며 "하지만 청와대가 직접 나서버리니까 마치 친박들이 오더(지시)받고 움직이는 것처럼 비쳐 좀 당황스러웠다"고 했다.

영남권의	영남/NNP+권/XSN+의/JKG
한	한/MMN
친박	친/XPN+박/NNP
중진은	중진/NNG+은/JX
"안심번호제에	"/SS+안심/NNG+번호/NNG+제/XSN+에/JKB
문제가	문제/NNG+가/JKS
많다고	많/VA+다고/EC
보고	보/VV+고/EC
이를	이/NP+를/JKO
당	당/NNG
의총에서	의총/NNG+에서/JKB
따지기로	따지/VV+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모았었다"며	모으/VV+았었/EP+다/EF+"/SS+며/EC
"하지만	"/SS+하지만/MAJ
청와대가	청와대/NNP+가/JKS
직접	직접/MAG
나서버리니까	나서/VV+어/EC+버리/VX+니까/EC
마치	마치/MAG
친박들이	친/XPN+박/NNP+들/XSN+이/JKS
오더(지시)받고	오더/NNG+(/SS+지시/NNG+)/SS+받/XSV+고/EC
움직이는	움직이/VV+는/ETM
것처럼	것/NNB+처럼/JKB
비쳐	비치/VV+어/EC
좀	좀/MAG
당황스러웠다"고	당황/NNG+스럽/XSA+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.391.5.3
친박계 재선 의원은 "국민의 눈에 여권(與圈)이 싸우는 것처럼 보이면 안 될 텐데, 청와대가 나서는 타이밍을 잘 맞추지 못한 것 같다"고 했다.

친박계	친/XPN+박/NNP+계/XSN
재선	재선/NNG
의원은	의원/NNG+은/JX
"국민의	"/SS+국민/NNG+의/JKG
눈에	눈/NNG+에/JKB
여권(與圈)이	여권/NNG+(/SS+與圈/SH+)/SS+이/JKS
싸우는	싸우/VV+는/ETM
것처럼	것/NNB+처럼/JKB
보이면	보이/VV+면/EC
안	안/MAG
될	되/VV+ㄹ/ETM
텐데,	터/NNB+이/VCP+ㄴ데/EC+,/SP
청와대가	청와대/NNP+가/JKS
나서는	나서/VV+는/ETM
타이밍을	타이밍/NNG+을/JKO
잘	잘/MAG
맞추지	맞추/VV+지/EC
못한	못하/VX+ㄴ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


