# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.102
metadata : {}


# id : NWRW1800000054.102.1.1
"이웃·환자 위한 음악회… 1000회까지 열 것"

"이웃·환자	"/SS+이웃/NNG+·/SP+환자/NNG
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.102.6.1
강 원장은 "음악회를 찾은 이웃 주민, 환자들이 시름을 덜고 웃으며 돌아가는 모습을 보면 참 뿌듯하다"며 "그 뿌듯함을 1000회까지, 아니 그 이후까지도 이어가고 싶다"고 말했다.

강	강/NNP
원장은	원장/NNG+은/JX
"음악회를	"/SS+음악회/NNG+를/JKO
찾은	찾/VV+은/ETM
이웃	이웃/NNG
주민,	주민/NNG+,/SP
환자들이	환자/NNG+들/XSN+이/JKS
시름을	시름/NNG+을/JKO
덜고	덜/VV+고/EC
웃으며	웃/VV+으며/EC
돌아가는	돌아가/VV+는/ETM
모습을	모습/NNG+을/JKO
보면	보/VV+면/EC
참	참/MAG
뿌듯하다"며	뿌듯하/VA+다/EF+"/SS+며/EC
"그	"/SS+그/MMD
뿌듯함을	뿌듯하/VA+ㅁ/ETN+을/JKO
1000회까지,	1000/SN+회/NNB+까지/JX+,/SP
아니	아니/MAG
그	그/MMD
이후까지도	이후/NNG+까지/JX+도/JX
이어가고	잇/VV+어/EC+가/VX+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


