# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.280
metadata : {}


# id : NWRW1800000036.280.1.1
서울시의회, 주민참여예산 대폭 줄여

서울시의회,	서울시의회/NNP+,/SP
포함된다.	포함/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.280.9.4
상당수가 앞서 시가 타당성 검토를 통해 예산안에서 제외한 사업들이다.

상당수가	상당수/NNG+가/JKS
앞서	앞서/MAG
시가	시/NNG+가/JKS
타당성	타당성/NNG
검토를	검토/NNG+를/JKO
통해	통하/VV+아/EC
예산안에서	예산안/NNG+에서/JKB
제외한	제외/NNG+하/XSV+ㄴ/ETM
사업들이다.	사업/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.280.9.5
푸른녹지국이 관할하는 주민참여예산 사업도 100% 통과되어 눈길을 끈다.

푸른녹지국이	푸르/VA+ㄴ/ETM+녹지국/NNG+이/JKS
관할하는	관할/NNG+하/XSV+는/ETM
주민참여예산	주민/NNG+참여/NNG+예산/NNG
사업도	사업/NNG+도/JX
100%	100/SN+%/SW
통과되어	통과/NNG+되/XSV+어/EC
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.280.10.1
서울풀씨넷, 진보신당 서울시당 등은 28일 기자회견을 열어 “주민참여예산제는 시행정부와 시의회, 시민사회단체가 함께 힘을 모아 만든 값진 제도인데 이제 와서 의회가 개별사업의 타당성을 근거로 자신들의 지역 기득권을 위해 참여예산사업을 볼모로 삼았다”고 말했다.

서울풀씨넷,	서울풀씨넷/NNP+,/SP
진보신당	진보신당/NNP
서울시당	서울시/NNP+당/NNG
등은	등/NNB+은/JX
28일	28/SN+일/NNB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“주민참여예산제는	“/SS+주민/NNG+참여/NNG+예산/NNG+제/XSN+는/JX
시행정부와	시행/NNG+정부/NNG+와/JC
시의회,	시/NNG+의회/NNG+,/SP
시민사회단체가	시민/NNG+사회단체/NNG+가/JKS
함께	함께/MAG
힘을	힘/NNG+을/JKO
모아	모으/VV+아/EC
만든	만들/VV+ㄴ/ETM
값진	값지/VA+ㄴ/ETM
제도인데	제도/NNG+이/VCP+ㄴ데/EC
이제	이제/MAG
와서	오/VV+아서/EC
의회가	의회/NNG+가/JKS
개별사업의	개별/NNG+사업/NNG+의/JKG
타당성을	타당성/NNG+을/JKO
근거로	근거/NNG+로/JKB
자신들의	자신/NNG+들/XSN+의/JKG
지역	지역/NNG
기득권을	기득/NNG+권/XSN+을/JKO
위해	위하/VV+아/EC
참여예산사업을	참여/NNG+예산/NNG+사업/NNG+을/JKO
볼모로	볼모/NNG+로/JKB
삼았다”고	삼/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.280.11.1
시의회는 새달 초 예결위 심의 뒤 본회의에서 내년도 예산안을 최종 확정한다.

시의회는	시/NNG+의회/NNG+는/JX
새달	새달/NNG
초	초/NNB
예결위	예결위/NNG
심의	심의/NNG
뒤	뒤/NNG
본회의에서	본회의/NNG+에서/JKB
내년도	내년도/NNG
예산안을	예산안/NNG+을/JKO
최종	최종/NNG
확정한다.	확정/NNG+하/XSV+ㄴ다/EF+./SF


