# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.296
metadata : {}


# id : NWRW1800000029.296.1.1
[기자의 눈/차지완]재판부가 지적한 ‘현대건설 M&A의 교훈’

[기자의	[/SS+기자/NNG+의/JKG
실제 많은 M&A 전문가는 이번 현대건설 매각 과정이 국내 M&A 역사에 ‘나쁜 사례’로 남을 것이라고 지적한다.

실제	실제/MAG
많은	많/VA+은/ETM
M&A	M/SL+&/SW+A/SL
전문가는	전문가/NNG+는/JX
이번	이번/NNG
현대건설	현대건설/NNP
매각	매각/NNG
과정이	과정/NNG+이/JKS
국내	국내/NNG
역사에	역사/NNG+에/JKB
‘나쁜	‘/SS+나쁘/VA+ㄴ/ETM
사례’로	사례/NNG+’/SS+로/JKB
남을	남/VV+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.296.5.2
매각 주체인 채권단이 매각에 급급해 충분히 검토하지 않고 우선협상대상자를 선정한 것과 이성적 논리로 접근할 사안을 감정적으로 다루다 보니 현대그룹이 소송을 남발한 점은 아쉬움이 남는다.

매각	매각/NNG
주체인	주체/NNG+이/VCP+ㄴ/ETM
채권단이	채권단/NNG+이/JKS
매각에	매각/NNG+에/JKB
급급해	급급하/VA+아/EC
충분히	충분히/MAG
검토하지	검토/NNG+하/XSV+지/EC
않고	않/VX+고/EC
우선협상대상자를	우선/NNG+협상/NNG+대상자/NNG+를/JKO
선정한	선정/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JC
이성적	이성/NNG+적/XSN
논리로	논리/NNG+로/JKB
접근할	접근/NNG+하/XSV+ㄹ/ETM
사안을	사안/NNG+을/JKO
감정적으로	감정/NNG+적/XSN+으로/JKB
다루다	다루/VV+다/EC
보니	보/VX+니/EC
현대그룹이	현대그룹/NNP+이/JKS
소송을	소송/NNG+을/JKO
남발한	남발/NNG+하/XSV+ㄴ/ETM
점은	점/NNG+은/JX
아쉬움이	아쉬움/NNG+이/JKS
남는다.	남/VV+는다/EF+./SF


# id : NWRW1800000029.296.5.3
여기에 현대차그룹의 주채권은행 예금 빼가기와 채권단의 내분 등 관객이 보기에도 민망하고 치졸한 모습을 여과 없이 드러냈다.

여기에	여기/NP+에/JKB
현대차그룹의	현대차그룹/NNP+의/JKG
주채권은행	주/MMA+채권/NNG+은행/NNG
예금	예금/NNG
빼가기와	빼/VV+어/EC+가/VX+기/ETN+와/JC
채권단의	채권단/NNG+의/JKG
내분	내분/NNG
등	등/NNB
관객이	관객/NNG+이/JKS
보기에도	보/VV+기에/EC+도/JX
민망하고	민망하/VA+고/EC
치졸한	치졸/NNG+하/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
여과	여과/NNG
없이	없이/MAG
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.296.6.1
금융당국도 재판부의 질타에 부끄러워해야 한다.

금융당국도	금융/NNG+당국/NNG+도/JX
재판부의	재판부/NNG+의/JKG
질타에	질타/NNG+에/JKB
부끄러워해야	부끄러워하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.296.6.2
금융당국은 공적자금이 투입된 기업의 매각인데도 ‘시장’을 강조하며 뒷짐만 지고 있다가 2개월간 소모적 논란을 방기했다는 지적이 나오자 뒤늦게 “승자의 저주를 막을 M&A 시스템을 만들겠다”고 밝혔다.

금융당국은	금융/NNG+당국/NNG+은/JX
공적자금이	공/NNG+적/XSN+자금/NNG+이/JKS
투입된	투입/NNG+되/XSV+ㄴ/ETM
기업의	기업/NNG+의/JKG
매각인데도	매각/NNG+이/VCP+ㄴ데/EC+도/JX
‘시장’을	‘/SS+시장/NNG+’/SS+을/JKO
강조하며	강조/NNG+하/XSV+며/EC
뒷짐만	뒷짐/NNG+만/JX
지고	지/VV+고/EC
있다가	있/VX+다가/EC
2개월간	2/SN+개월/NNB+간/XSN
소모적	소모/NNG+적/XSN
논란을	논란/NNG+을/JKO
방기했다는	방기/NNG+하/XSV+았/EP+다는/ETM
지적이	지적/NNG+이/JKS
나오자	나오/VV+자/EC
뒤늦게	뒤늦/VA+게/EC
“승자의	“/SS+승자/NNG+의/JKG
저주를	저주/NNG+를/JKO
막을	막/VV+을/ETM
M&A	M/SL+&/SW+A/SL
시스템을	시스템/NNG+을/JKO
만들겠다”고	만들/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.296.6.3
이왕 약속했으니 서둘러 이행했으면 한다.

이왕	이왕/MAG
약속했으니	약속/NNG+하/XSV+았/EP+으니/EC
서둘러	서두르/VV+어/EC
이행했으면	이행/NNG+하/XSV+았/EP+으면/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.296.6.4
여기에 더해 채권금융기관도 대형 기업의 매각 절차에 허점이 없는지 점검해 개선책을 찾아야 한다.

여기에	여기/NP+에/JKB
더해	더/MAG+하/XSV+아/EC
채권금융기관도	채권/NNG+금융/NNG+기관/NNG+도/JX
대형	대형/NNG
기업의	기업/NNG+의/JKG
매각	매각/NNG
절차에	절차/NNG+에/JKB
허점이	허점/NNG+이/JKS
없는지	없/VA+는지/EC
점검해	점검/NNG+하/XSV+아/EC
개선책을	개선책/NNG+을/JKO
찾아야	찾/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.296.6.5
그렇지 않으면 이번 현대건설 매각 사례는 앞으로 진행될 국내 기업의 M&A에서 두고두고 ‘나쁜 참고서’로 남게 될 것이다.

그렇지	그렇/VA+지/EC
않으면	않/VX+으면/EC
이번	이번/NNG
현대건설	현대건설/NNP
매각	매각/NNG
사례는	사례/NNG+는/JX
앞으로	앞/NNG+으로/JKB
진행될	진행/NNG+되/XSV+ㄹ/ETM
국내	국내/NNG
기업의	기업/NNG+의/JKG
M&A에서	M/SL+&/SW+A/SL+에서/JKB
두고두고	두고두고/MAG
‘나쁜	‘/SS+나쁘/VA+ㄴ/ETM
참고서’로	참고서/NNG+’/SS+로/JKB
남게	남/VV+게/EC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


