# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.77
metadata : {}


# id : NWRW1800000032.77.1.1
한화도 동양생명 인수 추진

한화도	한화/NNP+도/JX
2위를	2/SN+위/NNB+를/JKO
지키고	지키/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.77.5.2
하지만 자산규모 3위인 교보생명(62조원)과 큰 차이가 나지 않는다.

하지만	하지만/MAJ
자산규모	자산/NNG+규모/NNG
3위인	3/SN+위/NNB+이/VCP+ㄴ/ETM
교보생명(62조원)과	교보생명/NNP+(/SS+62/SN+조/NR+원/NNB+)/SS+과/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
나지	나/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000032.77.5.3
13조5000억원 규모의 동양생명을 인수할 경우 자산규모로 교보생명에 10조원 이상 앞서게 돼 확실한 2위 자리를 굳힐 수 있다.

13조5000억원	13/SN+조/NR+5000/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
동양생명을	동양생명/NNP+을/JKO
인수할	인수/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
자산규모로	자산/NNG+규모/NNG+로/JKB
교보생명에	교보생명/NNP+에/JKB
10조원	10/SN+조/NR+원/NNB
이상	이상/NNG
앞서게	앞서/VV+게/EC
돼	되/VV+어/EC
확실한	확실하/VA+ㄴ/ETM
2위	2/SN+위/NNB
자리를	자리/NNG+를/JKO
굳힐	굳히/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.77.5.4
한화그룹 쪽은 “동양생명이 방카슈랑스 등에 장점을 보이는 만큼 시너지 효과가 날 것으로 보고 인수를 검토하고 있다”고 전했다.

한화그룹	한화그룹/NNP
쪽은	쪽/NNB+은/JX
“동양생명이	“/SS+동양생명/NNP+이/JKS
방카슈랑스	방카슈랑스/NNG
등에	등/NNB+에/JKB
장점을	장점/NNG+을/JKO
보이는	보이/VV+는/ETM
만큼	만큼/NNB
시너지	시너지/NNG
효과가	효과/NNG+가/JKS
날	나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
인수를	인수/NNG+를/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.77.6.1
대한생명은 지난 11월 중장기 전략인 ‘탑 인(Top In) 2020’을 수립하고 오는 2020년 “삼성생명을 제치고 보험업계 신계약 1위를 달성한다”고 목표를 밝힌 바 있다.

대한생명은	대한생명/NNP+은/JX
지난	지나/VV+ㄴ/ETM
11월	11/SN+월/NNB
중장기	중장기/NNG
전략인	전략/NNG+이/VCP+ㄴ/ETM
‘탑	‘/SS+탑/NNG
인(Top	인/NNG+(/SS+Top/SL
In)	In/SL+)/SS
2020’을	2020/SN+’/SS+을/JKO
수립하고	수립/NNG+하/XSV+고/EC
오는	오/VV+는/ETM
2020년	2020/SN+년/NNB
“삼성생명을	“/SS+삼성생명/NNP+을/JKO
제치고	제치/VV+고/EC
보험업계	보험업/NNG+계/XSN
신계약	신/XPN+계약/NNG
1위를	1/SN+위/NNB+를/JKO
달성한다”고	달성/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
목표를	목표/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.77.6.2
지난 7일 서울 강동, 경원(수원·강원도), 영남(울산·동해권) 지역본부 3개를 신설하며 이런 목표를 재확인한 바 있다.

지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
서울	서울/NNP
강동,	강동/NNP+,/SP
경원(수원·강원도),	경원/NNP+(/SS+수원/NNP+·/SP+강원도/NNP+)/SS+,/SP
영남(울산·동해권)	영남/NNP+(/SS+울산/NNP+·/SP+동해/NNP+권/XSN+)/SS
지역본부	지역/NNG+본부/NNG
3개를	3/SN+개/NNB+를/JKO
신설하며	신설/NNG+하/XSV+며/EC
이런	이런/MMD
목표를	목표/NNG+를/JKO
재확인한	재/XPN+확인/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.77.7.1
한화의 참여로 동양생명 인수전은 더 뜨거워질 것으로 보인다.

한화의	한화/NNP+의/JKG
참여로	참여/NNG+로/JKB
동양생명	동양생명/NNP
인수전은	인수전/NNG+은/JX
더	더/MAG
뜨거워질	뜨거워지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.77.7.2
동양생명 지분 57%를 보유한 보고펀드는 올해 하반기부터 지분 매각을 추진해 왔다.

동양생명	동양생명/NNP
지분	지분/NNG
57%를	57/SN+%/SW+를/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
보고펀드는	보고펀드/NNP+는/JX
올해	올해/NNG
하반기부터	하반기/NNG+부터/JX
매각을	매각/NNG+을/JKO
추진해	추진/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.77.7.3
한화그룹에 앞서 우리금융지주, 푸르덴셜생명도 동양생명 인수에 관심을 보였다.

한화그룹에	한화그룹/NNP+에/JKB
앞서	앞서/VV+어/EC
우리금융지주,	우리금융지주/NNP+,/SP
푸르덴셜생명도	푸르덴셜생명/NNP+도/JX
동양생명	동양생명/NNP
인수에	인수/NNG+에/JKB
관심을	관심/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.77.7.4
보험부문이 취약한 케이비(KB)금융지주와 신한금융지주 등도 꾸준히 인수 후보에 오르내리고 있다.

보험부문이	보험/NNG+부문/NNG+이/JKS
취약한	취약/NNG+하/XSA+ㄴ/ETM
케이비(KB)금융지주와	케이비/NNP+(/SS+KB/SL+)/SS+금융/NNG+지주/NNG+와/JC
신한금융지주	신한금융지주/NNP
등도	등/NNB+도/JX
꾸준히	꾸준히/MAG
인수	인수/NNG
후보에	후보/NNG+에/JKB
오르내리고	오르내리/VV+고/EC
있다.	있/VX+다/EF+./SF


