# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.94
metadata : {}


# id : NWRW1800000044.94.1.1
동상이몽 속 ‘전략적 동반자 관계’ 논의

동상이몽	동상이몽/NNG
오바마 미국 대통령과 모디 인도 총리는 30일 백악관에서 정상회담을 열고 안보·경제 현안과 양국 간 ‘전략적 동반자’ 관계를 더 공고하게 할 방안을 논의했다.

오바마	오바마/NNP
미국	미국/NNP
대통령과	대통령/NNG+과/JC
모디	모디/NNP
인도	인도/NNP
총리는	총리/NNG+는/JX
30일	30/SN+일/NNB
백악관에서	백악관/NNP+에서/JKB
정상회담을	정상/NNG+회담/NNG+을/JKO
열고	열/VV+고/EC
안보·경제	안보/NNG+·/SP+경제/NNG
현안과	현안/NNG+과/JC
양국	양국/NNG
간	간/NNB
‘전략적	‘/SS+전략/NNG+적/XSN
동반자’	동반자/NNG+’/SS
관계를	관계/NNG+를/JKO
더	더/MAG
공고하게	공고/NNG+하/XSV+게/EC
할	하/VX+ㄹ/ETM
방안을	방안/NNG+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.94.7.1
두 정상은 공동성명에서 “양국의 전략적 동반자 관계는 평화와 번영을 향한 공동 노력”이라며 “깊은 논의와 공동 훈련, 기술 공유를 통해 테러와 인도적 재난, 대량살상무기 확산 등에 공동 대응하겠다”고 밝혔다.

두	두/MMN
정상은	정상/NNG+은/JX
공동성명에서	공동/NNG+성명/NNG+에서/JKB
“양국의	“/SS+양국/NNG+의/JKG
전략적	전략/NNG+적/XSN
동반자	동반자/NNG
관계는	관계/NNG+는/JX
평화와	평화/NNG+와/JC
번영을	번영/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
공동	공동/NNG
노력”이라며	노력/NNG+”/SS+이/VCP+라며/EC
“깊은	“/SS+깊/VA+은/ETM
논의와	논의/NNG+와/JC
훈련,	훈련/NNG+,/SP
기술	기술/NNG
공유를	공유/NNG+를/JKO
통해	통하/VV+아/EC
테러와	테러/NNG+와/JC
인도적	인도/NNG+적/XSN
재난,	재난/NNG+,/SP
대량살상무기	대량/NNG+살상/NNG+무기/NNG
확산	확산/NNG
등에	등/NNB+에/JKB
대응하겠다”고	대응/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.94.7.2
특히, 성명은 “두 나라는 국제법 원칙에 따라 항행의 자유를 확보하고 합법적 운송·상업활동이 방해받지 않도록 하기 위해 해양안보 협력을 강화하는데 합의한다”고 밝혔다.

특히,	특히/MAG+,/SP
성명은	성명/NNG+은/JX
“두	“/SS+두/MMN
나라는	나라/NNG+는/JX
국제법	국제법/NNG
원칙에	원칙/NNG+에/JKB
따라	따르/VV+아/EC
항행의	항행/NNG+의/JKG
자유를	자유/NNG+를/JKO
확보하고	확보/NNG+하/XSV+고/EC
합법적	합법/NNG+적/XSN
운송·상업활동이	운송/NNG+·/SP+상업/NNG+활동/NNG+이/JKS
방해받지	방해/NNG+받/XSV+지/EC
않도록	않/VX+도록/EC
하기	하/VX+기/ETN
위해	위하/VV+아/EC
해양안보	해양/NNG+안보/NNG
협력을	협력/NNG+을/JKO
강화하는데	강화/NNG+하/XSV+는/ETM+데/NNB
합의한다”고	합의/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.94.7.3
이는 남중국해에서 중국 및 아세안 국가들 사이에서 벌어지고 있는 영유권 갈등을 염두에 둔 것으로 보인다.

이는	이/NP+는/JX
남중국해에서	남중국해/NNP+에서/JKB
중국	중국/NNP
및	및/MAG
아세안	아세안/NNP
국가들	국가/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
벌어지고	벌어지/VV+고/EC
있는	있/VX+는/ETM
영유권	영유/NNG+권/XSN
갈등을	갈등/NNG+을/JKO
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.94.8.1
그러나 미국 언론들은 두 나라간 이견이 큰 현안에서는 진전이 별로 없었다고 해석했다.

그러나	그러나/MAJ
미국	미국/NNP
언론들은	언론/NNG+들/XSN+은/JX
두	두/MMN
나라간	나라/NNG+간/NNB
이견이	이견/NNG+이/JKS
큰	크/VA+ㄴ/ETM
현안에서는	현안/NNG+에서/JKB+는/JX
진전이	진전/NNG+이/JKS
별로	별로/MAG
없었다고	없/VA+었/EP+다고/EC
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.94.8.2
세계무역기구(WTO) 무역원활화협정(TFA)과 관련해, 인도는 7월 말 저소득층에 대한 식품 보조금 지급 재량을 요구하면서 이 협정을 거부했다.

세계무역기구(WTO)	세계무역기구/NNP+(/SS+WTO/SL+)/SS
무역원활화협정(TFA)과	무역/NNG+원활/NNG+화/XSN+협정/NNG+(/SS+TFA/SL+)/SS+과/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
인도는	인도/NNP+는/JX
7월	7/SN+월/NNB
말	말/NNB
저소득층에	저/XPN+소득/NNG+층/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
식품	식품/NNG
보조금	보조금/NNG
지급	지급/NNG
재량을	재량/NNG+을/JKO
요구하면서	요구/NNG+하/XSV+면서/EC
이	이/MMD
협정을	협정/NNG+을/JKO
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.94.8.3
또 미-인도 원자력협정을 두고도 갈등을 빚어왔다.

또	또/MAG
미-인도	미/NNP+-/SO+인도/NNP
원자력협정을	원자력/NNG+협정/NNG+을/JKO
두고도	두/VV+고/EC+도/JX
갈등을	갈등/NNG+을/JKO
빚어왔다.	빚/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.94.8.4
미국과 인도는 테러리즘 대처에 대해 협력한다고는 했지만, 인도 정부는 미국의 이슬람국가(IS) 공습에 협력한다는 뜻은 아니라고 선을 그었다.

미국과	미국/NNP+과/JC
인도는	인도/NNP+는/JX
테러리즘	테러리즘/NNG
대처에	대처/NNG+에/JKB
대해	대하/VV+아/EC
협력한다고는	협력/NNG+하/XSV+ㄴ다고/EC+는/JX
했지만,	하/VX+았/EP+지만/EC+,/SP
인도	인도/NNP
정부는	정부/NNG+는/JX
미국의	미국/NNP+의/JKG
이슬람국가(IS)	이슬람국가/NNP+(/SS+IS/SL+)/SS
공습에	공습/NNG+에/JKB
협력한다는	협력/NNG+하/XSV+ㄴ다는/ETM
뜻은	뜻/NNG+은/JX
아니라고	아니/VCN+라고/EC
선을	선/NNG+을/JKO
그었다.	긋/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.94.9.1
인도를 중국 견제를 위한 주요 파트너로 여기는 오마바 대통령은 모디 총리를 매우 극진하게 대우했다.

인도를	인도/NNP+를/JKO
중국	중국/NNP
견제를	견제/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
주요	주요/NNG
파트너로	파트너/NNG+로/JKB
여기는	여기/VV+는/ETM
오마바	오마바/NNP
대통령은	대통령/NNG+은/JX
모디	모디/NNP
총리를	총리/NNG+를/JKO
매우	매우/MAG
극진하게	극진하/VA+게/EC
대우했다.	대우/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.94.9.2
29일에는 힌두교도로 단식중인 모디 총리를 배려해 간소한 비공개 만찬을 열었다.

29일에는	29/SN+일/NNB+에/JKB+는/JX
힌두교도로	힌두교도/NNG+로/JKB
단식중인	단식/NNG+중/NNB+이/VCP+ㄴ/ETM
모디	모디/NNP
총리를	총리/NNG+를/JKO
배려해	배려/NNG+하/XSV+아/EC
간소한	간소하/VA+ㄴ/ETM
비공개	비/XPN+공개/NNG
만찬을	만찬/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.94.9.3
백악관 요리사는 아보카도와 염소 치즈, 넙치 요리를 마련했지만, 모디 총리는 힌두교 단식 기간이라며 따뜻한 물만 마셨다.

백악관	백악관/NNP
요리사는	요리사/NNG+는/JX
아보카도와	아보카도/NNG+와/JC
염소	염소/NNG
치즈,	치즈/NNG+,/SP
넙치	넙치/NNG
요리를	요리/NNG+를/JKO
마련했지만,	마련/NNG+하/XSV+았/EP+지만/EC+,/SP
모디	모디/NNP
총리는	총리/NNG+는/JX
힌두교	힌두교/NNG
단식	단식/NNG
기간이라며	기간/NNG+이/VCP+라며/EC
따뜻한	따뜻하/VA+ㄴ/ETM
물만	물/NNG+만/JX
마셨다.	마시/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.94.9.4
30일 정상회담이 끝난 뒤에는 오바마 대통령이 백악관 근처 마틴 루터 킹 주니어 기념관을 직접 안내해줬다.

30일	30/SN+일/NNB
정상회담이	정상/NNG+회담/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤에는	뒤/NNG+에/JKB+는/JX
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
백악관	백악관/NNP
근처	근처/NNG
마틴	마틴/NNP
루터	루터/NNP
킹	킹/NNP
주니어	주니어/NNP
기념관을	기념관/NNG+을/JKO
직접	직접/MAG
안내해줬다.	안내/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.94.9.5
인권 운동가로 1968년 암살당한 킹은 생전 인도 마하트마 간디의 비폭력 저항 운동에서 영감을 받았다고 밝힌 바 있다.

인권	인권/NNG
운동가로	운동가/NNG+로/JKB
1968년	1968/SN+년/NNB
암살당한	암살/NNG+당하/XSV+ㄴ/ETM
킹은	킹/NNP+은/JX
생전	생전/NNG
인도	인도/NNP
마하트마	마하트마/NNP
간디의	간디/NNP+의/JKG
비폭력	비/XPN+폭력/NNG
저항	저항/NNG
운동에서	운동/NNG+에서/JKB
영감을	영감/NNG+을/JKO
받았다고	받/VV+았/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.94.9.6
하지만, 인권 단체들은 구자라트주 총리 시절 무슬림 학살을 방조한 의혹을 받고 있는 모디 총리를 오바마 대통령이 마틴 루터 킹 기념관으로 안내한 데 대해 “놀랐다”는 반응이라고 <뉴욕 타임스>는 전했다.

하지만,	하지만/MAJ+,/SP
인권	인권/NNG
단체들은	단체/NNG+들/XSN+은/JX
구자라트주	구자라트주/NNP
총리	총리/NNG
시절	시절/NNG
무슬림	무슬림/NNG
학살을	학살/NNG+을/JKO
방조한	방조/NNG+하/XSV+ㄴ/ETM
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
모디	모디/NNP
총리를	총리/NNG+를/JKO
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
마틴	마틴/NNP
루터	루터/NNP
킹	킹/NNP
기념관으로	기념관/NNG+으로/JKB
안내한	안내/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
“놀랐다”는	“/SS+놀라/VV+았/EP+다/EF+”/SS+는/ETM
반응이라고	반응/NNG+이/VCP+라고/EC
<뉴욕	</SS+뉴욕/NNP
타임스>는	타임스/NNP+>/SS+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


