# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.412
metadata : {}


# id : NWRW1800000036.412.1.1
김성주 “여성·젊은이 취업난, 수동적 자세가 문제”

김성주	김성주/NNP
창업거리와	창업/NNG+거리/NNB+와/JC
일자리가	일자리/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.412.5.3
한국의 훈련된 인원들이 일할 게 너무 많은데, 다만 (스스로 일자리를) 안 찾고 불평하기 때문에 (취업이 안 되고) 그렇다”고 설명했다.

한국의	한국/NNP+의/JKG
훈련된	훈련/NNG+되/XSV+ㄴ/ETM
인원들이	인원/NNG+들/XSN+이/JKS
일할	일/NNG+하/XSV+ㄹ/ETM
게	거/NNB+이/JKS
너무	너무/MAG
많은데,	많/VA+은데/EC+,/SP
다만	다만/MAG
(스스로	(/SS+스스로/NNG
일자리를)	일자리/NNG+를/JKO+)/SS
안	안/MAG
찾고	찾/VV+고/EC
불평하기	불평/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
(취업이	(/SS+취업/NNG+이/JKS
되고)	되/VV+고/EC+)/SS
그렇다”고	그렇/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.412.5.4
이어 “저같이 작은 중소기업 회장 하나도 30개국을 정복할 수 있는데, 젊은이들이 ‘정부야, 일자리 창출해라’ 이런 수동적인 자세로는 안 된다”고 덧붙였다.

이어	이어/MAG
“저같이	“/SS+저/NP+같이/JKB
작은	작/VA+은/ETM
중소기업	중소기업/NNG
회장	회장/NNG
하나도	하나/NR+도/JX
30개국을	30/SN+개국/NNB+을/JKO
정복할	정복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는데,	있/VA+는데/EC+,/SP
젊은이들이	젊은이/NNG+들/XSN+이/JKS
‘정부야,	‘/SS+정부/NNG+야/JKV+,/SP
일자리	일자리/NNG
창출해라’	창출/NNG+하/XSV+아라/EF+’/SS
이런	이런/MMD
수동적인	수동/NNG+적/XSN+이/VCP+ㄴ/ETM
자세로는	자세/NNG+로/JKB+는/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.412.6.1
또 “여성들이 육아 때문에 (일을 못한다는데), 나는 진생쿠키(인삼으로 만든 쿠키) 얘기를 농담으로 한다”며 “애 젖 먹이면서 주방에 앉아서 ‘웰빙 진생쿠키를 만들었다’고 구글에 올리면 전세계에서 주문을 받을 수 있는데, 왜 젊은이들이 이렇게 어마무지한 가상세계가 있는데도 수동적으로 대응하느냐”라고 말했다.

또	또/MAG
“여성들이	“/SS+여성/NNG+들/XSN+이/JKS
육아	육아/NNG
때문에	때문/NNB+에/JKB
(일을	(/SS+일/NNG+을/JKO
못한다는데),	못/MAG+하/VV+ㄴ다는데/EC+)/SS+,/SP
나는	나/NP+는/JX
진생쿠키(인삼으로	진생쿠키/NNG+(/SS+인삼/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
쿠키)	쿠키/NNG+)/SS
얘기를	얘기/NNG+를/JKO
농담으로	농담/NNG+으로/JKB
한다”며	하/VV+ㄴ다/EF+”/SS+며/EC
“애	“/SS+애/NNG
젖	젖/NNG
먹이면서	먹이/VV+면서/EC
주방에	주방/NNG+에/JKB
앉아서	앉/VV+아서/EC
‘웰빙	‘/SS+웰빙/NNG
진생쿠키를	진생쿠키/NNG+를/JKO
만들었다’고	만들/VV+었/EP+다/EF+’/SS+고/JKQ
구글에	구글/NNP+에/JKB
올리면	올리/VV+면/EC
전세계에서	전/MMN+세계/NNG+에서/JKB
주문을	주문/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있는데,	있/VA+는데/EC+,/SP
왜	왜/MAG
젊은이들이	젊은이/NNG+들/XSN+이/JKS
이렇게	이렇/VA+게/EC
어마무지한	어마무지하/VA+ㄴ/ETM
가상세계가	가상/NNG+세계/NNG+가/JKS
있는데도	있/VA+는데/EC+도/JX
수동적으로	수동/NNG+적/XSN+으로/JKB
대응하느냐”라고	대응/NNG+하/XSV+느냐/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.412.7.1
김 위원장은 이날 <제이티비시>(JTBC) 인터뷰에서 “고학력 여성이 ‘솥뚜껑 운전’만 하는 것이 이해가 되지 않는다”고 말하기도 했다.

김	김/NNP
위원장은	위원장/NNG+은/JX
이날	이날/NNG
<제이티비시>(JTBC)	</SS+제이티비시/NNP+>/SS+(/SS+JTBC/SL+)/SS
인터뷰에서	인터뷰/NNG+에서/JKB
“고학력	“/SS+고/XPN+학력/NNG
여성이	여성/NNG+이/JKS
‘솥뚜껑	‘/SS+솥뚜껑/NNG
운전’만	운전/NNG+’/SS+만/JX
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
이해가	이해/NNG+가/JKS
되지	되/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.412.8.1
또 김 위원장은 경제민주화와 관련해 “내 소신은 경제민주화를 강제로 하는 건 역행”이라고 말했다.

또	또/MAG
김	김/NNP
위원장은	위원장/NNG+은/JX
경제민주화와	경제/NNG+민주/NNG+화/XSN+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“내	“/SS+나/NP+의/JKG
소신은	소신/NNG+은/JX
경제민주화를	경제/NNG+민주/NNG+화/XSN+를/JKO
강제로	강제/NNG+로/JKB
하는	하/VV+는/ETM
건	거/NNB+ㄴ/JX
역행”이라고	역행/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.412.8.2
경제민주화는 박 후보가 “반드시 실천하겠다”고 강조한 의제인데, 그와 정반대의 주장을 편 것이다.

경제민주화는	경제/NNG+민주/NNG+화/XSN+는/JX
박	박/NNP
후보가	후보/NNG+가/JKS
“반드시	“/SS+반드시/MAG
실천하겠다”고	실천/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
강조한	강조/NNG+하/XSV+ㄴ/ETM
의제인데,	의제/NNG+이/VCP+ㄴ데/EC+,/SP
그와	그/NP+와/JKB
정반대의	정반대/NNG+의/JKG
주장을	주장/NNG+을/JKO
편	펴/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


