# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.338
metadata : {}


# id : NWRW1800000056.338.1.1
‘탄핵열차 종착역’ 10일 오전 11시

‘탄핵열차	‘/SS+탄핵/NNG+열차/NNG
여부에	여부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
최종	최종/NNG
결정은	결정/NNG+은/JX
재판관들의	재판관/NNG+들/XSN+의/JKG
평결을	평결/NNG+을/JKO
거쳐	거치/VV+어/EC
확정된다.	확정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.338.7.1
박 대통령의 파면은 재판관 8명 중 6명 이상이 찬성해야 한다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
파면은	파면/NNG+은/JX
재판관	재판관/NNG
8명	8/SN+명/NNB
중	중/NNB
6명	6/SN+명/NNB
이상이	이상/NNG+이/JKS
찬성해야	찬성/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.338.7.2
파면 결정은 선고 즉시 효력이 발생해 박 대통령은 곧바로 대통령직에서 파면되고 경호를 제외한 대통령 예우도 박탈된다.

파면	파면/NNG
결정은	결정/NNG+은/JX
선고	선고/NNG
즉시	즉시/NNG
효력이	효력/NNG+이/JKS
발생해	발생/NNG+하/XSV+아/EC
박	박/NNP
대통령은	대통령/NNG+은/JX
곧바로	곧바로/MAG
대통령직에서	대통령직/NNG+에서/JKB
파면되고	파면/NNG+되/XSV+고/EC
경호를	경호/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
대통령	대통령/NNG
예우도	예우/NNG+도/JX
박탈된다.	박탈/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.338.7.3
그러나 재판관 3명 이상이 기각이나 각하 의견을 내면 탄핵소추는 기각되고, 박 대통령은 즉시 대통령직에 복귀한다.

그러나	그러나/MAJ
재판관	재판관/NNG
3명	3/SN+명/NNB
이상이	이상/NNG+이/JKS
기각이나	기각/NNG+이나/JC
각하	각하/NNG
의견을	의견/NNG+을/JKO
내면	내/VV+면/EC
탄핵소추는	탄핵/NNG+소추/NNG+는/JX
기각되고,	기각/NNG+되/XSV+고/EC+,/SP
박	박/NNP
대통령은	대통령/NNG+은/JX
즉시	즉시/NNG
대통령직에	대통령직/NNG+에/JKB
복귀한다.	복귀/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.338.8.1
헌재는 국회 소추위원인 권성동 바른정당 의원의 박 대통령 탄핵심판 청구 뒤 약 84시간50분에 이르는 3차례의 준비절차, 17차례의 변론을 열어 증거조사와 25명의 증인 신문을 마쳤다.

헌재는	헌재/NNG+는/JX
국회	국회/NNG
소추위원인	소추/NNG+위원/NNG+이/VCP+ㄴ/ETM
권성동	권성동/NNP
바른정당	바른정당/NNP
의원의	의원/NNG+의/JKG
박	박/NNP
대통령	대통령/NNG
탄핵심판	탄핵/NNG+심판/NNG
청구	청구/NNG
뒤	뒤/NNG
약	약/MMA
84시간50분에	84/SN+시간/NNB+50/SN+분/NNB+에/JKB
이르는	이르/VV+는/ETM
3차례의	3/SN+차례/NNG+의/JKG
준비절차,	준비/NNG+절차/NNG+,/SP
17차례의	17/SN+차례/NNG+의/JKG
변론을	변론/NNG+을/JKO
열어	열/VV+어/EC
증거조사와	증거/NNG+조사/NNG+와/JC
25명의	25/SN+명/NNB+의/JKG
증인	증인/NNG
신문을	신문/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.338.8.2
헌재는 1월31일 박한철 헌재소장의 퇴임으로 8명의 재판관이 심리를 이어왔고, 박 대통령 대리인단의 ‘막장 변론’을 겪으면서도 흔들림없이 지난달 27일 마지막 변론을 마친 뒤 6차례 평의를 열어 선고일을 확정했다.

헌재는	헌재/NNG+는/JX
1월31일	1/SN+월/NNB+31/SN+일/NNB
박한철	박한철/NNP
헌재소장의	헌재/NNG+소장/NNG+의/JKG
퇴임으로	퇴임/NNG+으로/JKB
8명의	8/SN+명/NNB+의/JKG
재판관이	재판관/NNG+이/JKS
심리를	심리/NNG+를/JKO
이어왔고,	잇/VV+어/EC+오/VX+았/EP+고/EC+,/SP
박	박/NNP
대통령	대통령/NNG
대리인단의	대리인단/NNG+의/JKG
‘막장	‘/SS+막장/NNG
변론’을	변론/NNG+’/SS+을/JKO
겪으면서도	겪/VV+으면서/EC+도/JX
흔들림없이	흔들리/VV+ㅁ/ETN+없이/MAG
지난달	지난달/NNG
27일	27/SN+일/NNB
마지막	마지막/NNG
변론을	변론/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
6차례	6/SN+차례/NNG
평의를	평의/NNG+를/JKO
열어	열/VV+어/EC
선고일을	선고일/NNG+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.338.8.3
야권은 “탄핵 인용을 확신한다”고 밝힌 반면, 여당은 “납득할 수 있는 결정이어야 한다”며 신중한 반응을 보였다.

야권은	야권/NNG+은/JX
“탄핵	“/SS+탄핵/NNG
인용을	인용/NNG+을/JKO
확신한다”고	확신/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
반면,	반면/NNG+,/SP
여당은	여당/NNG+은/JX
“납득할	“/SS+납득/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
결정이어야	결정/NNG+이/VCP+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
신중한	신중/NNG+하/XSA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.338.9.1
박 대통령 탄핵심판 선고는 텔레비전으로 생중계된다.

박	박/NNP
대통령	대통령/NNG
탄핵심판	탄핵/NNG+심판/NNG
선고는	선고/NNG+는/JX
텔레비전으로	텔레비전/NNG+으로/JKB
생중계된다.	생/XPN+중계/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.338.9.2
재판장인 이정미 재판관이 결정문을 요약해 낭독하고 주문(결론)은 가장 마지막에 밝힐 것으로 보인다.

재판장인	재판장/NNG+이/VCP+ㄴ/ETM
이정미	이정미/NNP
재판관이	재판관/NNG+이/JKS
결정문을	결정문/NNG+을/JKO
요약해	요약/NNG+하/XSV+아/EC
낭독하고	낭독/NNG+하/XSV+고/EC
주문(결론)은	주문/NNG+(/SS+결론/NNG+)/SS+은/JX
가장	가장/MAG
마지막에	마지막/NNG+에/JKB
밝힐	밝히/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.338.9.3
탄핵이 인용될 경우, 다음 대통령을 뽑는 대선일은 5월9일으로 전망된다.

탄핵이	탄핵/NNG+이/JKS
인용될	인용/NNG+되/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
다음	다음/NNG
대통령을	대통령/NNG+을/JKO
뽑는	뽑/VV+는/ETM
대선일은	대선일/NNG+은/JX
5월9일으로	5/SN+월/NNB+9/SN+일/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.338.9.4
선거법상 60일 이내에 대선을 치러야 하는데, 5월 초 연휴 탓에 대선일(공휴일)로 지정할 수 있는 날은 사실상 5월9일밖에 없다는 게 중앙선거관리위원회의 설명이다.

선거법상	선거법/NNG+상/XSN
60일	60/SN+일/NNB
이내에	이내/NNG+에/JKB
대선을	대선/NNG+을/JKO
치러야	치르/VV+어야/EC
하는데,	하/VX+는데/EC+,/SP
5월	5/SN+월/NNB
초	초/NNB
연휴	연휴/NNG
탓에	탓/NNG+에/JKB
대선일(공휴일)로	대선일/NNG+(/SS+공휴일/NNG+)/SS+로/JKB
지정할	지정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
날은	날/NNG+은/JX
사실상	사실/NNG+상/XSN
5월9일밖에	5/SN+월/NNB+9/SN+일/NNB+밖에/JX
없다는	없/VA+다는/ETM
게	거/NNB+이/JKS
중앙선거관리위원회의	중앙/NNG+선거/NNG+관리/NNG+위원회/NNG+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


