# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.44
metadata : {}


# id : NWRW1800000038.44.1.1
탈레반, 여성교육권 주장한 말랄라(탈레반에 총격당한 파키스탄 소녀) 공개협박

탈레반,	탈레반/NNP+,/SP
편지는	편지/NNG+는/JX
16일	16/SN+일/NNB
밤	밤/NNG
파키스탄	파키스탄/NNP
현지	현지/NNG
언론	언론/NNG
등에	등/NNB+에/JKB
배달됐다.	배달/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.44.4.3
발신자인 라시드는 공군 장교 출신으로 2003년 무샤라프 당시 대통령 암살을 기도한 혐의로 수감됐다가 작년 4월 수감자 300명과 함께 탈옥해 잠적한 상태다.

발신자인	발신자/NNG+이/VCP+ㄴ/ETM
라시드는	라시드/NNP+는/JX
공군	공군/NNG
장교	장교/NNG
출신으로	출신/NNG+으로/JKB
2003년	2003/SN+년/NNB
무샤라프	무샤라프/NNP
당시	당시/NNG
대통령	대통령/NNG
암살을	암살/NNG+을/JKO
기도한	기도/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
수감됐다가	수감/NNG+되/XSV+었/EP+다가/EC
작년	작년/NNG
4월	4/SN+월/NNB
수감자	수감자/NNG
300명과	300/SN+명/NNB+과/JKB
함께	함께/MAG
탈옥해	탈옥/NNG+하/XSV+아/EC
잠적한	잠적/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.44.4.4
AP통신은 탈레반 측을 통해 해당 편지가 진본임을 확인했다고 보도했다.

AP통신은	AP통신/NNP+은/JX
탈레반	탈레반/NNP
측을	측/NNB+을/JKO
통해	통하/VV+아/EC
해당	해당/NNG
편지가	편지/NNG+가/JKS
진본임을	진본/NNG+이/VCP+ㅁ/ETN+을/JKO
확인했다고	확인/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.44.5.1
유사프자이는 2009년 BBC방송 블로그를 통해 자신이 사는 스와트밸리 지역을 통치하며 여학교를 폐쇄한 탈레반 세력을 비판하는 글을 써 세계적으로 유명해졌다.

유사프자이는	유사프자이/NNP+는/JX
2009년	2009/SN+년/NNB
BBC방송	BBC방송/NNP
블로그를	블로그/NNG+를/JKO
통해	통하/VV+아/EC
자신이	자신/NNG+이/JKS
사는	살/VV+는/ETM
스와트밸리	스와트밸리/NNP
지역을	지역/NNG+을/JKO
통치하며	통치/NNG+하/XSV+며/EC
여학교를	여학교/NNG+를/JKO
폐쇄한	폐쇄/NNG+하/XSV+ㄴ/ETM
탈레반	탈레반/NNP
세력을	세력/NNG+을/JKO
비판하는	비판/NNG+하/XSV+는/ETM
글을	글/NNG+을/JKO
써	쓰/VV+어/EC
세계적으로	세계/NNG+적/XSN+으로/JKB
유명해졌다.	유명/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.44.5.2
그러자 탈레반은 작년 10월 학교에서 집으로 돌아가던 유사프자이를 찾아가 그의 왼쪽 이마에 방아쇠를 당겼다.

그러자	그러/VV+자/EC
탈레반은	탈레반/NNP+은/JX
작년	작년/NNG
10월	10/SN+월/NNB
학교에서	학교/NNG+에서/JKB
집으로	집/NNG+으로/JKB
돌아가던	돌아가/VV+던/ETM
유사프자이를	유사프자이/NNP+를/JKO
찾아가	찾아가/VV+아/EC
그의	그/NP+의/JKG
왼쪽	왼쪽/NNG
이마에	이마/NNG+에/JKB
방아쇠를	방아쇠/NNG+를/JKO
당겼다.	당기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.44.5.3
영국에서 치료를 받고 회복한 유사프자이는 12일 미국 뉴욕에 있는 유엔본부를 방문, "책과 펜이 칼보다 강하다"고 연설했다.

영국에서	영국/NNP+에서/JKB
치료를	치료/NNG+를/JKO
받고	받/VV+고/EC
회복한	회복/NNG+하/XSV+ㄴ/ETM
유사프자이는	유사프자이/NNP+는/JX
12일	12/SN+일/NNB
미국	미국/NNP
뉴욕에	뉴욕/NNP+에/JKB
있는	있/VA+는/ETM
유엔본부를	유엔/NNP+본부/NNG+를/JKO
방문,	방문/NNG+,/SP
"책과	"/SS+책/NNG+과/JC
펜이	펜/NNG+이/JKS
칼보다	칼/NNG+보다/JKB
강하다"고	강하/VA+다/EF+"/SS+고/JKQ
연설했다.	연설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.44.6.1
라시드의 편지는 이 유엔 연설 직후에 작성된 것으로 추정된다.

라시드의	라시드/NNP+의/JKG
편지는	편지/NNG+는/JX
이	이/MMD
유엔	유엔/NNP
연설	연설/NNG
직후에	직후/NNG+에/JKB
작성된	작성/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.44.6.2
라시드는 "너는 펜이 칼보다 강하다고 말했다. 탈레반이 너를 공격한 것은 너의 그 칼 때문이지, 책이나 학교 때문이 아니다"며 어린 소녀를 끔찍한 표현으로 비난했다.

라시드는	라시드/NNP+는/JX
"너는	"/SS+너/NP+는/JX
펜이	펜/NNG+이/JKS
칼보다	칼/NNG+보다/JKB
강하다고	강하/VA+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF
탈레반이	탈레반/NNP+이/JKS
너를	너/NP+를/JKO
공격한	공격/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
너의	너/NP+의/JKG
그	그/MMD
칼	칼/NNG
때문이지,	때문/NNB+이/VCP+지/EC+,/SP
책이나	책/NNG+이나/JC
학교	학교/NNG
때문이	때문/NNB+이/JKC
아니다"며	아니/VCN+다/EF+"/SS+며/EC
어린	어리/VA+ㄴ/ETM
소녀를	소녀/NNG+를/JKO
끔찍한	끔찍하/VA+ㄴ/ETM
표현으로	표현/NNG+으로/JKB
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.44.6.3
이어 "탈레반은 네가 단순히 학교에 간다거나 교육을 사랑한다고 해서 너를 살해하려 한 것이 아니다. 네가 의도적으로 탈레반에 맞서는 글을 쓰고 헐뜯었기 때문"이라며 "이것이 이슬람 율법에 따라 옳은 일인지, 네가 죽어 마땅한지는 알라의 판단에 맡기자"고 저주를 퍼부었다.

이어	이어/MAG
"탈레반은	"/SS+탈레반/NNP+은/JX
네가	네/NP+가/JKS
단순히	단순히/MAG
학교에	학교/NNG+에/JKB
간다거나	가/VV+ㄴ다/EF+거나/JX
교육을	교육/NNG+을/JKO
사랑한다고	사랑/NNG+하/XSV+ㄴ다고/EC
해서	하/VV+아서/EC
너를	너/NP+를/JKO
살해하려	살해/NNG+하/XSV+려/EC
한	하/VX+ㄴ/ETM
것이	것/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF
의도적으로	의도/NNG+적/XSN+으로/JKB
탈레반에	탈레반/NNP+에/JKB
맞서는	맞서/VV+는/ETM
글을	글/NNG+을/JKO
쓰고	쓰/VV+고/EC
헐뜯었기	헐뜯/VV+었/EP+기/ETN
때문"이라며	때문/NNB+"/SS+이/VCP+라며/EC
"이것이	"/SS+이것/NP+이/JKS
이슬람	이슬람/NNG
율법에	율법/NNG+에/JKB
따라	따르/VV+아/EC
옳은	옳/VA+은/ETM
일인지,	일/NNG+이/VCP+ㄴ지/EF+,/SP
죽어	죽/VV+어/EC
마땅한지는	마땅하/VA+ㄴ지/EF+는/JX
알라의	알라/NNP+의/JKG
판단에	판단/NNG+에/JKB
맡기자"고	맡기/VV+자/EF+"/SS+고/JKQ
저주를	저주/NNG+를/JKO
퍼부었다.	퍼붓/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.44.7.1
TTP는 2000년대 초반 결성한 이슬람 극단주의 무장세력이다.

TTP는	TTP/SL+는/JX
2000년대	2000/SN+년대/NNB
초반	초반/NNG
결성한	결성/NNG+하/XSV+ㄴ/ETM
이슬람	이슬람/NNG
극단주의	극단주의/NNG
무장세력이다.	무장/NNG+세력/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.44.7.2
베나지르 부토(Bhutto) 전 파키스탄 총리 암살, 수도 이슬라마바드의 메리어트 호텔 폭탄 테러 등을 저질렀다.

베나지르	베나지르/NNP
부토(Bhutto)	부토/NNP+(/SS+Bhutto/SL+)/SS
전	전/MMD
파키스탄	파키스탄/NNP
총리	총리/NNG
암살,	암살/NNG+,/SP
수도	수도/NNG
이슬라마바드의	이슬라마바드/NNP+의/JKG
메리어트	메리어트/NNP
호텔	호텔/NNG
폭탄	폭탄/NNG
테러	테러/NNG
등을	등/NNB+을/JKO
저질렀다.	저지르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.44.7.3
특히 파키스탄 전역에서 여학교 건물과 통학 버스를 겨냥한 폭탄 테러를 연쇄적으로 일으킨 것으로 악명이 높다.

특히	특히/MAG
파키스탄	파키스탄/NNP
전역에서	전역/NNG+에서/JKB
여학교	여학교/NNG
건물과	건물/NNG+과/JC
통학	통학/NNG
버스를	버스/NNG+를/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
폭탄	폭탄/NNG
테러를	테러/NNG+를/JKO
연쇄적으로	연쇄/NNG+적/XSN+으로/JKB
일으킨	일으키/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
악명이	악명/NNG+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000038.44.7.4
올 상반기에만 학생과 교사 등 최소 21명을 살해했다.

올	올/NNG
상반기에만	상반기/NNG+에/JKB+만/JX
학생과	학생/NNG+과/JC
교사	교사/NNG
등	등/NNB
최소	최소/NNG
21명을	21/SN+명/NNB+을/JKO
살해했다.	살해/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.44.8.1
유엔 연설을 마친 유사프자이는 그동안 치료를 받아온 영국으로 돌아간 것으로 알려졌다.

유엔	유엔/NNP
연설을	연설/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
유사프자이는	유사프자이/NNP+는/JX
그동안	그동안/NNG
치료를	치료/NNG+를/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
영국으로	영국/NNP+으로/JKB
돌아간	돌아가/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.44.8.2
고든 브라운 전 영국 총리는 성명을 내고 "학교를 불태우고 학생들을 학살하는 짓을 당장 멈추지 않는 한 그 누구도 탈레반의 말을 믿지 않을 것"이라고 비판했다.

고든	고든/NNP
브라운	브라운/NNP
전	전/MMD
영국	영국/NNP
총리는	총리/NNG+는/JX
성명을	성명/NNG+을/JKO
내고	내/VV+고/EC
"학교를	"/SS+학교/NNG+를/JKO
불태우고	불태우/VV+고/EC
학생들을	학생/NNG+들/XSN+을/JKO
학살하는	학살/NNG+하/XSV+는/ETM
짓을	짓/NNG+을/JKO
당장	당장/NNG
멈추지	멈추/VV+지/EC
않는	않/VX+는/ETM
한	한/NNG
그	그/MMD
누구도	누구/NP+도/JX
탈레반의	탈레반/NNP+의/JKG
말을	말/NNG+을/JKO
믿지	믿/VV+지/EC
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


