# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.421
metadata : {}


# id : NWRW1800000026.421.1.1
억대연봉 20만명;지난해 1000명 중 14명꼴

억대연봉	억/NR+대/XSN+연봉/NNG
연봉(총급여	연봉/NNG+(/SS+총/MMA+급여/NNG
기준	기준/NNG
1억원	1/SN+억/NR+원/NNB
초과)을	초과/NNG+)/SS+을/JKO
받는	받/VV+는/ETM
직장인이	직장인/NNG+이/JKS
지난해	지난해/NNG
19만6539명으로	19/SN+만/NR+6539/SN+명/NNB+으로/JKB
20만명에	20/SN+만/NR+명/NNB+에/JKB
육박하는	육박/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.421.3.2
지난해 근로소득 연말정산을 한 전체 근로소득자가 1429만4993명이라 억대 연봉 근로자는 1000명 가운데 14명꼴이다.

지난해	지난해/NNG
근로소득	근로/NNG+소득/NNG
연말정산을	연말/NNG+정산/NNG+을/JKO
한	하/VV+ㄴ/ETM
전체	전체/NNG
근로소득자가	근로/NNG+소득자/NNG+가/JKS
1429만4993명이라	1429/SN+만/NR+4993/SN+명/NNB+이/VCP+라/EC
억대	억/NR+대/XSN
연봉	연봉/NNG
근로자는	근로자/NNG+는/JX
1000명	1000/SN+명/NNB
가운데	가운데/NNG
14명꼴이다.	14/SN+명/NNB+꼴/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.421.3.3
총급여는 월급과 상여금 등 회사에서 받는 모든 급여 가운데 비과세소득(자가운전보조비 등)을 제외한 것이다.

총급여는	총/MMA+급여/NNG+는/JX
월급과	월급/NNG+과/JC
상여금	상여금/NNG
등	등/NNB
회사에서	회사/NNG+에서/JKB
받는	받/VV+는/ETM
모든	모든/MMN
급여	급여/NNG
가운데	가운데/NNG
비과세소득(자가운전보조비	비/XPN+과세/NNG+소득/NNG+(/SS+자가운전/NNG+보조비/NNG
등)을	등/NNB+)/SS+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.421.3.4
지난해 근로소득 연말정산을 한 근로소득자의 평균 연봉이 2585만원이었다.

지난해	지난해/NNG
근로소득	근로/NNG+소득/NNG
연말정산을	연말/NNG+정산/NNG+을/JKO
한	하/VV+ㄴ/ETM
근로소득자의	근로/NNG+소득자/NNG+의/JKG
평균	평균/NNG
연봉이	연봉/NNG+이/JKS
2585만원이었다.	2585/SN+만/NR+원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.421.3.5
억대 연봉자 가운데 1038명은 10억원이 넘는 초고액 연봉자였다.

억대	억/NR+대/XSN
연봉자	연봉자/NNG
가운데	가운데/NNG
1038명은	1038/SN+명/NNB+은/JX
10억원이	10/SN+억/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
초고액	초/XPN+고액/NNG
연봉자였다.	연봉자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.421.3.6
자영업의 경우는 지난해 여성들의 창업이 크게 늘어난 것이 특징이다.

자영업의	자영업/NNG+의/JKG
경우는	경우/NNG+는/JX
지난해	지난해/NNG
여성들의	여성/NNG+들/XSN+의/JKG
창업이	창업/NNG+이/JKS
크게	크/VA+게/EC
늘어난	늘어나/VV+ㄴ/ETM
것이	것/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.421.3.7
지난해 개인 창업자 96만3245명 가운데 여성이 45만3797명으로 47.2%에 달했다.

지난해	지난해/NNG
개인	개인/NNG
창업자	창업자/NNG
96만3245명	96/SN+만/NR+3245/SN+명/NNB
가운데	가운데/NNG
여성이	여성/NNG+이/JKS
45만3797명으로	45/SN+만/NR+3797/SN+명/NNB+으로/JKB
47.2%에	47/SN+./SP+2/SN+%/SW+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.421.3.8
2008년 45.7%에 비해 상당히 늘어난 것이다.

2008년	2008/SN+년/NNB
45.7%에	45/SN+./SP+7/SN+%/SW+에/JKB
비해	비/NNG+하/XSV+아/EC
상당히	상당히/MAG
늘어난	늘어나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.421.3.9
업종별로 창업자 가운데 여성의 비율은 중개업이 66.2%로 가장 높고, 음식업(62.5%), 소매업(61.1%), 숙박업(55.1%) 등의 순으로 집계됐다.

업종별로	업종/NNG+별/XSN+로/JKB
창업자	창업자/NNG
가운데	가운데/NNG
여성의	여성/NNG+의/JKG
비율은	비율/NNG+은/JX
중개업이	중개업/NNG+이/JKS
66.2%로	66/SN+./SP+2/SN+%/SW+로/JKB
가장	가장/MAG
높고,	높/VA+고/EC+,/SP
음식업(62.5%),	음식업/NNG+(/SS+62/SN+./SP+5/SN+%/SW+)/SS+,/SP
소매업(61.1%),	소매업/NNG+(/SS+61/SN+./SP+1/SN+%/SW+)/SS+,/SP
숙박업(55.1%)	숙박업/NNG+(/SS+55/SN+./SP+1/SN+%/SW+)/SS
등의	등/NNB+의/JKG
순으로	순/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.421.4.1
국세청 관계자는 "여성의 진출이 변호사, 의사 등 고소득 전문직뿐만 아니라 개인 사업 분야에서도 크게 늘어나고 있는 것으로 보인다"고 말했다.

국세청	국세청/NNG
관계자는	관계자/NNG+는/JX
"여성의	"/SS+여성/NNG+의/JKG
진출이	진출/NNG+이/JKS
변호사,	변호사/NNG+,/SP
의사	의사/NNG
등	등/NNB
고소득	고/XPN+소득/NNG
전문직뿐만	전문직/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
개인	개인/NNG
사업	사업/NNG
분야에서도	분야/NNG+에서/JKB+도/JX
크게	크/VA+게/EC
늘어나고	늘어나/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


