# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.290
metadata : {}


# id : NWRW1800000056.290.1.1
축구협회 국가대표감독선임위원장에 김판곤

축구협회	축구협회/NNP
축구협회는 김판곤 위원장 선임에 대해 “화려한 선수 시절을 보내지는 않았지만, 지도자로서의 역량과 행정 업무에 필요한 자질은 충분히 검증된 분이라고 생각한다. 국가대표 선수를 경험하지 않은 축구인들도 능력만 있다면 얼마든지 중요한 직책을 맡을 수 있는 사례를 만들었다는 점에서 의미가 크다”고 말했다.

축구협회는	축구협회/NNP+는/JX
김판곤	김판곤/NNP
위원장	위원장/NNG
선임에	선임/NNG+에/JKB
대해	대하/VV+아/EC
“화려한	“/SS+화려하/VA+ㄴ/ETM
선수	선수/NNG
시절을	시절/NNG+을/JKO
보내지는	보내/VV+지/EC+는/JX
않았지만,	않/VX+았/EP+지만/EC+,/SP
지도자로서의	지도자/NNG+로서/JKB+의/JKG
역량과	역량/NNG+과/JC
행정	행정/NNG
업무에	업무/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
자질은	자질/NNG+은/JX
충분히	충분히/MAG
검증된	검증/NNG+되/XSV+ㄴ/ETM
분이라고	분/NNB+이/VCP+라고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF
국가대표	국가/NNG+대표/NNG
선수를	선수/NNG+를/JKO
경험하지	경험/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
축구인들도	축구인/NNG+들/XSN+도/JX
능력만	능력/NNG+만/JX
있다면	있/VA+다면/EC
얼마든지	얼마/NNG+든지/JX
중요한	중요/NNG+하/XSA+ㄴ/ETM
직책을	직책/NNG+을/JKO
맡을	맡/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
사례를	사례/NNG+를/JKO
만들었다는	만들/VV+었/EP+다는/ETM
점에서	점/NNG+에서/JKB
의미가	의미/NNG+가/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.290.5.2
축구협회는 공석이었던 미래전략기획단장에 유대우 이사를, 소통실장에는 김성남 화성FC 감독을 선임했다.

축구협회는	축구협회/NNP+는/JX
공석이었던	공석/NNG+이/VCP+었/EP+던/ETM
미래전략기획단장에	미래/NNG+전략/NNG+기획단장/NNG+에/JKB
유대우	유대우/NNP
이사를,	이사/NNG+를/JKO+,/SP
소통실장에는	소통실장/NNG+에/JKB+는/JX
김성남	김성남/NNP
화성FC	화성FC/NNP
감독을	감독/NNG+을/JKO
선임했다.	선임/NNG+하/XSV+았/EP+다/EF+./SF


