# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.147
metadata : {}


# id : NWRW1800000024.147.1.1
독성 약하다지만…전염력 강해 ‘2차 감염’ 번지나

독성	독성/NNG
‘긴밀한	‘/SS+긴밀하/VA+ㄴ/ETM
접촉자’가	접촉자/NNG+’/SS+가/JKC
아닌데도	아니/VCN+ㄴ데/EC+도/JX
추정환자	추정/NNG+환자/NNG
진단을	진단/NNG+을/JKO
받은	받/VV+은/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.147.2.6
이종구 질병관리본부장은 “여객기 안에서 감염됐다면 화장실 등에서 인플루엔자가 손에 묻어 감염됐을 가능성이 있다”고 말했다.

이종구	이종구/NNP
질병관리본부장은	질병/NNG+관리/NNG+본부장/NNG+은/JX
“여객기	“/SS+여객기/NNG
안에서	안/NNG+에서/JKB
감염됐다면	감염/NNG+되/XSV+었/EP+다면/EC
화장실	화장실/NNG
등에서	등/NNB+에서/JKB
인플루엔자가	인플루엔자/NNG+가/JKS
손에	손/NNG+에/JKB
묻어	묻/VV+어/EC
감염됐을	감염/NNG+되/XSV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.147.3.1
신종 플루는 무엇보다 전염력이 높아, 2차 감염에 대한 우려가 크다.

신종	신종/NNG
플루는	플루/NNG+는/JX
무엇보다	무엇/NP+보다/JKB
전염력이	전염력/NNG+이/JKS
높아,	높/VA+아/EC+,/SP
2차	2/SN+차/NNB
감염에	감염/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려가	우려/NNG+가/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000024.147.3.2
국내 두 번째 추정환자의 경우, 첫 감염 확진환자와 차 안에서 1시간가량 같이 있었는데 감염이 됐다.

국내	국내/NNG
두	두/MMN
번째	번/NNB+째/XSN
추정환자의	추정/NNG+환자/NNG+의/JKG
경우,	경우/NNG+,/SP
첫	첫/MMN
감염	감염/NNG
확진환자와	확진/NNG+환자/NNG+와/JKB
차	차/NNG
안에서	안/NNG+에서/JKB
1시간가량	1/SN+시간/NNB+가량/XSN
같이	같이/MAG
있었는데	있/VV+었/EP+는데/EC
감염이	감염/NNG+이/JKS
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.147.3.3
여객기 또한 밀폐된 공간이고, 10시간 이상 확진환자와 승객들이 함께 있었기에 2차 감염이 이뤄졌을 가능성이 있다.

여객기	여객기/NNG
또한	또한/MAG
밀폐된	밀폐/NNG+되/XSV+ㄴ/ETM
공간이고,	공간/NNG+이/VCP+고/EC+,/SP
10시간	10/SN+시간/NNB
이상	이상/NNG
확진환자와	확진/NNG+환자/NNG+와/JKB
승객들이	승객/NNG+들/XSN+이/JKS
함께	함께/MAG
있었기에	있/VV+었/EP+기에/EC
2차	2/SN+차/NNB
감염이	감염/NNG+이/JKS
이뤄졌을	이뤄지/VV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.147.4.1
지난달 26일 확진환자가 탄 여객기에는 모두 338명이 탑승했고, 이 가운데 141명은 외국인이나 환승객으로 거주지 조사가 힘들다.

지난달	지난달/NNG
26일	26/SN+일/NNB
확진환자가	확진/NNG+환자/NNG+가/JKS
탄	타/VV+ㄴ/ETM
여객기에는	여객기/NNG+에/JKB+는/JX
모두	모두/MAG
338명이	338/SN+명/NNB+이/JKS
탑승했고,	탑승/NNG+하/XSV+았/EP+고/EC+,/SP
이	이/NP
가운데	가운데/NNG
141명은	141/SN+명/NNB+은/JX
외국인이나	외국인/NNG+이나/JC
환승객으로	환승객/NNG+으로/JKB
거주지	거주지/NNG
조사가	조사/NNG+가/JKS
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000024.147.4.2
특히 첫 확진환자 좌석에서 반경 2m 이내에 있는 27명 중 10명은 외국인으로 신종 플루 감염 조사가 아예 진행되지 못했다.

특히	특히/MAG
첫	첫/MMN
확진환자	확진/NNG+환자/NNG
좌석에서	좌석/NNG+에서/JKB
반경	반경/NNG
2m	2/SN+m/SW
이내에	이내/NNG+에/JKB
있는	있/VA+는/ETM
27명	27/SN+명/NNB
중	중/NNB
10명은	10/SN+명/NNB+은/JX
외국인으로	외국인/NNG+으로/JKB
신종	신종/NNG
플루	플루/NNG
감염	감염/NNG
조사가	조사/NNG+가/JKS
아예	아예/MAG
진행되지	진행/NNG+되/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.147.4.3
질병본부는 “외국인 10명은 환승했는지 국내에 들어왔는지 아직 확인이 안 된다”고 밝혔다.

질병본부는	질병/NNG+본부/NNG+는/JX
“외국인	“/SS+외국인/NNG
10명은	10/SN+명/NNB+은/JX
환승했는지	환승/NNG+하/XSV+았/EP+는지/EF
국내에	국내/NNG+에/JKB
들어왔는지	들어오/VV+았/EP+는지/EF
아직	아직/MAG
확인이	확인/NNG+이/JKS
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.147.4.4
보건당국은 행방이 파악된 182명을 상대로 신종 플루 2차 조사를 시작했고, 거주지가 파악되지 않은 내국인 14명에 대해선 보건소에 즉시 자진 신고해 줄 것을 당부했다.

보건당국은	보건/NNG+당국/NNG+은/JX
행방이	행방/NNG+이/JKS
파악된	파악/NNG+되/XSV+ㄴ/ETM
182명을	182/SN+명/NNB+을/JKO
상대로	상대/NNG+로/JKB
신종	신종/NNG
플루	플루/NNG
2차	2/SN+차/NNB
조사를	조사/NNG+를/JKO
시작했고,	시작/NNG+하/XSV+았/EP+고/EC+,/SP
거주지가	거주지/NNG+가/JKS
파악되지	파악/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
내국인	내국인/NNG
14명에	14/SN+명/NNB+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
보건소에	보건소/NNG+에/JKB
즉시	즉시/NNG
자진	자진/NNG
신고해	신고/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.147.4.5
■ 신종 플루, 독성은 약한 것으로=국내에서 신종 인플루엔자에 감염된 것으로 확인된 환자 1명과 추정환자 2명은 현재 모두 기침 등 가벼운 감기 증상만 있을 뿐 건강 상태는 양호하다.

■	■/SW
신종	신종/NNG
플루,	플루/NNG+,/SP
독성은	독성/NNG+은/JX
약한	약하/VA+ㄴ/ETM
것으로=국내에서	것/NNB+으로/JKB+=/SW+국내/NNG+에서/JKB
인플루엔자에	인플루엔자/NNG+에/JKB
감염된	감염/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인된	확인/NNG+되/XSV+ㄴ/ETM
환자	환자/NNG
1명과	1/SN+명/NNB+과/JC
추정환자	추정/NNG+환자/NNG
2명은	2/SN+명/NNB+은/JX
현재	현재/MAG
모두	모두/MAG
기침	기침/NNG
등	등/NNB
가벼운	가볍/VA+ㄴ/ETM
감기	감기/NNG
증상만	증상/NNG+만/JX
있을	있/VA+을/ETM
뿐	뿐/NNB
건강	건강/NNG
상태는	상태/NNG+는/JX
양호하다.	양호/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000024.147.4.6
확진환자를 진료한 최강원 국군수도병원 감염내과 과장(전 서울대 의대 교수)은 “첫 확진환자는 현재 가벼운 기침만 있을 뿐 사실상 완치 상태”라고 말했다.

확진환자를	확진/NNG+환자/NNG+를/JKO
진료한	진료/NNG+하/XSV+ㄴ/ETM
최강원	최강원/NNP
국군수도병원	국군수도병원/NNP
감염내과	감염내과/NNG
과장(전	과장/NNG+(/SS+전/MMD
서울대	서울대/NNP
의대	의대/NNG
교수)은	교수/NNG+)/SS+은/JX
“첫	“/SS+첫/MMN
확진환자는	확진/NNG+환자/NNG+는/JX
현재	현재/MAG
가벼운	가볍/VA+ㄴ/ETM
기침만	기침/NNG+만/JX
있을	있/VA+을/ETM
뿐	뿐/NNB
사실상	사실/NNG+상/XSN
완치	완치/NNG
상태”라고	상태/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.147.4.7
이종구 본부장은 “미국 보건당국도 이번 신종 플루가 평소 유행하는 계절성 인플루엔자보다 독성이 더 약하다고 발표했다”며 “확진환자의 상태나 추정환자들의 증상으로 볼 때 우리나라도 미국과 마찬가지로 판단하고 있다”고 말했다.

이종구	이종구/NNP
본부장은	본부장/NNG+은/JX
“미국	“/SS+미국/NNP
보건당국도	보건/NNG+당국/NNG+도/JX
이번	이번/NNG
신종	신종/NNG
플루가	플루/NNG+가/JKS
평소	평소/NNG
유행하는	유행/NNG+하/XSV+는/ETM
계절성	계절/NNG+성/XSN
인플루엔자보다	인플루엔자/NNG+보다/JKB
독성이	독성/NNG+이/JKS
더	더/MAG
약하다고	약하/VA+다고/EC
발표했다”며	발표/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“확진환자의	“/SS+확진/NNG+환자/NNG+의/JKG
상태나	상태/NNG+나/JC
추정환자들의	추정/NNG+환자/NNG+들/XSN+의/JKG
증상으로	증상/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
우리나라도	우리나라/NNG+도/JX
미국과	미국/NNP+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
판단하고	판단/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.147.5.1
미국의 경우 계절성 인플루엔자 유행으로 해마다 최대 3만6천명 정도가 죽는 것으로 알려져 있으나, 이번 신종 플루로는 지난 2일 현재 160명이 감염되고 1명이 숨졌다.

미국의	미국/NNP+의/JKG
경우	경우/NNG
계절성	계절/NNG+성/XSN
인플루엔자	인플루엔자/NNG
유행으로	유행/NNG+으로/JKB
해마다	해마다/MAG
최대	최대/NNG
3만6천명	3/SN+만/NR+6/SN+천/NR+명/NNB
정도가	정도/NNG+가/JKS
죽는	죽/VV+는/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있으나,	있/VX+으나/EC+,/SP
이번	이번/NNG
신종	신종/NNG
플루로는	플루/NNG+로/JKB+는/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
현재	현재/MAG
160명이	160/SN+명/NNB+이/JKS
감염되고	감염/NNG+되/XSV+고/EC
1명이	1/SN+명/NNB+이/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.147.5.2
이 사망자도 멕시코에서 감염된 것으로 알려진 23개월짜리 아이다.

이	이/MMD
사망자도	사망자/NNG+도/JX
멕시코에서	멕시코/NNP+에서/JKB
감염된	감염/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
23개월짜리	23/SN+개월/NNB+짜리/XSN
아이다.	아이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.147.5.3
멕시코의 경우 신종 플루로 죽었을 것으로 보이는 150여명에 대해 재조사를 한 결과, 신종 플루에 감염돼 죽은 사람은 16명으로 나타났다.

멕시코의	멕시코/NNP+의/JKG
경우	경우/NNG
신종	신종/NNG
플루로	플루/NNG+로/JKB
죽었을	죽/VV+었/EP+을/ETM
것으로	것/NNB+으로/JKB
보이는	보이/VV+는/ETM
150여명에	150/SN+여/XSN+명/NNB+에/JKB
대해	대하/VV+아/EC
재조사를	재/XPN+조사/NNG+를/JKO
한	하/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
플루에	플루/NNG+에/JKB
감염돼	감염/NNG+되/XSV+어/EC
죽은	죽/VV+은/ETM
사람은	사람/NNG+은/JX
16명으로	16/SN+명/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.147.5.4
또 캐나다, 스페인, 영국, 뉴질랜드, 네덜란드, 홍콩 등 세계 곳곳에서 환자들이 줄을 잇고 있지만 아직까지는 단 한 명의 사망 사례도 없다.

또	또/MAG
캐나다,	캐나다/NNP+,/SP
스페인,	스페인/NNP+,/SP
영국,	영국/NNP+,/SP
뉴질랜드,	뉴질랜드/NNP+,/SP
네덜란드,	네덜란드/NNP+,/SP
홍콩	홍콩/NNP
등	등/NNB
세계	세계/NNG
곳곳에서	곳곳/NNG+에서/JKB
환자들이	환자/NNG+들/XSN+이/JKS
줄을	줄/NNG+을/JKO
잇고	잇/VV+고/EC
있지만	있/VX+지만/EC
아직까지는	아직/MAG+까지/JX+는/JX
단	단/MMA
한	한/MMN
명의	명/NNB+의/JKG
사망	사망/NNG
사례도	사례/NNG+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.147.6.1
이 때문에 평소의 인플루엔자보다 전파 속도는 빠르나 독성은 훨씬 약하다는 분석에 힘이 실리고 있다.

이	이/NP
때문에	때문/NNB+에/JKB
평소의	평소/NNG+의/JKG
인플루엔자보다	인플루엔자/NNG+보다/JKB
전파	전파/NNG
속도는	속도/NNG+는/JX
빠르나	빠르/VA+나/EC
독성은	독성/NNG+은/JX
훨씬	훨씬/MAG
약하다는	약하/VA+다는/ETM
분석에	분석/NNG+에/JKB
힘이	힘/NNG+이/JKS
실리고	실리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.147.6.2
보건당국은 “비록 독성이 약하다고는 하지만 국내에서 이번 신종 플루에 감염된 환자가 더 나타날 수 있는 만큼 개인 위생 수칙을 제대로 지키고, 멕시코 등지를 여행한 사람 가운데 감기 증상이 있으면 즉시 신고해 달라”고 당부했다.

보건당국은	보건/NNG+당국/NNG+은/JX
“비록	“/SS+비록/MAG
독성이	독성/NNG+이/JKS
약하다고는	약하/VA+다고/EC+는/JX
하지만	하/VV+지만/EC
국내에서	국내/NNG+에서/JKB
이번	이번/NNG
신종	신종/NNG
플루에	플루/NNG+에/JKB
감염된	감염/NNG+되/XSV+ㄴ/ETM
환자가	환자/NNG+가/JKS
더	더/MAG
나타날	나타나/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
만큼	만큼/NNB
개인	개인/NNG
위생	위생/NNG
수칙을	수칙/NNG+을/JKO
제대로	제대로/MAG
지키고,	지키/VV+고/EC+,/SP
멕시코	멕시코/NNP
등지를	등지/NNB+를/JKO
여행한	여행/NNG+하/XSV+ㄴ/ETM
사람	사람/NNG
가운데	가운데/NNG
감기	감기/NNG
증상이	증상/NNG+이/JKS
있으면	있/VA+으면/EC
즉시	즉시/NNG
신고해	신고/NNG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


