# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.289
metadata : {}


# id : NWRW1800000040.289.1.1
서효원, 실력도 ‘짱’…코리아오픈 우승

서효원,	서효원/NNP+,/SP
이시카와와의	이시카와/NNP+와/JKB+의/JKG
인연도	인연/NNG+도/JX
각별하다.	각별/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000040.289.7.2
서효원은 2011년 코리아오픈 32강전에서 당시 세계 8위 이시카와를 4-2로 꺾으며 스타덤에 올랐다.

서효원은	서효원/NNP+은/JX
2011년	2011/SN+년/NNB
코리아오픈	코리아/NNP+오픈/NNG
32강전에서	32/SN+강전/NNB+에서/JKB
당시	당시/NNG
세계	세계/NNG
8위	8/SN+위/NNB
이시카와를	이시카와/NNP+를/JKO
4-2로	4/SN+-/SO+2/SN+로/JKB
꺾으며	꺾/VV+으며/EC
스타덤에	스타덤/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.289.7.3
하지만 지난달 월드팀컵 클래식에서는 일본과의 8강전에서 이시카와에게 0-3으로 완패했다.

하지만	하지만/MAJ
지난달	지난달/NNG
월드팀컵	월드/NNG+팀/NNG+컵/NNG
클래식에서는	클래식/NNG+에서/JKB+는/JX
일본과의	일본/NNP+과/JKB+의/JKG
8강전에서	8/SN+강전/NNB+에서/JKB
이시카와에게	이시카와/NNP+에게/JKB
0-3으로	0/SN+-/SO+3/SN+으로/JKB
완패했다.	완패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.289.7.4
결국 한국은 일본에 2-3으로 패했다.

결국	결국/MAG
한국은	한국/NNP+은/JX
일본에	일본/NNP+에/JKB
2-3으로	2/SN+-/SO+3/SN+으로/JKB
패했다.	패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.289.7.5
서효원은 우승 후 “이시카와에게 패한 뒤 마음고생이 심했다”며 눈물을 보였다.

서효원은	서효원/NNP+은/JX
우승	우승/NNG
후	후/NNG
“이시카와에게	“/SS+이시카와/NNP+에게/JKB
패한	패/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
마음고생이	마음고생/NNG+이/JKS
심했다”며	심하/VA+았/EP+다/EF+”/SS+며/EC
눈물을	눈물/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.289.8.1
여자복식에서는 양하은-박영숙 짝이 전지희-이은희 짝을 상대로 ‘안방 대결’을 펼쳐 3-1(11-9 11-8 9-11 11-8)로 승리해 우승을 차지했다.

여자복식에서는	여자/NNG+복식/NNG+에서/JKB+는/JX
양하은-박영숙	양하은/NNP+-/SO+박영숙/NNP
짝이	짝/NNG+이/JKS
전지희-이은희	전지희/NNP+-/SO+이은희/NNP
짝을	짝/NNG+을/JKO
상대로	상대/NNG+로/JKB
‘안방	‘/SS+안방/NNG
대결’을	대결/NNG+’/SS+을/JKO
펼쳐	펼치/VV+어/EC
3-1(11-9	3/SN+-/SO+1/SN+(/SS+11/SN+-/SO+9/SN
11-8	11/SN+-/SO+8/SN
9-11	9/SN+-/SO+11/SN
11-8)로	11/SN+-/SO+8/SN+)/SS+로/JKB
승리해	승리/NNG+하/XSV+아/EC
우승을	우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.289.8.2
한-중 혼합 복식조의 대결로 치러진 남자복식 결승에서는 서현덕-장지커 짝이 이정우-마룽 짝을 3-2(11-8 7-11 11-8 7-11 11-8)로 꺾고 우승했다.

한-중	한-중/NNP
혼합	혼합/NNG
복식조의	복식조/NNG+의/JKG
대결로	대결/NNG+로/JKB
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
남자복식	남자/NNG+복식/NNG
결승에서는	결승/NNG+에서/JKB+는/JX
서현덕-장지커	서현덕/NNP+-/SO+장지커/NNP
짝이	짝/NNG+이/JKS
이정우-마룽	이정우/NNP+-/SO+마룽/NNP
짝을	짝/NNG+을/JKO
3-2(11-8	3/SN+-/SO+2/SN+(/SS+11/SN+-/SO+8/SN
7-11	7/SN+-/SO+11/SN
11-8	11/SN+-/SO+8/SN
11-8)로	11/SN+-/SO+8/SN+)/SS+로/JKB
꺾고	꺾/VV+고/EC
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


