# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.14
metadata : {}


# id : NWRW1800000025.14.1.1
[리뷰]‘바냐 아저씨’

[리뷰]‘바냐	[/SS+리뷰/NNG+]/SS+‘/SS+바냐/NNP
주인공 바냐(김명수)는 죽은 여동생의 남편인 세레브랴코프 교수(이종구)를 신처럼 떠받들며 살았다.

주인공	주인공/NNG
바냐(김명수)는	바냐/NNP+(/SS+김명수/NNP+)/SS+는/JX
죽은	죽/VV+은/ETM
여동생의	여동생/NNG+의/JKG
남편인	남편/NNG+이/VCP+ㄴ/ETM
세레브랴코프	세레브랴코프/NNP
교수(이종구)를	교수/NNG+(/SS+이종구/NNP+)/SS+를/JKO
신처럼	신/NNG+처럼/JKB
떠받들며	떠받들/VV+며/EC
살았다.	살/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.14.5.3
그러나 은퇴한 세레브랴코프가 재혼한 젊은 아내 옐레나(이지하)를 데리고 자신에게 운영을 위탁한 시골 영지로 내려오자 심한 환멸을 느낀다.

그러나	그러나/MAJ
은퇴한	은퇴/NNG+하/XSV+ㄴ/ETM
세레브랴코프가	세레브랴코프/NNP+가/JKS
재혼한	재혼/NNG+하/XSV+ㄴ/ETM
젊은	젊/VA+은/ETM
아내	아내/NNG
옐레나(이지하)를	옐레나/NNP+(/SS+이지하/NNP+)/SS+를/JKO
데리고	데리/VV+고/EC
자신에게	자신/NNG+에게/JKB
운영을	운영/NNG+을/JKO
위탁한	위탁/NNG+하/XSV+ㄴ/ETM
시골	시골/NNG
영지로	영지/NNG+로/JKB
내려오자	내려오/VV+자/EC
심한	심하/VA+ㄴ/ETM
환멸을	환멸/NNG+을/JKO
느낀다.	느끼/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.14.6.1
그것은 자신이 숭배하던 세레브랴코프가 이기적인 속물임을 뒤늦게 깨달은 점도 있지만 옐레나에 대한 연정이 촉발한 질투심 때문이기도 하다.

그것은	그것/NP+은/JX
자신이	자신/NNG+이/JKS
숭배하던	숭배/NNG+하/XSV+던/ETM
세레브랴코프가	세레브랴코프/NNP+가/JKS
이기적인	이기/NNG+적/XSN+이/VCP+ㄴ/ETM
속물임을	속물/NNG+이/VCP+ㅁ/ETN+을/JKO
뒤늦게	뒤늦/VA+게/EC
깨달은	깨닫/VV+은/ETM
점도	점/NNG+도/JX
있지만	있/VA+지만/EC
옐레나에	옐레나/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
연정이	연정/NNG+이/JKS
촉발한	촉발/NNG+하/XSV+ㄴ/ETM
질투심	질투심/NNG
때문이기도	때문/NNB+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000025.14.6.2
옐레나에 대한 욕망에 눈을 뜨게 되자 한때 자신의 영웅이었지만 지금은 늙고 추해진 세레브랴코프에 대한 열등감과 좌절감이 폭발하는 것이다.

옐레나에	옐레나/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
욕망에	욕망/NNG+에/JKB
눈을	눈/NNG+을/JKO
뜨게	뜨/VV+게/EC
되자	되/VV+자/EC
한때	한때/MAG
자신의	자신/NNG+의/JKG
영웅이었지만	영웅/NNG+이/VCP+었/EP+지만/EC
지금은	지금/NNG+은/JX
늙고	늙/VV+고/EC
추해진	추하/VA+아/EC+지/VX+ㄴ/ETM
세레브랴코프에	세레브랴코프/NNP+에/JKB
열등감과	열등감/NNG+과/JC
좌절감이	좌절감/NNG+이/JKS
폭발하는	폭발/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.14.7.1
옐레나는 3겹의 삼각관계의 축이다.

옐레나는	옐레나/NNP+는/JX
3겹의	3/SN+겹/NNG+의/JKG
삼각관계의	삼각관계/NNG+의/JKG
축이다.	축/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.14.7.2
바냐의 조카딸 소냐(김지성)가 짝사랑하는 시골의사 아스트로프(김수현) 역시 옐레나를 사랑한다.

바냐의	바냐/NNP+의/JKG
조카딸	조카딸/NNG
소냐(김지성)가	소냐/NNP+(/SS+김지성/NNP+)/SS+가/JKS
짝사랑하는	짝사랑/NNG+하/XSV+는/ETM
시골의사	시골/NNG+의사/NNG
아스트로프(김수현)	아스트로프/NNP+(/SS+김수현/NNP+)/SS
역시	역시/MAG
옐레나를	옐레나/NNP+를/JKO
사랑한다.	사랑/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.14.7.3
그로 인해 바냐와 그의 단짝인 아스트로프도 삼각관계에 놓인다.

그로	그/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
바냐와	바냐/NNP+와/JC
그의	그/NP+의/JKG
단짝인	단짝/NNG+이/VCP+ㄴ/ETM
아스트로프도	아스트로프/NNP+도/JX
삼각관계에	삼각관계/NNG+에/JKB
놓인다.	놓이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.14.8.1
체호프는 이런 심리적 역학관계를 감춰 놓았다가 서서히 드러낸다.

체호프는	체호프/NNP+는/JX
이런	이런/MMD
심리적	심리/NNG+적/XSN
역학관계를	역학/NNG+관계/NNG+를/JKO
감춰	감추/VV+어/EC
놓았다가	놓/VX+았/EP+다가/EC
서서히	서서히/MAG
드러낸다.	드러내/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.14.8.2
그럼으로써 사람의 말과 행동, 표면의 논리와 심층의 심리가 어떻게 이율배반적으로 길항하는지를 보여준다.

그럼으로써	그러/VV+ㅁ/ETN+으로써/JKB
사람의	사람/NNG+의/JKG
말과	말/NNG+과/JC
행동,	행동/NNG+,/SP
표면의	표면/NNG+의/JKG
논리와	논리/NNG+와/JC
심층의	심층/NNG+의/JKG
심리가	심리/NNG+가/JKS
어떻게	어떻/VA+게/EC
이율배반적으로	이율배반/NNG+적/XSN+으로/JKB
길항하는지를	길항/NNG+하/XSV+는지/EC+를/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.14.8.3
심재찬의 연극은 이를 심리적 기하학으로 풀어내려 했다.

심재찬의	심재찬/NNP+의/JKG
연극은	연극/NNG+은/JX
이를	이/NP+를/JKO
심리적	심리/NNG+적/XSN
기하학으로	기하학/NNG+으로/JKB
풀어내려	풀어내/VV+려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.14.8.4
그렇다면 8개 둥지의 바로 한가운데 위치해야 할 인물은 누구일까.

그렇다면	그렇/VA+다면/EC
8개	8/SN+개/NNB
둥지의	둥지/NNG+의/JKG
바로	바로/MAG
한가운데	한/XPN+가운데/NNG
위치해야	위치/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
인물은	인물/NNG+은/JX
누구일까.	누구/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000025.14.8.5
이번 연극이 놓친 포인트다.

이번	이번/NNG
연극이	연극/NNG+이/JKS
놓친	놓치/VV+ㄴ/ETM
포인트다.	포인트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.14.9.1
1만5000∼2만5000원.

1만5000∼2만5000원.	1/SN+만/NR+5000/SN+∼/SO+2/SN+만/NR+5000/SN+원/NNB+./SF


# id : NWRW1800000025.14.9.2
17일까지 서울 종로구 대학로 아르코예술극장.

17일까지	17/SN+일/NNB+까지/JX
서울	서울/NNP
종로구	종로구/NNP
대학로	대학로/NNP
아르코예술극장.	아르코예술극장/NNP+./SF


# id : NWRW1800000025.14.9.3
02-762-0010

02-762-0010	02/SN+-/SO+762/SN+-/SO+0010/SN


