# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.48
metadata : {}


# id : NWRW1800000044.48.1.1
‘액티브X’ 보안프로그램 설치의무 내년 사라져

‘액티브X’	‘/SS+액티브/NNG+X/SL+’/SS
코트’	코트/NNG+’/SS
논란이	논란/NNG+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000044.48.5.3
이에 인터넷 익스플로러 환경에서만 작동하는 액티브엑스 대신 특정 웹브라우저에 종속되지 않는 보안프로그램의 도입이 필요하다는 지적이 제기돼 왔다.

이에	이/NP+에/JKB
인터넷	인터넷/NNG
익스플로러	익스플로러/NNG
환경에서만	환경/NNG+에서/JKB+만/JX
작동하는	작동/NNG+하/XSV+는/ETM
액티브엑스	액티브엑스/NNG
대신	대신/NNG
특정	특정/NNG
웹브라우저에	웹/NNG+브라우저/NNG+에/JKB
종속되지	종속/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
보안프로그램의	보안/NNG+프로그램/NNG+의/JKG
도입이	도입/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
지적이	지적/NNG+이/JKS
제기돼	제기/NNG+되/XSV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.48.5.4
공인인증서의 경우, 온라인 쇼핑 때 사용 의무는 이미 지난 5월에 폐지된 바 있으며, 내년 9월30일 이후로는 온라인뱅킹을 이용할 때도 공인인증서 사용 의무가 없어진다.

공인인증서의	공인/NNG+인증서/NNG+의/JKG
경우,	경우/NNG+,/SP
온라인	온라인/NNG
쇼핑	쇼핑/NNG
때	때/NNG
사용	사용/NNG
의무는	의무/NNG+는/JX
이미	이미/MAG
지난	지나/VV+ㄴ/ETM
5월에	5/SN+월/NNB+에/JKB
폐지된	폐지/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있으며,	있/VA+으며/EC+,/SP
내년	내년/NNG
9월30일	9/SN+월/NNB+30/SN+일/NNB
이후로는	이후/NNG+로/JKB+는/JX
온라인뱅킹을	온라인/NNG+뱅킹/NNG+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
공인인증서	공인/NNG+인증서/NNG
의무가	의무/NNG+가/JKS
없어진다.	없어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.48.6.1
이번 개정안에는 금융회사가 일회용 비밀번호(OTP) 등 거래 인증수단으로 새로운 기술을 활용할 수 있도록 자율성을 부여하는 방안도 포함됐다.

이번	이번/NNG
개정안에는	개정안/NNG+에/JKB+는/JX
금융회사가	금융/NNG+회사/NNG+가/JKS
일회용	일회/NNG+용/XSN
비밀번호(OTP)	비밀번호/NNG+(/SS+OTP/SL+)/SS
등	등/NNB
거래	거래/NNG
인증수단으로	인증/NNG+수단/NNG+으로/JKB
새로운	새롭/VA+ㄴ/ETM
기술을	기술/NNG+을/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
자율성을	자율/NNG+성/XSN+을/JKO
부여하는	부여/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.48.6.2
기존 모바일 오티피는 금융거래매체와 보안매체는 분리돼야 한다는 원칙에 어긋나 스마트뱅킹 이용에 제한을 받아왔다.

기존	기존/NNG
모바일	모바일/NNG
오티피는	오티피/NNG+는/JX
금융거래매체와	금융/NNG+거래/NNG+매체/NNG+와/JC
보안매체는	보안/NNG+매체/NNG+는/JX
분리돼야	분리/NNG+되/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
원칙에	원칙/NNG+에/JKB
어긋나	어긋나/VV+아/EC
스마트뱅킹	스마트/NNG+뱅킹/NNG
이용에	이용/NNG+에/JKB
제한을	제한/NNG+을/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.48.6.3
또 공개용 웹서버 관리 때 공인인증서와 같은 특정 인증수단을 사용하도록 한 조문도 삭제하도록 했다고 금융위는 설명했다.

또	또/MAG
공개용	공개/NNG+용/XSN
웹서버	웹/NNG+서버/NNG
관리	관리/NNG
때	때/NNG
공인인증서와	공인/NNG+인증서/NNG+와/JKB
같은	같/VA+은/ETM
특정	특정/NNG
인증수단을	인증/NNG+수단/NNG+을/JKO
사용하도록	사용/NNG+하/XSV+도록/EC
한	하/VX+ㄴ/ETM
조문도	조문/NNG+도/JX
삭제하도록	삭제/NNG+하/XSV+도록/EC
했다고	하/VX+았/EP+다고/EC
금융위는	금융위/NNG+는/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


