# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.236
metadata : {}


# id : NWRW1800000030.236.1.1
[대한민국 제1호] 양말공장

[대한민국	[/SS+대한민국/NNP
수출할	수출/NNG+하/XSV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.236.6.1
서울의 중곡염직공소는 1909년 10월 황성신문에 ‘업무 대확장’이란 제목의 광고를 냈다.

서울의	서울/NNP+의/JKG
중곡염직공소는	중곡염직공소/NNP+는/JX
1909년	1909/SN+년/NNB
10월	10/SN+월/NNB
황성신문에	황성신문/NNP+에/JKB
‘업무	‘/SS+업무/NNG
대확장’이란	대/XPN+확장/NNG+’/SS+이/VCP+란/ETM
제목의	제목/NNG+의/JKG
광고를	광고/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.236.6.2
일본에서 4년간 염색을 배운 뒤 1902년에 중곡염직회사를 만든 김덕창이 낸 광고였다.

일본에서	일본/NNP+에서/JKB
4년간	4/SN+년/NNB+간/XSN
염색을	염색/NNG+을/JKO
배운	배우/VV+ㄴ/ETM
뒤	뒤/NNG
1902년에	1902/SN+년/NNB+에/JKB
중곡염직회사를	중곡염직회사/NNP+를/JKO
만든	만들/VV+ㄴ/ETM
김덕창이	김덕창/NNP+이/JKS
낸	내/VV+ㄴ/ETM
광고였다.	광고/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.236.6.3
삼합사(三合絲)양말을 10전, 모자를 45~50전에 판다며 다른 지역에서도 주문을 하면 소포로 부쳐준다고 소개했다.

삼합사(三合絲)양말을	삼합사/NNG+(/SS+三合絲/SH+)/SS+양말/NNG+을/JKO
10전,	10/SN+전/NNB+,/SP
모자를	모자/NNG+를/JKO
45~50전에	45/SN+~/SO+50/SN+전/NNB+에/JKB
판다며	팔/VV+ㄴ다며/EC
다른	다른/MMD
지역에서도	지역/NNG+에서/JKB+도/JX
주문을	주문/NNG+을/JKO
하면	하/VV+면/EC
소포로	소포/NNG+로/JKB
부쳐준다고	부치/VV+어/EC+주/VX+ㄴ다고/EC
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.236.7.1
서울 안현동의 양말제조판매소 주인 서상팔은 1909년 9월 황성신문에 ‘아(我)국에서 제조하는 양말’이란 제목의 광고를 냈다.

서울	서울/NNP
안현동의	안현동/NNP+의/JKG
양말제조판매소	양말제조판매소/NNP
주인	주인/NNG
서상팔은	서상팔/NNP+은/JX
1909년	1909/SN+년/NNB
9월	9/SN+월/NNB
황성신문에	황성신문/NNP+에/JKB
‘아(我)국에서	‘/SS+아/NA+(/SS+我/SH+)/SS+국/NA+에서/JKB
제조하는	제조/NNG+하/XSV+는/ETM
양말’이란	양말/NNG+’/SS+이/VCP+란/ETM
제목의	제목/NNG+의/JKG
광고를	광고/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.236.7.2
‘좋은 재료로 싼값에 파니 동포들은 속히 구매하라’는 내용이었다.

‘좋은	‘/SS+좋/VA+은/ETM
재료로	재료/NNG+로/JKB
싼값에	싼값/NNG+에/JKB
파니	팔/VV+니/EC
동포들은	동포/NNG+들/XSN+은/JX
속히	속히/MAG
구매하라’는	구매/NNG+하/XSV+라/EF+’/SS+는/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.236.8.1
일제 당시 양말공장들은 임금 하락에 항의하는 파업이 잦았다.

일제	일제/NNG
당시	당시/NNG
양말공장들은	양말/NNG+공장/NNG+들/XSN+은/JX
임금	임금/NNG
하락에	하락/NNG+에/JKB
항의하는	항의/NNG+하/XSV+는/ETM
파업이	파업/NNG+이/JKS
잦았다.	잦/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.236.8.2
부산에선 여공들이 퇴근 때 양말을 가져가는 것을 색출하기 위해 신체검사를 하자, 이에 항의하는 파업을 벌이기도 했다.

부산에선	부산/NNP+에서/JKB+ㄴ/JX
여공들이	여공/NNG+들/XSN+이/JKS
퇴근	퇴근/NNG
때	때/NNG
양말을	양말/NNG+을/JKO
가져가는	가져가/VV+는/ETM
것을	것/NNB+을/JKO
색출하기	색출/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
신체검사를	신체검사/NNG+를/JKO
하자,	하/VV+자/EC+,/SP
이에	이/NP+에/JKB
항의하는	항의/NNG+하/XSV+는/ETM
파업을	파업/NNG+을/JKO
벌이기도	벌이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.236.9.1
지금도 양말공장을 운영 중인 광주의 무등양말공장은 1935년 창립됐다.

지금도	지금/NNG+도/JX
양말공장을	양말/NNG+공장/NNG+을/JKO
운영	운영/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
광주의	광주/NNP+의/JKG
무등양말공장은	무등양말공장/NNP+은/JX
1935년	1935/SN+년/NNB
창립됐다.	창립/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.236.9.2
무등양말은 조상원씨가 사장으로, 주주는 광주지역 유지 12명이었다.

무등양말은	무등양말/NNP+은/JX
조상원씨가	조상원/NNP+씨/NNB+가/JKS
사장으로,	사장/NNG+으로/JKB+,/SP
주주는	주주/NNG+는/JX
광주지역	광주/NNP+지역/NNG
유지	유지/NNG
12명이었다.	12/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.236.9.3
이들의 목적은 독립운동 기금 마련이었다고 한다.

이들의	이/NP+들/XSN+의/JKG
목적은	목적/NNG+은/JX
독립운동	독립운동/NNG
기금	기금/NNG
마련이었다고	마련/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.236.9.4
1930년대 신문을 보면 ‘양말은 살에 붙는 것으로 얼른 해지기 쉽습니다.

1930년대	1930/SN+년대/NNB
신문을	신문/NNG+을/JKO
보면	보/VV+면/EC
‘양말은	‘/SS+양말/NNG+은/JX
살에	살/NNG+에/JKB
붙는	붙/VV+는/ETM
것으로	것/NNB+으로/JKB
얼른	얼른/MAG
해지기	해지/VV+기/ETN
쉽습니다.	쉽/VA+습니다/EF+./SF


# id : NWRW1800000030.236.9.5
조금 신고는 곧 빨아서 다시 신는 것이 오래 신는 법입니다’라며 양말을 자주 빨것을 권했다.

조금	조금/MAG
신고는	신/VV+고/EC+는/JX
곧	곧/MAG
빨아서	빨/VV+아서/EC
다시	다시/MAG
신는	신/VV+는/ETM
것이	것/NNB+이/JKS
오래	오래/MAG
법입니다’라며	법/NNB+이/VCP+ㅂ니다/EF+’/SS+이/VCP+라며/EC
양말을	양말/NNG+을/JKO
자주	자주/MAG
빨것을	빨/VV+ㄹ/ETM+것/NNB+을/JKO
권했다.	권/NNG+하/XSV+았/EP+다/EF+./SF


