# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.1
metadata : {}


# id : NWRW1800000045.1.1.1
현대-기아차, 전세계 누적 판매량 9000만대

현대-기아차,	현대/NNP+-/SO+기아차/NNP+,/SP
1분기(1∼3월)에	1/SN+분기/NNG+(/SS+1/SN+∼/SO+3/SN+월/NNB+)/SS+에/JKB
누적	누적/NNG
판매량	판매량/NNG
1억	1/SN+억/NR
대를	대/NNB+를/JKO
돌파할	돌파/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.1.6.2
연간 글로벌 판매량이 글로벌 완성차 업체 중 다섯 번째로 800만 대를 넘어섰기 때문이다.

연간	연간/NNG
글로벌	글로벌/NNG
판매량이	판매량/NNG+이/JKS
완성차	완성차/NNG
업체	업체/NNG
중	중/NNB
다섯	다섯/NR
번째로	번/NNB+째/XSN+로/JKB
800만	800/SN+만/NR
대를	대/NNB+를/JKO
넘어섰기	넘어서/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.1.6.3
현대·기아차의 누적 판매량은 점점 속도가 붙고 있다.

현대·기아차의	현대/NNP+·/SP+기아차/NNP+의/JKG
누적	누적/NNG
판매량은	판매량/NNG+은/JX
점점	점점/MAG
속도가	속도/NNG+가/JKS
붙고	붙/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.1.6.4
1993년 누적 판매 1000만 대를 돌파하기까지 30여 년이 걸렸지만 2000만 대 기록은 6년 만(1999년)에 이뤘다.

1993년	1993/SN+년/NNB
누적	누적/NNG
판매	판매/NNG
1000만	1000/SN+만/NR
대를	대/NNB+를/JKO
돌파하기까지	돌파/NNG+하/XSV+기/ETN+까지/JX
30여	30/SN+여/XSN
년이	년/NNB+이/JKS
걸렸지만	걸리/VV+었/EP+지만/EC
2000만	2000/SN+만/NR
대	대/NNB
기록은	기록/NNG+은/JX
6년	6/SN+년/NNB
만(1999년)에	만/NNB+(/SS+1999/SN+년/NNB+)/SS+에/JKB
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.1.6.5
2003년 3000만 대를 넘어섰고 2006년 4000만 대를 돌파했다.

2003년	2003/SN+년/NNB
3000만	3000/SN+만/NR
대를	대/NNB+를/JKO
넘어섰고	넘어서/VV+었/EP+고/EC
2006년	2006/SN+년/NNB
4000만	4000/SN+만/NR
돌파했다.	돌파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.1.6.6
이후 2008년 5000만 대, 2010년 6000만 대, 2012년 7000만 대를 각각 달성했다.

이후	이후/NNG
2008년	2008/SN+년/NNB
5000만	5000/SN+만/NR
대,	대/NNB+,/SP
2010년	2010/SN+년/NNB
6000만	6000/SN+만/NR
2012년	2012/SN+년/NNB
7000만	7000/SN+만/NR
대를	대/NNB+를/JKO
각각	각각/MAG
달성했다.	달성/NNG+하/XSV+았/EP+다/EF+./SF


