# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.254
metadata : {}


# id : NWRW1800000037.254.1.1
호랑이들이 주름잡네, KLPGA 정글

호랑이들이	호랑이/NNG+들/XSN+이/JKS
롯데마트오픈	롯데마트/NNP+오픈/NNG
우승에	우승/NNG+에/JKB
이어	잇/VV+어/EC
9월	9/SN+월/NNB
들어	들/VV+어/EC
2주	2/SN+주/NNB
연속	연속/NNG
한화금융클래식과	한화금융/NNP+클래식/NNG+과/JC
KLPGA	KLPGA/SL
챔피언십을	챔피언십/NNG+을/JKO
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.254.5.2
3승을 모두 극적인 역전 우승으로 장식한 김세영은 다승과 상금 선두(6억2800만 원)를 질주하고 있다.

3승을	3/SN+승/NNB+을/JKO
모두	모두/MAG
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
역전	역전/NNG
우승으로	우승/NNG+으로/JKB
장식한	장식/NNG+하/XSV+ㄴ/ETM
김세영은	김세영/NNP+은/JX
다승과	다승/NNG+과/JC
상금	상금/NNG
선두(6억2800만	선두/NNG+(/SS+6/SN+억/NR+2800/SN+만/NR
원)를	원/NNB+)/SS+를/JKO
질주하고	질주/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.254.5.3
함평골프고 졸업 후 올해 대학에 입학한 전인지는 한국여자오픈 타이틀을 안으며 신인왕 경쟁에 뛰어들었다.

함평골프고	함평골프고/NNP
졸업	졸업/NNG
후	후/NNG
올해	올해/NNG
대학에	대학/NNG+에/JKB
입학한	입학/NNG+하/XSV+ㄴ/ETM
전인지는	전인지/NNP+는/JX
한국여자오픈	한국/NNP+여자/NNG+오픈/NNG
타이틀을	타이틀/NNG+을/JKO
안으며	안/VV+으며/EC
신인왕	신인왕/NNG
경쟁에	경쟁/NNG+에/JKB
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.254.6.1
대회마다 김세영, 전인지와 뜨거운 우승 경쟁을 펼치고 있는 슈퍼 루키 김효주(18)는 최근 고려대 수시 모집에 입학 원서를 제출했다.

대회마다	대회/NNG+마다/JX
김세영,	김세영/NNP+,/SP
전인지와	전인지/NNP+와/JKB
뜨거운	뜨겁/VA+ㄴ/ETM
우승	우승/NNG
경쟁을	경쟁/NNG+을/JKO
펼치고	펼치/VV+고/EC
있는	있/VX+는/ETM
슈퍼	슈퍼/NNG
루키	루키/NNG
김효주(18)는	김효주/NNP+(/SS+18/SN+)/SS+는/JX
최근	최근/MAG
고려대	고려대/NNP
수시	수시/NNG
모집에	모집/NNG+에/JKB
입학	입학/NNG
원서를	원서/NNG+를/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.254.6.2
다음 달 체육 특기자 면접을 거쳐 내년부터 모자에 ‘고려대’ 로고를 달 것으로 보인다.

다음	다음/NNG
달	달/VV+ㄹ/ETM
체육	체육/NNG
특기자	특기자/NNG
면접을	면접/NNG+을/JKO
거쳐	거치/VV+어/EC
내년부터	내년/NNG+부터/JX
모자에	모자/NNG+에/JKB
‘고려대’	‘/SS+고려대/NNP+’/SS
로고를	로고/NNG+를/JKO
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.254.6.3
김효주는 올 시즌 대상 포인트 1위, 신인왕 포인트 1위, 평균 타수 1위, 상금 2위 등 주요 부문에서 상위에 이름을 올렸다.

김효주는	김효주/NNP+는/JX
올	올/NNG
시즌	시즌/NNG
대상	대상/NNG
포인트	포인트/NNG
1위,	1/SN+위/NNB+,/SP
신인왕	신인왕/NNG
평균	평균/NNG
타수	타수/NNG
상금	상금/NNG
2위	2/SN+위/NNB
등	등/NNB
주요	주요/NNG
부문에서	부문/NNG+에서/JKB
상위에	상위/NNG+에/JKB
이름을	이름/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.254.6.4
신인왕 포인트 2위는 전인지.

신인왕	신인왕/NNG
포인트	포인트/NNG
2위는	2/SN+위/NNB+는/JX
전인지.	전인지/NNP+./SF


# id : NWRW1800000037.254.6.5
지난해 2승을 거둔 양제윤과 1승을 올린 이정민도 고려대에 다니고 있다.

지난해	지난해/NNG
2승을	2/SN+승/NNB+을/JKO
거둔	거두/VV+ㄴ/ETM
양제윤과	양제윤/NNP+과/JC
1승을	1/SN+승/NNB+을/JKO
올린	올리/VV+ㄴ/ETM
이정민도	이정민/NNP+도/JX
고려대에	고려대/NNP+에/JKB
다니고	다니/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.254.7.1
이들 학생 프로골퍼는 예전과 달리 철저해진 학사 관리 제도에 따라 대회가 없을 때는 의무적으로 수업을 듣고 학점을 이수해야 한다.

이들	이/NP+들/XSN
학생	학생/NNG
프로골퍼는	프로/NNG+골퍼/NNG+는/JX
예전과	예전/NNG+과/JKB
달리	달리/MAG
철저해진	철저/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
학사	학사/NNG
관리	관리/NNG
제도에	제도/NNG+에/JKB
따라	따르/VV+아/EC
대회가	대회/NNG+가/JKS
없을	없/VA+을/ETM
때는	때/NNG+는/JX
의무적으로	의무/NNG+적/XSN+으로/JKB
수업을	수업/NNG+을/JKO
듣고	듣/VV+고/EC
학점을	학점/NNG+을/JKO
이수해야	이수/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.254.7.2
김세영은 지난 1학기 때 대회 출전으로 시험을 치르지 못하는 바람에 전공 한 과목에서 F학점을 받기도 했다.

김세영은	김세영/NNP+은/JX
지난	지나/VV+ㄴ/ETM
1학기	1/SN+학기/NNG
때	때/NNG
대회	대회/NNG
출전으로	출전/NNG+으로/JKB
시험을	시험/NNG+을/JKO
치르지	치르/VV+지/EC
못하는	못하/VX+는/ETM
바람에	바람/NNB+에/JKB
전공	전공/NNG
한	한/MMN
과목에서	과목/NNG+에서/JKB
F학점을	F/SL+학점/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.254.7.3
해양 훈련과 같은 학교 단체 행사에도 참석했다는 김세영은 “시험공부가 힘들 때도 있지만 뭔가를 배우는 일은 즐겁다.

해양	해양/NNG
훈련과	훈련/NNG+과/JKB
같은	같/VA+은/ETM
학교	학교/NNG
단체	단체/NNG
행사에도	행사/NNG+에/JKB+도/JX
참석했다는	참석/NNG+하/XSV+았/EP+다는/ETM
김세영은	김세영/NNP+은/JX
“시험공부가	“/SS+시험공부/NNG+가/JKS
힘들	힘들/VA+ㄹ/ETM
때도	때/NNG+도/JX
있지만	있/VA+지만/EC
뭔가를	뭐/NP+이/VCP+ㄴ가/EF+를/JKO
배우는	배우/VV+는/ETM
일은	일/NNG+은/JX
즐겁다.	즐겁/VA+다/EF+./SF


# id : NWRW1800000037.254.7.4
친구들도 많이 사귀었다.

친구들도	친구/NNG+들/XSN+도/JX
많이	많이/MAG
사귀었다.	사귀/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.254.7.5
요즘 상금을 많이 받아 한턱 쏘라는 얘기를 자주 듣는다”고 말했다.

요즘	요즘/NNG
상금을	상금/NNG+을/JKO
많이	많이/MAG
받아	받/VV+아/EC
한턱	한턱/NNG
쏘라는	쏘/VV+라는/ETM
얘기를	얘기/NNG+를/JKO
자주	자주/MAG
듣는다”고	듣/VV+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.254.8.1
27일 연세대와 야구 농구 아이스하키 럭비 축구의 5개 종목 정기전을 치르는 고려대는 앞으로 골프까지 확대할 방침을 세운 것으로 알려졌다.

27일	27/SN+일/NNB
연세대와	연세대/NNP+와/JKB
야구	야구/NNG
농구	농구/NNG
아이스하키	아이스하키/NNG
럭비	럭비/NNG
축구의	축구/NNG+의/JKG
5개	5/SN+개/NNB
종목	종목/NNG
정기전을	정기전/NNG+을/JKO
치르는	치르/VV+는/ETM
고려대는	고려대/NNP+는/JX
앞으로	앞/NNG+으로/JKB
골프까지	골프/NNG+까지/JX
확대할	확대/NNG+하/XSV+ㄹ/ETM
방침을	방침/NNG+을/JKO
세운	세우/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.254.8.2
고려대 한 관계자는 “세계적인 수준의 경기력을 지닌 한국 골프 발전에 기여하기 위해 우수 선수를 집중적으로 육성할 계획”이라고 밝혔다.

고려대	고려대/NNP
한	한/MMN
관계자는	관계자/NNG+는/JX
“세계적인	“/SS+세계/NNG+적/XSN+이/VCP+ㄴ/ETM
수준의	수준/NNG+의/JKG
경기력을	경기력/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
한국	한국/NNP
골프	골프/NNG
발전에	발전/NNG+에/JKB
기여하기	기여/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
우수	우수/NNG
선수를	선수/NNG+를/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
육성할	육성/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


