# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.3
metadata : {}


# id : NWRW1800000049.3.1.1
中企 수출판로 뚫은 대학생 무역전문가들

中企	中企/SH
# id : NWRW1800000049.3.6.1
GTEP는 2007년부터 산업통상자원부와 한국무역협회가 진행하는 무역 전문 인력 양성프로그램으로, 사업단은 2014년 말부터 헤어 보조상품 제조업체인 중소기업 ‘JW’와 1년간 산학협력 활동을 했다.

GTEP는	GTEP/SL+는/JX
2007년부터	2007/SN+년/NNB+부터/JX
산업통상자원부와	산업/NNG+통상/NNG+자원부/NNG+와/JC
한국무역협회가	한국무역협회/NNP+가/JKS
진행하는	진행/NNG+하/XSV+는/ETM
무역	무역/NNG
전문	전문/NNG
인력	인력/NNG
양성프로그램으로,	양성/NNG+프로그램/NNG+으로/JKB+,/SP
사업단은	사업단/NNG+은/JX
2014년	2014/SN+년/NNB
말부터	말/NNB+부터/JX
헤어	헤어/NNG
보조상품	보조/NNG+상품/NNG
제조업체인	제조업체/NNG+이/VCP+ㄴ/ETM
중소기업	중소기업/NNG
‘JW’와	‘/SS+JW/SL+’/SS+와/JKB
1년간	1/SN+년/NNB+간/XSN
산학협력	산학/NNG+협력/NNG
활동을	활동/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.3.7.1
JW의 대표 상품은 물줄기 세기를 조절하면서 절수 기능도 있는 마사지 샤워기다.

JW의	JW/SL+의/JKG
대표	대표/NNG
상품은	상품/NNG+은/JX
물줄기	물줄기/NNG
세기를	세기/NNG+를/JKO
조절하면서	조절/NNG+하/XSV+면서/EC
절수	절수/NNG
기능도	기능/NNG+도/JX
있는	있/VA+는/ETM
마사지	마사지/NNG
샤워기다.	샤워기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.3.7.2
사업단은 이 상품을 반려견용으로 사용한다면 애완동물 시장이 크고 있는 유럽, 중국 등을 공략할 수 있을 것이라 판단하고 전략을 수립했다.

사업단은	사업단/NNG+은/JX
이	이/MMD
상품을	상품/NNG+을/JKO
반려견용으로	반려견/NNG+용/XSN+으로/JKB
사용한다면	사용/NNG+하/XSV+ㄴ다면/EC
애완동물	애완동물/NNG
시장이	시장/NNG+이/JKS
크고	크/VA+고/EC
있는	있/VX+는/ETM
유럽,	유럽/NNP+,/SP
중국	중국/NNP
등을	등/NNB+을/JKO
공략할	공략/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라	것/NNB+이/VCP+라/EC
판단하고	판단/NNG+하/XSV+고/EC
전략을	전략/NNG+을/JKO
수립했다.	수립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.3.8.1
사업단은 먼저 국내에서 제작된 기존 제품의 단가가 너무 높아 경쟁력이 떨어진다는 문제점을 짚었다.

사업단은	사업단/NNG+은/JX
먼저	먼저/MAG
국내에서	국내/NNG+에서/JKB
제작된	제작/NNG+되/XSV+ㄴ/ETM
기존	기존/NNG
제품의	제품/NNG+의/JKG
단가가	단가/NNG+가/JKS
너무	너무/MAG
높아	높/VA+아/EC
경쟁력이	경쟁력/NNG+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
문제점을	문제점/NNG+을/JKO
짚었다.	짚/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.3.8.2
그래서 신제품은 중국에서 주문자상표부착생산(OEM) 방식으로 제작하도록 해 단가를 줄였다.

그래서	그래서/MAJ
신제품은	신/XPN+제품/NNG+은/JX
중국에서	중국/NNP+에서/JKB
주문자상표부착생산(OEM)	주문자/NNG+상표/NNG+부착/NNG+생산/NNG+(/SS+OEM/SL+)/SS
방식으로	방식/NNG+으로/JKB
제작하도록	제작/NNG+하/XSV+도록/EC
해	하/VX+아/EC
단가를	단가/NNG+를/JKO
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.3.9.1
또한 해외 전시회에 참가하기 전에, 제품을 납품할 만한 유통업자를 인터넷으로 미리 찾아 리스트를 만들고 e메일을 주고받아 현장에서 직접 만났다.

또한	또한/MAG
해외	해외/NNG
전시회에	전시회/NNG+에/JKB
참가하기	참가/NNG+하/XSV+기/ETN
전에,	전/NNG+에/JKB+,/SP
제품을	제품/NNG+을/JKO
납품할	납품/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
유통업자를	유통업자/NNG+를/JKO
인터넷으로	인터넷/NNG+으로/JKB
미리	미리/MAG
찾아	찾/VV+아/EC
리스트를	리스트/NNG+를/JKO
만들고	만들/VV+고/EC
e메일을	e/SL+메일/NNG+을/JKO
주고받아	주고받/VV+아/EC
현장에서	현장/NNG+에서/JKB
직접	직접/MAG
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.3.10.1
이들의 노력 덕에 2014년 2500만 원이던 회사의 매출액은 지난해엔 1억2800여만 원으로 올랐다.

이들의	이/NP+들/XSN+의/JKG
노력	노력/NNG
덕에	덕/NNG+에/JKB
2014년	2014/SN+년/NNB
2500만	2500/SN+만/NR
원이던	원/NNB+이/VCP+던/ETM
회사의	회사/NNG+의/JKG
매출액은	매출액/NNG+은/JX
지난해엔	지난해/NNG+에/JKB+ㄴ/JX
1억2800여만	1/SN+억/NR+2800/SN+여/XSN+만/NR
원으로	원/NNB+으로/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.3.10.2
회사는 내수기업에서 수출기업으로 변신했다.

회사는	회사/NNG+는/JX
내수기업에서	내수/NNG+기업/NNG+에서/JKB
수출기업으로	수출/NNG+기업/NNG+으로/JKB
변신했다.	변신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.3.10.3
숭실대 사업단은 무협이 2일 개최한 ‘GTEP 우수사례 경진대회’에서 최우수상을 받았다.

숭실대	숭실대/NNP
사업단은	사업단/NNG+은/JX
무협이	무협/NNP+이/JKS
2일	2/SN+일/NNB
개최한	개최/NNG+하/XSV+ㄴ/ETM
‘GTEP	‘/SS+GTEP/SL
우수사례	우수/NNG+사례/NNG
경진대회’에서	경진/NNG+대회/NNG+’/SS+에서/JKB
최우수상을	최우수상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.3.11.1
‘무역인’을 꿈꾸는 그는 장기적으로 바이어의 신뢰를 얻어내는 과정을 경험한 것이 큰 경험이다.

‘무역인’을	‘/SS+무역인/NNG+’/SS+을/JKO
꿈꾸는	꿈꾸/VV+는/ETM
그는	그/NP+는/JX
장기적으로	장기/NNG+적/XSN+으로/JKB
바이어의	바이어/NNG+의/JKG
신뢰를	신뢰/NNG+를/JKO
얻어내는	얻/VV+어/EC+내/VX+는/ETM
과정을	과정/NNG+을/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
큰	크/VA+ㄴ/ETM
경험이다.	경험/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.3.12.1
“호주의 바이어와 협상할 때는 까다로운 질문이 많아 짜증이 나기도 했습니다.

“호주의	“/SS+호주/NNP+의/JKG
바이어와	바이어/NNG+와/JKB
협상할	협상/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
까다로운	까다롭/VA+ㄴ/ETM
질문이	질문/NNG+이/JKS
많아	많/VA+아/EC
짜증이	짜증/NNG+이/JKS
나기도	나/VV+기/ETN+도/JX
했습니다.	하/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000049.3.12.2
3D 프린터로 샤워기 커넥터의 샘플을 제작해 보냈더니 비로소 믿을 만한 기업으로 인식하기 시작했어요.”

3D	3/SN+D/SL
프린터로	프린터/NNG+로/JKB
샤워기	샤워기/NNG
커넥터의	커넥터/NNG+의/JKG
샘플을	샘플/NNG+을/JKO
제작해	제작/NNG+하/XSV+아/EC
보냈더니	보내/VV+었/EP+더니/EC
비로소	비로소/MAG
믿을	믿/VV+을/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
기업으로	기업/NNG+으로/JKB
인식하기	인식/NNG+하/XSV+기/ETN
시작했어요.”	시작/NNG+하/XSV+았/EP+어요/EF+./SF+”/SS


# id : NWRW1800000049.3.12.3
그는 “끈질기게 기다리고 협상하면 좋은 결과가 있다는 걸 배웠다”고 말했다.

그는	그/NP+는/JX
“끈질기게	“/SS+끈질기/VA+게/EC
기다리고	기다리/VV+고/EC
협상하면	협상/NNG+하/XSV+면/EC
좋은	좋/VA+은/ETM
결과가	결과/NNG+가/JKS
있다는	있/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
배웠다”고	배우/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


