# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.274
metadata : {}


# id : NWRW1800000041.274.1.1
[횡설수설/권순활]은행 도쿄지점의 영욕

[횡설수설/권순활]은행	[/SS+횡설수설/NNG+//SP+권순활/NNP+]/SS+은행/NNG
불미스러운	불미/NNG+스럽/XSA+ㄴ/ETM
사건이	사건/NNG+이/JKS
잇달아	잇달/VV+아/EC
터져	터지/VV+어/EC
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.274.4.2
전직(前職) 국민은행 도쿄지점장과 부지점장이 거래처에 4000억 원대의 불법 대출을 하고 리베이트를 챙긴 혐의로 검찰에 구속됐다.

전직(前職)	전직/NNG+(/SS+前職/SH+)/SS
국민은행	국민은행/NNP
도쿄지점장과	도쿄/NNP+지점장/NNG+과/JC
부지점장이	부지점장/NNG+이/JKS
거래처에	거래처/NNG+에/JKB
4000억	4000/SN+억/NR
원대의	원/NNB+대/XSN+의/JKG
불법	불법/NNG
대출을	대출/NNG+을/JKO
하고	하/VV+고/EC
리베이트를	리베이트/NNG+를/JKO
챙긴	챙기/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
검찰에	검찰/NNG+에/JKB
구속됐다.	구속/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.274.4.3
우리은행과 기업은행 도쿄지점도 수백억 원대의 부실대출 정황이 발견돼 금융감독원이 검사에 착수했다.

우리은행과	우리은행/NNP+과/JC
기업은행	기업은행/NNP
도쿄지점도	도쿄/NNP+지점/NNG+도/JX
수백억	수백억/NR
원대의	원/NNB+대/XSN+의/JKG
부실대출	부실/NNG+대출/NNG
정황이	정황/NNG+이/JKS
발견돼	발견/NNG+되/XSV+어/EC
금융감독원이	금융/NNG+감독원/NNG+이/JKS
검사에	검사/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.274.4.4
한류 붐을 타고 일본으로 건너가 자영업을 하는 이른바 ‘뉴 커머(New Comer) 한국인’들의 자금 수요가 늘면서 은행 도쿄지점들이 ‘갑(甲)질’을 할 수 있는 구조와 무관하지 않아 보인다.

한류	한류/NNG
붐을	붐/NNG+을/JKO
타고	타/VV+고/EC
일본으로	일본/NNP+으로/JKB
건너가	건너가/VV+아/EC
자영업을	자영업/NNG+을/JKO
하는	하/VV+는/ETM
이른바	이른바/MAG
‘뉴	‘/SS+뉴/NNG
커머(New	커머/NNG+(/SS+New/SL
Comer)	Comer/SL+)/SS
한국인’들의	한국인/NNG+’/SS+들/XSN+의/JKG
자금	자금/NNG
수요가	수요/NNG+가/JKS
늘면서	늘/VV+면서/EC
은행	은행/NNG
도쿄지점들이	도쿄/NNP+지점/NNG+들/XSN+이/JKS
‘갑(甲)질’을	‘/SS+갑/NNG+(/SS+甲/SH+)/SS+질/XSN+’/SS+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
구조와	구조/NNG+와/JKB
무관하지	무관하/VA+지/EC
않아	않/VX+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.274.5.1
▷일본의 경제력 약화와 인터넷을 통한 신속한 정보 유입으로 2000년대 중후반 이후 상당수 은행에서 일본의 위상이 낮아졌다.

▷일본의	▷/SW+일본/NNP+의/JKG
경제력	경제력/NNG
약화와	약화/NNG+와/JC
인터넷을	인터넷/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
신속한	신속/NNG+하/XSA+ㄴ/ETM
정보	정보/NNG
유입으로	유입/NNG+으로/JKB
2000년대	2000/SN+년대/NNB
중후반	중후반/NNG
이후	이후/NNG
상당수	상당수/NNG
은행에서	은행/NNG+에서/JKB
일본의	일본/NNP+의/JKG
위상이	위상/NNG+이/JKS
낮아졌다.	낮/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.274.5.2
도쿄지점장을 끝으로 옷을 벗는 사례가 늘면서 도쿄 근무자들의 실력과 직업윤리가 예전 같지 않다는 말도 나온다.

도쿄지점장을	도쿄/NNP+지점장/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
옷을	옷/NNG+을/JKO
벗는	벗/VV+는/ETM
사례가	사례/NNG+가/JKS
늘면서	늘/VV+면서/EC
도쿄	도쿄/NNP
근무자들의	근무자/NNG+들/XSN+의/JKG
실력과	실력/NNG+과/JC
직업윤리가	직업/NNG+윤리/NNG+가/JKS
예전	예전/NNG
같지	같/VA+지/EC
않다는	않/VX+다는/ETM
말도	말/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.274.5.3
자녀들의 영어 교육을 위해 미국 영국 등 영어권을 선호하고 일본 근무를 꺼리는 은행원도 많다.

자녀들의	자녀/NNG+들/XSN+의/JKG
영어	영어/NNP
교육을	교육/NNG+을/JKO
위해	위하/VV+아/EC
미국	미국/NNP
영국	영국/NNP
등	등/NNB
영어권을	영어/NNP+권/XSN+을/JKO
선호하고	선호/NNG+하/XSV+고/EC
일본	일본/NNP
근무를	근무/NNG+를/JKO
꺼리는	꺼리/VV+는/ETM
은행원도	은행원/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000041.274.5.4
은행가에서 도쿄지점이 과거와 같은 영광을 찾기는 쉽지 않겠지만 그렇다고 아무나 보내도 된다고 여기는 ‘2급 해외지점’으로 전락하는 것은 경계해야 한다.

은행가에서	은행가/NNG+에서/JKB
도쿄지점이	도쿄/NNP+지점/NNG+이/JKS
과거와	과거/NNG+와/JKB
같은	같/VA+은/ETM
영광을	영광/NNG+을/JKO
찾기는	찾/VV+기/ETN+는/JX
쉽지	쉽/VA+지/EC
않겠지만	않/VX+겠/EP+지만/EC
그렇다고	그렇/VA+다고/EC
아무나	아무/NP+나/JX
보내도	보내/VV+어도/EC
된다고	되/VV+ㄴ다고/EC
여기는	여기/VV+는/ETM
‘2급	‘/SS+2/SN+급/NNG
해외지점’으로	해외/NNG+지점/NNG+’/SS+으로/JKB
전락하는	전락/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
경계해야	경계/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.274.5.5
일본은 여전히 세계 3위의 경제대국이고 한국에 미치는 영향력이 큰 나라다.

일본은	일본/NNP+은/JX
여전히	여전히/MAG
세계	세계/NNG
3위의	3/SN+위/NNB+의/JKG
경제대국이고	경제/NNG+대국/NNG+이/VCP+고/EC
한국에	한국/NNP+에/JKB
미치는	미치/VV+는/ETM
영향력이	영향력/NNG+이/JKS
큰	크/VA+ㄴ/ETM
나라다.	나라/NNG+이/VCP+다/EF+./SF


