# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.75
metadata : {}


# id : NWRW1800000025.75.1.1
성원건설, 법정관리 신청서 제출

성원건설,	성원건설/NNP+,/SP
그러나 최근 아파트 미분양과 해외사업 차질 등으로 자금난이 심각해지면서 채권은행으로부터 퇴출을 뜻하는 ‘D등급’을 받았다.

그러나	그러나/MAJ
최근	최근/MAG
아파트	아파트/NNG
미분양과	미/XPN+분양/NNG+과/JC
해외사업	해외/NNG+사업/NNG
차질	차질/NNG
등으로	등/NNB+으로/JKB
자금난이	자금난/NNG+이/JKS
심각해지면서	심각하/VA+아/EC+지/VX+면서/EC
채권은행으로부터	채권/NNG+은행/NNG+으로부터/JKB
퇴출을	퇴출/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
‘D등급’을	‘/SS+D/SL+등급/NNG+’/SS+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.75.5.1
성원건설의 프로젝트파이낸싱(PF) 대출 규모는 9000억 원가량이며 최근 체불임금과 협력업체 미지급금은 1000억 원이 넘는 것으로 알려져 있다.

성원건설의	성원건설/NNP+의/JKG
프로젝트파이낸싱(PF)	프로젝트/NNG+파이낸싱/NNG+(/SS+PF/SL+)/SS
대출	대출/NNG
규모는	규모/NNG+는/JX
9000억	9000/SN+억/NR
원가량이며	원/NNB+가량/XSN+이/VCP+며/EC
최근	최근/MAG
체불임금과	체불/NNG+임금/NNG+과/JC
협력업체	협력/NNG+업체/NNG
미지급금은	미지급금/NNG+은/JX
1000억	1000/SN+억/NR
원이	원/NNB+이/JKS
넘는	넘/VV+는/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.75.5.2
또 서울 중랑구 상봉동과 경기 용인시 안양시 등 국내 아파트 사업장 9곳은 사고사업장으로 분류돼 공사가 전면 중단된 상태다.

또	또/MAG
서울	서울/NNP
중랑구	중랑구/NNP
상봉동과	상봉동/NNP+과/JC
경기	경기/NNP
용인시	용인시/NNP
안양시	안양시/NNP
등	등/NNB
국내	국내/NNG
아파트	아파트/NNG
사업장	사업장/NNG
9곳은	9/SN+곳/NNG+은/JX
사고사업장으로	사고/NNG+사업장/NNG+으로/JKB
분류돼	분류/NNG+되/XSV+어/EC
공사가	공사/NNG+가/JKS
전면	전면/NNG
중단된	중단/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.75.5.3
법원은 실사와 채권단 동의 등을 거쳐 이르면 한 달 뒤 성원건설의 기업회생계획 인가 결정을 내리며 회생계획안이 부적절하다고 판단하면 청산 절차에 들어간다.

법원은	법원/NNG+은/JX
실사와	실사/NNG+와/JC
채권단	채권단/NNG
동의	동의/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
이르면	이르/VV+면/EC
한	한/MMN
달	달/NNB
뒤	뒤/NNG
성원건설의	성원건설/NNP+의/JKG
기업회생계획	기업/NNG+회생/NNG+계획/NNG
인가	인가/NNG
결정을	결정/NNG+을/JKO
내리며	내리/VV+며/EC
회생계획안이	회생/NNG+계획안/NNG+이/JKS
부적절하다고	부적절하/VA+다고/EC
판단하면	판단/NNG+하/XSV+면/EC
청산	청산/NNG
절차에	절차/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


