# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.242
metadata : {}


# id : NWRW1800000033.242.1.1
수원-서울 개천절 슈퍼매치 ‘북벌완장 vs 승리버스’

수원-서울	수원/NNP+-/SO+서울/NNP
승패는 하늘에 맡기겠다”며 슈퍼매치에 임하는 비장한 각오를 밝혔다.

승패는	승패/NNG+는/JX
하늘에	하늘/NNG+에/JKB
맡기겠다”며	맡기/VV+겠/EP+다/EF+”/SS+며/EC
슈퍼매치에	슈퍼/NNG+매치/NNG+에/JKB
임하는	임하/VV+는/ETM
비장한	비장하/VA+ㄴ/ETM
각오를	각오/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.242.9.5
올 시즌 도움 15개로 정규리그 최다 어시스트 타이를 기록 중인 서울의 몰리나는 수원을 상대로 정규리그 최다 어시스트에 도전한다.

올	올/NNG
시즌	시즌/NNG
도움	도움/NNG
15개로	15/SN+개/NNB+로/JKB
정규리그	정규/NNG+리그/NNG
최다	최다/NNG
어시스트	어시스트/NNG
타이를	타이/NNG+를/JKO
기록	기록/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
서울의	서울/NNP+의/JKG
몰리나는	몰리나/NNP+는/JX
수원을	수원/NNP+을/JKO
상대로	상대/NNG+로/JKB
어시스트에	어시스트/NNG+에/JKB
도전한다.	도전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.242.9.6
지난해 정규리그에서는 이동국(전북)이 15개의 어시스트를 했다.

지난해	지난해/NNG
정규리그에서는	정규/NNG+리그/NNG+에서/JKB+는/JX
이동국(전북)이	이동국/NNP+(/SS+전북/NNP+)/SS+이/JKS
15개의	15/SN+개/NNB+의/JKG
어시스트를	어시스트/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


