# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.434
metadata : {}


# id : NWRW1800000038.434.1.1
[올해 꼭 통과시켜야 할 10대 법안] 日, 회사 손해끼칠 목적 명백할 때만 배임罪… 獨, 주식법 93조에 '경영 판단의 원칙' 명시

[올해	[/SS+올해/NNG
선고한	선고/NNG+하/XSV+ㄴ/ETM
판례를	판례/NNG+를/JKO
보면	보/VV+면/EC
분명하게	분명/MAG+하/XSA+게/EC
드러난다.	드러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.434.4.2
1997년과 2011년에 배임죄로 기소된 보험사 아락(ARAG) 대표는 기업 매출이 늘어나면서 신규 사업에 투자했다가 대규모 손실을 냈다.

1997년과	1997/SN+년/NNB+과/JC
2011년에	2011/SN+년/NNB+에/JKB
배임죄로	배임죄/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
보험사	보험사/NNG
아락(ARAG)	아락/NNP+(/SS+ARAG/SL+)/SS
대표는	대표/NNG+는/JX
기업	기업/NNG
매출이	매출/NNG+이/JKS
늘어나면서	늘어나/VV+면서/EC
신규	신규/NNG
사업에	사업/NNG+에/JKB
투자했다가	투자/NNG+하/XSV+았/EP+다가/EC
대규모	대/XPN+규모/NNG
손실을	손실/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.434.4.3
주주들은 이를 이유로 대표를 배임죄로 기소했다.

주주들은	주주/NNG+들/XSN+은/JX
이를	이/NP+를/JKO
이유로	이유/NNG+로/JKB
대표를	대표/NNG+를/JKO
배임죄로	배임죄/NNG+로/JKB
기소했다.	기소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.434.4.4
하지만 연방대법원은 "신규 사업 투자는 경영자의 경영 행위로 자율성이 인정된다"며 경영진의 손을 들어줬다.

하지만	하지만/MAJ
연방대법원은	연방/NNG+대/XPN+법원/NNG+은/JX
"신규	"/SS+신규/NNG
사업	사업/NNG
투자는	투자/NNG+는/JX
경영자의	경영자/NNG+의/JKG
경영	경영/NNG
행위로	행위/NNG+로/JKB
자율성이	자율/NNG+성/XSN+이/JKS
인정된다"며	인정/NNG+되/XSV+ㄴ다/EF+"/SS+며/EC
경영진의	경영진/NNG+의/JKG
손을	손/NNG+을/JKO
들어줬다.	들/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.434.5.1
독일은 배임죄 처벌 대상으로 '후견인, 관리인, 재산보호인, 재단관리인, 계량인, 측량인, 부두하역인' 등 행위자를 명시해 처벌받는 대상자를 제한하고 있다.

독일은	독일/NNP+은/JX
배임죄	배임죄/NNG
처벌	처벌/NNG
대상으로	대상/NNG+으로/JKB
'후견인,	'/SS+후견인/NNG+,/SP
관리인,	관리인/NNG+,/SP
재산보호인,	재산/NNG+보호인/NNG+,/SP
재단관리인,	재단/NNG+관리인/NNG+,/SP
계량인,	계량인/NNG+,/SP
측량인,	측량인/NNG+,/SP
부두하역인'	부두/NNG+하역인/NNG+'/SS
등	등/NNB
행위자를	행위자/NNG+를/JKO
명시해	명시/NNG+하/XSV+아/EC
처벌받는	처벌/NNG+받/XSV+는/ETM
대상자를	대상자/NNG+를/JKO
제한하고	제한/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.434.5.2
또 주식법 제93조에 '경영 판단의 원칙'을 명시해 "회사 업무에 관한 이사의 결정이 적절한 정보에 근거하고 회사의 이익을 위해 이뤄진 것이 합리적인 방법으로 인정될 때는 의무 위반으로 보지 않는다"는 예외 사유를 인정해주고 있다.

또	또/MAG
주식법	주식/NNG+법/NNG
제93조에	제/XPN+93/SN+조/NNB+에/JKB
'경영	'/SS+경영/NNG
판단의	판단/NNG+의/JKG
원칙'을	원칙/NNG+'/SS+을/JKO
명시해	명시/NNG+하/XSV+아/EC
"회사	"/SS+회사/NNG
업무에	업무/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
이사의	이사/NNG+의/JKG
결정이	결정/NNG+이/JKS
적절한	적절하/VA+ㄴ/ETM
정보에	정보/NNG+에/JKB
근거하고	근거/NNG+하/XSV+고/EC
회사의	회사/NNG+의/JKG
이익을	이익/NNG+을/JKO
위해	위하/VV+아/EC
이뤄진	이뤄지/VV+ㄴ/ETM
것이	것/NNB+이/JKS
합리적인	합리/NNG+적/XSN+이/VCP+ㄴ/ETM
방법으로	방법/NNG+으로/JKB
인정될	인정/NNG+되/XSV+ㄹ/ETM
때는	때/NNG+는/JX
의무	의무/NNG
위반으로	위반/NNG+으로/JKB
보지	보/VV+지/EC
않는다"는	않/VX+는다/EF+"/SS+는/ETM
예외	예외/NNG
사유를	사유/NNG+를/JKO
인정해주고	인정/NNG+하/XSV+아/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.434.6.1
프랑스는 1985년 '로젠블룸(Rozenblum) 판결'을 통해 대기업 계열사 사이의 거래를 정당한 법률적인 권리로 인정하고 있다.

프랑스는	프랑스/NNP+는/JX
1985년	1985/SN+년/NNB
'로젠블룸(Rozenblum)	'/SS+로젠블룸/NNP+(/SS+Rozenblum/SL+)/SS
판결'을	판결/NNG+'/SS+을/JKO
통해	통하/VV+아/EC
대기업	대/XPN+기업/NNG
계열사	계열사/NNG
사이의	사이/NNG+의/JKG
거래를	거래/NNG+를/JKO
정당한	정당하/VA+ㄴ/ETM
법률적인	법률/NNG+적/XSN+이/VCP+ㄴ/ETM
권리로	권리/NNG+로/JKB
인정하고	인정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.434.6.2
로젠블룸 판결의 핵심은 기업집단이 확실한 조직 구조를 가지고, 확고한 그룹 전략에 따라 행동할 때는 개개의 자회사나 계열사에서 발생하는 손해를 기업집단이 향후에 보상해 줄 것이라는 믿음이 있고, 따라서 일시적으로 계열사가 손해를 보더라도 이를 배임죄로 보기는 어렵다는 것이다.

로젠블룸	로젠블룸/NNP
판결의	판결/NNG+의/JKG
핵심은	핵심/NNG+은/JX
기업집단이	기업/NNG+집단/NNG+이/JKS
확실한	확실하/VA+ㄴ/ETM
조직	조직/NNG
구조를	구조/NNG+를/JKO
가지고,	가지/VV+고/EC+,/SP
확고한	확고하/VA+ㄴ/ETM
그룹	그룹/NNG
전략에	전략/NNG+에/JKB
따라	따르/VV+아/EC
행동할	행동/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
개개의	개개/NNG+의/JKG
자회사나	자회사/NNG+나/JC
계열사에서	계열사/NNG+에서/JKB
발생하는	발생/NNG+하/XSV+는/ETM
손해를	손해/NNG+를/JKO
향후에	향후/NNG+에/JKB
보상해	보상/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
믿음이	믿음/NNG+이/JKS
있고,	있/VV+고/EC+,/SP
따라서	따라서/MAJ
일시적으로	일시/NNG+적/XSN+으로/JKB
계열사가	계열사/NNG+가/JKS
보더라도	보/VV+더라도/EC
이를	이/NP+를/JKO
배임죄로	배임죄/NNG+로/JKB
보기는	보/VV+기/ETN+는/JX
어렵다는	어렵/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.434.6.3
이 같은 원칙은 상법이 발달한 유럽 주요 국가에서 대부분 인정되고 있다.

이	이/NP
같은	같/VA+은/ETM
원칙은	원칙/NNG+은/JX
상법이	상법/NNG+이/JKS
발달한	발달/NNG+하/XSV+ㄴ/ETM
유럽	유럽/NNP
주요	주요/NNG
국가에서	국가/NNG+에서/JKB
대부분	대/XPN+부분/NNG
인정되고	인정/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.434.7.1
일본은 1907년부터 배임죄를 형법에 규정했는데, 역시 '명백히 손해를 가할 목적'이 있어야 배임죄가 성립한다는 엄격한 규정을 두고 있다.

일본은	일본/NNP+은/JX
1907년부터	1907/SN+년/NNB+부터/JX
배임죄를	배임죄/NNG+를/JKO
형법에	형법/NNG+에/JKB
규정했는데,	규정/NNG+하/XSV+았/EP+는데/EC+,/SP
역시	역시/MAG
'명백히	'/SS+명백히/MAG
손해를	손해/NNG+를/JKO
가할	가하/VV+ㄹ/ETM
목적'이	목적/NNG+'/SS+이/JKS
있어야	있/VA+어야/EC
배임죄가	배임죄/NNG+가/JKS
성립한다는	성립/NNG+하/XSV+ㄴ다는/ETM
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
규정을	규정/NNG+을/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.434.8.1
미국은 별도로 배임죄라는 범죄는 없다.

미국은	미국/NNP+은/JX
별도로	별도/NNG+로/JKB
배임죄라는	배임죄/NNG+이/VCP+라는/ETM
범죄는	범죄/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.434.8.2
하지만 형법상 사기, 횡령, 절도, 금융 재산 사기죄 등으로 배임죄에 해당하는 죄를 처벌하고 있고, 판례로 '경영 판단의 원칙'을 적용하고 있다.

하지만	하지만/MAJ
형법상	형법/NNG+상/XSN
사기,	사기/NNG+,/SP
횡령,	횡령/NNG+,/SP
절도,	절도/NNG+,/SP
금융	금융/NNG
재산	재산/NNG
사기죄	사기죄/NNG
등으로	등/NNB+으로/JKB
배임죄에	배임죄/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
죄를	죄/NNG+를/JKO
처벌하고	처벌/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
판례로	판례/NNG+로/JKB
'경영	'/SS+경영/NNG
판단의	판단/NNG+의/JKG
원칙'을	원칙/NNG+'/SS+을/JKO
적용하고	적용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


