# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.362
metadata : {}


# id : NWRW1800000028.362.1.1
호젓한 길섶엔 장꾼들 사연 ‘소곤소곤’

호젓한	호젓하/VA+ㄴ/ETM
첫날인	첫날/NNG+이/VCP+ㄴ/ETM
15일	15/SN+일/NNB
오후	오후/NNG
울진원자력발전소를	울진원자력발전소/NNP+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.362.2.6
예전에 염전이 있었던 이곳은 소금과 미역, 건어물을 이고 지고 고개 너머 내륙 지방인 봉화를 향해 길을 나서던 보부상들의 출발지였다.

예전에	예전/NNG+에/JKB
염전이	염전/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
이곳은	이곳/NP+은/JX
소금과	소금/NNG+과/JC
미역,	미역/NNG+,/SP
건어물을	건어물/NNG+을/JKO
이고	이/VV+고/EC
지고	지/VV+고/EC
고개	고개/NNG
너머	너머/NNG
내륙	내륙/NNG
지방인	지방/NNG+이/VCP+ㄴ/ETM
봉화를	봉화/NNP+를/JKO
향해	향하/VV+아/EC
길을	길/NNG+을/JKO
나서던	나서/VV+던/ETM
보부상들의	보부상/NNG+들/XSN+의/JKG
출발지였다.	출발지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.362.2.7
그러나 지금 염전 터에는 발전소 건물과 활터 등이 들어서 있어 옛 모습을 찾기 어려웠다.

그러나	그러나/MAJ
지금	지금/MAG
염전	염전/NNG
터에는	터/NNG+에/JKB+는/JX
발전소	발전소/NNG
건물과	건물/NNG+과/JC
활터	활터/NNG
등이	등/NNB+이/JKS
들어서	들어서/VV+어/EC
있어	있/VX+어/EC
옛	옛/MMA
모습을	모습/NNG+을/JKO
찾기	찾/VV+기/ETN
어려웠다.	어렵/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.362.2.8
작가는 “보부상길의 출발지인 만큼 개발을 하더라도 옛 흔적을 남겨두었더라면 좋았을 것”이라며 아쉬움을 표했다.

작가는	작가/NNG+는/JX
“보부상길의	“/SS+보부상/NNG+길/NNG+의/JKG
출발지인	출발지/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
개발을	개발/NNG+을/JKO
하더라도	하/VV+더라도/EC
옛	옛/MMA
흔적을	흔적/NNG+을/JKO
남겨두었더라면	남기/VV+어/EC+두/VX+었/EP+더라면/EC
좋았을	좋/VA+았/EP+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
아쉬움을	아쉬움/NNG+을/JKO
표했다.	표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.362.3.1
본격적인 보부상길 탐사는 이튿날인 16일부터 시작됐다.

본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
보부상길	보부상/NNG+길/NNG
탐사는	탐사/NNG+는/JX
이튿날인	이튿날/NNG+이/VCP+ㄴ/ETM
16일부터	16/SN+일/NNB+부터/JX
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.362.3.2
탐사의 출발지는 울진군 북면 두천리 ‘울진내성행상불망비’ 앞.

탐사의	탐사/NNG+의/JKG
출발지는	출발지/NNG+는/JX
울진군	울진군/NNP
북면	북면/NNP
두천리	두천리/NNP
‘울진내성행상불망비’	‘/SS+울진내성행상불망비/NNP+’/SS
앞.	앞/NNG+./SF


# id : NWRW1800000028.362.3.3
철로 된 이 두 기의 비석은 <객주>의 배경과 비슷한 1890년 무렵 열두 고개(십이령)를 넘어 울진과 봉화를 오가면서 물물교환을 하던 행상들이 접장 정한조와 반수 권재만의 은공을 기리고자 세운 것이다.

철로	철/NNG+로/JKB
된	되/VV+ㄴ/ETM
이	이/MMD
두	두/MMN
기의	기/NNB+의/JKG
비석은	비석/NNG+은/JX
<객주>의	</SS+객주/NNP+>/SS+의/JKG
배경과	배경/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
1890년	1890/SN+년/NNB
무렵	무렵/NNB
열두	열두/MMN
고개(십이령)를	고개/NNG+(/SS+십이령/NNP+)/SS+를/JKO
넘어	넘/VV+어/EC
울진과	울진/NNP+과/JC
봉화를	봉화/NNP+를/JKO
오가면서	오가/VV+면서/EC
물물교환을	물물/NNG+교환/NNG+을/JKO
하던	하/VV+던/ETM
행상들이	행상/NNG+들/XSN+이/JKS
접장	접장/NNG
정한조와	정한조/NNP+와/JC
반수	반수/NNG
권재만의	권재만/NNP+의/JKG
은공을	은공/NNG+을/JKO
기리고자	기리/VV+고자/EC
세운	세우/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.362.3.4
<객주>를 쓰기 위해 보부상들의 자취가 남아 있는 전국 곳곳을 찾아다녔던 작가는 “다른 어느 곳에서도 이런 비는 보지 못했다”는 말로 비의 의미를 평가했다.

<객주>를	</SS+객주/NNP+>/SS+를/JKO
쓰기	쓰/VV+기/ETN
위해	위하/VV+아/EC
보부상들의	보부상/NNG+들/XSN+의/JKG
자취가	자취/NNG+가/JKS
남아	남/VV+아/EC
있는	있/VX+는/ETM
전국	전국/NNG
곳곳을	곳곳/NNG+을/JKO
찾아다녔던	찾아다니/VV+었/EP+던/ETM
작가는	작가/NNG+는/JX
“다른	“/SS+다른/MMD
어느	어느/MMD
곳에서도	곳/NNG+에서/JKB+도/JX
이런	이런/MMD
비는	비/NNG+는/JX
보지	보/VV+지/EC
못했다”는	못하/VX+았/EP+다/EF+”/SS+는/ETM
말로	말/NNG+로/JKB
비의	비/NNG+의/JKG
의미를	의미/NNG+를/JKO
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.362.4.1
6·25 전쟁 직후까지도 보부상들과 그들의 후예라 할 선질꾼(지게에 짐을 져 나르던 이)들의 경로였던 이 길에 지금은 ‘금강소나무숲길’이라는 이름이 붙어 있다.

6·25	6/SN+·/SP+25/SN
전쟁	전쟁/NNG
직후까지도	직후/NNG+까지/JX+도/JX
보부상들과	보부상/NNG+들/XSN+과/JC
그들의	그/NP+들/XSN+의/JKG
후예라	후예/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
선질꾼(지게에	선질꾼/NNG+(/SS+지게/NNG+에/JKB
짐을	짐/NNG+을/JKO
져	지/VV+어/EC
나르던	나르/VV+던/ETM
이)들의	이/NNB+)/SS+들/XSN+의/JKG
경로였던	경로/NNG+이/VCP+었/EP+던/ETM
이	이/MMD
길에	길/NNG+에/JKB
지금은	지금/NNG+은/JX
‘금강소나무숲길’이라는	‘/SS+금강/NNP+소나무/NNG+숲길/NNG+’/SS+이/VCP+라는/ETM
이름이	이름/NNG+이/JKS
붙어	붙/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.362.4.2
적송 또는 춘양목이라는 이름으로 잘 알려진 금강송 군락지와 옛 보부상길을 결합한 트레킹 코스에 울진군이 붙인 이름이다.

적송	적송/NNG
또는	또는/MAG
춘양목이라는	춘양목/NNG+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
금강송	금강송/NNG
군락지와	군락지/NNG+와/JKB
옛	옛/MMA
보부상길을	보부상/NNG+길/NNG+을/JKO
결합한	결합/NNG+하/XSV+ㄴ/ETM
트레킹	트레킹/NNG
코스에	코스/NNG+에/JKB
울진군이	울진군/NNP+이/JKS
붙인	붙이/VV+ㄴ/ETM
이름이다.	이름/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.362.4.3
지난 7월20일 정식 개통한 이 길은 제주 올레길과 지리산 둘레길, 서울 성곽길, 강원도 바우길 등 걷기 열풍을 주도하고 있는 길 시리즈의 막내 격인 셈인데, 입소문이 나면서 벌써 3200여명이 다녀갔다.

지난	지나/VV+ㄴ/ETM
7월20일	7/SN+월/NNB+20/SN+일/NNB
정식	정식/NNG
개통한	개통/NNG+하/XSV+ㄴ/ETM
이	이/MMD
길은	길/NNG+은/JX
제주	제주/NNP
올레길과	올레길/NNP+과/JC
지리산	지리산/NNP
둘레길,	둘레/NNG+길/NNG+,/SP
서울	서울/NNP
성곽길,	성곽/NNG+길/NNG+,/SP
강원도	강원도/NNP
바우길	바우/NNG+길/NNG
등	등/NNB
걷기	걷기/NNG
열풍을	열풍/NNG+을/JKO
주도하고	주도/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
길	길/NNG
시리즈의	시리즈/NNG+의/JKG
막내	막내/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
셈인데,	셈/NNB+이/VCP+ㄴ데/EC+,/SP
입소문이	입소문/NNG+이/JKS
나면서	나/VV+면서/EC
벌써	벌써/MAG
3200여명이	3200/SN+여/XSN+명/NNB+이/JKS
다녀갔다.	다녀가/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.362.4.4
생태계 보존을 위해 하루 입장객을 80명으로 제한하고 있음에도 숲 해설사들이 동행하면서 길을 안내함은 물론 길의 자연과 역사·문화에 관한 설명을 곁들이는 등의 차별화한 전략이 먹혀들고 있는 것으로 판단된다.

생태계	생태/NNG+계/XSN
보존을	보존/NNG+을/JKO
위해	위하/VV+아/EC
하루	하루/NNG
입장객을	입장객/NNG+을/JKO
80명으로	80/SN+명/NNB+으로/JKB
제한하고	제한/NNG+하/XSV+고/EC
있음에도	있/VX+음/ETN+에/JKB+도/JX
숲	숲/NNG
해설사들이	해설사/NNG+들/XSN+이/JKS
동행하면서	동행/NNG+하/XSV+면서/EC
길을	길/NNG+을/JKO
안내함은	안내/NNG+하/XSV+ㅁ/ETN+은/JX
물론	물론/MAG
길의	길/NNG+의/JKG
자연과	자연/NNG+과/JC
역사·문화에	역사/NNG+·/SP+문화/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
설명을	설명/NNG+을/JKO
곁들이는	곁들이/VV+는/ETM
등의	등/NNB+의/JKG
차별화한	차별/NNG+화/XSN+하/XSV+ㄴ/ETM
전략이	전략/NNG+이/JKS
먹혀들고	먹혀들/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
판단된다.	판단/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.362.4.5
김주영씨 일행이 답사에 나선 16일에도 대구지하철공사 산악회 ‘대지맥’ 회원들과 울진군 숲 해설사 양성 과정 교육생, 그리고 개별 신청자 등이 이 길을 걸었다.

김주영씨	김주영/NNP+씨/NNB
일행이	일행/NNG+이/JKS
답사에	답사/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
16일에도	16/SN+일/NNB+에/JKB+도/JX
대구지하철공사	대구지하철공사/NNP
산악회	산악회/NNG
‘대지맥’	‘/SS+대지맥/NNP+’/SS
회원들과	회원/NNG+들/XSN+과/JKB
울진군	울진군/NNP
숲	숲/NNG
해설사	해설사/NNG
양성	양성/NNG
과정	과정/NNG
교육생,	교육/NNG+생/XSN+,/SP
그리고	그리고/MAJ
개별	개별/NNG
신청자	신청자/NNG
등이	등/NNB+이/JKS
이	이/MMD
길을	길/NNG+을/JKO
걸었다.	걷/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.362.5.1
북면 두천리에서 서면 소광2리에 이르는 13.5㎞는 전체 70㎞에 모두 네 구간으로 계획된 금강소나무숲길 가운데 현재 유일하게 개통된 길이다.

북면	북면/NNP
두천리에서	두천리/NNP+에서/JKB
서면	서면/NNP
소광2리에	소광2리/NNP+에/JKB
이르는	이르/VV+는/ETM
13.5㎞는	13/SN+./SP+5/SN+㎞/SW+는/JX
전체	전체/NNG
70㎞에	70/SN+㎞/SW+에/JKB
모두	모두/MAG
네	네/MMN
구간으로	구간/NNG+으로/JKB
계획된	계획/NNG+되/XSV+ㄴ/ETM
금강소나무숲길	금강/NNP+소나무/NNG+숲길/NNG
가운데	가운데/NNG
현재	현재/MAG
유일하게	유일/NNG+하/XSA+게/EC
개통된	개통/NNG+되/XSV+ㄴ/ETM
길이다.	길/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.362.5.2
천연기념물인 산양 서식지를 통과하는 이 길은 호젓한 오솔길과 차마고도를 연상시키는 아찔한 절벽길 등으로 이루어진 아름다운 구간이다.

천연기념물인	천연기념물/NNG+이/VCP+ㄴ/ETM
산양	산양/NNG
서식지를	서식지/NNG+를/JKO
통과하는	통과/NNG+하/XSV+는/ETM
이	이/MMD
길은	길/NNG+은/JX
호젓한	호젓하/VA+ㄴ/ETM
오솔길과	오솔길/NNG+과/JC
차마고도를	차마고도/NNP+를/JKO
연상시키는	연상/NNG+시키/XSV+는/ETM
아찔한	아찔/MAG+하/XSA+ㄴ/ETM
절벽길	절벽/NNG+길/NNG
등으로	등/NNB+으로/JKB
이루어진	이루어지/VV+ㄴ/ETM
아름다운	아름답/VA+ㄴ/ETM
구간이다.	구간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.362.5.3
언덕에 올라서면 멀리 동해 바다가 선명하게 내려다보이고, 조령 성황사 아래 주막터에는 봉놋방 구들과 화전민들이 쓰던 깨진 쇠솥도 남아 있으며, 좀더 내려가면 1830~40년대의 것으로 추정되는 ‘현령 공덕비’도 서 있다.

언덕에	언덕/NNG+에/JKB
올라서면	올라서/VV+면/EC
멀리	멀리/MAG
동해	동해/NNP
바다가	바다/NNG+가/JKS
선명하게	선명/NNG+하/XSA+게/EC
내려다보이고,	내려다보이/VV+고/EC+,/SP
조령	조령/NNP
성황사	성황사/NNP
아래	아래/NNG
주막터에는	주막터/NNG+에/JKB+는/JX
봉놋방	봉놋방/NNG
구들과	구들/NNG+과/JC
화전민들이	화전민/NNG+들/XSN+이/JKS
쓰던	쓰/VV+던/ETM
깨진	깨지/VV+ㄴ/ETM
쇠솥도	쇠솥/NNG+도/JX
남아	남/VV+아/EC
있으며,	있/VX+으며/EC+,/SP
좀더	좀/MAG+더/MAG
내려가면	내려가/VV+면/EC
1830~40년대의	1830/SN+~/SO+40/SN+년대/NNB+의/JKG
것으로	것/NNB+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
‘현령	‘/SS+현령/NNG
공덕비’도	공덕비/NNG+’/SS+도/JX
서	서/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.362.5.4
김주영씨는 “보부상들의 흔적을 비롯한 이런 유적들은 가능하다면 원형에 가깝게 복원해서 후손들이 선인의 자취를 느낄 수 있게 하면 좋겠다”고 말했다.

김주영씨는	김주영/NNP+씨/NNB+는/JX
“보부상들의	“/SS+보부상/NNG+들/XSN+의/JKG
흔적을	흔적/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
이런	이런/MMD
유적들은	유적/NNG+들/XSN+은/JX
가능하다면	가능/NNG+하/XSA+다면/EC
원형에	원형/NNG+에/JKB
가깝게	가깝/VA+게/EC
복원해서	복원/NNG+하/XSV+아서/EC
후손들이	후손/NNG+들/XSN+이/JKS
선인의	선인/NNG+의/JKG
자취를	자취/NNG+를/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하면	하/VX+면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.362.6.1
답사 이틀째인 17일은 내년 개통 예정으로 아직 일반에는 개방되지 않은 2구간 12㎞를 걸었다.

답사	답사/NNG
이틀째인	이틀/NNG+째/XSN+이/VCP+ㄴ/ETM
17일은	17/SN+일/NNB+은/JX
내년	내년/NNG
개통	개통/NNG
예정으로	예정/NNG+으로/JKB
아직	아직/MAG
일반에는	일반/NNG+에/JKB+는/JX
개방되지	개방/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
2구간	2/SN+구간/NNG
12㎞를	12/SN+㎞/SW+를/JKO
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.362.6.2
시멘트로 포장된 임도와 겹치는 구간이 많다는 점이 아쉬웠지만, 낙엽과 부식토에 덮여 있는 원시림을 지날 때에는 100여년 전 보부상들이 금방이라도 튀어나올 것 같았다.

시멘트로	시멘트/NNG+로/JKB
포장된	포장/NNG+되/XSV+ㄴ/ETM
임도와	임도/NNG+와/JKB
겹치는	겹치/VV+는/ETM
구간이	구간/NNG+이/JKS
많다는	많/VA+다는/ETM
점이	점/NNG+이/JKS
아쉬웠지만,	아쉽/VA+었/EP+지만/EC+,/SP
낙엽과	낙엽/NNG+과/JC
부식토에	부식토/NNG+에/JKB
덮여	덮이/VV+어/EC
있는	있/VX+는/ETM
원시림을	원시림/NNG+을/JKO
지날	지나/VV+ㄹ/ETM
때에는	때/NNG+에/JKB+는/JX
100여년	100/SN+여/XSN+년/NNB
전	전/NNG
보부상들이	보부상/NNG+들/XSN+이/JKS
금방이라도	금방/MAG+이/VCP+라도/EC
튀어나올	튀어나오/VV+ㄹ/ETM
것	것/NNB
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000028.362.6.3
근방에서 오랫동안 살았다는 숲 해설사 박영웅(67)씨가 어릴 적 목격한 보부상들에 대해 설명하고 그들이 길을 가면서 불렀던 노래를 들려 주었다.

근방에서	근방/NNG+에서/JKB
오랫동안	오랫동안/NNG
살았다는	살/VV+았/EP+다는/ETM
숲	숲/NNG
해설사	해설사/NNG
박영웅(67)씨가	박영웅/NNP+(/SS+67/SN+)/SS+씨/NNB+가/JKS
어릴	어리/VA+ㄹ/ETM
적	적/NNB
목격한	목격/NNG+하/XSV+ㄴ/ETM
보부상들에	보부상/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
설명하고	설명/NNG+하/XSV+고/EC
그들이	그/NP+들/XSN+이/JKS
길을	길/NNG+을/JKO
가면서	가/VV+면서/EC
불렀던	부르/VV+었/EP+던/ETM
노래를	노래/NNG+를/JKO
들려	들리/VV+어/EC
주었다.	주/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.362.7.1
일행은 답사 마지막 날인 18일은 오전에 보부상길에 인접한 금강송 군락지를 산책한 뒤 그곳에서 오후에 열린 ‘산의 날’ 행사에 참가했다.

일행은	일행/NNG+은/JX
답사	답사/NNG
마지막	마지막/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
18일은	18/SN+일/NNB+은/JX
오전에	오전/NNG+에/JKB
보부상길에	보부상/NNG+길/NNG+에/JKB
인접한	인접/NNG+하/XSV+ㄴ/ETM
금강송	금강송/NNG
군락지를	군락지/NNG+를/JKO
산책한	산책/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
그곳에서	그곳/NP+에서/JKB
오후에	오후/NNG+에/JKB
열린	열리/VV+ㄴ/ETM
‘산의	‘/SS+산/NNG+의/JKG
날’	날/NNG+’/SS
행사에	행사/NNG+에/JKB
참가했다.	참가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.362.7.2
나흘에 걸친 답사를 마친 김주영씨는 “보부상길은 사람과 물자가 오가고 역사와 문화가 아로새겨진 길이기 때문에 걷지 않고 보고만 있어도 무궁한 이야기가 흘러나온다”며 “주인공 천봉삼과 월이가 어딘가로 떠나는 것으로 처리된 <객주> 9권의 이야기를 이어서, 울진 보부상길을 무대로 삼은 제10권을 쓸 생각”이라는 말로 보부상길 복원 프로젝트에 방점을 찍었다.

나흘에	나흘/NNG+에/JKB
걸친	걸치/VV+ㄴ/ETM
답사를	답사/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
김주영씨는	김주영/NNP+씨/NNB+는/JX
“보부상길은	“/SS+보부상/NNG+길/NNG+은/JX
사람과	사람/NNG+과/JC
물자가	물자/NNG+가/JKS
오가고	오가/VV+고/EC
역사와	역사/NNG+와/JC
문화가	문화/NNG+가/JKS
아로새겨진	아로새기/VV+어/EC+지/VX+ㄴ/ETM
길이기	길/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
걷지	걷/VV+지/EC
않고	않/VX+고/EC
보고만	보/VV+고/EC+만/JX
있어도	있/VX+어도/EC
무궁한	무궁/NNG+하/XSA+ㄴ/ETM
이야기가	이야기/NNG+가/JKS
흘러나온다”며	흘러나오/VV+ㄴ다/EF+”/SS+며/EC
“주인공	“/SS+주인공/NNG
천봉삼과	천봉삼/NNP+과/JC
월이가	월이/NNP+가/JKS
어딘가로	어디/NP+이/VCP+ㄴ가/EF+로/JKB
떠나는	떠나/VV+는/ETM
것으로	것/NNB+으로/JKB
처리된	처리/NNG+되/XSV+ㄴ/ETM
<객주>	</SS+객주/NNP+>/SS
9권의	9/SN+권/NNB+의/JKG
이야기를	이야기/NNG+를/JKO
이어서,	잇/VV+어서/EC+,/SP
울진	울진/NNP
보부상길을	보부상/NNG+길/NNG+을/JKO
무대로	무대/NNG+로/JKB
삼은	삼/VV+은/ETM
제10권을	제/XPN+10/SN+권/NNB+을/JKO
쓸	쓰/VV+ㄹ/ETM
생각”이라는	생각/NNG+”/SS+이/VCP+라는/ETM
말로	말/NNG+로/JKB
보부상길	보부상/NNG+길/NNG
복원	복원/NNG
프로젝트에	프로젝트/NNG+에/JKB
방점을	방점/NNG+을/JKO
찍었다.	찍/VV+었/EP+다/EF+./SF


