# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.243
metadata : {}


# id : NWRW1800000049.243.1.1
서울-경주대회, 올해의 ‘세계 10대 마라톤’

서울-경주대회,	서울/NNP+-/SO+경주/NNP+대회/NNG+,/SP
것은	것/NNB+은/JX
물론이고	물론/NNG+이/VCP+고/EC
코스와	코스/NNG+와/JC
기록도	기록/NNG+도/JX
좋아야	좋/VA+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.243.8.4
서울 대회는 7년 연속 골드라벨을 인증받았다.

서울	서울/NNP
대회는	대회/NNG+는/JX
7년	7/SN+년/NNB
연속	연속/NNG
골드라벨을	골드라벨/NNG+을/JKO
인증받았다.	인증/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.243.8.5
경주 대회는 국제 여자 부문이 없어 라벨 인증을 받지 못했다.

경주	경주/NNP
대회는	대회/NNG+는/JX
국제	국제/NNG
여자	여자/NNG
부문이	부문/NNG+이/JKS
없어	없/VA+어/EC
라벨	라벨/NNG
인증을	인증/NNG+을/JKO
받지	받/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


