# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.303
metadata : {}


# id : NWRW1800000022.303.1.1
대형주에 밀린 가치주펀드… 제값 할 날 오나;3개월 수익, 평균의 절반 조정기인 지금 투자할만 세제개편땐 더 유리해져

대형주에	대형주/NNG+에/JKB
한국투자밸류자산운용은 회사 이름에서 볼 수 있듯이 가치투자를 기치로 내건 자산운용사다.

한국투자밸류자산운용은	한국투자밸류자산운용/NNP+은/JX
회사	회사/NNG
이름에서	이름/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있듯이	있/VA+듯이/EC
가치투자를	가치/NNG+투자/NNG+를/JKO
기치로	기치/NNG+로/JKB
내건	내걸/VV+ㄴ/ETM
자산운용사다.	자산/NNG+운용사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.303.4.2
펀드평가사 제로인에 따르면 이 회사의 대표펀드로서 설정액이 1조2000억원이 넘는 '한국밸류10년투자증권투자신탁1(주식)'의 최근 3개월 수익률은 6.59%다.

펀드평가사	펀드/NNG+평가사/NNG
제로인에	제로인/NNP+에/JKB
따르면	따르/VV+면/EC
이	이/MMD
회사의	회사/NNG+의/JKG
대표펀드로서	대표/NNG+펀드/NNG+로서/JKB
설정액이	설정액/NNG+이/JKS
1조2000억원이	1/SN+조/NR+2000/SN+억/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
'한국밸류10년투자증권투자신탁1(주식)'의	'/SS+한국밸류10년투자증권투자신탁1/NNP+(/SS+주식/NNG+)/SS+'/SS+의/JKG
최근	최근/NNG
3개월	3/SN+개월/NNB
수익률은	수익/NNG+률/XSN+은/JX
6.59%다.	6/SN+./SP+59/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000022.303.4.3
이 기간 국내 주식형펀드 평균 수익률(12.6%)의 절반 수준이다.

이	이/MMD
기간	기간/NNG
국내	국내/NNG
주식형펀드	주식/NNG+형/XSN+펀드/NNG
평균	평균/NNG
수익률(12.6%)의	수익/NNG+률/XSN+(/SS+12/SN+./SP+6/SN+%/SW+)/SS+의/JKG
절반	절반/NNG
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.303.5.1
또 다른 대표적인 가치주펀드인 신한BNPP자산운용의 '신한BNPP Tops Value증권투자신탁 1[주식]'이나 세이에셋코리아자산운용의 '세이가치형증권투자신탁(주식)ClassA1'의 최근 3개월 수익률도 주식형펀드보다 4~5%포인트 정도 나빴다.

또	또/MAG
다른	다른/MMD
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
가치주펀드인	가치주/NNG+펀드/NNG+이/VCP+ㄴ/ETM
신한BNPP자산운용의	신한/NNP+BNPP/SL+자산/NNG+운용/NNG+의/JKG
'신한BNPP	'/SS+신한/NNP+BNPP/SL
Tops	Tops/SL
Value증권투자신탁	Value/SL+증권/NNG+투자/NNG+신탁/NNG
1[주식]'이나	1/SN+[/SS+주식/NNG+]/SS+'/SS+이나/JC
세이에셋코리아자산운용의	세이에셋코리아자산운용/NNP+의/JKG
'세이가치형증권투자신탁(주식)ClassA1'의	'/SS+세이/NNP+가치/NNG+형/XSN+증권/NNG+투자/NNG+신탁/NNG+(/SS+주식/NNG+)/SS+ClassA/SL+1/SN+'/SS+의/JKG
최근	최근/NNG
3개월	3/SN+개월/NNB
수익률도	수익/NNG+률/XSN+도/JX
주식형펀드보다	주식/NNG+형/XSN+펀드/NNG+보다/JKB
4~5%포인트	4/SN+~/SO+5/SN+%포인트/NNG
정도	정도/NNG
나빴다.	나쁘/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.303.5.2
보통 대세 상승장에서는 성장주가 큰 폭으로 오르고 약세장에서는 가치주가 선방하는 것이 일반적인 흐름임을 감안해도 수익률 격차가 크게 벌어지고 있다.

보통	보통/MAG
대세	대세/NNG
상승장에서는	상승장/NNG+에서/JKB+는/JX
성장주가	성장주/NNG+가/JKS
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
오르고	오르/VV+고/EC
약세장에서는	약세장/NNG+에서/JKB+는/JX
가치주가	가치주/NNG+가/JKS
선방하는	선방/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
흐름임을	흐름/NNG+이/VCP+ㅁ/ETN+을/JKO
감안해도	감안/NNG+하/XSV+아도/EC
수익률	수익/NNG+률/XSN
격차가	격차/NNG+가/JKS
크게	크/VA+게/EC
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.303.6.1
◆소수 대형주 위주 장세에서 중·소형주 위주 가치주펀드 소외돼

◆소수	◆/SW+소수/NNG
대형주	대형주/NNG
위주	위주/NNG
장세에서	장세/NNG+에서/JKB
중·소형주	중·소형주/NNG
가치주펀드	가치주/NNG+펀드/NNG
소외돼	소외/NNG+되/XSV+어/EF


# id : NWRW1800000022.303.7.1
이처럼 최근 대표적인 가치주 펀드가 힘을 못 쓰고 있는 것은 최근 주식시장이 소수의 대형주 위주로 움직이기 때문으로 분석된다.

이처럼	이/NP+처럼/JKB
최근	최근/NNG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
가치주	가치주/NNG
펀드가	펀드/NNG+가/JKS
힘을	힘/NNG+을/JKO
못	못/MAG
쓰고	쓰/VV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
주식시장이	주식/NNG+시장/NNG+이/JKS
소수의	소수/NNG+의/JKG
대형주	대형주/NNG
위주로	위주/NNG+로/JKB
움직이기	움직이/VV+기/ETN
때문으로	때문/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.303.7.2
특히 증시 수급의 주도권을 쥔 외국인은 IT·자동차·은행업종 대형주를 주로 사들였다.

특히	특히/MAG
증시	증시/NNG
수급의	수급/NNG+의/JKG
주도권을	주도/NNG+권/XSN+을/JKO
쥔	쥐/VV+ㄴ/ETM
외국인은	외국인/NNG+은/JX
IT·자동차·은행업종	IT/SL+·/SP+자동차/NNG+·/SP+은행/NNG+업종/NNG
대형주를	대형주/NNG+를/JKO
주로	주로/MAG
사들였다.	사들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.303.7.3
가치주펀드들이 투자하는 저평가 주식들은 중·소형주가 많기 때문에 대형주 위주로 운용되는 일반 주식형펀드에 비해 수익률이 저조하다는 것이다.

가치주펀드들이	가치주/NNG+펀드/NNG+들/XSN+이/JKS
투자하는	투자/NNG+하/XSV+는/ETM
저평가	저/XPN+평가/NNG
주식들은	주식/NNG+들/XSN+은/JX
중·소형주가	중·소형주/NNG+가/JKS
많기	많/VA+기/ETN
때문에	때문/NNB+에/JKB
대형주	대형주/NNG
위주로	위주/NNG+로/JKB
운용되는	운용/NNG+되/XSV+는/ETM
일반	일반/NNG
주식형펀드에	주식/NNG+형/XSN+펀드/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
수익률이	수익/NNG+률/XSN+이/JKS
저조하다는	저조/NNG+하/XSA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.303.7.4
실제로 최근 3개월간 유가증권시장에서 대형주 지수는 약 17% 상승한 데 비해 중형주와 소형주 지수는 각각 5.6%, 5.4%씩 상승하는 데 그쳤다.

실제로	실제로/MAG
최근	최근/NNG
3개월간	3/SN+개월/NNB+간/XSN
유가증권시장에서	유가/NNG+증권/NNG+시장/NNG+에서/JKB
대형주	대형주/NNG
지수는	지수/NNG+는/JX
약	약/MMA
17%	17/SN+%/SW
상승한	상승/NNG+하/XSV+ㄴ/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
중형주와	중형주/NNG+와/JC
소형주	소형주/NNG
각각	각각/MAG
5.6%,	5/SN+./SP+6/SN+%/SW+,/SP
5.4%씩	5/SN+./SP+4/SN+%/SW+씩/XSN
상승하는	상승/NNG+하/XSV+는/ETM
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.303.8.1
가치주펀드 가운데서도 상대적으로 대형주 편입 비중이 높은 펀드는 수익률이 양호했다.

가치주펀드	가치주/NNG+펀드/NNG
가운데서도	가운데/NNG+서/JKB+도/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
대형주	대형주/NNG
편입	편입/NNG
비중이	비중/NNG+이/JKS
높은	높/VA+은/ETM
펀드는	펀드/NNG+는/JX
수익률이	수익/NNG+률/XSN+이/JKS
양호했다.	양호/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000022.303.8.2
신영자산운용의 '신영마라톤증권투자신탁(주식)A'의 경우 지난 6월 1일 기준 편입 상위 종목에 삼성전자, LG처럼 최근 외국인이 많이 사들인 종목을 비롯해 대형주가 대거 포함돼 있었다.

신영자산운용의	신영자산운용/NNP+의/JKG
'신영마라톤증권투자신탁(주식)A'의	'/SS+신영마라톤증권투자신탁(주식)A/NNP+'/SS+의/JKG
경우	경우/NNG
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
1일	1/SN+일/NNB
기준	기준/NNG
편입	편입/NNG
상위	상위/NNG
종목에	종목/NNG+에/JKB
삼성전자,	삼성전자/NNP+,/SP
LG처럼	LG/SL+처럼/JKB
최근	최근/NNG
외국인이	외국인/NNG+이/JKS
많이	많이/MAG
사들인	사들이/VV+ㄴ/ETM
종목을	종목/NNG+을/JKO
비롯해	비롯하/VV+아/EC
대형주가	대형주/NNG+가/JKS
대거	대거/MAG
포함돼	포함/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.303.8.3
이 펀드의 최근 3개월 수익률은 주식형펀드 평균 수익률과 비슷한 12.15%를 기록했다.

이	이/MMD
펀드의	펀드/NNG+의/JKG
최근	최근/NNG
3개월	3/SN+개월/NNB
수익률은	수익/NNG+률/XSN+은/JX
주식형펀드	주식/NNG+형/XSN+펀드/NNG
평균	평균/NNG
수익률과	수익/NNG+률/XSN+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
12.15%를	12/SN+./SP+15/SN+%/SW+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.303.8.4
이에 비해 한국밸류10년투자증권투자신탁1은 KT, 한국전력처럼 상승에서 소외된 대형주와 남양유업, 경동가스 같은 중·소형주가 편입 상위 종목을 구성했다.

이에	이/NP+에/JKB
비해	비/NNG+하/XSV+아/EC
한국밸류10년투자증권투자신탁1은	한국밸류10년투자증권투자신탁1/NNP+은/JX
KT,	KT/SL+,/SP
한국전력처럼	한국전력/NNP+처럼/JKB
상승에서	상승/NNG+에서/JKB
소외된	소외/NNG+되/XSV+ㄴ/ETM
대형주와	대형주/NNG+와/JC
남양유업,	남양유업/NNP+,/SP
경동가스	경동가스/NNP
같은	같/VA+은/ETM
중·소형주가	중·소형주/NNG+가/JKS
편입	편입/NNG
상위	상위/NNG
종목을	종목/NNG+을/JKO
구성했다.	구성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.303.8.5
오대정 대우증권 WM리서치팀장은 "한국밸류10년의 경우 가치주펀드이면서 동시에 중·소형주 펀드이기 때문에 최근 대형주 위주의 장세에서 크게 소외됐다"고 말했다.

오대정	오대정/NNP
대우증권	대우증권/NNP
WM리서치팀장은	WM/SL+리서치/NNG+팀장/NNG+은/JX
"한국밸류10년의	"/SS+한국밸류/NNP+10/SN+년/NNB+의/JKG
경우	경우/NNG
가치주펀드이면서	가치주/NNG+펀드/NNG+이/VCP+면서/EC
동시에	동시/NNG+에/JKB
중·소형주	중·소형주/NNG
펀드이기	펀드/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
최근	최근/NNG
대형주	대형주/NNG
위주의	위주/NNG+의/JKG
장세에서	장세/NNG+에서/JKB
크게	크/VA+게/EC
소외됐다"고	소외/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.303.9.1
◆조정기가 투자에 유리할 수도, 증권거래세 부과되면 매력 높아져

◆조정기가	◆/SW+조정기/NNG+가/JKS
투자에	투자/NNG+에/JKB
유리할	유리/NNG+하/XSA+ㄹ/ETM
수도,	수/NNB+도/JX+,/SP
증권거래세	증권/NNG+거래세/NNG
부과되면	부과/NNG+되/XSV+면/EC
매력	매력/NNG
높아져	높아지/VV+어/EF


# id : NWRW1800000022.303.10.1
최근 가치주펀드가 약세를 보이고 있지만, 증시 전문가들은 지금이 투자하기에는 유리할 수 있다고 말한다.

최근	최근/NNG
가치주펀드가	가치주/NNG+펀드/NNG+가/JKS
약세를	약세/NNG+를/JKO
보이고	보이/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
증시	증시/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
지금이	지금/NNG+이/JKS
투자하기에는	투자/NNG+하/XSV+기에/EC+는/JX
유리할	유리/NNG+하/XSA+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.303.10.2
이계웅 신한금융투자 펀드리서치팀장은 "가치주펀드 투자는 싼 주식을 장기보유함으로써 수익을 내기 때문에 장기적으로 보면 요즘 같은 조정기가 투자의 적기일 수 있다"며 "특히 시장이 조정을 받을 경우엔 방어적인 성격을 가진 가치주펀드가 선방할 수 있다"고 말했다.

이계웅	이계웅/NNP
신한금융투자	신한금융투자/NNP
펀드리서치팀장은	펀드/NNG+리서치/NNG+팀장/NNG+은/JX
"가치주펀드	"/SS+가치주/NNG+펀드/NNG
투자는	투자/NNG+는/JX
싼	싸/VA+ㄴ/ETM
주식을	주식/NNG+을/JKO
장기보유함으로써	장기/NNG+보유/NNG+하/XSV+ㅁ/ETN+으로써/JKB
수익을	수익/NNG+을/JKO
내기	내/VV+기/ETN
때문에	때문/NNB+에/JKB
장기적으로	장기/NNG+적/XSN+으로/JKB
보면	보/VV+면/EC
요즘	요즘/NNG
같은	같/VA+은/ETM
조정기가	조정기/NNG+가/JKS
투자의	투자/NNG+의/JKG
적기일	적기/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"특히	"/SS+특히/MAG
시장이	시장/NNG+이/JKS
조정을	조정/NNG+을/JKO
받을	받/VV+을/ETM
경우엔	경우/NNG+에/JKB+ㄴ/JX
방어적인	방어/NNG+적/XSN+이/VCP+ㄴ/ETM
성격을	성격/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
가치주펀드가	가치주/NNG+펀드/NNG+가/JKS
선방할	선방/NNG+하/XSV+ㄹ/ETM
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.303.11.1
지난달 25일 기획재정부가 발표한 세제개편안에 따라 앞으로 공모펀드에 증권거래세가 부과되는 점도 가치주펀드 투자의 매력을 높이는 요인이다.

지난달	지난달/NNG
25일	25/SN+일/NNB
기획재정부가	기획/NNG+재정부/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
세제개편안에	세제/NNG+개편안/NNG+에/JKB
따라	따르/VV+아/EC
앞으로	앞/NNG+으로/JKB
공모펀드에	공모/NNG+펀드/NNG+에/JKB
증권거래세가	증권/NNG+거래세/NNG+가/JKS
부과되는	부과/NNG+되/XSV+는/ETM
점도	점/NNG+도/JX
가치주펀드	가치주/NNG+펀드/NNG
투자의	투자/NNG+의/JKG
매력을	매력/NNG+을/JKO
높이는	높이/VV+는/ETM
요인이다.	요인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.303.11.2
매매회전율(일정 기간에 매도한 주식금액을 같은 기간 평균적으로 보유한 주식평가액으로 나눈 것)이 300%일 경우 이번 증권거래세 부과로 인한 추가 비용은 약 1%에 달하는 것으로 조사됐다.

매매회전율(일정	매매/NNG+회전/NNG+율/XSN+(/SS+일정/NNG
기간에	기간/NNG+에/JKB
매도한	매도/NNG+하/XSV+ㄴ/ETM
주식금액을	주식/NNG+금액/NNG+을/JKO
같은	같/VA+은/ETM
기간	기간/NNG
평균적으로	평균/NNG+적/XSN+으로/JKB
보유한	보유/NNG+하/XSV+ㄴ/ETM
주식평가액으로	주식/NNG+평가액/NNG+으로/JKB
나눈	나누/VV+ㄴ/ETM
것)이	것/NNB+)/SS+이/JKS
300%일	300/SN+%/SW+이/VCP+ㄹ/ETM
경우	경우/NNG
이번	이번/NNG
증권거래세	증권/NNG+거래세/NNG
부과로	부과/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
추가	추가/NNG
비용은	비용/NNG+은/JX
약	약/MMA
1%에	1/SN+%/SW+에/JKB
달하는	달하/VV+는/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.303.11.3
금융투자협회에 따르면 대표적인 정통 주식형펀드인 '미래에셋디스커버리증권투자회사'의 매매회전율은 172%인 데 비해 한국밸류10년증권투자신탁1의 매매회전율은 11%에 불과한 것으로 나타났다.

금융투자협회에	금융투자협회/NNP+에/JKB
따르면	따르/VV+면/EC
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
정통	정통/NNG
주식형펀드인	주식/NNG+형/XSN+펀드/NNG+이/VCP+ㄴ/ETM
'미래에셋디스커버리증권투자회사'의	'/SS+미래에셋디스커버리증권투자회사/NNP+'/SS+의/JKG
매매회전율은	매매/NNG+회전/NNG+율/XSN+은/JX
172%인	172/SN+%/SW+이/VCP+ㄴ/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
한국밸류10년증권투자신탁1의	한국밸류10년증권투자신탁1/NNP+의/JKG
11%에	11/SN+%/SW+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


