# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.219
metadata : {}


# id : NWRW1800000036.219.1.1
새 경찰청장에 김기용

새	새/MMA
이날	이날/NNG
경찰위원회에	경찰/NNG+위원회/NNG+에/JKB
참석하기에	참석/NNG+하/XSV+기/ETN+에/JKB
앞서	앞서/VV+어/EC
기자들과	기자/NNG+들/XSN+과/JKB
만난	만나/VV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
김	김/NNP
내정자는	내정자/NNG+는/JX
“어렵고	“/SS+어렵/VA+고/EC
중차대한	중차대하/VA+ㄴ/ETM
시기에	시기/NNG+에/JKB
경찰청장	경찰청장/NNG
후보자로	후보자/NNG+로/JKB
내정돼	내정/NNG+되/XSV+어/EC
마음이	마음/NNG+이/JKS
무겁다”며	무겁/VA+다/EF+”/SS+며/EC
“경찰청장이	“/SS+경찰청장/NNG+이/JKC
되면	되/VV+면/EC
신속하게	신속/NNG+하/XSA+게/EC
조직을	조직/NNG+을/JKO
쇄신해	쇄신/NNG+하/XSV+아/EC
민생치안과	민생/NNG+치안/NNG+과/JC
법질서	법질서/NNG
확립에	확립/NNG+에/JKB
최선을	최선/NNG+을/JKO
다하겠다”고	다/MAG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
소감을	소감/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.219.7.2
그는 또 “수원 사건 때문에 경찰의 신뢰가 땅에 떨어졌다”며 “신속하게 국민 신뢰를 회복하는 데 최선을 다하겠다”고 덧붙였다.

그는	그/NP+는/JX
또	또/MAG
“수원	“/SS+수원/NNP
사건	사건/NNG
때문에	때문/NNB+에/JKB
경찰의	경찰/NNG+의/JKG
신뢰가	신뢰/NNG+가/JKS
땅에	땅/NNG+에/JKB
떨어졌다”며	떨어지/VV+었/EP+다/EF+”/SS+며/EC
“신속하게	“/SS+신속/NNG+하/XSA+게/EC
국민	국민/NNG
신뢰를	신뢰/NNG+를/JKO
회복하는	회복/NNG+하/XSV+는/ETM
데	데/NNB
최선을	최선/NNG+을/JKO
다하겠다”고	다/MAG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.219.8.1
경찰 안팎에서는 그동안 줄곧 경찰청장 후보로 거론됐던 이강덕 서울경찰청장을 제치고 김 내정자가 최종 후보로 낙점된 것에 대해 의외라는 반응이 많다.

경찰	경찰/NNG
안팎에서는	안팎/NNG+에서/JKB+는/JX
그동안	그동안/NNG
줄곧	줄곧/MAG
경찰청장	경찰청장/NNG
후보로	후보/NNG+로/JKB
거론됐던	거론/NNG+되/XSV+었/EP+던/ETM
이강덕	이강덕/NNP
서울경찰청장을	서울경찰청장/NNG+을/JKO
제치고	제치/VV+고/EC
김	김/NNP
내정자가	내정자/NNG+가/JKS
최종	최종/NNG
낙점된	낙점/NNG+되/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
의외라는	의외/NNG+이/VCP+라는/ETM
반응이	반응/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000036.219.8.2
이명박 대통령이 임기 말 안정적인 국정운영을 위해 이 서울청장을 경찰청장으로 임명할 것이라는 관측이 지배적이었기 때문이다.

이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
임기	임기/NNG
말	말/NNB
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
국정운영을	국정/NNG+운영/NNG+을/JKO
위해	위하/VV+아/EC
이	이/NNP
서울청장을	서울청장/NNG+을/JKO
경찰청장으로	경찰청장/NNG+으로/JKB
임명할	임명/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
지배적이었기	지배/NNG+적/XSN+이/VCP+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.219.8.3
김 내정자의 경우 치안정감에 임명된 지 4개월밖에 지나지 않은 탓에 조직 장악력이 떨어진다는 점도 약점으로 꼽혔다.

김	김/NNP
내정자의	내정자/NNG+의/JKG
경우	경우/NNG
치안정감에	치안정감/NNG+에/JKB
임명된	임명/NNG+되/XSV+ㄴ/ETM
지	지/NNB
4개월밖에	4/SN+개월/NNB+밖에/JX
지나지	지나/VV+지/EC
않은	않/VX+은/ETM
탓에	탓/NNG+에/JKB
조직	조직/NNG
장악력이	장악력/NNG+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
점도	점/NNG+도/JX
약점으로	약점/NNG+으로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.219.9.1
예상을 깨고 김 내정자가 경찰총수에 내정된 배경을 두고 이 대통령이 국회 청문회 통과를 위해 한걸음 물러섰다는 해석이 나온다.

예상을	예상/NNG+을/JKO
깨고	깨/VV+고/EC
김	김/NNP
내정자가	내정자/NNG+가/JKS
경찰총수에	경찰/NNG+총수/NNG+에/JKB
내정된	내정/NNG+되/XSV+ㄴ/ETM
배경을	배경/NNG+을/JKO
두고	두/VV+고/EC
이	이/NNP
대통령이	대통령/NNG+이/JKS
국회	국회/NNG
청문회	청문회/NNG
통과를	통과/NNG+를/JKO
위해	위하/VV+아/EC
한걸음	한걸음/NNG
물러섰다는	물러서/VV+었/EP+다는/ETM
해석이	해석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.219.9.2
이 서울청장은 이 대통령의 동향인 경북 포항 출신인데다 총리실 공직윤리지원관실의 민간인 불법사찰이 문제가 된 당시인 2008년 청와대 공직기강팀장을 맡았던 전력이 있어, ‘이강덕 카드’를 고집할 경우 여야를 막론한 정치권의 반발을 불러올 우려가 있다는 판단에 따른 것이라는 분석이다.

이	이/NNP
서울청장은	서울청장/NNG+은/JX
대통령의	대통령/NNG+의/JKG
동향인	동향/NNG+이/VCP+ㄴ/ETM
경북	경북/NNP
포항	포항/NNP
출신인데다	출신/NNG+이/VCP+ㄴ/ETM+데/NNB+다/JX
총리실	총리실/NNG
공직윤리지원관실의	공직/NNG+윤리/NNG+지원관실/NNG+의/JKG
민간인	민간인/NNG
불법사찰이	불법/NNG+사찰/NNG+이/JKS
문제가	문제/NNG+가/JKC
된	되/VV+ㄴ/ETM
당시인	당시/NNG+이/VCP+ㄴ/ETM
2008년	2008/SN+년/NNB
청와대	청와대/NNP
공직기강팀장을	공직/NNG+기강/NNG+팀장/NNG+을/JKO
맡았던	맡/VV+았/EP+던/ETM
전력이	전력/NNG+이/JKS
있어,	있/VA+어/EC+,/SP
‘이강덕	‘/SS+이강덕/NNP
카드’를	카드/NNG+’/SS+를/JKO
고집할	고집/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
여야를	여야/NNG+를/JKO
막론한	막론하/VV+ㄴ/ETM
정치권의	정치/NNG+권/XSN+의/JKG
반발을	반발/NNG+을/JKO
불러올	불러오/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다는	있/VA+다는/ETM
판단에	판단/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.219.10.1
한편에선 김 내정자가 육영수씨와 같은 충북 출신이라는 점을 들어, 박근혜 새누리당 비상대책위원장의 의중이 반영된 인사라는 평가도 나온다.

한편에선	한편/NNG+에서/JKB+ㄴ/JX
김	김/NNP
내정자가	내정자/NNG+가/JKS
육영수씨와	육영수/NNP+씨/NNB+와/JKB
같은	같/VA+은/ETM
충북	충북/NNP
출신이라는	출신/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
들어,	들/VV+어/EC+,/SP
박근혜	박근혜/NNP
새누리당	새누리당/NNP
비상대책위원장의	비상/NNG+대책/NNG+위원장/NNG+의/JKG
의중이	의중/NNG+이/JKS
반영된	반영/NNG+되/XSV+ㄴ/ETM
인사라는	인사/NNG+이/VCP+라는/ETM
평가도	평가/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.219.10.2
청와대의 설명에 따르면, 1974년부터 91년까지 15명의 치안본부장과 이후 16명의 경찰청장 등 31명의 역대 경찰총수 가운데 충북 출신은 단 한명도 없었다.

청와대의	청와대/NNP+의/JKG
설명에	설명/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
1974년부터	1974/SN+년/NNB+부터/JX
91년까지	91/SN+년/NNB+까지/JX
15명의	15/SN+명/NNB+의/JKG
치안본부장과	치안/NNG+본부장/NNG+과/JC
이후	이후/NNG
16명의	16/SN+명/NNB+의/JKG
경찰청장	경찰청장/NNG
등	등/NNB
31명의	31/SN+명/NNB+의/JKG
역대	역대/NNG
경찰총수	경찰/NNG+총수/NNG
가운데	가운데/NNG
충북	충북/NNP
출신은	출신/NNG+은/JX
단	단/MMA
한명도	한/MMN+명/NNB+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


