# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.29
metadata : {}


# id : NWRW1800000038.29.1.1
아베에 등 돌린 美언론들

아베에	아베/NNP+에/JKB
등의	등/NNB+의/JKG
분야에서	분야/NNG+에서/JKB
획기적인	획기적/NNG+이/VCP+ㄴ/ETM
조치를	조치/NNG+를/JKO
내놓았으나,	내놓/VV+았/EP+으나/EC+,/SP
최근	최근/MAG
삐뚤어진	삐뚤어지/VV+ㄴ/ETM
역사	역사/NNG
인식으로	인식/NNG+으로/JKB
자신이	자신/NNG+이/JKS
이룬	이루/VV+ㄴ/ETM
모든	모든/MMN
진전을	진전/NNG+을/JKO
스스로	스스로/MAG
위험에	위험/NNG+에/JKB
빠뜨렸다"며	빠뜨리/VV+었/EP+다/EF+"/SS+며/EC
"아베가	"/SS+아베/NNP+가/JKS
'침략'을	'/SS+침략/NNG+'/SS+을/JKO
부인한	부인/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
한국과	한국/NNP+과/JC
중국이	중국/NNP+이/JKS
격분하는	격분/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
이해되는	이해/NNG+되/XSV+는/ETM
반응이다.	반응/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.29.4.3
역사는 늘 재해석되지만 일본이 만주·중국을 점령하고 침략한 것은 명백한 사실"이라고 했다.

역사는	역사/NNG+는/JX
늘	늘/MAG
재해석되지만	재/XPN+해석/NNG+되/XSV+지만/EC
일본이	일본/NNP+이/JKS
만주·중국을	만주/NNP+·/SP+중국/NNP+을/JKO
점령하고	점령/NNG+하/XSV+고/EC
침략한	침략/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
명백한	명백하/VA+ㄴ/ETM
사실"이라고	사실/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.29.5.1
월스트리트저널(WSJ)도 이날 사설에서 "2차 세계대전을 누가 일으켰는지는 '지구가 태양을 돈다'는 것과 마찬가지로 이론의 여지가 없는 문제인데, 유독 아베만 '새로운 해석'을 하고 있다"고 지적했다.

월스트리트저널(WSJ)도	월스트리트저널/NNP+(/SS+WSJ/SL+)/SS+도/JX
이날	이날/NNG
사설에서	사설/NNG+에서/JKB
"2차	"/SS+2/SN+차/NNB
세계대전을	세계/NNG+대전/NNG+을/JKO
누가	누구/NP+가/JKS
일으켰는지는	일으키/VV+었/EP+는지/EC+는/JX
'지구가	'/SS+지구/NNG+가/JKS
태양을	태양/NNG+을/JKO
돈다'는	돌/VV+ㄴ다/EF+'/SS+는/ETM
것과	것/NNB+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
이론의	이론/NNG+의/JKG
여지가	여지/NNB+가/JKS
없는	없/VA+는/ETM
문제인데,	문제/NNG+이/VCP+ㄴ데/EC+,/SP
유독	유독/MAG
아베만	아베/NNP+만/JX
'새로운	'/SS+새롭/VA+ㄴ/ETM
해석'을	해석/NNG+'/SS+을/JKO
하고	하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.29.5.2
그러면서 "국제사회 구성원들이 2차대전 당시 일본이 저지른 잔혹 행위를 오래전에 용서하긴 했지만 그렇다고 그 시절의 과오를 잊은 것은 아니다"라며 "아베가 수치스러운 발언을 계속하면 국제사회에 일본의 친구는 없게 될 것"이라고 했다.

그러면서	그러/VV+면서/EC
"국제사회	"/SS+국제/NNG+사회/NNG
구성원들이	구성원/NNG+들/XSN+이/JKS
2차대전	2/SN+차/NNB+대전/NNG
당시	당시/NNG
일본이	일본/NNP+이/JKS
저지른	저지르/VV+ㄴ/ETM
잔혹	잔혹/NNG
행위를	행위/NNG+를/JKO
오래전에	오래전/NNG+에/JKB
용서하긴	용서/NNG+하/XSV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
그렇다고	그렇/VA+다고/EC
그	그/MMD
시절의	시절/NNG+의/JKG
과오를	과오/NNG+를/JKO
잊은	잊/VV+은/ETM
것은	것/NNB+은/JX
아니다"라며	아니/VCN+다/EF+"/SS+라며/EC
"아베가	"/SS+아베/NNP+가/JKS
수치스러운	수치/NNG+스럽/XSA+ㄴ/ETM
발언을	발언/NNG+을/JKO
계속하면	계속/NNG+하/XSV+면/EC
국제사회에	국제/NNG+사회/NNG+에/JKB
일본의	일본/NNP+의/JKG
친구는	친구/NNG+는/JX
없게	없/VA+게/EC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


