# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.154
metadata : {}


# id : NWRW1800000024.154.1.1
민주화 이후의 반민주

민주화	민주/NNG+화/XSN
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.154.2.6
점점 커지는 유신독재 반대 열기를 잠재우기 위한 극약처방이었으나 그것을 먹고 죽은 것은 반대세력이 아니었다.

점점	점점/MAG
커지는	커지/VV+는/ETM
유신독재	유신/NNG+독재/NNG
반대	반대/NNG
열기를	열기/NNG+를/JKO
잠재우기	잠재우/VV+기/ETN
위한	위하/VV+ㄴ/ETM
극약처방이었으나	극약/NNG+처방/NNG+이/VCP+었/EP+으나/EC
그것을	그것/NP+을/JKO
먹고	먹/VV+고/EC
죽은	죽/VV+은/ETM
것은	것/NNB+은/JX
반대세력이	반대/NNG+세력/NNG+이/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000024.154.2.7
박 전 대통령 자신이었다.

박	박/NNP
전	전/MMD
대통령	대통령/NNG
자신이었다.	자신/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.154.3.1
최근 이명박 정부가 신고제로 돼 있는 집회를 사실상 ‘허가제’로 바꿔, 촛불을 비롯한 각종 정부 비판 집회를 원천봉쇄하고 있다.

최근	최근/NNG
이명박	이명박/NNP
정부가	정부/NNG+가/JKS
신고제로	신고/NNG+제/XSN+로/JKB
돼	되/VV+어/EC
있는	있/VX+는/ETM
집회를	집회/NNG+를/JKO
사실상	사실/NNG+상/XSN
‘허가제’로	‘/SS+허가/NNG+제/XSN+’/SS+로/JKB
바꿔,	바꾸/VV+어/EC+,/SP
촛불을	촛불/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
각종	각종/NNG
정부	정부/NNG
비판	비판/NNG
원천봉쇄하고	원천/NNG+봉쇄/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.154.3.2
경찰은 이렇게 불법 집회를 유도한 뒤 여기에 참가한 시민을 마구잡이로 연행한다.

경찰은	경찰/NNG+은/JX
이렇게	이렇/VA+게/EC
불법	불법/NNG
집회를	집회/NNG+를/JKO
유도한	유도/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
여기에	여기/NP+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
시민을	시민/NNG+을/JKO
마구잡이로	마구잡이/NNG+로/JKB
연행한다.	연행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.154.3.3
검찰은 검거자를 전원 기소하겠다고 으름장을 놓는다.

검찰은	검찰/NNG+은/JX
검거자를	검거자/NNG+를/JKO
전원	전원/NNG
기소하겠다고	기소/NNG+하/XSV+겠/EP+다고/EC
으름장을	으름장/NNG+을/JKO
놓는다.	놓/VV+는다/EF+./SF


# id : NWRW1800000024.154.3.4
더 나아가 과잉진압에 항의해 기자회견을 하는 사람까지 잡아들인다.

더	더/MAG
나아가	나아가/VV+아/EC
과잉진압에	과잉/NNG+진압/NNG+에/JKB
항의해	항의/NNG+하/XSV+아/EC
기자회견을	기자/NNG+회견/NNG+을/JKO
하는	하/VV+는/ETM
사람까지	사람/NNG+까지/JX
잡아들인다.	잡아들이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.154.3.5
헌법이 보장하는 집회·시위의 자유는 온데간데없다.

헌법이	헌법/NNG+이/JKS
보장하는	보장/NNG+하/XSV+는/ETM
집회·시위의	집회/NNG+·/SP+시위/NNG+의/JKG
자유는	자유/NNG+는/JX
온데간데없다.	온데간데없/VA+다/EF+./SF


# id : NWRW1800000024.154.3.6
내 말을 듣지 않으면 모두 감옥이라는 협박만 보인다.

내	나/NP+의/JKG
말을	말/NNG+을/JKO
듣지	듣/VV+지/EC
않으면	않/VX+으면/EC
모두	모두/MAG
감옥이라는	감옥/NNG+이/VCP+라는/ETM
협박만	협박/NNG+만/JX
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.154.3.7
지금 하는 행태로 보아 이런 식의 대응은 당분간 계속될 것 같다.

지금	지금/MAG
하는	하/VV+는/ETM
행태로	행태/NNG+로/JKB
보아	보/VV+아/EC
이런	이런/MMD
식의	식/NNB+의/JKG
대응은	대응/NNG+은/JX
당분간	당분간/MAG
계속될	계속/NNG+되/XSV+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000024.154.4.1
가히 ‘이명박 표’ 긴급조치 9호의 등장이라고 할 만하다.

가히	가히/MAG
‘이명박	‘/SS+이명박/NNP
표’	표/NNG+’/SS
긴급조치	긴급/NNG+조치/NNG
9호의	9/SN+호/NNB+의/JKG
등장이라고	등장/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000024.154.4.2
역사는 한 번은 비극으로, 또 한 번은 희극으로 되풀이된다더니 이런 일을 두고 하는 말인가 보다.

역사는	역사/NNG+는/JX
한	한/MMN
번은	번/NNB+은/JX
비극으로,	비극/NNG+으로/JKB+,/SP
또	또/MAG
희극으로	희극/NNG+으로/JKB
되풀이된다더니	되풀이/NNG+되/XSV+ㄴ다더니/EC
이런	이런/MMD
일을	일/NNG+을/JKO
두고	두/VV+고/EC
하는	하/VV+는/ETM
말인가	말/NNG+이/VCP+ㄴ가/EF
보다.	보/VX+다/EF+./SF


# id : NWRW1800000024.154.4.3
그나마 그때는 악행의 법적 근거라도 있었다.

그나마	그나마/MAG
그때는	그때/NNG+는/JX
악행의	악행/NNG+의/JKG
법적	법/NNG+적/XSN
근거라도	근거/NNG+이/VCP+라도/EC
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000024.154.4.4
지금은 있는 법을 제멋대로 해석하고 집행하면 그것으로 만사 오케이다.

지금은	지금/NNG+은/JX
있는	있/VA+는/ETM
법을	법/NNG+을/JKO
제멋대로	제멋대로/MAG
해석하고	해석/NNG+하/XSV+고/EC
집행하면	집행/NNG+하/XSV+면/EC
그것으로	그것/NP+으로/JKB
만사	만사/NNG
오케이다.	오케이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.154.4.5
마치 수십년간 피땀으로 일궈놓은 민주화의 성과를 하루아침에 도둑맞은 느낌이다.

마치	마치/MAG
수십년간	수십/NR+년/NNB+간/XSN
피땀으로	피땀/NNG+으로/JKB
일궈놓은	일구/VV+어/EC+놓/VX+은/ETM
민주화의	민주/NNG+화/XSN+의/JKG
성과를	성과/NNG+를/JKO
하루아침에	하루아침/NNG+에/JKB
도둑맞은	도둑맞/VV+은/ETM
느낌이다.	느낌/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.154.5.1
정부의 압박으로 광장의 촛불은 확실히 기세가 꺾였다.

정부의	정부/NNG+의/JKG
압박으로	압박/NNG+으로/JKB
광장의	광장/NNG+의/JKG
촛불은	촛불/NNG+은/JX
확실히	확실히/MAG
기세가	기세/NNG+가/JKS
꺾였다.	꺾이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.154.5.2
막고 몰아붙이고 때리고 차고 내리찍고 잡아 처넣는데 누군들 이런 십자포화를 견딜 수 있겠는가.

막고	막/VV+고/EC
몰아붙이고	몰아붙이/VV+고/EC
때리고	때리/VV+고/EC
차고	차/VV+고/EC
내리찍고	내리찍/VV+고/EC
잡아	잡/VV+아/EC
처넣는데	처넣/VV+는데/EC
누군들	누구/NP+이/VCP+ㄴ들/EC
이런	이런/MMD
십자포화를	십자/NNG+포화/NNG+를/JKO
견딜	견디/VV+ㄹ/ETM
수	수/NNB
있겠는가.	있/VA+겠/EP+는가/EF+./SF


# id : NWRW1800000024.154.5.3
그렇다고 촛불이 완전 진압됐다고 생각하면 오산이다.

그렇다고	그렇/VA+다고/EC
촛불이	촛불/NNG+이/JKS
완전	완전/NNG
진압됐다고	진압/NNG+되/XSV+었/EP+다고/EC
생각하면	생각/NNG+하/XSV+면/EC
오산이다.	오산/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.154.5.4
가슴속으로 잠시 자리를 옮겨 새로운 부활을 준비하고 있을 뿐이다.

가슴속으로	가슴속/NNG+으로/JKB
잠시	잠시/MAG
자리를	자리/NNG+를/JKO
옮겨	옮기/VV+어/EC
새로운	새롭/VA+ㄴ/ETM
부활을	부활/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있을	있/VX+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.154.6.1
그런 움직임의 한 자락이 4·29 재보궐선거를 통해 드러났다.

그런	그런/MMD
움직임의	움직임/NNG+의/JKG
한	한/MMN
자락이	자락/NNG+이/JKS
4·29	4/SN+·/SP+29/SN
재보궐선거를	재/XPN+보궐/NNG+선거/NNG+를/JKO
통해	통하/VV+아/EC
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.154.6.2
선거 전날 여론조사에서 10~15%포인트 차이로 압승을 거둘 것이라던 한나라당 후보가 되레 10%포인트 차이로 맥없이 나가떨어졌다.

선거	선거/NNG
전날	전날/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
10~15%포인트	10/SN+~/SO+15/SN+%/SW+포인트/NNG
차이로	차이/NNG+로/JKB
압승을	압승/NNG+을/JKO
거둘	거두/VV+ㄹ/ETM
것이라던	것/NNB+이/VCP+라던/ETM
한나라당	한나라당/NNP
후보가	후보/NNG+가/JKS
되레	되레/MAG
10%포인트	10/SN+%/SW+포인트/NNG
맥없이	맥없이/MAG
나가떨어졌다.	나가떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.154.6.3
노무현 전 대통령 수사와 야당의 분열이라는 이중 호재 속에서 정당 지지율 압도적 1위의 한나라당이 0 대 5의 참패를 당했다.

노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
수사와	수사/NNG+와/JC
야당의	야당/NNG+의/JKG
분열이라는	분열/NNG+이/VCP+라는/ETM
이중	이중/NNG
호재	호재/NNG
속에서	속/NNG+에서/JKB
정당	정당/NNG
지지율	지지/NNG+율/XSN
압도적	압도/NNG+적/XSN
1위의	1/SN+위/NNB+의/JKG
한나라당이	한나라당/NNP+이/JKS
0	0/SN
대	대/NNB
5의	5/SN+의/JKG
참패를	참패/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.154.6.4
여의도의 상식으론 설명이 안 되는 일이다.

여의도의	여의도/NNP+의/JKG
상식으론	상식/NNG+으로/JKB+ㄴ/JX
설명이	설명/NNG+이/JKS
안	안/MAG
되는	되/VV+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.154.6.5
하지만 길거리의 얘기를 들어보면 해답이 자명하다.

하지만	하지만/MAJ
길거리의	길거리/NNG+의/JKG
얘기를	얘기/NNG+를/JKO
들어보면	듣/VV+어/EC+보/VX+면/EC
해답이	해답/NNG+이/JKS
자명하다.	자명하/VA+다/EF+./SF


# id : NWRW1800000024.154.6.6
정부의 토끼몰이에 쫓겨 가슴속으로 숨어들었던 촛불들이 투표장으로 쏟아져 나와 안하무인, 독불장군 정권을 손봐줬다는 것이다.

정부의	정부/NNG+의/JKG
토끼몰이에	토끼몰이/NNG+에/JKB
쫓겨	쫓기/VV+어/EC
가슴속으로	가슴속/NNG+으로/JKB
숨어들었던	숨어들/VV+었/EP+던/ETM
촛불들이	촛불/NNG+들/XSN+이/JKS
투표장으로	투표장/NNG+으로/JKB
쏟아져	쏟아지/VV+어/EC
나와	나오/VV+아/EC
안하무인,	안하무인/NNG+,/SP
독불장군	독불장군/NNG
정권을	정권/NNG+을/JKO
손봐줬다는	손보/VV+아/EC+주/VX+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.154.6.7
선거 분석 전문가들도 이번 재보선 투표율이 근래에 유례없이 높았던 점에 주목하며, 정권에 대한 불만이 커졌기 때문이라고 풀이하고 있다.

선거	선거/NNG
분석	분석/NNG
전문가들도	전문가/NNG+들/XSN+도/JX
이번	이번/NNG
재보선	재보선/NNG
투표율이	투표/NNG+율/XSN+이/JKS
근래에	근래/NNG+에/JKB
유례없이	유례없이/MAG
높았던	높/VA+았/EP+던/ETM
점에	점/NNG+에/JKB
주목하며,	주목/NNG+하/XSV+며/EC+,/SP
정권에	정권/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불만이	불만/NNG+이/JKS
커졌기	커지/VV+었/EP+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
풀이하고	풀이/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.154.7.1
하지만 이명박 정부는 이런 재보선 민심을 무시하고 여전히 ‘이대로 쭉~’만을 되뇌고 있다.

하지만	하지만/MAJ
이명박	이명박/NNP
정부는	정부/NNG+는/JX
이런	이런/MMD
재보선	재보선/NNG
민심을	민심/NNG+을/JKO
무시하고	무시/NNG+하/XSV+고/EC
여전히	여전히/MAG
‘이대로	‘/SS+이대로/MAG
쭉~’만을	쭉/MAG+~/SO+’/SS+만/JX+을/JKO
되뇌고	되뇌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.154.7.2
행정안전부는 촛불 참여 단체에 보조금을 중단하고, 경찰은 1년 전 일을 문제 삼아 촛불 누리꾼을 수사한다.

행정안전부는	행정/NNG+안전부/NNG+는/JX
촛불	촛불/NNG
참여	참여/NNG
단체에	단체/NNG+에/JKB
보조금을	보조금/NNG+을/JKO
중단하고,	중단/NNG+하/XSV+고/EC+,/SP
경찰은	경찰/NNG+은/JX
1년	1/SN+년/NNB
전	전/NNG
일을	일/NNG+을/JKO
문제	문제/NNG
삼아	삼/VV+아/EC
누리꾼을	누리/NNG+꾼/XSN+을/JKO
수사한다.	수사/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.154.7.3
국가정보원도 통일단체에 대한 느닷없는 압수수색으로 맞장구를 친다.

국가정보원도	국가/NNG+정보원/NNG+도/JX
통일단체에	통일/NNG+단체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
느닷없는	느닷없/VA+는/ETM
압수수색으로	압수/NNG+수색/NNG+으로/JKB
맞장구를	맞장구/NNG+를/JKO
친다.	치/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.154.7.4
마치 34년 전의 그때처럼 힘으로 밀어붙이면 뭐든지 제압할 수 있다고 자신하는 듯하다.

마치	마치/MAG
34년	34/SN+년/NNB
전의	전/NNG+의/JKG
그때처럼	그때/NNG+처럼/JKB
힘으로	힘/NNG+으로/JKB
밀어붙이면	밀어붙이/VV+면/EC
뭐든지	뭐/NP+든지/JX
제압할	제압/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
자신하는	자신/NNG+하/XSV+는/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000024.154.8.1
조선 건국의 밑돌을 놓은 정도전은 “백성은 지극히 약하지만 힘으로 위협할 수 없고, 지극히 어리석지만 지혜로 속일 수 없다.

조선	조선/NNP
건국의	건국/NNG+의/JKG
밑돌을	밑돌/NNG+을/JKO
놓은	놓/VV+은/ETM
정도전은	정도전/NNP+은/JX
“백성은	“/SS+백성/NNG+은/JX
지극히	지극히/MAG
약하지만	약하/VA+지만/EC
힘으로	힘/NNG+으로/JKB
위협할	위협/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
어리석지만	어리석/VA+지만/EC
지혜로	지혜/NNG+로/JKB
속일	속이/VV+ㄹ/ETM
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.154.8.2
백성의 마음을 얻으면 백성은 복종하지만, 마음을 얻지 못하면 백성은 임금을 버린다”고 말했다.

백성의	백성/NNG+의/JKG
마음을	마음/NNG+을/JKO
얻으면	얻/VV+으면/EC
백성은	백성/NNG+은/JX
복종하지만,	복종/NNG+하/XSV+지만/EC+,/SP
얻지	얻/VV+지/EC
못하면	못하/VX+면/EC
임금을	임금/NNG+을/JKO
버린다”고	버리/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.154.8.3
지금의 이명박 정권이 꼭 귀담아들어야 할 경구이다.

지금의	지금/NNG+의/JKG
이명박	이명박/NNP
정권이	정권/NNG+이/JKS
꼭	꼭/MAG
귀담아들어야	귀담아듣/VV+어야/EC
할	하/VX+ㄹ/ETM
경구이다.	경구/NNG+이/VCP+다/EF+./SF


