# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.163
metadata : {}


# id : NWRW1800000037.163.1.1
[책의 향기]조앤 롤링이 가명으로 낸 추리소설

[책의	[/SS+책/NNG+의/JKG
룰라의	룰라/NNP+의/JKG
죽음이	죽음/NNG+이/JKS
실제로는	실제로/MAG+는/JX
마약	마약/NNG
중독자인	중독자/NNG+이/VCP+ㄴ/ETM
애인에	애인/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
타살이라며	타살/NNG+이/VCP+라며/EC
조사를	조사/NNG+를/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000037.163.4.4
그 덕분에 스트라이크는 애초 월급을 줄 수 없어 고용할 엄두도 못 냈던 여비서 로빈 엘라코트와 함께 룰라의 죽음 뒤에 감춰진 진실을 찾아 나선다.

그	그/MMD
덕분에	덕분/NNG+에/JKB
스트라이크는	스트라이크/NNP+는/JX
애초	애초/NNG
월급을	월급/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
고용할	고용/NNG+하/XSV+ㄹ/ETM
엄두도	엄두/NNG+도/JX
못	못/MAG
냈던	내/VV+었/EP+던/ETM
여비서	여비서/NNG
로빈	로빈/NNP
엘라코트와	엘라코트/NNP+와/JKB
함께	함께/MAG
룰라의	룰라/NNP+의/JKG
죽음	죽음/NNG
뒤에	뒤/NNG+에/JKB
감춰진	감추/VV+어/EC+지/VX+ㄴ/ETM
진실을	진실/NNG+을/JKO
찾아	찾/VV+아/EC
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.163.5.1
추리 소설의 장르적인 재미와 함께 연예계를 쥐락펴락하는 실세들의 추악한 뒷거래와 화려한 스포트라이트 뒤에 감춰진 톱스타의 인간적인 그늘과 마주하는 재미도 쏠쏠하다.

추리	추리/NNG
소설의	소설/NNG+의/JKG
장르적인	장르/NNG+적/XSN+이/VCP+ㄴ/ETM
재미와	재미/NNG+와/JKB
함께	함께/MAG
연예계를	연예/NNG+계/XSN+를/JKO
쥐락펴락하는	쥐락펴락/MAG+하/XSV+는/ETM
실세들의	실세/NNG+들/XSN+의/JKG
추악한	추악하/VA+ㄴ/ETM
뒷거래와	뒷거래/NNG+와/JC
화려한	화려하/VA+ㄴ/ETM
스포트라이트	스포트라이트/NNG
뒤에	뒤/NNG+에/JKB
감춰진	감추/VV+어/EC+지/VX+ㄴ/ETM
톱스타의	톱스타/NNG+의/JKG
인간적인	인간/NNG+적/XSN+이/VCP+ㄴ/ETM
그늘과	그늘/NNG+과/JKB
마주하는	마주/MAG+하/XSV+는/ETM
재미도	재미/NNG+도/JX
쏠쏠하다.	쏠쏠하/VA+다/EF+./SF


# id : NWRW1800000037.163.5.2
‘엘리멘트리’나 ‘탐정 몽크’ 시리즈에 자주 등장하는 남자 탐정과 여자 조수 조합의 팀워크와 이들의 눈에 비친 영국 상류층의 넘치도록 화려하지만 허영과 위선 가득한 삶의 모습을 지켜보는 일도 흥미롭다.

‘엘리멘트리’나	‘/SS+엘리멘트리/NNG+’/SS+나/JC
‘탐정	‘/SS+탐정/NNG
몽크’	몽크/NNP+’/SS
시리즈에	시리즈/NNG+에/JKB
자주	자주/MAG
등장하는	등장/NNG+하/XSV+는/ETM
남자	남자/NNG
탐정과	탐정/NNG+과/JC
여자	여자/NNG
조수	조수/NNG
조합의	조합/NNG+의/JKG
팀워크와	팀워크/NNG+와/JC
이들의	이/NP+들/XSN+의/JKG
눈에	눈/NNG+에/JKB
비친	비치/VV+ㄴ/ETM
영국	영국/NNP
상류층의	상류/NNG+층/XSN+의/JKG
넘치도록	넘치/VV+도록/EC
화려하지만	화려하/VA+지만/EC
허영과	허영/NNG+과/JC
위선	위선/NNG
가득한	가득/MAG+하/XSA+ㄴ/ETM
삶의	삶/NNG+의/JKG
모습을	모습/NNG+을/JKO
지켜보는	지켜보/VV+는/ETM
일도	일/NNG+도/JX
흥미롭다.	흥미/NNG+롭/XSA+다/EF+./SF


# id : NWRW1800000037.163.5.3
책장을 덮고 나면 작가가 책 첫머리에 인용한 ‘높은 명성으로 그 불행까지 유명해지는 자는 불행하도다’는 구절을 다시 한 번 곱씹게 된다.

책장을	책장/NNG+을/JKO
덮고	덮/VV+고/EC
나면	나/VX+면/EC
작가가	작가/NNG+가/JKS
책	책/NNG
첫머리에	첫머리/NNG+에/JKB
인용한	인용/NNG+하/XSV+ㄴ/ETM
‘높은	‘/SS+높/VA+은/ETM
명성으로	명성/NNG+으로/JKB
그	그/MMD
불행까지	불행/NNG+까지/JX
유명해지는	유명/NNG+하/XSA+아/EC+지/VX+는/ETM
자는	자/NNB+는/JX
불행하도다’는	불행/NNG+하/XSA+도다/EF+’/SS+는/ETM
구절을	구절/NNG+을/JKO
다시	다시/MAG
한	한/MMN
번	번/NNB
곱씹게	곱씹/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


