# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.140
metadata : {}


# id : NWRW1800000048.140.1.1
“IS 외국인 용병 1년새 두배 증가”

“IS	“/SS+IS/SL
이슬람국가(IS)다.	이슬람국가/NNP+(/SS+IS/SL+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000048.140.7.1
최소한 86개국 출신의 무장대원들이 시리아에서 활동하고 있다.

최소한	최소한/MAG
86개국	86/SN+개국/NNB
출신의	출신/NNG+의/JKG
무장대원들이	무장대원/NNG+들/XSN+이/JKS
시리아에서	시리아/NNP+에서/JKB
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.140.7.2
튀니지 출신이 약 6000명으로 가장 많고, 사우디아라비아 2500여명, 러시아 2400명, 터키 2100명, 요르단 2000명 순이었다.

튀니지	튀니지/NNP
출신이	출신/NNG+이/JKS
약	약/MMA
6000명으로	6000/SN+명/NNB+으로/JKB
가장	가장/MAG
많고,	많/VA+고/EC+,/SP
사우디아라비아	사우디아라비아/NNP
2500여명,	2500/SN+여/XSN+명/NNB+,/SP
러시아	러시아/NNP
2400명,	2400/SN+명/NNB+,/SP
터키	터키/NNP
2100명,	2100/SN+명/NNB+,/SP
요르단	요르단/NNP
2000명	2000/SN+명/NNB
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.140.7.3
유럽연합 출신은 약 5000명이며, 이 중 프랑스 출신이 1800명, 영국과 독일이 각각 760명, 벨기에가 470명이다.

유럽연합	유럽연합/NNP
출신은	출신/NNG+은/JX
약	약/MMA
5000명이며,	5000/SN+명/NNB+이/VCP+며/EC+,/SP
이	이/NP
중	중/NNB
프랑스	프랑스/NNP
출신이	출신/NNG+이/JKS
1800명,	1800/SN+명/NNB+,/SP
영국과	영국/NNP+과/JC
독일이	독일/NNP+이/JKS
각각	각각/MAG
760명,	760/SN+명/NNB+,/SP
벨기에가	벨기에/NNP+가/JKS
470명이다.	470/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.140.8.1
보고서는 외국 무장대원 구성에서 미국 등 북미 출신은 변화가 없다고 밝히면서 “미주 대륙에서 무장대원 모집은 대부분 소셜미디어에 의존하고, 특히 모집 과정의 첫 단계는 소셜미디어가 절대적 역할을 한다”고 말했다.

보고서는	보고서/NNG+는/JX
외국	외국/NNG
무장대원	무장대원/NNG
구성에서	구성/NNG+에서/JKB
미국	미국/NNP
등	등/NNB
북미	북미/NNP
출신은	출신/NNG+은/JX
변화가	변화/NNG+가/JKS
없다고	없/VA+다고/EC
밝히면서	밝히/VV+면서/EC
“미주	“/SS+미주/NNP
대륙에서	대륙/NNG+에서/JKB
모집은	모집/NNG+은/JX
대부분	대/XPN+부분/NNG
소셜미디어에	소셜/NNG+미디어/NNG+에/JKB
의존하고,	의존/NNG+하/XSV+고/EC+,/SP
특히	특히/MAG
모집	모집/NNG
과정의	과정/NNG+의/JKG
첫	첫/MMN
단계는	단계/NNG+는/JX
소셜미디어가	소셜/NNG+미디어/NNG+가/JKS
절대적	절대/NNG+적/XSN
역할을	역할/NNG+을/JKO
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.140.8.2
옛 소련 지역, 특히 체첸, 다게스탄 등 북부 코카서스 지역 국가 및 중앙아시아의 무슬림 국가 출신은 급격히 늘어난 것으로 분석됐다.

옛	옛/MMA
소련	소련/NNP
지역,	지역/NNG+,/SP
특히	특히/MAG
체첸,	체첸/NNP+,/SP
다게스탄	다게스탄/NNP
등	등/NNB
북부	북부/NNG
코카서스	코카서스/NNP
지역	지역/NNG
국가	국가/NNG
및	및/MAG
중앙아시아의	중앙아시아/NNP+의/JKG
무슬림	무슬림/NNG
출신은	출신/NNG+은/JX
급격히	급격히/MAG
늘어난	늘어나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.140.9.1
바레트 전 국장은 “가장 많은 무장대원을 배출하는 국가에서, 이슬람국가의 무장대원 모집이 집중되고 현지화되고 있다”며 “그 과정에서 가족과 친구들의 역할이 더 커지며, 스스로 이슬람국가로 찾아가는 사람들은 상대적으로 적다”고 말했다.

바레트	바레트/NNP
전	전/MMD
국장은	국장/NNG+은/JX
“가장	“/SS+가장/MAG
많은	많/VA+은/ETM
무장대원을	무장대원/NNG+을/JKO
배출하는	배출/NNG+하/XSV+는/ETM
국가에서,	국가/NNG+에서/JKB+,/SP
이슬람국가의	이슬람국가/NNP+의/JKG
무장대원	무장대원/NNG
모집이	모집/NNG+이/JKS
집중되고	집중/NNG+되/XSV+고/EC
현지화되고	현지/NNG+화/XSN+되/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“그	“/SS+그/MMD
과정에서	과정/NNG+에서/JKB
가족과	가족/NNG+과/JC
친구들의	친구/NNG+들/XSN+의/JKG
역할이	역할/NNG+이/JKS
더	더/MAG
커지며,	커지/VV+며/EC+,/SP
스스로	스스로/MAG
이슬람국가로	이슬람국가/NNP+로/JKB
찾아가는	찾아가/VV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
적다”고	적/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.140.10.1
이슬람국가는 중국에서도 대원 모집을 시도하고 있다고 <뉴욕 타임스>가 보도했다.

이슬람국가는	이슬람국가/NNP+는/JX
중국에서도	중국/NNP+에서/JKB+도/JX
대원	대원/NNG
모집을	모집/NNG+을/JKO
시도하고	시도/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
<뉴욕	</SS+뉴욕/NNP
타임스>가	타임스/NNP+>/SS+가/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.140.10.2
이슬람국가는 최근 자신들의 외국어 미디어 부서인 ‘알 하야트 센터’에 “깨어나서 무기를 들고 싸우라”라는 중국어로 된 구호와 노래를 올렸다고 지하디스트 단체들의 선전활동을 추적하는 시테(SITE) 정보그룹의 분석을 인용해 신문은 보도했다.

이슬람국가는	이슬람국가/NNP+는/JX
최근	최근/MAG
자신들의	자신/NNG+들/XSN+의/JKG
외국어	외국어/NNG
미디어	미디어/NNG
부서인	부서/NNG+이/VCP+ㄴ/ETM
‘알	‘/SS+알/NNG
하야트	하야트/NNG
센터’에	센터/NNG+’/SS+에/JKB
“깨어나서	“/SS+깨어나/VV+아서/EC
무기를	무기/NNG+를/JKO
들고	들/VV+고/EC
싸우라”라는	싸우/VV+라/EF+”/SS+라는/ETM
중국어로	중국어/NNP+로/JKB
된	되/VV+ㄴ/ETM
구호와	구호/NNG+와/JC
노래를	노래/NNG+를/JKO
올렸다고	올리/VV+었/EP+다고/EC
지하디스트	지하디스트/NNG
단체들의	단체/NNG+들/XSN+의/JKG
선전활동을	선전/NNG+활동/NNG+을/JKO
추적하는	추적/NNG+하/XSV+는/ETM
시테(SITE)	시테/NNP+(/SS+SITE/SL+)/SS
정보그룹의	정보/NNG+그룹/NNG+의/JKG
분석을	분석/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
신문은	신문/NNG+은/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


