# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.215
metadata : {}


# id : NWRW1800000038.215.1.1
80%는 월 1만원 이하 소액 기부자

80%는	80/SN+%/SW+는/JX
"아니에요.

"아니에요.	"/SS+아니/VCN+에요/EF+./SF


# id : NWRW1800000038.215.3.5
내가 죽으면 손자들한테 영수증을 물려주려고 모으고 있어요.

내가	내/NP+가/JKS
죽으면	죽/VV+으면/EC
손자들한테	손자/NNG+들/XSN+한테/JKB
영수증을	영수증/NNG+을/JKO
물려주려고	물려주/VV+려고/EC
모으고	모으/VV+고/EC
있어요.	있/VX+어요/EF+./SF


# id : NWRW1800000038.215.3.6
할머니가 어떻게 살다 갔는지 알려주고 싶어서….

할머니가	할머니/NNG+가/JKS
어떻게	어떻/VA+게/EC
살다	살/VV+다/EC
갔는지	가/VV+았/EP+는지/EC
알려주고	알리/VV+어/EC+주/VX+고/EC
싶어서….	싶/VX+어서/EC+…/SE+./SF


# id : NWRW1800000038.215.3.7
그 애들도 같은 마음으로 살았으면 해요." 여러 곳에 기부를 해온 김씨는 이후 매달 후원금을 들고 요셉의원을 찾고 있다.

그	그/MMD
애들도	애/NNG+들/XSN+도/JX
같은	같/VA+은/ETM
마음으로	마음/NNG+으로/JKB
살았으면	살/VV+았/EP+으면/EC
해요."	하/VX+아요/EF+./SF+"/SS
여러	여러/MMN
곳에	곳/NNG+에/JKB
기부를	기부/NNG+를/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
김씨는	김/NNP+씨/NNB+는/JX
이후	이후/NNG
매달	매달/MAG
후원금을	후원금/NNG+을/JKO
들고	들/VV+고/EC
요셉의원을	요셉의원/NNP+을/JKO
찾고	찾/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.215.4.1
14년째 후원 접수 자원봉사를 하고 있는 윤씨 사무실 책장엔 30권이 넘는 후원자 명부가 빼곡하다.

14년째	14/SN+년/NNB+째/XSN
후원	후원/NNG
접수	접수/NNG
자원봉사를	자원봉사/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
윤씨	윤/NNP+씨/NNB
사무실	사무실/NNG
책장엔	책장/NNG+에/JKB+ㄴ/JX
30권이	30/SN+권/NNB+이/JKS
넘는	넘/VV+는/ETM
후원자	후원자/NNG
명부가	명부/NNG+가/JKS
빼곡하다.	빼곡/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000038.215.4.2
1987년부터 가난한 사람들을 위한 무료 진료를 해온 요셉의원은 많이 알려졌지만 6000명이 넘는 후원자들은 잘 알려져 있지 않다.

1987년부터	1987/SN+년/NNB+부터/JX
가난한	가난/NNG+하/XSA+ㄴ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
무료	무료/NNG
진료를	진료/NNG+를/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
요셉의원은	요셉의원/NNP+은/JX
많이	많이/MAG
알려졌지만	알려지/VV+었/EP+지만/EC
6000명이	6000/SN+명/NNB+이/JKS
넘는	넘/VV+는/ETM
후원자들은	후원자/NNG+들/XSN+은/JX
잘	잘/MAG
알려져	알려지/VV+어/EC
있지	있/VX+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000038.215.4.3
일일이 손으로 적은 후원자 명부의 기부 내역엔 돈의 액수만큼이나 많은 사연도 담겨 있다.

일일이	일일이/MAG
손으로	손/NNG+으로/JKB
적은	적/VV+은/ETM
후원자	후원자/NNG
명부의	명부/NNG+의/JKG
기부	기부/NNG
내역엔	내역/NNG+에/JKB+ㄴ/JX
돈의	돈/NNG+의/JKG
액수만큼이나	액수/NNG+만큼/JKB+이나/JX
많은	많/VA+은/ETM
사연도	사연/NNG+도/JX
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.215.4.4
윤씨는 매달 55만3250원의 똑같은 금액이 적힌 후원 내역을 가리키며 "연금으로 받은 돈을 그대로 갖다 주시는 분인데 명부에 적을 때마다 마음이 따뜻해진다"고 했다.

윤씨는	윤/NNP+씨/NNB+는/JX
매달	매달/MAG
55만3250원의	55/SN+만/NR+3250/SN+원/NNB+의/JKG
똑같은	똑같/VA+은/ETM
금액이	금액/NNG+이/JKS
적힌	적히/VV+ㄴ/ETM
후원	후원/NNG
내역을	내역/NNG+을/JKO
가리키며	가리키/VV+며/EC
"연금으로	"/SS+연금/NNG+으로/JKB
받은	받/VV+은/ETM
돈을	돈/NNG+을/JKO
그대로	그대로/MAG
갖다	갖/VV+다/EC
주시는	주/VV+시/EP+는/ETM
분인데	분/NNB+이/VCP+ㄴ데/EC
명부에	명부/NNG+에/JKB
적을	적/VV+을/ETM
때마다	때/NNG+마다/JX
마음이	마음/NNG+이/JKS
따뜻해진다"고	따뜻하/VA+아/EC+지/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.215.5.1
경기도 수원에 사는 후원자는 2008년 6월 자신뿐 아니라 아들과 딸, 사위 등 7명을 후원자로 등록했다.

경기도	경기도/NNP
수원에	수원/NNP+에/JKB
사는	살/VV+는/ETM
후원자는	후원자/NNG+는/JX
2008년	2008/SN+년/NNB
6월	6/SN+월/NNB
자신뿐	자신/NNG+뿐/JX
아니라	아니/VCN+라/EC
아들과	아들/NNG+과/JC
딸,	딸/NNG+,/SP
사위	사위/NNG
등	등/NNB
7명을	7/SN+명/NNB+을/JKO
후원자로	후원자/NNG+로/JKB
등록했다.	등록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.215.5.2
이 할아버지는 이후 수시로 요셉의원을 찾아 아들딸이 후원금을 제때 냈는지 확인한다.

이	이/MMD
할아버지는	할아버지/NNG+는/JX
이후	이후/NNG
수시로	수시로/MAG
요셉의원을	요셉의원/NNP+을/JKO
찾아	찾/VV+아/EC
아들딸이	아들딸/NNG+이/JKS
후원금을	후원금/NNG+을/JKO
제때	제때/NNG
냈는지	내/VV+었/EP+는지/EC
확인한다.	확인/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.215.5.3
후원금을 내지 않았으면 그 자리에서 자식에게 전화를 건다.

후원금을	후원금/NNG+을/JKO
내지	내/VV+지/EC
않았으면	않/VX+았/EP+으면/EC
그	그/MMD
자리에서	자리/NNG+에서/JKB
자식에게	자식/NNG+에게/JKB
전화를	전화/NNG+를/JKO
건다.	걸/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.215.5.4
윤씨는 "할아버지가 병원 여기저기를 둘러보고 가신다"며 "후원금이 제대로 쓰이고 있는지 확인하시는 거라 오시는 날엔 괜히 긴장이 된다"며 웃었다.

윤씨는	윤/NNP+씨/NNB+는/JX
"할아버지가	"/SS+할아버지/NNG+가/JKS
병원	병원/NNG
여기저기를	여기저기/NNG+를/JKO
둘러보고	둘러보/VV+고/EC
가신다"며	가/VV+시/EP+ㄴ다/EF+"/SS+며/EC
"후원금이	"/SS+후원금/NNG+이/JKS
제대로	제대로/MAG
쓰이고	쓰이/VV+고/EC
있는지	있/VX+는지/EF
확인하시는	확인/NNG+하/XSV+시/EP+는/ETM
거라	거/NNB+이/VCP+라/EC
오시는	오/VV+시/EP+는/ETM
날엔	날/NNG+에/JKB+ㄴ/JX
괜히	괜히/MAG
긴장이	긴장/NNG+이/JKC
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.215.6.1
결혼이나 생일을 기념해 쌀이나 떡을 보내오는 사람도 많다.

결혼이나	결혼/NNG+이나/JC
생일을	생일/NNG+을/JKO
기념해	기념/NNG+하/XSV+아/EC
쌀이나	쌀/NNG+이나/JC
떡을	떡/NNG+을/JKO
보내오는	보내오/VV+는/ETM
사람도	사람/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000038.215.6.2
김현욱·한주연 부부는 작년 6월 결혼식 때 축의금으로 받은 축하미(米) 290㎏을 요셉의원에 기탁했다.

김현욱·한주연	김현욱/NNP+·/SP+한주연/NNP
부부는	부부/NNG+는/JX
작년	작년/NNG
6월	6/SN+월/NNB
결혼식	결혼식/NNG
때	때/NNG
축의금으로	축의금/NNG+으로/JKB
받은	받/VV+은/ETM
축하미(米)	축하미/NNG+(/SS+米/SH+)/SS
290㎏을	290/SN+㎏/SW+을/JKO
요셉의원에	요셉의원/NNP+에/JKB
기탁했다.	기탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.215.6.3
정명원씨는 아이의 네 번째 생일이었던 지난 4월 11일 포장한 떡 250개를 보냈다.

정명원씨는	정명원/NNP+씨/NNB+는/JX
아이의	아이/NNG+의/JKG
네	네/MMN
번째	번/NNB+째/XSN
생일이었던	생일/NNG+이/VCP+었/EP+던/ETM
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
11일	11/SN+일/NNB
포장한	포장/NNG+하/XSV+ㄴ/ETM
떡	떡/NNG
250개를	250/SN+개/NNB+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.215.6.4
아이의 두 돌 때부터 떡을 보내온 정씨는 아이가 스무 살 성인이 될 때까지 계속 떡을 보내겠다고 약속했다.

아이의	아이/NNG+의/JKG
두	두/MMN
돌	돌/NNB
때부터	때/NNG+부터/JX
떡을	떡/NNG+을/JKO
보내온	보내오/VV+ㄴ/ETM
정씨는	정/NNP+씨/NNB+는/JX
아이가	아이/NNG+가/JKS
스무	스무/MMN
살	살/NNB
성인이	성인/NNG+이/JKC
될	되/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
계속	계속/MAG
보내겠다고	보내/VV+겠/EP+다고/EC
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.215.6.5
"아이가 어려운 사람들에게 도움을 주는 삶을 살았으면 좋겠다"는 뜻에서다.

"아이가	"/SS+아이/NNG+가/JKS
어려운	어렵/VA+ㄴ/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
도움을	도움/NNG+을/JKO
주는	주/VV+는/ETM
삶을	삶/NNG+을/JKO
살았으면	살/VV+았/EP+으면/EC
좋겠다"는	좋/VA+겠/EP+다/EF+"/SS+는/ETM
뜻에서다.	뜻/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000038.215.6.6
칠순 잔치에 쓸 돈을 자식들한테 달라고 해서 1000만원을 기부하고 간 할머니도 있었다.

칠순	칠순/NNG
잔치에	잔치/NNG+에/JKB
쓸	쓰/VV+ㄹ/ETM
돈을	돈/NNG+을/JKO
자식들한테	자식/NNG+들/XSN+한테/JKB
달라고	달/VV+라고/EC
해서	하/VV+아서/EC
1000만원을	1000/SN+만/NR+원/NNB+을/JKO
기부하고	기부/NNG+하/XSV+고/EC
간	가/VV+ㄴ/ETM
할머니도	할머니/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.215.7.1
요셉의원의 도움을 받던 환자가 후원자가 된 사례도 있다.

요셉의원의	요셉의원/NNP+의/JKG
도움을	도움/NNG+을/JKO
받던	받/VV+던/ETM
환자가	환자/NNG+가/JKS
후원자가	후원자/NNG+가/JKC
된	되/VV+ㄴ/ETM
사례도	사례/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.215.7.2
조선소에서 일하다 척추를 다친 뒤 생계가 막막해져 영등포 쪽방촌까지 흘러온 김모(49)씨는 요셉의원에서 꾸준히 치료를 받아 건강을 회복했다.

조선소에서	조선소/NNG+에서/JKB
일하다	일/NNG+하/XSV+다/EC
척추를	척추/NNG+를/JKO
다친	다치/VV+ㄴ/ETM
뒤	뒤/NNG
생계가	생계/NNG+가/JKS
막막해져	막막하/VA+아/EC+지/VX+어/EC
영등포	영등포/NNP
쪽방촌까지	쪽방촌/NNG+까지/JX
흘러온	흘러오/VV+ㄴ/ETM
김모(49)씨는	김/NNP+모/NP+(/SS+49/SN+)/SS+씨/NNB+는/JX
요셉의원에서	요셉의원/NNP+에서/JKB
꾸준히	꾸준히/MAG
치료를	치료/NNG+를/JKO
받아	받/VV+아/EC
건강을	건강/NNG+을/JKO
회복했다.	회복/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.215.7.3
올해 초 다시 조선소에 취업한 김씨는 첫 월급을 들고 요셉의원을 찾았다.

올해	올해/NNG
초	초/NNB
다시	다시/MAG
조선소에	조선소/NNG+에/JKB
취업한	취업/NNG+하/XSV+ㄴ/ETM
김씨는	김/NNP+씨/NNB+는/JX
첫	첫/MMN
월급을	월급/NNG+을/JKO
들고	들/VV+고/EC
요셉의원을	요셉의원/NNP+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.215.7.4
김씨는 "고마움을 잊지 않고 앞으로 조금씩이라도 계속 후원금을 내며 살겠다"고 말했다.

김씨는	김/NNP+씨/NNB+는/JX
"고마움을	"/SS+고마움/NNG+을/JKO
잊지	잊/VV+지/EC
않고	않/VX+고/EC
앞으로	앞/NNG+으로/JKB
조금씩이라도	조금/NNG+씩/XSN+이/VCP+라도/EC
계속	계속/MAG
후원금을	후원금/NNG+을/JKO
내며	내/VV+며/EC
살겠다"고	살/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.215.8.1
요셉의원 후원금의 80% 이상은 1만원 이하 소액이다.

요셉의원	요셉의원/NNP
후원금의	후원금/NNG+의/JKG
80%	80/SN+%/SW
이상은	이상/NNG+은/JX
1만원	1/SN+만/NR+원/NNB
이하	이하/NNG
소액이다.	소액/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.215.8.2
하지만 이 돈이 모여 연간 2만명 넘는 사람들이 무료로 진료를 받는다.

하지만	하지만/MAJ
이	이/MMD
돈이	돈/NNG+이/JKS
모여	모이/VV+어/EC
연간	연간/NNG
2만명	2/SN+만/NR+명/NNB
넘는	넘/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
무료로	무료/NNG+로/JKB
진료를	진료/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000038.215.8.3
윤씨는 "작은 사랑이 모여 큰일을 해내는 것"이라고 말했다.

윤씨는	윤/NNP+씨/NNB+는/JX
"작은	"/SS+작/VA+은/ETM
사랑이	사랑/NNG+이/JKS
모여	모이/VV+어/EC
큰일을	큰일/NNG+을/JKO
해내는	해내/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.215.8.4
서울시 청년창업센터 회원들은 은행 예금에서 받는 이자를 기부한다.

서울시	서울시/NNP
청년창업센터	청년창업센터/NNP
회원들은	회원/NNG+들/XSN+은/JX
은행	은행/NNG
예금에서	예금/NNG+에서/JKB
받는	받/VV+는/ETM
이자를	이자/NNG+를/JKO
기부한다.	기부/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.215.8.5
각자의 예금이 많지 않다 보니 회원 1명이 6원을 기부한 적도 있다.

각자의	각자/NNG+의/JKG
예금이	예금/NNG+이/JKS
많지	많/VA+지/EC
않다	않/VX+다/EC
보니	보/VX+니/EC
회원	회원/NNG
1명이	1/SN+명/NNB+이/JKS
6원을	6/SN+원/NNB+을/JKO
기부한	기부/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.215.8.6
하지만 이렇게 조금씩 모인 돈이 작년 8월부터 지금까지 487만203원이나 된다.

하지만	하지만/MAJ
이렇게	이렇/VA+게/EC
조금씩	조금/NNG+씩/XSN
모인	모이/VV+ㄴ/ETM
돈이	돈/NNG+이/JKS
작년	작년/NNG
8월부터	8/SN+월/NNB+부터/JX
지금까지	지금/NNG+까지/JX
487만203원이나	487/SN+만/NR+203/SN+원/NNB+이나/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.215.8.7
수시로 조금씩 기부하는 사람도 많다.

수시로	수시로/MAG
조금씩	조금/NNG+씩/XSN
기부하는	기부/NNG+하/XSV+는/ETM
사람도	사람/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000038.215.8.8
윤씨는 "한 달에 평균 두세 번, 많게는 일곱 번까지 후원금을 보내는 분이 있다"며 "궁금해서 전화를 해보니 '살림하다 남은 돈을 그때그때 내고 있는데 후원금을 낼 때마다 기분이 좋아지고 미루면 기회를 놓칠 수도 있어서'라고 답하더라"고 전했다.

윤씨는	윤/NNP+씨/NNB+는/JX
"한	"/SS+한/MMN
달에	달/NNB+에/JKB
평균	평균/NNG
두세	두세/MMN
번,	번/NNB+,/SP
많게는	많/VA+게/EC+는/JX
일곱	일곱/NR
번까지	번/NNB+까지/JX
후원금을	후원금/NNG+을/JKO
보내는	보내/VV+는/ETM
분이	분/NNB+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"궁금해서	"/SS+궁금하/VA+아서/EC
전화를	전화/NNG+를/JKO
해보니	하/VV+아/EC+보/VX+니/EC
'살림하다	'/SS+살림/NNG+하/XSV+다/EC
남은	남/VV+은/ETM
돈을	돈/NNG+을/JKO
그때그때	그때그때/MAG
내고	내/VV+고/EC
있는데	있/VX+는데/EC
낼	내/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
기분이	기분/NNG+이/JKS
좋아지고	좋/VA+아/EC+지/VX+고/EC
미루면	미루/VV+면/EC
기회를	기회/NNG+를/JKO
놓칠	놓치/VV+ㄹ/ETM
수도	수/NNB+도/JX
있어서'라고	있/VA+어서/EC+'/SS+라고/JKQ
답하더라"고	답/NNG+하/XSV+더라/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.215.9.1
윤씨는 후원자 전화를 놓칠까 봐 좀처럼 자리를 뜨지 않는다.

윤씨는	윤/NNP+씨/NNB+는/JX
후원자	후원자/NNG
전화를	전화/NNG+를/JKO
놓칠까	놓치/VV+ㄹ까/EF
봐	보/VX+아/EC
좀처럼	좀처럼/MAG
자리를	자리/NNG+를/JKO
뜨지	뜨/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000038.215.9.2
그는 "세상이 삭막하기만 하다는데 그래도 후원 전화가 오는 게 정말 신기하지 않으냐"며 "나는 매일 작은 기적 속에서 산다"고 말했다.

그는	그/NP+는/JX
"세상이	"/SS+세상/NNG+이/JKS
삭막하기만	삭막하/VA+기/ETN+만/JX
하다는데	하/VX+다는데/EC
그래도	그래도/MAJ
후원	후원/NNG
전화가	전화/NNG+가/JKS
오는	오/VV+는/ETM
게	거/NNB+이/JKS
정말	정말/MAG
신기하지	신기하/VA+지/EC
않으냐"며	않/VX+으냐/EF+"/SS+며/EC
"나는	"/SS+나/NP+는/JX
매일	매일/MAG
작은	작/VA+은/ETM
기적	기적/NNG
속에서	속/NNG+에서/JKB
산다"고	살/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


