# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.190
metadata : {}


# id : NWRW1800000022.190.1.1
[호남] [캠퍼스 라이프] 목포대·광주정부통합전산센터 협약;"IT보안 인력양성 협력"

[호남]	[/SS+호남/NNP+]/SS
배출한	배출/NNG+하/XSV+ㄴ/ETM
이	이/MMD
학과는	학과/NNG+는/JX
취업률이	취업/NNG+률/XSN+이/JKS
80%를	80/SN+%/SW+를/JKO
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000022.190.2.4
IT보안 분야는 5년 후 유망직종 조사에서 최상위권에 오르는 등 장래성을 평가받고 있다.

IT보안	IT/SL+보안/NNG
분야는	분야/NNG+는/JX
5년	5/SN+년/NNB
후	후/NNG
유망직종	유망/NNG+직종/NNG
조사에서	조사/NNG+에서/JKB
최상위권에	최/XPN+상위/NNG+권/XSN+에/JKB
오르는	오르/VV+는/ETM
등	등/NNB
장래성을	장래/NNG+성/XSN+을/JKO
평가받고	평가/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.190.3.1
목포대는 이 분야에서 보다 실질적인 현장 밀착형 교육을 통해 IT보안 분야 업체들이 요구하는 우수한 기술인력을 양성하기 위해 26일 광주정부통합전산센터와 관·학협력 협약을 맺었다.

목포대는	목포대/NNP+는/JX
이	이/MMD
분야에서	분야/NNG+에서/JKB
보다	보다/MAG
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
현장	현장/NNG
밀착형	밀착/NNG+형/XSN
교육을	교육/NNG+을/JKO
통해	통하/VV+아/EC
IT보안	IT/SL+보안/NNG
분야	분야/NNG
업체들이	업체/NNG+들/XSN+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
우수한	우수/NNG+하/XSA+ㄴ/ETM
기술인력을	기술/NNG+인력/NNG+을/JKO
양성하기	양성/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
26일	26/SN+일/NNB
광주정부통합전산센터와	광주정부통합전산센터/NNP+와/JKB
관·학협력	관/NNG+·/SP+학/NNG+협력/NNG
협약을	협약/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.190.3.2
협약식에는 임병선 총장과 유창종 센터장 등 양 기관 관계자 20여명이 참석했다.

협약식에는	협약식/NNG+에/JKB+는/JX
임병선	임병선/NNP
총장과	총장/NNG+과/JC
유창종	유창종/NNP
센터장	센터장/NNG
등	등/NNB
양	양/MMN
기관	기관/NNG
관계자	관계자/NNG
20여명이	20/SN+여/XSN+명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.190.4.1
양측은 광주·전남지역 IT 발전을 위한 신기술 도입과 확산, 현장중심 교육을 통한 IT 전문인력 양성 등 협력 분야를 발굴해 긴밀히 협력하기로 했다.

양측은	양측/NNG+은/JX
광주·전남지역	광주/NNP+·/SP+전남지역/NNP
IT	IT/SL
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
신기술	신/XPN+기술/NNG
도입과	도입/NNG+과/JC
확산,	확산/NNG+,/SP
현장중심	현장/NNG+중심/NNG
교육을	교육/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
전문인력	전문/NNG+인력/NNG
양성	양성/NNG
등	등/NNB
협력	협력/NNG
분야를	분야/NNG+를/JKO
발굴해	발굴/NNG+하/XSV+아/EC
긴밀히	긴밀히/MAG
협력하기로	협력/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.190.5.1
목포대는 학술 연구성과 공유와 기술 자문 등 센터의 중장기 발전에 필요한 지원을 한다.

목포대는	목포대/NNP+는/JX
학술	학술/NNG
연구성과	연구/NNG+성과/NNG
공유와	공유/NNG+와/JC
기술	기술/NNG
자문	자문/NNG
등	등/NNB
센터의	센터/NNG+의/JKG
중장기	중장기/NNG
발전에	발전/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
지원을	지원/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.190.5.2
센터는 목포대에 인턴십 제공, 현장 견학 및 실습, IT기술 특강 등을 통해 인력양성 프로그램을 지원하게 된다.

센터는	센터/NNG+는/JX
목포대에	목포대/NNP+에/JKB
인턴십	인턴십/NNG
제공,	제공/NNG+,/SP
현장	현장/NNG
견학	견학/NNG
및	및/MAG
실습,	실습/NNG+,/SP
IT기술	IT/SL+기술/NNG
특강	특강/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
인력양성	인력/NNG+양성/NNG
프로그램을	프로그램/NNG+을/JKO
지원하게	지원/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.190.6.1
대전에 이어 제2센터로 광주 서구 풍암동 송원고 뒤편에 문을 연 광주정부통합전산센터는 국토해양부·경찰청·국세청 등 20개 정부기관의 정보시스템을 운용·관리하는 기관.

대전에	대전/NNP+에/JKB
이어	잇/VV+어/EC
제2센터로	제/XPN+2/SN+센터/NNG+로/JKB
광주	광주/NNP
서구	서구/NNP
풍암동	풍암동/NNP
송원고	송원고/NNP
뒤편에	뒤편/NNG+에/JKB
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
광주정부통합전산센터는	광주정부통합전산센터/NNP+는/JX
국토해양부·경찰청·국세청	국토/NNG+해양부/NNG+·/SP+경찰청/NNG+·/SP+국세청/NNG
등	등/NNB
20개	20/SN+개/NNB
정부기관의	정부/NNG+기관/NNG+의/JKG
정보시스템을	정보/NNG+시스템/NNG+을/JKO
운용·관리하는	운용/NNG+·/SP+관리/NNG+하/XSV+는/ETM
기관.	기관/NNG+./SF


# id : NWRW1800000022.190.6.2
해킹과 바이러스 등 사이버 테러에 대비한 최첨단 보안시스템도 갖추고 있다.

해킹과	해킹/NNG+과/JC
바이러스	바이러스/NNG
등	등/NNB
사이버	사이버/NNG
테러에	테러/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
최첨단	최/XPN+첨단/NNG
보안시스템도	보안/NNG+시스템/NNG+도/JX
갖추고	갖추/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.190.6.3
IT 기술인력 등 450여명이 일하고 있으며, 서버와 네트워크·보안 등 IT 장비만 6000여대에 이른다.

IT	IT/SL
기술인력	기술/NNG+인력/NNG
등	등/NNB
450여명이	450/SN+여/XSN+명/NNB+이/JKS
일하고	일/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
서버와	서버/NNG+와/JC
네트워크·보안	네트워크/NNG+·/SP+보안/NNG
장비만	장비/NNG+만/JX
6000여대에	6000/SN+여/XSN+대/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.190.7.1
김현곤 목포대 정보보호학과장은 "광주통합전산센터는 IT 장비의 보안 관제 분야에 최첨단 장비와 시스템을 갖추고 있어 학생들의 현장교육에 안성맞춤"이라며 "방학 중 인턴십 등을 운영해 산업현장에 필요한 인력을 양성하고, 대학은 기술자문과 센터 인력의 재교육 등을 맡게 될 것"이라고 말했다.

김현곤	김현곤/NNP
목포대	목포대/NNP
정보보호학과장은	정보/NNG+보호학과장/NNG+은/JX
"광주통합전산센터는	"/SS+광주통합전산센터/NNP+는/JX
IT	IT/SL
장비의	장비/NNG+의/JKG
보안	보안/NNG
관제	관제/NNG
분야에	분야/NNG+에/JKB
최첨단	최/XPN+첨단/NNG
장비와	장비/NNG+와/JC
시스템을	시스템/NNG+을/JKO
갖추고	갖추/VV+고/EC
있어	있/VX+어/EC
학생들의	학생/NNG+들/XSN+의/JKG
현장교육에	현장/NNG+교육/NNG+에/JKB
안성맞춤"이라며	안성맞춤/NNG+"/SS+이/VCP+라며/EC
"방학	"/SS+방학/NNG
중	중/NNB
인턴십	인턴십/NNG
등을	등/NNB+을/JKO
운영해	운영/NNG+하/XSV+아/EC
산업현장에	산업/NNG+현장/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
인력을	인력/NNG+을/JKO
양성하고,	양성/NNG+하/XSV+고/EC+,/SP
대학은	대학/NNG+은/JX
기술자문과	기술/NNG+자문/NNG+과/JC
센터	센터/NNG
인력의	인력/NNG+의/JKG
재교육	재/XPN+교육/NNG
맡게	맡/VV+게/EC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.190.8.1
유창종 광주통합전산센터장은 "정부 각 부처의 전산시스템을 담당하는 중앙행정기관이지만, 광주에 위치해 있기 때문에 센터가 가진 기술과 장비, 인력을 활용해 지역발전에 기여할 방안을 찾아 실천하고 있다"며 "지역 대학 IT 관련학과와 손잡고 우수 인력양성에 도움을 주고, 센터는 대학으로부터 관련 분야 연구성과를 공급받는 상생의 협력을 계속해나갈 것"이라고말했다.

유창종	유창종/NNP
광주통합전산센터장은	광주/NNP+통합/NNG+전산/NNG+센터장/NNG+은/JX
"정부	"/SS+정부/NNG
각	각/MMD
부처의	부처/NNG+의/JKG
전산시스템을	전산/NNG+시스템/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
중앙행정기관이지만,	중앙/NNG+행정/NNG+기관/NNG+이/VCP+지만/EC+,/SP
광주에	광주/NNP+에/JKB
위치해	위치/NNG+하/XSV+아/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
센터가	센터/NNG+가/JKS
가진	가지/VV+ㄴ/ETM
기술과	기술/NNG+과/JC
장비,	장비/NNG+,/SP
인력을	인력/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
지역발전에	지역/NNG+발전/NNG+에/JKB
기여할	기여/NNG+하/XSV+ㄹ/ETM
방안을	방안/NNG+을/JKO
찾아	찾/VV+아/EC
실천하고	실천/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"지역	"/SS+지역/NNG
대학	대학/NNG
IT	IT/SL
관련학과와	관련/NNG+학과/NNG+와/JKB
손잡고	손잡/VV+고/EC
우수	우수/NNG
인력양성에	인력/NNG+양성/NNG+에/JKB
도움을	도움/NNG+을/JKO
주고,	주/VV+고/EC+,/SP
센터는	센터/NNG+는/JX
대학으로부터	대학/NNG+으로부터/JKB
관련	관련/NNG
분야	분야/NNG
연구성과를	연구/NNG+성과/NNG+를/JKO
공급받는	공급/NNG+받/XSV+는/ETM
상생의	상생/NNG+의/JKG
협력을	협력/NNG+을/JKO
계속해나갈	계속/NNG+하/XSV+아/EC+나가/VX+ㄹ/ETM
것"이라고말했다.	것/NNB+"/SS+이라고/JKQ+말/NNG+하/XSV+았/EP+다/EF+./SF


