# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.42
metadata : {}


# id : NWRW1800000024.42.1.1
용산참사자 비하 용산구청장 /건물 28억 땅 8억 부동산 부자

용산참사자	용산/NNP+참사자/NNG
민주당은 24일 낸 논평에서 “용산구 재개발사업의 인·허가권을 쥐고 있는 구청장으로서 세입자들의 권리를 적극적으로 보장하지 않아 용산 참사의 불씨를 만들어 놓고도, 생계 보장을 요구하는 시민들을 ‘떼잡이들’이라고 비하한 것은 억울한 고인들의 죽음을 두 번 욕보인 것”이라고 비판했다.

민주당은	민주당/NNP+은/JX
24일	24/SN+일/NNB
낸	내/VV+ㄴ/ETM
논평에서	논평/NNG+에서/JKB
“용산구	“/SS+용산구/NNP
재개발사업의	재/XPN+개발/NNG+사업/NNG+의/JKG
인·허가권을	인·허가/NNG+권/XSN+을/JKO
쥐고	쥐/VV+고/EC
있는	있/VX+는/ETM
구청장으로서	구청장/NNG+으로서/JKB
세입자들의	세입자/NNG+들/XSN+의/JKG
권리를	권리/NNG+를/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
보장하지	보장/NNG+하/XSV+지/EC
않아	않/VX+아/EC
용산	용산/NNP
참사의	참사/NNG+의/JKG
불씨를	불씨/NNG+를/JKO
만들어	만들/VV+어/EC
놓고도,	놓/VX+고도/EC+,/SP
생계	생계/NNG
보장을	보장/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
시민들을	시민/NNG+들/XSN+을/JKO
‘떼잡이들’이라고	‘/SS+떼잡이/NNG+들/XSN+’/SS+이라고/JKQ
비하한	비하/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
억울한	억울/NNG+하/XSA+ㄴ/ETM
고인들의	고인/NNG+들/XSN+의/JKG
죽음을	죽음/NNG+을/JKO
두	두/MMN
번	번/NNB
욕보인	욕보이/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.42.3.2
논평은 이어 “시민의 생존권을 파리 목숨 취급하고 개발업자의 이익 옹호에만 눈이 먼 박 구청장은 자진 사퇴만이 망자의 원혼에 참회하는 길”이라고 사퇴를 촉구했다.

논평은	논평/NNG+은/JX
이어	잇/VV+어/EC
“시민의	“/SS+시민/NNG+의/JKG
생존권을	생존/NNG+권/XSN+을/JKO
파리	파리/NNG
목숨	목숨/NNG
취급하고	취급/NNG+하/XSV+고/EC
개발업자의	개발업자/NNG+의/JKG
이익	이익/NNG
옹호에만	옹호/NNG+에/JKB+만/JX
눈이	눈/NNG+이/JKS
먼	멀/VA+ㄴ/ETM
박	박/NNP
구청장은	구청장/NNG+은/JX
자진	자진/NNG
사퇴만이	사퇴/NNG+만/JX+이/JKS
망자의	망자/NNG+의/JKG
원혼에	원혼/NNG+에/JKB
참회하는	참회/NNG+하/XSV+는/ETM
길”이라고	길/NNG+”/SS+이라고/JKQ
사퇴를	사퇴/NNG+를/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.42.3.3
경제정의실천시민연합과 민주노동당도 용산 지역 재개발사업의 관리감독 부실 책임을 물어 박 구청장의 사퇴를 촉구하는 논평을 낸 바 있다.

경제정의실천시민연합과	경제정의실천시민연합/NNP+과/JC
민주노동당도	민주노동당/NNP+도/JX
용산	용산/NNP
지역	지역/NNG
재개발사업의	재/XPN+개발/NNG+사업/NNG+의/JKG
관리감독	관리/NNG+감독/NNG
부실	부실/NNG
책임을	책임/NNG+을/JKO
물어	묻/VV+어/EC
박	박/NNP
구청장의	구청장/NNG+의/JKG
사퇴를	사퇴/NNG+를/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
논평을	논평/NNG+을/JKO
낸	내/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.42.4.1
한편, 박 구청장은 서울시내 구청장 23명 가운데 4번째로 많은 36억원 규모의 부동산을 가지고 있는 것으로 나타났다.

한편,	한편/MAG+,/SP
박	박/NNP
구청장은	구청장/NNG+은/JX
서울시내	서울/NNP+시내/NNG
구청장	구청장/NNG
23명	23/SN+명/NNB
가운데	가운데/NNG
4번째로	4/SN+번/NNB+째/XSN+로/JKB
많은	많/VA+은/ETM
36억원	36/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
부동산을	부동산/NNG+을/JKO
가지고	가지/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.42.4.2
지난해 3월28일 행정안전부 전자관보를 보면, 박 구청장이 신고한 부동산은 건물이 28억원, 땅이 8억원이다.

지난해	지난해/NNG
3월28일	3/SN+월/NNB+28/SN+일/NNB
행정안전부	행정/NNG+안전부/NNG
전자관보를	전자/NNG+관보/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
박	박/NNP
구청장이	구청장/NNG+이/JKS
신고한	신고/NNG+하/XSV+ㄴ/ETM
부동산은	부동산/NNG+은/JX
건물이	건물/NNG+이/JKS
28억원,	28/SN+억/NR+원/NNB+,/SP
땅이	땅/NNG+이/JKS
8억원이다.	8/SN+억/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.42.4.3
자신의 이름으로 18억원짜리와 3억짜리 건물 두 채, 딸 이름으로 7억원짜리 한 채, 자신과 배우자 명의로 경기·강원·충북·경북 등 4개 도 11곳에 땅을 가지고 있었다.

자신의	자신/NNG+의/JKG
이름으로	이름/NNG+으로/JKB
18억원짜리와	18/SN+억/NR+원/NNB+짜리/XSN+와/JC
3억짜리	3/SN+억/NR+짜리/XSN
건물	건물/NNG
두	두/MMN
채,	채/NNB+,/SP
딸	딸/NNG
7억원짜리	7/SN+억/NR+원/NNB+짜리/XSN
한	한/MMN
자신과	자신/NNG+과/JC
배우자	배우자/NNG
명의로	명의/NNG+로/JKB
경기·강원·충북·경북	경기/NNP+·/SP+강원/NNP+·/SP+충북/NNP+·/SP+경북/NNP
등	등/NNB
4개	4/SN+개/NNB
도	도/NNG
11곳에	11/SN+곳/NNG+에/JKB
땅을	땅/NNG+을/JKO
가지고	가지/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.42.4.4
박 구청장은 토건·개발 회사의 고위직을 거쳐 용산구의회 도시건설상임위원을 지낸 바 있다.

박	박/NNP
구청장은	구청장/NNG+은/JX
토건·개발	토건/NNG+·/SP+개발/NNG
회사의	회사/NNG+의/JKG
고위직을	고위직/NNG+을/JKO
거쳐	거치/VV+어/EC
용산구의회	용산구의회/NNP
도시건설상임위원을	도시/NNG+건설/NNG+상임/NNG+위원/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.42.5.1
용산구청 쪽은 이와 관련해 “구청장 개인적 이력을 문제 삼는 것은 본질에 벗어난 것”이라고 밝혔다.

용산구청	용산구청/NNP
쪽은	쪽/NNB+은/JX
이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“구청장	“/SS+구청장/NNG
개인적	개인/NNG+적/XSN
이력을	이력/NNG+을/JKO
문제	문제/NNG
삼는	삼/VV+는/ETM
것은	것/NNB+은/JX
본질에	본질/NNG+에/JKB
벗어난	벗어나/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.42.6.1
박 구청장은 용산 재개발 세입자 참사가 일어난 지난 20일 오전 서울 용산구 보광동 주민센터에서 열린 ‘2009 신년인사회 및 동정보고회’ 자리에서 “(이 사람들은) 세입자들이 아니에요.

박	박/NNP
구청장은	구청장/NNG+은/JX
용산	용산/NNP
재개발	재/XPN+개발/NNG
세입자	세입자/NNG
참사가	참사/NNG+가/JKS
일어난	일어나/VV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
용산구	용산구/NNP
보광동	보광동/NNP
주민센터에서	주민/NNG+센터/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘2009	‘/SS+2009/SN
신년인사회	신년/NNG+인사회/NNG
및	및/MAG
동정보고회’	동정/NNG+보고회/NNG+’/SS
자리에서	자리/NNG+에서/JKB
“(이	“/SS+(/SS+이/MMD
사람들은)	사람/NNG+들/XSN+은/JX+)/SS
세입자들이	세입자/NNG+들/XSN+이/JKC
아니에요.	아니/VCN+에요/EF+./SF


# id : NWRW1800000024.42.6.2
전국을 쫓아다니면서 개발하는 데마다 돈 내놓으라고 ….

전국을	전국/NNG+을/JKO
쫓아다니면서	쫓아다니/VV+면서/EC
개발하는	개발/NNG+하/XSV+는/ETM
데마다	데/NNB+마다/JX
돈	돈/NNG
내놓으라고	내놓/VV+으라고/EC
….	…/SE+./SF


# id : NWRW1800000024.42.6.3
그래서 떼잡이들이에요”라고 비하한 사실이 드러난 바 있다.

그래서	그래서/MAJ
떼잡이들이에요”라고	떼잡이/NNG+들/XSN+이/VCP+에요/EF+”/SS+라고/JKQ
비하한	비하/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러난	드러나/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


