# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.101
metadata : {}


# id : NWRW1800000028.101.1.1
사라지는 옛길, 보존할 길 없나

사라지는	사라지/VV+는/ETM
그	그/MMD
따라	따르/VV+아/EC
집들이	집/NNG+들/XSN+이/JKS
들어선	들어서/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
사이로	사이/NNG+로/JKB
길이	길/NNG+이/JKS
나	나/VV+아/EC
막다른	막다르/VA+ㄴ/ETM
골목길도	골목길/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000028.101.4.1
이런 ‘옛길’이 사라지고 있다.

이런	이런/MMD
‘옛길’이	‘/SS+옛길/NNG+’/SS+이/JKS
사라지고	사라지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.101.4.2
북아현동, 홍파동, 하왕십리동뿐만 아니라 교남동, 길음동, 미아동 등 서울의 옛길과 뒷골목이 뉴타운 등 재개발에 부서지고 있다.

북아현동,	북아현동/NNP+,/SP
홍파동,	홍파동/NNP+,/SP
하왕십리동뿐만	하왕십리동/NNP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
교남동,	교남동/NNP+,/SP
길음동,	길음동/NNP+,/SP
미아동	미아동/NNP
등	등/NNB
서울의	서울/NNP+의/JKG
옛길과	옛길/NNG+과/JC
뒷골목이	뒷골목/NNG+이/JKS
뉴타운	뉴타운/NNG
재개발에	재/XPN+개발/NNG+에/JKB
부서지고	부서지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.101.4.3
북아현동은 2006년 아현뉴타운 지구로 지정돼 2011년까지 철거가 완료될 예정이다.

북아현동은	북아현동/NNP+은/JX
2006년	2006/SN+년/NNB
아현뉴타운	아현뉴타운/NNP
지구로	지구/NNG+로/JKB
지정돼	지정/NNG+되/XSV+어/EC
2011년까지	2011/SN+년/NNB+까지/JX
철거가	철거/NNG+가/JKS
완료될	완료/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.101.4.4
홍파동과 하왕십리동 역시 각각 돈의문 뉴타운과 왕십리 뉴타운으로 지정돼 철거를 앞두고 있거나 부분적으로 철거에 들어갔다.

홍파동과	홍파동/NNP+과/JC
하왕십리동	하왕십리동/NNP
역시	역시/MAG
각각	각각/MAG
돈의문	돈의문/NNP
뉴타운과	뉴타운/NNG+과/JC
왕십리	왕십리/NNP
뉴타운으로	뉴타운/NNG+으로/JKB
지정돼	지정/NNG+되/XSV+어/EC
철거를	철거/NNG+를/JKO
앞두고	앞두/VV+고/EC
있거나	있/VX+거나/EC
부분적으로	부분/NNG+적/XSN+으로/JKB
철거에	철거/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.101.5.1
옛길의 대명사격인 종로1가 피맛골도 최근 재개발로 사실상 사라졌다.

옛길의	옛길/NNG+의/JKG
대명사격인	대명사/NNG+격/NNB+이/VCP+ㄴ/ETM
종로1가	종로1가/NNP
피맛골도	피맛골/NNP+도/JX
최근	최근/MAG
재개발로	재/XPN+개발/NNG+로/JKB
사실상	사실/NNG+상/XSN
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.101.5.2
옛길이 무너지면서 600년 세월이 만들어 놓은 역사의 더께와 정취, 그 길에 녹아있던 문화도 함께 무너졌다.

옛길이	옛길/NNG+이/JKS
무너지면서	무너지/VV+면서/EC
600년	600/SN+년/NNB
세월이	세월/NNG+이/JKS
만들어	만들/VV+어/EC
놓은	놓/VX+은/ETM
역사의	역사/NNG+의/JKG
더께와	더께/NNG+와/JC
정취,	정취/NNG+,/SP
그	그/MMD
길에	길/NNG+에/JKB
녹아있던	녹/VV+아/EC+있/VX+던/ETM
문화도	문화/NNG+도/JX
함께	함께/MAG
무너졌다.	무너지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.101.5.3
뉴타운, 재개발, 재건축 등의 전면철거 방식의 도시환경정비사업은 전통적인 도시구조를 해체하고 골목길 중심의 마을과 동네를 없애고 있다.

뉴타운,	뉴타운/NNG+,/SP
재개발,	재/XPN+개발/NNG+,/SP
재건축	재/XPN+건축/NNG
등의	등/NNB+의/JKG
전면철거	전면/NNG+철거/NNG
방식의	방식/NNG+의/JKG
도시환경정비사업은	도시/NNG+환경/NNG+정비/NNG+사업/NNG+은/JX
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
도시구조를	도시/NNG+구조/NNG+를/JKO
해체하고	해체/NNG+하/XSV+고/EC
골목길	골목길/NNG
중심의	중심/NNG+의/JKG
마을과	마을/NNG+과/JC
동네를	동네/NNG+를/JKO
없애고	없애/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.101.6.1
전문가들은 길이란 도시 구조의 핵심적인 부분이며, 그 도시의 역사적 정체성을 확인시켜주는 요소이므로, 함부로 없애거나 바꿔서는 안 된다고 지적했다.

전문가들은	전문가/NNG+들/XSN+은/JX
길이란	길/NNG+이란/JX
도시	도시/NNG
구조의	구조/NNG+의/JKG
핵심적인	핵심/NNG+적/XSN+이/VCP+ㄴ/ETM
부분이며,	부분/NNG+이/VCP+며/EC+,/SP
그	그/MMD
도시의	도시/NNG+의/JKG
역사적	역사/NNG+적/XSN
정체성을	정체/NNG+성/XSN+을/JKO
확인시켜주는	확인/NNG+시키/XSV+어/EC+주/VX+는/ETM
요소이므로,	요소/NNG+이/VCP+므로/EC+,/SP
함부로	함부로/MAG
없애거나	없애/VV+거나/EC
바꿔서는	바꾸/VV+어서/EC+는/JX
안	안/MAG
된다고	되/VV+ㄴ다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.101.6.2
황평우 문화연대 문화유산위원장은 “전면철거 방식의 개발로는 옛길을 유지할 길이 없다”며 “용적률거래제 등을 활용한 저밀도·소규모 개발로 바꿔 옛길을 유지해야 한다”고 말했다.

황평우	황평우/NNP
문화연대	문화연대/NNP
문화유산위원장은	문화유산/NNG+위원장/NNG+은/JX
“전면철거	“/SS+전면/NNG+철거/NNG
방식의	방식/NNG+의/JKG
개발로는	개발/NNG+로/JKB+는/JX
옛길을	옛길/NNG+을/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
길이	길/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“용적률거래제	“/SS+용적/NNG+률/XSN+거래/NNG+제/XSN
등을	등/NNB+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
저밀도·소규모	저/XPN+밀도/NNG+·/SP+소/XPN+규모/NNG
개발로	개발/NNG+로/JKB
바꿔	바꾸/VV+어/EC
유지해야	유지/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.101.7.1
민현석 서울시정개발연구원 부연구위원은 중국 항저우 허팡제와 일본 오사카 호젠지요코초를 예로 들며 “이들 도시는 옛길을 충실히 유지·복원해 역사도시로서의 경쟁력을 높이고 있다”고 설명했다.

민현석	민현석/NNP
서울시정개발연구원	서울시정개발연구원/NNP
부연구위원은	부연구위원/NNG+은/JX
중국	중국/NNP
항저우	항저우/NNP
허팡제와	허팡제/NNP+와/JC
일본	일본/NNP
오사카	오사카/NNP
호젠지요코초를	호젠지요코초/NNP+를/JKO
예로	예/NNG+로/JKB
들며	들/VV+며/EC
“이들	“/SS+이/NP+들/XSN
도시는	도시/NNG+는/JX
옛길을	옛길/NNG+을/JKO
충실히	충실히/MAG
유지·복원해	유지/NNG+·/SP+복원/NNG+하/XSV+아/EC
역사도시로서의	역사/NNG+도시/NNG+로서/JKB+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
높이고	높이/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.101.7.2
허팡제에는 우리로 치면 고려 때인 남송 시대의 골목길이 여전히 남아있고, 호젠지요코초에는 17세기부터 장사를 시작한 유서 깊은 점포들이 골목길을 따라 빼곡히 들어서 있다.

허팡제에는	허팡제/NNP+에/JKB+는/JX
우리로	우리/NP+로/JKB
치면	치/VV+면/EC
고려	고려/NNP
때인	때/NNG+이/VCP+ㄴ/ETM
남송	남송/NNP
시대의	시대/NNG+의/JKG
골목길이	골목길/NNG+이/JKS
여전히	여전히/MAG
남아있고,	남/VV+아/EC+있/VX+고/EC+,/SP
호젠지요코초에는	호젠지요코초/NNP+에/JKB+는/JX
17세기부터	17/SN+세기/NNG+부터/JX
장사를	장사/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
유서	유서/NNG
깊은	깊/VA+은/ETM
점포들이	점포/NNG+들/XSN+이/JKS
골목길을	골목길/NNG+을/JKO
따라	따르/VV+아/EC
빼곡히	빼곡히/MAG
들어서	들어서/VV+어/EC
있다.	있/VX+다/EF+./SF


