# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.155
metadata : {}


# id : NWRW1800000054.155.1.1
'5조 회계 사기' 대우조선 고재호 前사장 징역 10년

'5조	'/SS+5/SN+조/NR
신용등급을	신용/NNG+등급/NNG+을/JKO
따낸	따내/VV+ㄴ/ETM
뒤	뒤/NNG
은행을	은행/NNG+을/JKO
속여	속이/VV+어/EC
21조원대	21/SN+조/NR+원/NNB+대/XSN
대출을	대출/NNG+을/JKO
받아내고,	받/VV+아/EC+내/VX+고/EC+,/SP
손실이	손실/NNG+이/JKS
누적됐는데도	누적/NNG+되/XSV+었/EP+는데/EC+도/JX
이익이	이익/NNG+이/JKS
난	나/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
꾸며	꾸미/VV+어/EC
임직원들에게	임직원/NNG+들/XSN+에게/JKB
4960억원의	4960/SN+억/NR+원/NNB+의/JKG
성과급을	성과급/NNG+을/JKO
지급한	지급/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.155.5.1
재판부는 "고 전 사장 등은 2013~2014년 일부 선박에서 대규모 손실이 발생해 영업이익 및 당기순이익을 달성할 수 없다는 사실을 알면서도 허위 회계처리를 묵인했다"며 "기업에 대한 불신을 유발하고 궁극적으로 국가 경제 발전을 저해할 뿐 아니라 투자자들에게도 예측하지 못한 손해를 입혀 죄질이 매우 나쁘다"고 했다.

재판부는	재판부/NNG+는/JX
"고	"/SS+고/NNP
전	전/MMD
사장	사장/NNG
등은	등/NNB+은/JX
2013~2014년	2013/SN+~/SO+2014/SN+년/NNB
일부	일부/NNG
선박에서	선박/NNG+에서/JKB
대규모	대/XPN+규모/NNG
손실이	손실/NNG+이/JKS
발생해	발생/NNG+하/XSV+아/EC
영업이익	영업/NNG+이익/NNG
및	및/MAG
당기순이익을	당기/NNG+순이익/NNG+을/JKO
달성할	달성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
사실을	사실/NNG+을/JKO
알면서도	알/VV+면서/EC+도/JX
허위	허위/NNG
회계처리를	회계/NNG+처리/NNG+를/JKO
묵인했다"며	묵인/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"기업에	"/SS+기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불신을	불신/NNG+을/JKO
유발하고	유발/NNG+하/XSV+고/EC
궁극적으로	궁극/NNG+적/XSN+으로/JKB
국가	국가/NNG
경제	경제/NNG
발전을	발전/NNG+을/JKO
저해할	저해/NNG+하/XSV+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
투자자들에게도	투자자/NNG+들/XSN+에게/JKB+도/JX
예측하지	예측/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
손해를	손해/NNG+를/JKO
입혀	입히/VV+어/EC
죄질이	죄질/NNG+이/JKS
매우	매우/MAG
나쁘다"고	나쁘/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.155.6.1
재판부는 "고 전 사장은 자신의 대표이사 지위를 유지하기 위해 분식회계를 묵인해 책임이 무겁다"고도 했다.

재판부는	재판부/NNG+는/JX
"고	"/SS+고/NNP
전	전/MMD
사장은	사장/NNG+은/JX
자신의	자신/NNG+의/JKG
대표이사	대표/NNG+이사/NNG
지위를	지위/NNG+를/JKO
유지하기	유지/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
분식회계를	분식/NNG+회계/NNG+를/JKO
묵인해	묵인/NNG+하/XSV+아/EC
책임이	책임/NNG+이/JKS
무겁다"고도	무겁/VA+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.155.6.2
재판부는 다만 고 전 사장의 혐의 가운데 '2012년 분식회계'는 무죄로 봤다.

재판부는	재판부/NNG+는/JX
다만	다만/MAG
고	고/NNP
전	전/MMD
사장의	사장/NNG+의/JKG
혐의	혐의/NNG
가운데	가운데/NNG
'2012년	'/SS+2012/SN+년/NNB
분식회계'는	분식/NNG+회계/NNG+'/SS+는/JX
무죄로	무죄/NNG+로/JKB
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.155.7.1
법원 관계자는 "수조원대 분식회계로 회사와 투자자, 금융기관은 물론 국민경제에도 막대한 피해를 준 사안의 중대성을 감안해 재판부가 중형을 선고한 것"이라고 했다.

법원	법원/NNG
관계자는	관계자/NNG+는/JX
"수조원대	"/SS+수조/NR+원/NNB+대/XSN
분식회계로	분식/NNG+회계/NNG+로/JKB
회사와	회사/NNG+와/JC
투자자,	투자자/NNG+,/SP
금융기관은	금융/NNG+기관/NNG+은/JX
물론	물론/MAG
국민경제에도	국민/NNG+경제/NNG+에/JKB+도/JX
막대한	막대하/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
준	주/VV+ㄴ/ETM
사안의	사안/NNG+의/JKG
중대성을	중대/NNG+성/XSN+을/JKO
감안해	감안/NNG+하/XSV+아/EC
재판부가	재판부/NNG+가/JKS
중형을	중형/NNG+을/JKO
선고한	선고/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


