# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.60
metadata : {}


# id : NWRW1800000029.60.1.1
코리아스피드페스티벌 다음달 3,4일 2차전

코리아스피드페스티벌	코리아/NNP+스피드/NNG+페스티벌/NNG
해외에서도	해외/NNG+에서/JKB+도/JX
큰	크/VA+ㄴ/ETM
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있는	있/VX+는/ETM
팀	팀/NNG
106의	106/SN+의/JKG
가세로	가세/NNG+로/JKB
태백레이싱파크의	태백레이싱파크/NNP+의/JKG
열기는	열기/NNG+는/JX
한층	한층/MAG
뜨거워질	뜨거워지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.60.7.4
KSF 조직위원회는 “지난 16년 동안 드라이버로 활약하며 모터스포츠 전도사 역할을 해 온 류 씨의 합류로 관중도 크게 늘어날 것으로 보인다”며 “이미 국내는 물론이고 일본인 관람객들의 문의가 이어지고 있다”고 밝혔다.

KSF	KSF/SL
조직위원회는	조직/NNG+위원회/NNG+는/JX
“지난	“/SS+지나/VV+ㄴ/ETM
16년	16/SN+년/NNB
동안	동안/NNG
드라이버로	드라이버/NNG+로/JKB
활약하며	활약/NNG+하/XSV+며/EC
모터스포츠	모터스포츠/NNG
전도사	전도사/NNG
역할을	역할/NNG+을/JKO
해	하/VV+아/EC
온	오/VX+ㄴ/ETM
류	류/NNP
씨의	씨/NNB+의/JKG
합류로	합류/NNG+로/JKB
관중도	관중/NNG+도/JX
크게	크/VA+게/EC
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“이미	“/SS+이미/MAG
국내는	국내/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
일본인	일본인/NNG
관람객들의	관람객/NNG+들/XSN+의/JKG
문의가	문의/NNG+가/JKS
이어지고	이어지/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.60.8.1
팀 106은 감독인 류 씨와 카를로 반담, 유경욱 등 최고의 실력을 갖춘 4명의 드라이버를 KSF에 출전시켜 상위권을 노리겠다는 포부를 밝혔다.

팀	팀/NNG
106은	106/SN+은/JX
감독인	감독/NNG+이/VCP+ㄴ/ETM
류	류/NNP
씨와	씨/NNB+와/JC
카를로	카를로/NNP
반담,	반담/NNP+,/SP
유경욱	유경욱/NNP
등	등/NNB
최고의	최고/NNG+의/JKG
실력을	실력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
4명의	4/SN+명/NNB+의/JKG
드라이버를	드라이버/NNG+를/JKO
KSF에	KSF/SL+에/JKB
출전시켜	출전/NNG+시키/XSV+어/EC
상위권을	상위/NNG+권/XSN+을/JKO
노리겠다는	노리/VV+겠/EP+다는/ETM
포부를	포부/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.60.8.2
KSF와 함께 국내 양대 모터스포츠 대회로 꼽히는 CJ 티빙 슈퍼레이스에서도 상위권을 유지하고 있는 팀 106은 이번 참가를 계기로 명실상부한 국내 최고의 레이싱 팀으로 자리매김한다는 계획이다.

KSF와	KSF/SL+와/JKB
함께	함께/MAG
국내	국내/NNG
양대	양대/MMA
모터스포츠	모터스포츠/NNG
대회로	대회/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
CJ	CJ/SL
티빙	티빙/MAG
슈퍼레이스에서도	슈퍼/NNG+레이스/NNG+에서/JKB+도/JX
상위권을	상위/NNG+권/XSN+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
팀	팀/NNG
106은	106/SN+은/JX
이번	이번/NNG
참가를	참가/NNG+를/JKO
계기로	계기/NNG+로/JKB
명실상부한	명실상부/NNG+하/XSA+ㄴ/ETM
최고의	최고/NNG+의/JKG
레이싱	레이싱/NNG
팀으로	팀/NNG+으로/JKB
자리매김한다는	자리매김/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.60.8.3
팀 106은 “응원해 주시는 많은 팬과 팀의 우승을 위해 드라이버와 팀원 모두 최선을 다할 것”이라고 밝혔다.

팀	팀/NNG
106은	106/SN+은/JX
“응원해	“/SS+응원/NNG+하/XSV+아/EC
주시는	주/VX+시/EP+는/ETM
많은	많/VA+은/ETM
팬과	팬/NNG+과/JC
팀의	팀/NNG+의/JKG
우승을	우승/NNG+을/JKO
위해	위하/VV+아/EC
드라이버와	드라이버/NNG+와/JC
팀원	팀원/NNG
모두	모두/MAG
최선을	최선/NNG+을/JKO
다할	다/MAG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.60.9.1
한편 팀 106뿐만 아니라 ‘인제오토피아 킥스 레이싱’, ‘D FACTORY’ 등이 제네시스 쿠페 레이스에 새롭게 합류하면서 레이스 참여 차량이 1차전 14대에서 2차전 22대로 늘어났다.

한편	한편/MAG
팀	팀/NNG
106뿐만	106/SN+뿐/JX+만/JX
아니라	아니/VCN+라/EC
‘인제오토피아	‘/SS+인제오토피아/NNP
킥스	킥스/NNP
레이싱’,	레이싱/NNG+’/SS+,/SP
‘D	‘/SS+D/SL
FACTORY’	FACTORY/SL+’/SS
등이	등/NNB+이/JKS
제네시스	제네시스/NNP
쿠페	쿠페/NNG
레이스에	레이스/NNG+에/JKB
새롭게	새롭/VA+게/EC
합류하면서	합류/NNG+하/XSV+면서/EC
레이스	레이스/NNG
참여	참여/NNG
차량이	차량/NNG+이/JKS
1차전	1/SN+차전/NNB
14대에서	14/SN+대/NNB+에서/JKB
2차전	2/SN+차전/NNB
22대로	22/SN+대/NNB+로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.60.9.2
여기에 토요일(3일)에는 2라운드, 일요일(4일)에는 3라운드가 열려 각 팀의 전략과 메커닉 능력이 중요한 변수로 작용하게 됐다.

여기에	여기/NP+에/JKB
토요일(3일)에는	토요일/NNG+(/SS+3/SN+일/NNB+)/SS+에/JKB+는/JX
2라운드,	2/SN+라운드/NNG+,/SP
일요일(4일)에는	일요일/NNG+(/SS+4/SN+일/NNB+)/SS+에/JKB+는/JX
3라운드가	3/SN+라운드/NNG+가/JKS
열려	열리/VV+어/EC
각	각/MMD
팀의	팀/NNG+의/JKG
전략과	전략/NNG+과/JC
메커닉	메커닉/NNG
능력이	능력/NNG+이/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
변수로	변수/NNG+로/JKB
작용하게	작용/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.60.9.3
KSF 조직위 관계자는 “대부분의 팀이 토요일 2라운드가 끝난 뒤 밤샘 정비도 불사해 3라운드에서도 좋은 성적을 거두겠다는 포부”라며 “한층 치열한 경쟁은 관중에게 더 큰 재미를 선사할 것”이라고 전했다.

KSF	KSF/SL
조직위	조직위/NNG
관계자는	관계자/NNG+는/JX
“대부분의	“/SS+대/XPN+부분/NNG+의/JKG
팀이	팀/NNG+이/JKS
토요일	토요일/NNG
2라운드가	2/SN+라운드/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
밤샘	밤샘/NNG
정비도	정비/NNG+도/JX
불사해	불사/NNG+하/XSV+아/EC
3라운드에서도	3/SN+라운드/NNG+에서/JKB+도/JX
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
거두겠다는	거두/VV+겠/EP+다는/ETM
포부”라며	포부/NNG+”/SS+이/VCP+라며/EC
“한층	“/SS+한층/MAG
치열한	치열/NNG+하/XSA+ㄴ/ETM
경쟁은	경쟁/NNG+은/JX
관중에게	관중/NNG+에게/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
재미를	재미/NNG+를/JKO
선사할	선사/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.60.10.1
○ 볼거리도 풍성

○	○/SW
볼거리도	볼거리/NNG+도/JX
풍성	풍성/NNG


# id : NWRW1800000029.60.11.1
서킷 밖에서는 볼거리가 한층 더 늘어났다.

서킷	서킷/NNG
밖에서는	밖/NNG+에서/JKB+는/JX
볼거리가	볼거리/NNG+가/JKS
한층	한층/MAG
더	더/MAG
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.60.11.2
3일에는 각 팀의 대표 레이싱 모델들이 직접 운전석에 앉아 후원사와 팀을 대표해 슬랄럼(짧은 구간을 지그재그로 빠져나가는 코너링) 콘테스트를 벌인다.

3일에는	3/SN+일/NNB+에/JKB+는/JX
각	각/MMD
팀의	팀/NNG+의/JKG
대표	대표/NNG
레이싱	레이싱/NNG
모델들이	모델/NNG+들/XSN+이/JKS
직접	직접/MAG
운전석에	운전석/NNG+에/JKB
앉아	앉/VV+아/EC
후원사와	후원사/NNG+와/JC
팀을	팀/NNG+을/JKO
대표해	대표/NNG+하/XSV+아/EC
슬랄럼(짧은	슬랄럼/NNG+(/SS+짧/VA+은/ETM
구간을	구간/NNG+을/JKO
지그재그로	지그재그/NNG+로/JKB
빠져나가는	빠져나가/VV+는/ETM
코너링)	코너링/NNG+)/SS
콘테스트를	콘테스트/NNG+를/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.60.11.3
류지혜(한국쉘석유), 이수정(현대자동차) 등 각 후원사와 팀을 대표하는 모델 12명은 ‘아반떼 GDI’를 타고 100m 구간 슬랄럼 테스트에 나선다.

류지혜(한국쉘석유),	류지혜/NNP+(/SS+한국쉘석유/NNP+)/SS+,/SP
이수정(현대자동차)	이수정/NNP+(/SS+현대자동차/NNP+)/SS
등	등/NNB
각	각/MMD
후원사와	후원사/NNG+와/JC
팀을	팀/NNG+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
모델	모델/NNG
12명은	12/SN+명/NNB+은/JX
‘아반떼	‘/SS+아반떼/NNP
GDI’를	GDI/SL+’/SS+를/JKO
타고	타/VV+고/EC
100m	100/SN+m/SW
구간	구간/NNG
슬랄럼	슬랄럼/NNG
테스트에	테스트/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.60.12.1
또 3, 4일 모두 관람객이 서킷을 직접 돌아볼 수 있는 피트워크와 직접 경주 차량에 탑승해 볼 수 있는 택시타임 행사가 열린다.

또	또/MAG
3,	3/SN+,/SP
4일	4/SN+일/NNB
모두	모두/MAG
관람객이	관람객/NNG+이/JKS
서킷을	서킷/NNG+을/JKO
직접	직접/MAG
돌아볼	돌아보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
피트워크와	피트/NNG+워크/NNG+와/JC
경주	경주/NNG
차량에	차량/NNG+에/JKB
탑승해	탑승/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
택시타임	택시/NNG+타임/NNG
행사가	행사/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.60.12.2
특히 팀 106은 3일 열리는 피트워크에서 류 씨를 비롯한 드라이버들의 팬 사인회도 개최할 예정이다.

특히	특히/MAG
팀	팀/NNG
106은	106/SN+은/JX
3일	3/SN+일/NNB
열리는	열리/VV+는/ETM
피트워크에서	피트/NNG+워크/NNG+에서/JKB
류	류/NNP
씨를	씨/NNB+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
드라이버들의	드라이버/NNG+들/XSN+의/JKG
팬	팬/NNG
사인회도	사인회/NNG+도/JX
개최할	개최/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.60.12.3
이와 함께 슈퍼카트, F3 머신 등 흔히 볼 수 없는 다양한 경주 차량이 축하 주행을 벌여 관람객들에게 다양한 볼거리를 선사할 예정이다.

이와	이/NP+와/JKB
함께	함께/MAG
슈퍼카트,	슈퍼/NNG+카트/NNG+,/SP
F3	F/SL+3/SN
머신	머신/NNG
등	등/NNB
흔히	흔히/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
경주	경주/NNG
차량이	차량/NNG+이/JKS
축하	축하/NNG
주행을	주행/NNG+을/JKO
벌여	벌이/VV+어/EC
관람객들에게	관람객/NNG+들/XSN+에게/JKB
볼거리를	볼거리/NNG+를/JKO
선사할	선사/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.60.12.4
KSF 프로모터인 이노션의 한규형 콘텐츠전략본부 이사는 “KSF는 레이스뿐만 아니라 다양한 이벤트로 모터스포츠 저변을 확대하고 자동차와 관련된 다양한 기술을 홍보하는 무대가 될 것”이라며 “명실상부한 자동차 문화 종합 제전으로 성장할 수 있도록 계속 노력하겠다”고 말했다.

KSF	KSF/SL
프로모터인	프로모터/NNG+이/VCP+ㄴ/ETM
이노션의	이노션/NNP+의/JKG
한규형	한규형/NNP
콘텐츠전략본부	콘텐츠/NNG+전략/NNG+본부/NNG
이사는	이사/NNG+는/JX
“KSF는	“/SS+KSF/SL+는/JX
레이스뿐만	레이스/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
이벤트로	이벤트/NNG+로/JKB
모터스포츠	모터스포츠/NNG
저변을	저변/NNG+을/JKO
확대하고	확대/NNG+하/XSV+고/EC
자동차와	자동차/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
기술을	기술/NNG+을/JKO
홍보하는	홍보/NNG+하/XSV+는/ETM
무대가	무대/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“명실상부한	“/SS+명실상부/NNG+하/XSA+ㄴ/ETM
자동차	자동차/NNG
문화	문화/NNG
종합	종합/NNG
제전으로	제전/NNG+으로/JKB
성장할	성장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
계속	계속/MAG
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


