# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.37
metadata : {}


# id : NWRW1800000025.37.1.1
“美 집값 아직 거품… 15%는 더 떨어진다”

“美	“/SS+美/SH
완화	완화/NNG
정책으로	정책/NNG+으로/JKB
일단	일단/MAG
위기는	위기/NNG+는/JX
잘	잘/MAG
넘겼지만	넘기/VV+었/EP+지만/EC
출구전략이	출구/NNG+전략/NNG+이/JKS
늦어지는	늦어지/VV+는/ETM
게	거/NNB+이/JKS
변수”라며	변수/NNG+”/SS+이/VCP+라며/EC
“하지만	“/SS+하지만/MAJ
섣불리	섣불리/MAG
금리인상에	금리/NNG+인상/NNG+에/JKB
나서기에는	나서/VV+기/ETN+에/JKB+는/JX
위험이	위험/NNG+이/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.37.6.2
그는 “중앙은행이 정부의 반대에도 불구하고 서둘러 금리를 올렸다가 경기가 침체돼 여론이 등을 돌리면 오히려 중앙은행의 독립성을 해치는 빌미만 줄 수 있다”고 지적했다.

그는	그/NP+는/JX
“중앙은행이	“/SS+중앙은행/NNG+이/JKS
정부의	정부/NNG+의/JKG
반대에도	반대/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
서둘러	서두르/VV+어/EC
금리를	금리/NNG+를/JKO
올렸다가	올리/VV+었/EP+다가/EC
경기가	경기/NNG+가/JKS
침체돼	침체/NNG+되/XSV+어/EC
여론이	여론/NNG+이/JKS
등을	등/NNG+을/JKO
돌리면	돌리/VV+면/EC
오히려	오히려/MAG
중앙은행의	중앙은행/NNG+의/JKG
독립성을	독립/NNG+성/XSN+을/JKO
해치는	해치/VV+는/ETM
빌미만	빌미/NNG+만/JX
줄	주/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


