# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.80
metadata : {}


# id : NWRW1800000054.80.1.1
[그래픽 뉴스] 항산화 영양소 올바른 섭취법

[그래픽	[/SS+그래픽/NNG
◇천연	◇/SW+천연/NNG
식품도	식품/NNG+도/JX
한	한/MMN
가지만	가지/NNB+만/JX
먹으면	먹/VV+으면/EC
안	안/MAG
돼	되/VV+어/EF


# id : NWRW1800000054.80.8.1
그렇다면 항산화 물질은 어떻게 먹는 게 좋을까.

그렇다면	그렇/VA+다면/EC
항산화	항산화/NNG
물질은	물질/NNG+은/JX
어떻게	어떻/VA+게/EC
먹는	먹/VV+는/ETM
게	거/NNB+이/JKS
좋을까.	좋/VA+을까/EF+./SF


# id : NWRW1800000054.80.8.2
동국대 화학과 여인형 교수는 "항산화 물질을 편식해서 생기는 문제는 천연식품으로 섭취할 때도 마찬가지"라며 "천연식품 속 항산화 물질도 활성산소와 싸우고 나면 독성 물질로 변성한다"고 말했다.

동국대	동국대/NNP
화학과	화학과/NNG
여인형	여인형/NNP
교수는	교수/NNG+는/JX
"항산화	"/SS+항산화/NNG
물질을	물질/NNG+을/JKO
편식해서	편식/NNG+하/XSV+아서/EC
생기는	생기/VV+는/ETM
문제는	문제/NNG+는/JX
천연식품으로	천연/NNG+식품/NNG+으로/JKB
섭취할	섭취/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
마찬가지"라며	마찬가지/NNG+"/SS+이/VCP+라며/EC
"천연식품	"/SS+천연/NNG+식품/NNG
속	속/NNG
항산화	항산화/NNG
물질도	물질/NNG+도/JX
활성산소와	활성/NNG+산소/NNG+와/JKB
싸우고	싸우/VV+고/EC
나면	나/VX+면/EC
독성	독성/NNG
물질로	물질/NNG+로/JKB
변성한다"고	변성/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.80.8.3
따라서 다섯 종류의 항산화 물질을 골고루 섭취해야 한다.

따라서	따라서/MAJ
다섯	다섯/NR
종류의	종류/NNG+의/JKG
항산화	항산화/NNG
물질을	물질/NNG+을/JKO
골고루	골고루/MAG
섭취해야	섭취/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.80.9.1
비타민E는 견과류·오일 등에, 비타민C는 오렌지·딸기 같은 과채류에 풍부하다.

비타민E는	비타민/NNG+E/SL+는/JX
견과류·오일	견과/NNG+류/XSN+·/SP+오일/NNG
등에,	등/NNB+에/JKB+,/SP
비타민C는	비타민/NNG+C/SL+는/JX
오렌지·딸기	오렌지/NNG+·/SP+딸기/NNG
같은	같/VA+은/ETM
과채류에	과채/NNG+류/XSN+에/JKB
풍부하다.	풍부하/VA+다/EF+./SF


# id : NWRW1800000054.80.9.2
강동경희대병원 영양팀 이정주 파트장에 따르면 비타민E는 올리브유 10스푼 정도, 비타민C는 오렌지 한 개나 딸기 다섯 개 정도 먹으면 하루 권장량을 모두 채울 수 있다.

강동경희대병원	강동경희대병원/NNP
영양팀	영양/NNG+팀/NNG
이정주	이정주/NNP
파트장에	파트장/NNG+에/JKB
따르면	따르/VV+면/EC
비타민E는	비타민/NNG+E/SL+는/JX
올리브유	올리브유/NNG
10스푼	10/SN+스푼/NNG
정도,	정도/NNG+,/SP
비타민C는	비타민/NNG+C/SL+는/JX
오렌지	오렌지/NNG
한	한/MMN
개나	개/NNB+나/JX
딸기	딸기/NNG
다섯	다섯/NR
개	개/NNB
정도	정도/NNG
먹으면	먹/VV+으면/EC
하루	하루/NNG
권장량을	권장량/NNG+을/JKO
모두	모두/MAG
채울	채우/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.80.9.3
글루타치온, 알파리포산, 코엔자임Q10은 권장량 기준이 따로 없지만, 식단에 아스파라거스·아보카도(글루타치온), 시금치·쌀눈·브로콜리(알파리포산), 육류·콩류(코엔자임Q10) 등을 골고루 넣으면 좋다.

글루타치온,	글루타치온/NNG+,/SP
알파리포산,	알파리포산/NNG+,/SP
코엔자임Q10은	코엔자임/NNG+Q/SL+10/SN+은/JX
권장량	권장량/NNG
기준이	기준/NNG+이/JKS
따로	따로/MAG
없지만,	없/VA+지만/EC+,/SP
식단에	식단/NNG+에/JKB
아스파라거스·아보카도(글루타치온),	아스파라거스/NNG+·/SP+아보카도/NNG+(/SS+글루타치온/NNG+)/SS+,/SP
시금치·쌀눈·브로콜리(알파리포산),	시금치/NNG+·/SP+쌀눈/NNG+·/SP+브로콜리/NNG+(/SS+알파리포산/NNG+)/SS+,/SP
육류·콩류(코엔자임Q10)	육류/NNG+·/SP+콩/NNG+류/XSN+(/SS+코엔자임/NNG+Q/SL+10/SN+)/SS
등을	등/NNB+을/JKO
골고루	골고루/MAG
넣으면	넣/VV+으면/EC
좋다.	좋/VA+다/EF+./SF


