# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.283
metadata : {}


# id : NWRW1800000028.283.1.1
“보·준설비 6조 줄여 /수질개선 등 투입을”

“보·준설비	“/SS+보/NNG+·/SP+준설비/NNG
건설을	건설/NNG+을/JKO
벌이는	벌이/VV+는/ETM
엠비(MB)식	엠비/NNP+(/SS+MB/SL+)/SS+식/NA
4대강	4/SN+대/NNG+강/NNG
사업에	사업/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
전혀	전혀/MAG
동의할	동의/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“강살리기	“/SS+강/NNG+살리/VV+기/ETN
사업	사업/NNG
목적은	목적/NNG+은/JX
운하용	운하/NNG+용/XSN
수량	수량/NNG
확보가	확보/NNG+가/JKC
아니라	아니/VCN+라/EC
수질개선사업이	수질/NNG+개선/NNG+사업/NNG+이/JKS
우선시돼야	우선/NNG+시/XSN+되/XSV+어야/EC
하며,	하/VX+며/EC+,/SP
본류가	본류/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
재해에	재해/NNG+에/JKB
취약하고	취약/NNG+하/XSA+고/EC
정비가	정비/NNG+가/JKS
시급한	시급하/VA+ㄴ/ETM
지천·소하천을	지천/NNG+·/SP+소/XPN+하천/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
강의	강/NNG+의/JKG
특성을	특성/NNG+을/JKO
고려해서	고려/NNG+하/XSV+아서/EC
추진해야	추진/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.283.4.1
민주당이 이날 내놓은 대안을 보면, 4대강 총사업비 22조원 중 절반가량(10조2131억원)을 차지하는 낙동강의 경우 댐 건설, 자전거도로, 하굿둑 증설 같은 사업을 중단함으로써 5조2351억원을 절감하고, 절약분 중 2조9554억원을 공단 유해물질 관리사업, 강변 저류지 조성사업, 소하천·지류를 대상으로 한 하천재해예방사업 등에 투입하는 내용이다.

민주당이	민주당/NNP+이/JKS
이날	이날/NNG
내놓은	내놓/VV+은/ETM
대안을	대안/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
4대강	4/SN+대/NNG+강/NNG
총사업비	총/MMA+사업비/NNG
22조원	22/SN+조/NR+원/NNB
중	중/NNB
절반가량(10조2131억원)을	절반/NNG+가량/XSN+(/SS+10/SN+조/NR+2131/SN+억/NR+원/NNB+)/SS+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
낙동강의	낙동강/NNP+의/JKG
경우	경우/NNG
댐	댐/NNG
건설,	건설/NNG+,/SP
자전거도로,	자전거/NNG+도로/NNG+,/SP
하굿둑	하굿둑/NNG
증설	증설/NNG
같은	같/VA+은/ETM
사업을	사업/NNG+을/JKO
중단함으로써	중단/NNG+하/XSV+ㅁ/ETN+으로써/JKB
5조2351억원을	5/SN+조/NR+2351/SN+억/NR+원/NNB+을/JKO
절감하고,	절감/NNG+하/XSV+고/EC+,/SP
절약분	절약/NNG+분/XSN
2조9554억원을	2/SN+조/NR+9554/SN+억/NR+원/NNB+을/JKO
공단	공단/NNG
유해물질	유해/NNG+물질/NNG
관리사업,	관리/NNG+사업/NNG+,/SP
강변	강변/NNG
저류지	저류지/NNG
조성사업,	조성/NNG+사업/NNG+,/SP
소하천·지류를	소/XPN+하천/NNG+·/SP+지류/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
하천재해예방사업	하천/NNG+재해/NNG+예방/NNG+사업/NNG
등에	등/NNB+에/JKB
투입하는	투입/NNG+하/XSV+는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.283.5.1
영산강과 관련해선, 광주천 등 지천에 하수종말처리장을 확충하고 영산강 오니토를 제거하는 등 수질개선사업에 1조4450억원을 집중 투자하는 내용을 담고 있다.

영산강과	영산강/NNP+과/JKB
관련해선,	관련/NNG+하/XSV+아서/EC+ㄴ/JX+,/SP
광주천	광주천/NNP
등	등/NNB
지천에	지천/NNG+에/JKB
하수종말처리장을	하수/NNG+종말/NNG+처리장/NNG+을/JKO
확충하고	확충/NNG+하/XSV+고/EC
영산강	영산강/NNP
오니토를	오니토/NNG+를/JKO
제거하는	제거/NNG+하/XSV+는/ETM
수질개선사업에	수질/NNG+개선/NNG+사업/NNG+에/JKB
1조4450억원을	1/SN+조/NR+4450/SN+억/NR+원/NNB+을/JKO
집중	집중/NNG
투자하는	투자/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.283.5.2
한강에 대해선 인공조경사업, 자전거도로, 위락시설 유치 등은 수도권 2300만명 식수원으로 쓰이는 한강물의 수질을 위협한다고 보고, 한강 사업비 3조4450억원 중 1조86억원을 절약해, 비점오염원(농경지 배수나 도로 배수 등 경로를 특정하기 어려운 오염 원인) 제거 등 하천수질개선사업 등에 8696억원을 투입하자고 제안했다.

한강에	한강/NNP+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
인공조경사업,	인공/NNG+조경/NNG+사업/NNG+,/SP
자전거도로,	자전거/NNG+도로/NNG+,/SP
위락시설	위락/NNG+시설/NNG
유치	유치/NNG
등은	등/NNB+은/JX
수도권	수도/NNG+권/XSN
2300만명	2300/SN+만/NR+명/NNB
식수원으로	식수원/NNG+으로/JKB
쓰이는	쓰이/VV+는/ETM
한강물의	한강/NNP+물/NNG+의/JKG
수질을	수질/NNG+을/JKO
위협한다고	위협/NNG+하/XSV+ㄴ다고/EC
보고,	보/VV+고/EC+,/SP
한강	한강/NNP
사업비	사업비/NNG
3조4450억원	3/SN+조/NR+4450/SN+억/NR+원/NNB
중	중/NNB
1조86억원을	1/SN+조/NR+86/SN+억/NR+원/NNB+을/JKO
절약해,	절약/NNG+하/XSV+아/EC+,/SP
비점오염원(농경지	비점/NNG+오염원/NNG+(/SS+농경지/NNG
배수나	배수/NNG+나/JC
도로	도로/NNG
배수	배수/NNG
등	등/NNB
경로를	경로/NNG+를/JKO
특정하기	특정/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
오염	오염/NNG
원인)	원인/NNG+)/SS
제거	제거/NNG
하천수질개선사업	하천/NNG+수질/NNG+개선/NNG+사업/NNG
등에	등/NNB+에/JKB
8696억원을	8696/SN+억/NR+원/NNB+을/JKO
투입하자고	투입/NNG+하/XSV+자고/EC
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.283.6.1
민주당이 이날 내놓은 4대강 사업 대안에 대해 정부 쪽은 사실상 ‘수용 불가’ 방침을 밝혔다.

민주당이	민주당/NNP+이/JKS
이날	이날/NNG
내놓은	내놓/VV+은/ETM
4대강	4/SN+대/NNG+강/NNG
사업	사업/NNG
대안에	대안/NNG+에/JKB
대해	대하/VV+아/EC
정부	정부/NNG
쪽은	쪽/NNB+은/JX
사실상	사실상/MAG
‘수용	‘/SS+수용/NNG
불가’	불가/NNG+’/SS
방침을	방침/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.283.6.2
심명필 국토해양부 4대강추진본부장은 “전체 4대강 공정률은 23%이지만 보 공사의 공정률은 45%로 절반에 가깝다”며 “이런 상황에서 보 건설의 중단은 있을 수 없는 일”이라고 말했다.

심명필	심명필/NNP
국토해양부	국토/NNG+해양부/NNG
4대강추진본부장은	4/SN+대/NNG+강/NNG+추진/NNG+본부장/NNG+은/JX
“전체	“/SS+전체/NNG
4대강	4/SN+대/NNG+강/NNG
공정률은	공정/NNG+률/XSN+은/JX
23%이지만	23/SN+%/SW+이/VCP+지만/EC
보	보/NNG
공사의	공사/NNG+의/JKG
45%로	45/SN+%/SW+로/JKB
절반에	절반/NNG+에/JKB
가깝다”며	가깝/VA+다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
상황에서	상황/NNG+에서/JKB
건설의	건설/NNG+의/JKG
중단은	중단/NNG+은/JX
있을	있/VA+을/ETM
수	수/NNB
없는	없/VA+는/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


