# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.109
metadata : {}


# id : NWRW1800000054.109.1.1
"10년간 종이 신문 독파한 게 비결"

"10년간	"/SS+10/SN+년/NNB+간/XSN
중어중문학과를	중어/NNP+중문학과/NNG+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
금융회사에	금융/NNG+회사/NNG+에/JKB
입사한	입사/NNG+하/XSV+ㄴ/ETM
이씨는	이/NNP+씨/NNB+는/JX
올해	올해/NNG
초	초/NNB
다니던	다니/VV+던/ETM
직장을	직장/NNG+을/JKO
그만두고	그만두/VV+고/EC
공기업이나	공기업/NNG+이나/JC
언론사	언론사/NNG
입사	입사/NNG
등	등/NNB
새로운	새롭/VA+ㄴ/ETM
도전을	도전/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.109.7.2
그는 "면접에 대비하려 공부했다"고 말했다.

그는	그/NP+는/JX
"면접에	"/SS+면접/NNG+에/JKB
대비하려	대비/NNG+하/XSV+려/EC
공부했다"고	공부/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.109.7.3
"경제도 결국 세계의 큰 정세와 맞물려 돌아가기 때문에 옛 직장 동료에게도 조선일보 뉴스상식시험을 추천하고 싶어요."

"경제도	"/SS+경제/NNG+도/JX
결국	결국/NNG
세계의	세계/NNG+의/JKG
큰	크/VA+ㄴ/ETM
정세와	정세/NNG+와/JKB
맞물려	맞물리/VV+어/EC
돌아가기	돌아가/VV+기/ETN
때문에	때문/NNB+에/JKB
옛	옛/MMA
직장	직장/NNG
동료에게도	동료/NNG+에게/JKB+도/JX
조선일보	조선일보/NNP
뉴스상식시험을	뉴스/NNG+상식/NNG+시험/NNG+을/JKO
추천하고	추천/NNG+하/XSV+고/EC
싶어요."	싶/VX+어요/EF+./SF+"/SS


# id : NWRW1800000054.109.8.1
제2회 조선일보 뉴스상식시험은 다음 달 27일 서울 마포구 서울여중에서 치러진다.

제2회	제/XPN+2/SN+회/NNB
조선일보	조선일보/NNP
뉴스상식시험은	뉴스/NNG+상식/NNG+시험/NNG+은/JX
다음	다음/NNG
달	달/NNG
27일	27/SN+일/NNB
서울	서울/NNP
마포구	마포구/NNP
서울여중에서	서울여중/NNP+에서/JKB
치러진다.	치르/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.109.8.2
접수는 다음 달 17일까지 홈페이지(newstest.chosun.com)를 통해 할 수 있다.

접수는	접수/NNG+는/JX
다음	다음/NNG
달	달/NNG
17일까지	17/SN+일/NNB+까지/JX
홈페이지(newstest.chosun.com)를	홈페이지/NNG+(/SS+newstest/SL+./SP+chosun/SL+./SP+com/SL+)/SS+를/JKO
통해	통하/VV+아/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


