# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.236
metadata : {}


# id : NWRW1800000045.236.1.1
17년만의 신인 3할타자 도전 삼성 구자욱

17년만의	17/SN+년/NNB+만/NNB+의/JKG
연속	연속/NNG
안타	안타/NNG
행진을	행진/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.236.4.2
이 경기 전까지 구자욱의 타율은 0.353.

이	이/MMD
경기	경기/NNG
전까지	전/NNG+까지/JX
구자욱의	구자욱/NNP+의/JKG
타율은	타율/NNG+은/JX
0.353.	0/SN+./SP+353/SN+./SF


# id : NWRW1800000045.236.4.3
팀 내 1위는 물론이고 리그 전체에서도 넥센 유한준(0.375), NC 테임즈(0.358)에 이어 3위로 잘나간다.

팀	팀/NNG
내	내/NNB
1위는	1/SN+위/NNB+는/JX
물론이고	물론/NNG+이/VCP+고/EC
리그	리그/NNG
전체에서도	전체/NNG+에서/JKB+도/JX
넥센	넥센/NNP
유한준(0.375),	유한준/NNP+(/SS+0/SN+./SP+375/SN+)/SS+,/SP
NC	NC/SL
테임즈(0.358)에	테임즈/NNP+(/SS+0/SN+./SP+358/SN+)/SS+에/JKB
이어	잇/VV+어/EC
3위로	3/SN+위/NNB+로/JKB
잘나간다.	잘나가/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.236.5.1
구자욱이 이 페이스만 유지한다면 팀 선배 강동우(41·현 두산 코치)가 1998년 타율 0.300을 기록한 뒤 자취를 감춘 ‘신인 3할 타자’가 무난하게 탄생할 수 있다.

구자욱이	구자욱/NNP+이/JKS
이	이/MMD
페이스만	페이스/NNG+만/JX
유지한다면	유지/NNG+하/XSV+ㄴ다면/EC
팀	팀/NNG
선배	선배/NNG
강동우(41·현	강동우/NNP+(/SS+41/SN+·/SP+현/MMD
두산	두산/NNP
코치)가	코치/NNG+)/SS+가/JKS
1998년	1998/SN+년/NNB
타율	타율/NNG
0.300을	0/SN+./SP+300/SN+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
자취를	자취/NNG+를/JKO
감춘	감추/VV+ㄴ/ETM
‘신인	‘/SS+신인/NNG
3할	3/SN+할/NNB
타자’가	타자/NNG+’/SS+가/JKS
무난하게	무난하/VA+게/EC
탄생할	탄생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.236.5.2
구자욱 같은 고졸 신인 중에서는 1983년 유두열(59)이 0.307을 기록한 게 처음이자 마지막 3할이었다.

구자욱	구자욱/NNP
같은	같/VA+은/ETM
고졸	고졸/NNG
신인	신인/NNG
중에서는	중/NNB+에서/JKB+는/JX
1983년	1983/SN+년/NNB
유두열(59)이	유두열/NNP+(/SS+59/SN+)/SS+이/JKS
0.307을	0/SN+./SP+307/SN+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
처음이자	처음/NNG+이/VCP+자/EC
마지막	마지막/NNG
3할이었다.	3/SN+할/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.236.6.1
문제는 타율이 아무리 높아도 규정 타석을 채우지 못하면 정식 기록으로 인정받지 못한다는 점이다.

문제는	문제/NNG+는/JX
타율이	타율/NNG+이/JKS
아무리	아무리/MAG
높아도	높/VA+아/EC+도/JX
규정	규정/NNG
타석을	타석/NNG+을/JKO
채우지	채우/VV+지/EC
못하면	못하/VX+면/EC
정식	정식/NNG
기록으로	기록/NNG+으로/JKB
인정받지	인정/NNG+받/XSV+지/EC
못한다는	못하/VX+ㄴ다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.236.6.2
144경기 기준 규정 타석은 446타석.

144경기	144/SN+경기/NNG
기준	기준/NNG
규정	규정/NNG
타석은	타석/NNG+은/JX
446타석.	446/SN+타석/NNG+./SF


# id : NWRW1800000045.236.6.3
구자욱이 시즌 종료 때 규정 타석을 채우려면 106타석에 더 서야 한다.

구자욱이	구자욱/NNP+이/JKS
시즌	시즌/NNG
종료	종료/NNG
때	때/NNG
규정	규정/NNG
타석을	타석/NNG+을/JKO
채우려면	채우/VV+려면/EC
106타석에	106/SN+타석/NNG+에/JKB
더	더/MAG
서야	서/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.236.6.4
삼성은 51경기를 남겨두고 있다.

삼성은	삼성/NNP+은/JX
51경기를	51/SN+경기/NNG+를/JKO
남겨두고	남기/VV+어/EC+두/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.236.6.5
한 경기에 2타석 남짓 들어서면 되기 때문에 얼핏 보기에 힘든 상황은 아니다.

한	한/MMN
경기에	경기/NNG+에/JKB
2타석	2/SN+타석/NNG
남짓	남짓/NNB
들어서면	들어서/VV+면/EC
되기	되/VV+기/ETN
때문에	때문/NNB+에/JKB
얼핏	얼핏/MAG
보기에	보/VV+기에/EC
힘든	힘들/VA+ㄴ/ETM
상황은	상황/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000045.236.7.1
그래도 삼성은 선수 층이 워낙 두껍기 때문에 구자욱이 마냥 안심할 수만은 없다.

그래도	그래도/MAJ
삼성은	삼성/NNP+은/JX
선수	선수/NNG
층이	층/NA+이/JKS
워낙	워낙/MAG
두껍기	두껍/VA+기/ETN
때문에	때문/NNB+에/JKB
구자욱이	구자욱/NNP+이/JKS
마냥	마냥/MAG
안심할	안심/NNG+하/XSV+ㄹ/ETM
수만은	수/NNB+만/JX+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.236.7.2
류중일 감독은 “박한이(36)와 채태인(33)이 시즌 내내 정상 컨디션이었다면 구자욱이 1군에서 이만큼 자리 잡기가 쉽지 않았을 것”이라며 “부상 중인 박한이가 2주 정도 뒤면 돌아올 예정이다.

류중일	류중일/NNP
감독은	감독/NNG+은/JX
“박한이(36)와	“/SS+박한이/NNP+(/SS+36/SN+)/SS+와/JC
채태인(33)이	채태인/NNP+(/SS+33/SN+)/SS+이/JKS
시즌	시즌/NNG
내내	내내/MAG
정상	정상/NNG
컨디션이었다면	컨디션/NNG+이/VCP+었/EP+다면/EC
구자욱이	구자욱/NNP+이/JKS
1군에서	1/SN+군/NNG+에서/JKB
이만큼	이만큼/MAG
자리	자리/NNG
잡기가	잡/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않았을	않/VX+았/EP+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“부상	“/SS+부상/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
박한이가	박한이/NNP+가/JKS
2주	2/SN+주/NNB
정도	정도/NNG
뒤면	뒤/NNG+이/VCP+면/EC
돌아올	돌아오/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.236.7.3
그러면 상황에 따라 컨디션이 좋은 선수를 골라 쓸 계획”이라고 말했다.

그러면	그러면/MAJ
상황에	상황/NNG+에/JKB
따라	따르/VV+아/EC
컨디션이	컨디션/NNG+이/JKS
좋은	좋/VA+은/ETM
선수를	선수/NNG+를/JKO
골라	고르/VV+아/EC
쓸	쓰/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.236.8.1
역설적으로 이렇게 ‘떠돌이 포지션’으로 1군 무대서 버텨낸 게 구자욱에게 기회가 될 수도 있다.

역설적으로	역설/NNG+적/XSN+으로/JKB
이렇게	이렇/VA+게/EC
‘떠돌이	‘/SS+떠돌이/NNG
포지션’으로	포지션/NNG+’/SS+으로/JKB
1군	1/SN+군/NNG
무대서	무대/NNG+서/JKB
버텨낸	버티/VV+어/EC+내/VX+ㄴ/ETM
게	거/NNB+이/JKS
구자욱에게	구자욱/NNP+에게/JKB
기회가	기회/NNG+가/JKC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.236.8.2
허구연 MBC 해설위원은 “구자욱은 수비 능력이 뛰어나지는 않더라도 내·외야 모두 ‘평균 이상’의 수비는 가능하다.

허구연	허구연/NNP
MBC	MBC/SL
해설위원은	해설/NNG+위원/NNG+은/JX
“구자욱은	“/SS+구자욱/NNP+은/JX
수비	수비/NNG
능력이	능력/NNG+이/JKS
뛰어나지는	뛰어나/VA+지/EC+는/JX
않더라도	않/VX+더라도/EC
내·외야	내·외야/NNG
모두	모두/MAG
‘평균	‘/SS+평균/NNG
이상’의	이상/NNG+’/SS+의/JKG
수비는	수비/NNG+는/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.236.8.3
구자욱이 그때그때 컨디션이 좋지 않은 선수 자리에 들어가면 주전으로 활동하는 데 문제가 없다”며 “1번 타자가 없어 고민하던 삼성으로선 지금처럼 타격 상승세를 타고 있는 구자욱을 빼고 라인업을 짜기가 쉽지 않을 것이다.

구자욱이	구자욱/NNP+이/JKS
그때그때	그때그때/MAG
컨디션이	컨디션/NNG+이/JKS
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
선수	선수/NNG
자리에	자리/NNG+에/JKB
들어가면	들어가/VV+면/EC
주전으로	주전/NNG+으로/JKB
활동하는	활동/NNG+하/XSV+는/ETM
데	데/NNB
문제가	문제/NNG+가/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“1번	“/SS+1/SN+번/NNB
타자가	타자/NNG+가/JKS
없어	없/VA+어/EC
고민하던	고민/NNG+하/XSV+던/ETM
삼성으로선	삼성/NNP+으로서/JKB+ㄴ/JX
지금처럼	지금/NNG+처럼/JKB
타격	타격/NNG
상승세를	상승세/NNG+를/JKO
타고	타/VV+고/EC
있는	있/VX+는/ETM
구자욱을	구자욱/NNP+을/JKO
빼고	빼/VV+고/EC
라인업을	라인업/NNG+을/JKO
짜기가	짜/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.236.8.4
방망이 실력만 유지한다면 경기에 나서지 못할 이유가 없다”고 말했다.

방망이	방망이/NNG
실력만	실력/NNG+만/JX
유지한다면	유지/NNG+하/XSV+ㄴ다면/EC
경기에	경기/NNG+에/JKB
나서지	나서/VV+지/EC
못할	못하/VX+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


