# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.195
metadata : {}


# id : NWRW1800000037.195.1.1
안실련 대표 송자 前연대총장 “안전불감증으로 아이 참사 빚는 한국… ”

안실련	안실련/NNG
어조와는	어조/NNG+와/JKB+는/JX
사뭇	사뭇/MAG
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.195.6.3
그는 지난달 경남 창원에서 태권도장 통학차량에 옷이 끼여 끌려가다 목숨을 잃은 강준기 군(가명·7)의 사례를 언급하며 “당시 동아일보 기사를 가슴 아프게 읽었는데 그때도 관계기관들은 실효성 없는 대책만 발표하고 잠잠했다.

그는	그/NP+는/JX
지난달	지난달/NNG
경남	경남/NNP
창원에서	창원/NNP+에서/JKB
태권도장	태권도장/NNG
통학차량에	통학/NNG+차량/NNG+에/JKB
옷이	옷/NNG+이/JKS
끼여	끼이/VV+어/EC
끌려가다	끌려가/VV+다/EC
목숨을	목숨/NNG+을/JKO
잃은	잃/VV+은/ETM
강준기	강준기/NNP
군(가명·7)의	군/NNB+(/SS+가명/NNG+·/SP+7/SN+)/SS+의/JKG
사례를	사례/NNG+를/JKO
언급하며	언급/NNG+하/XSV+며/EC
“당시	“/SS+당시/NNG
동아일보	동아일보/NNP
기사를	기사/NNG+를/JKO
가슴	가슴/NNG
아프게	아프/VA+게/EC
읽었는데	읽/VV+었/EP+는데/EC
그때도	그때/NNG+도/JX
관계기관들은	관계/NNG+기관/NNG+들/XSN+은/JX
실효성	실효/NNG+성/XSN
없는	없/VA+는/ETM
대책만	대책/NNG+만/JX
발표하고	발표/NNG+하/XSV+고/EC
잠잠했다.	잠잠하/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.195.6.4
이런 나라와 환경에서 아이들이 사고를 당하지 않는 게 더 이상하다”고 안타까워했다.

이런	이런/MMD
나라와	나라/NNG+와/JC
환경에서	환경/NNG+에서/JKB
아이들이	아이/NNG+들/XSN+이/JKS
사고를	사고/NNG+를/JKO
당하지	당하/VV+지/EC
않는	않/VX+는/ETM
게	거/NNB+이/JKS
더	더/MAG
이상하다”고	이상/NNG+하/XSA+다/EF+”/SS+고/JKQ
안타까워했다.	안타까워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.195.7.1
그는 벼락치기 시험으로 운전면허증을 따고 곧바로 운전을 하는 문화는 잘못된 것이라고 지적했다.

그는	그/NP+는/JX
벼락치기	벼락치기/NNG
시험으로	시험/NNG+으로/JKB
운전면허증을	운전면허증/NNG+을/JKO
따고	따/VV+고/EC
곧바로	곧바로/MAG
운전을	운전/NNG+을/JKO
하는	하/VV+는/ETM
문화는	문화/NNG+는/JX
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.195.7.2
미국이나 일본에서는 유치원부터 초중고교까지 학습을 통해 배운 안전습관이 몸에 밴 기본바탕에서 운전을 시작하는데, 한국은 운전에 대해 거의 아무런 지식이 없는 ‘제로베이스(Zero Base)’ 상태에서 운전대를 잡는다는 것.

미국이나	미국/NNP+이나/JC
일본에서는	일본/NNP+에서/JKB+는/JX
유치원부터	유치원/NNG+부터/JX
초중고교까지	초중고교/NNG+까지/JX
학습을	학습/NNG+을/JKO
통해	통하/VV+아/EC
배운	배우/VV+ㄴ/ETM
안전습관이	안전/NNG+습관/NNG+이/JKS
몸에	몸/NNG+에/JKB
밴	배/VV+ㄴ/ETM
기본바탕에서	기본/NNG+바탕/NNG+에서/JKB
운전을	운전/NNG+을/JKO
시작하는데,	시작/NNG+하/XSV+는데/EC+,/SP
한국은	한국/NNP+은/JX
운전에	운전/NNG+에/JKB
대해	대하/VV+아/EC
거의	거의/MAG
아무런	아무런/MMD
지식이	지식/NNG+이/JKS
없는	없/VA+는/ETM
‘제로베이스(Zero	‘/SS+제로베이스/NNG+(/SS+Zero/SL
Base)’	Base/SL+)/SS+’/SS
상태에서	상태/NNG+에서/JKB
운전대를	운전대/NNG+를/JKO
잡는다는	잡/VV+는다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000037.195.8.1
그는 또 우리나라 도로는 ‘예측 불가능’하다는 점을 가장 큰 문제로 꼬집었다.

그는	그/NP+는/JX
또	또/MAG
우리나라	우리나라/NNG
도로는	도로/NNG+는/JX
‘예측	‘/SS+예측/NNG
불가능’하다는	불/XPN+가능/NNG+’/SS+하/XSV+다는/ETM
점을	점/NNG+을/JKO
가장	가장/MAG
큰	크/VA+ㄴ/ETM
문제로	문제/NNG+로/JKB
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.195.8.2
“우리나라 도로에선 언제 어디서 무슨 사고가 터질지 모른다”는 것.

“우리나라	“/SS+우리나라/NNG
도로에선	도로/NNG+에서/JKB+ㄴ/JX
언제	언제/MAG
어디서	어디/NP+서/JKB
무슨	무슨/MMD
사고가	사고/NNG+가/JKS
터질지	터지/VV+ㄹ지/EF
모른다”는	모르/VV+ㄴ다/EF+”/SS+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000037.195.8.3
나이가 들어 한국에서는 운전을 안 하지만 미국에 있는 큰딸을 만나러 가면 운전을 한다고 한다.

나이가	나이/NNG+가/JKS
들어	들/VV+어/EC
한국에서는	한국/NNP+에서/JKB+는/JX
운전을	운전/NNG+을/JKO
안	안/MAG
하지만	하/VV+지만/EC
미국에	미국/NNP+에/JKB
있는	있/VV+는/ETM
큰딸을	큰딸/NNG+을/JKO
만나러	만나/VV+러/EC
가면	가/VV+면/EC
한다고	하/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.195.9.1
송 대표는 새로 출범한 박근혜 정부가 ‘안전’에 방점을 찍고 정부조직 명칭도 바꾼 만큼 어린이 교통안전을 위해 특단의 대책을 세웠으면 한다”며 한국의 부끄러운 ‘반칙운전 문화’를 뜯어고쳐야 한다고 여러 번 강조했다.

송	송/NNP
대표는	대표/NNG+는/JX
새로	새로/MAG
출범한	출범/NNG+하/XSV+ㄴ/ETM
박근혜	박근혜/NNP
정부가	정부/NNG+가/JKS
‘안전’에	‘/SS+안전/NNG+’/SS+에/JKB
방점을	방점/NNG+을/JKO
찍고	찍/VV+고/EC
정부조직	정부/NNG+조직/NNG
명칭도	명칭/NNG+도/JX
바꾼	바꾸/VV+ㄴ/ETM
만큼	만큼/NNB
어린이	어린이/NNG
교통안전을	교통안전/NNG+을/JKO
위해	위하/VV+아/EC
특단의	특단/NNG+의/JKG
대책을	대책/NNG+을/JKO
세웠으면	세우/VV+었/EP+으면/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
한국의	한국/NNP+의/JKG
부끄러운	부끄럽/VA+ㄴ/ETM
‘반칙운전	‘/SS+반칙/NNG+운전/NNG
문화’를	문화/NNG+’/SS+를/JKO
뜯어고쳐야	뜯어고치/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
여러	여러/MMN
번	번/NNB
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.195.10.1
송 대표는 동아일보 ‘시동꺼! 반칙운전’ 시리즈에 대해 “이 보도들이 차곡차곡 모이면 한 권의 ‘안전운전 교과서’가 될 수 있다”며 “학교나 교통안전분야 종사자, 시민단체 등에서 두고두고 연구자료로 활용할 것”이라고 응원의 말을 전했다.

송	송/NNP
대표는	대표/NNG+는/JX
동아일보	동아일보/NNP
‘시동꺼!	‘/SS+시동/NNG+끄/VV+어/EF+!/SF
반칙운전’	반칙/NNG+운전/NNG+’/SS
시리즈에	시리즈/NNG+에/JKB
대해	대하/VV+아/EC
“이	“/SS+이/MMD
보도들이	보도/NNG+들/XSN+이/JKS
차곡차곡	차곡차곡/MAG
모이면	모이/VV+면/EC
한	한/MMN
권의	권/NNB+의/JKG
‘안전운전	‘/SS+안전/NNG+운전/NNG
교과서’가	교과서/NNG+’/SS+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“학교나	“/SS+학교/NNG+나/JC
교통안전분야	교통안전/NNG+분야/NNG
종사자,	종사자/NNG+,/SP
시민단체	시민/NNG+단체/NNG
등에서	등/NNB+에서/JKB
두고두고	두고두고/MAG
연구자료로	연구/NNG+자료/NNG+로/JKB
활용할	활용/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
응원의	응원/NNG+의/JKG
말을	말/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


