# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.347
metadata : {}


# id : NWRW1800000025.347.1.1
[공연]세계각국 전통악기 연주회 붐… 다양한 문화의 하모니

[공연]세계각국	[/SS+공연/NNG+]/SS+세계/NNG+각국/NNG
북촌창우극장에서는	북촌창우극장/NNP+에서/JKB+는/JX
‘세계전통악기축제’가	‘/SS+세계/NNG+전통/NNG+악기/NNG+축제/NNG+’/SS+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.347.3.2
일본 베트남 우즈베키스탄 몽골 인도 등 5개국의 전통 악기를 연주하고 해설 및 연주자 인터뷰를 통해 해당 국가의 전통 악기와 문화를 소개하는 자리다.

일본	일본/NNP
베트남	베트남/NNP
우즈베키스탄	우즈베키스탄/NNP
몽골	몽골/NNP
인도	인도/NNP
등	등/NNB
5개국의	5/SN+개국/NNB+의/JKG
전통	전통/NNG
악기를	악기/NNG+를/JKO
연주하고	연주/NNG+하/XSV+고/EC
해설	해설/NNG
및	및/MAG
연주자	연주자/NNG
인터뷰를	인터뷰/NNG+를/JKO
통해	통하/VV+아/EC
해당	해당/NNG
국가의	국가/NNG+의/JKG
악기와	악기/NNG+와/JC
문화를	문화/NNG+를/JKO
소개하는	소개/NNG+하/XSV+는/ETM
자리다.	자리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.347.4.1
1998년 프랑스 월드컵과 2002년 한일 월드컵의 폐막공연에 참가한 일본의 전통 타악기 다이코 연주자 스이치 히다노 씨, 벨기에 나이지리아 등 세계를 돌며 연주를 펼쳐온 인도 전통 현악기 시타르 연주자 자그딥 싱 베디 씨 등이 출연한다.

1998년	1998/SN+년/NNB
프랑스	프랑스/NNP
월드컵과	월드컵/NNG+과/JC
2002년	2002/SN+년/NNB
한일	한일/NNP
월드컵의	월드컵/NNG+의/JKG
폐막공연에	폐막/NNG+공연/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
일본의	일본/NNP+의/JKG
전통	전통/NNG
타악기	타악기/NNG
다이코	다이코/NNG
연주자	연주자/NNG
스이치	스이치/NNP
히다노	히다노/NNP
씨,	씨/NNB+,/SP
벨기에	벨기에/NNP
나이지리아	나이지리아/NNP
등	등/NNB
세계를	세계/NNG+를/JKO
돌며	돌/VV+며/EC
연주를	연주/NNG+를/JKO
펼쳐온	펼치/VV+어/EC+오/VX+ㄴ/ETM
인도	인도/NNP
현악기	현악기/NNG
시타르	시타르/NNG
자그딥	자그딥/NNP
싱	싱/NNP
베디	베디/NNP
씨	씨/NNB
등이	등/NNB+이/JKS
출연한다.	출연/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.347.5.1
특히 각국 악기가 한국 전통 악기와 함께하는 특색 있는 협연 무대가 펼쳐져 기대를 모은다.

특히	특히/MAG
각국	각국/NNG
악기가	악기/NNG+가/JKS
한국	한국/NNP
전통	전통/NNG
악기와	악기/NNG+와/JKB
함께하는	함께/MAG+하/XSV+는/ETM
특색	특색/NNG
있는	있/VA+는/ETM
협연	협연/NNG
무대가	무대/NNG+가/JKS
펼쳐져	펼쳐지/VV+어/EC
기대를	기대/NNG+를/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.347.5.2
다이코는 한국의 장구와, 베트남 현악기 단짠은 해금과, 몽골의 ‘후미 창법’은 한국의 정가와 호흡을 맞춘다.

다이코는	다이코/NNG+는/JX
한국의	한국/NNP+의/JKG
장구와,	장구/NNG+와/JC+,/SP
베트남	베트남/NNP
현악기	현악기/NNG
단짠은	단짠/NNG+은/JX
해금과,	해금/NNG+과/JKB+,/SP
몽골의	몽골/NNP+의/JKG
‘후미	‘/SS+후미/NNG
창법’은	창법/NNG+’/SS+은/JX
정가와	정가/NNG+와/JKB
호흡을	호흡/NNG+을/JKO
맞춘다.	맞추/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.347.5.3
거문고 연주자이자 북촌창우극장 대표인 허윤정 씨는 “100여 석의 작은 소극장에서 이국의 악기 명인과 친밀한 시간을 가질 수 있을 것”이라고 말했다.

거문고	거문고/NNG
연주자이자	연주자/NNG+이/VCP+자/EC
북촌창우극장	북촌창우극장/NNP
대표인	대표/NNG+이/VCP+ㄴ/ETM
허윤정	허윤정/NNP
씨는	씨/NNB+는/JX
“100여	“/SS+100/SN+여/XSN
석의	석/NNB+의/JKG
작은	작/VA+은/ETM
소극장에서	소/XPN+극장/NNG+에서/JKB
이국의	이국/NNG+의/JKG
악기	악기/NNG
명인과	명인/NNG+과/JKB
친밀한	친밀/NNG+하/XSA+ㄴ/ETM
시간을	시간/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.347.5.4
2만 원.

2만	2/SN+만/NR
원.	원/NNB+./SF


# id : NWRW1800000025.347.5.5
02-747-3809

02-747-3809	02/SN+-/SO+747/SN+-/SO+3809/SN


# id : NWRW1800000025.347.6.1
▽세계 악기 2000개를 한자리에=10일부터 내년 2월 13일까지 경기 고양시 일산 킨텍스 1A홀에서 열리는 ‘시끌벅적 악기궁전’은 세계에서 온 악기 2000여 개를 만나는 악기 체험전.

▽세계	▽/SW+세계/NNG
악기	악기/NNG
2000개를	2000/SN+개/NNB+를/JKO
한자리에=10일부터	한자리/NNG+에/JKB+=/SW+10/SN+일/NNB+부터/JX
내년	내년/NNG
2월	2/SN+월/NNB
13일까지	13/SN+일/NNB+까지/JX
경기	경기/NNP
고양시	고양시/NNP
일산	일산/NNP
킨텍스	킨텍스/NNP
1A홀에서	1/SN+A/SL+홀/NNG+에서/JKB
열리는	열리/VV+는/ETM
‘시끌벅적	‘/SS+시끌벅적/MAG
악기궁전’은	악기/NNG+궁전/NNG+’/SS+은/JX
세계에서	세계/NNG+에서/JKB
온	오/VV+ㄴ/ETM
2000여	2000/SN+여/XSN
개를	개/NNB+를/JKO
만나는	만나/VV+는/ETM
체험전.	체험전/NNG+./SF


# id : NWRW1800000025.347.6.2
스코틀랜드의 ‘백파이프’, 그리스의 ‘팬플루트’처럼 다소 익숙한 악기부터 가나의 ‘크판로고 드럼’, 브라질의 ‘탐발’, 인도의 ‘탄푸라’ 등 이름조차 생소한 악기까지 총출동했다.

스코틀랜드의	스코틀랜드/NNP+의/JKG
‘백파이프’,	‘/SS+백파이프/NNG+’/SS+,/SP
그리스의	그리스/NNP+의/JKG
‘팬플루트’처럼	‘/SS+팬플루트/NNG+’/SS+처럼/JKB
다소	다소/MAG
익숙한	익숙하/VA+ㄴ/ETM
악기부터	악기/NNG+부터/JX
가나의	가나/NNP+의/JKG
‘크판로고	‘/SS+크판로고/NNG
드럼’,	드럼/NNG+’/SS+,/SP
브라질의	브라질/NNP+의/JKG
‘탐발’,	‘/SS+탐발/NNG+’/SS+,/SP
인도의	인도/NNP+의/JKG
‘탄푸라’	‘/SS+탄푸라/NNG+’/SS
등	등/NNB
이름조차	이름/NNG+조차/JX
생소한	생소하/VA+ㄴ/ETM
악기까지	악기/NNG+까지/JX
총출동했다.	총출동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.347.6.3
‘바람의 소리’(관악기), ‘손가락 소리’(건반 악기), ‘두드림 소리’(타악기), ‘줄의 소리’(현악기) 등으로 전시관을 나눴으며 일부 악기는 직접 연주해 볼 수 있다.

‘바람의	‘/SS+바람/NNG+의/JKG
소리’(관악기),	소리/NNG+’/SS+(/SS+관악기/NNG+)/SS+,/SP
‘손가락	‘/SS+손가락/NNG
소리’(건반	소리/NNG+’/SS+(/SS+건반/NNG
악기),	악기/NNG+)/SS+,/SP
‘두드림	‘/SS+두드리/VV+ㅁ/ETN
소리’(타악기),	소리/NNG+’/SS+(/SS+타악기/NNG+)/SS+,/SP
‘줄의	‘/SS+줄/NNG+의/JKG
소리’(현악기)	소리/NNG+’/SS+(/SS+현악기/NNG+)/SS
등으로	등/NNB+으로/JKB
전시관을	전시관/NNG+을/JKO
나눴으며	나누/VV+었/EP+으며/EC
일부	일부/NNG
악기는	악기/NNG+는/JX
직접	직접/MAG
연주해	연주/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.347.7.1
자연과 흡사한 소리를 내는 악기들도 눈길을 모은다.

자연과	자연/NNG+과/JKB
흡사한	흡사/MAG+하/XSA+ㄴ/ETM
소리를	소리/NNG+를/JKO
내는	내/VV+는/ETM
악기들도	악기/NNG+들/XSN+도/JX
눈길을	눈길/NNG+을/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.347.7.2
바람 소리가 나는 ‘윈드머신’, 빗소리가 나는 ‘레인스틱’, 파도 소리가 나는 ‘오션드럼’ 등이 아이들의 호기심을 자극한다.

바람	바람/NNG
소리가	소리/NNG+가/JKS
나는	나/VV+는/ETM
‘윈드머신’,	‘/SS+윈드머신/NNG+’/SS+,/SP
빗소리가	빗소리/NNG+가/JKS
‘레인스틱’,	‘/SS+레인스틱/NNG+’/SS+,/SP
파도	파도/NNG
‘오션드럼’	‘/SS+오션드럼/NNG+’/SS
등이	등/NNB+이/JKS
아이들의	아이/NNG+들/XSN+의/JKG
호기심을	호기심/NNG+을/JKO
자극한다.	자극/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.347.7.3
이 악기들은 그림자극 ‘우리 집이 최고야’를 통해 공연으로도 만나볼 수 있다.

이	이/MMD
악기들은	악기/NNG+들/XSN+은/JX
그림자극	그림자극/NNG
‘우리	‘/SS+우리/NP
집이	집/NNG+이/JKS
최고야’를	최고/NNG+이/VCP+야/EF+’/SS+를/JKO
통해	통하/VV+아/EC
공연으로도	공연/NNG+으로/JKB+도/JX
만나볼	만나/VV+아/EC+보/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.347.7.4
1만2000원.

1만2000원.	1/SN+만/NR+2000/SN+원/NNB+./SF


# id : NWRW1800000025.347.7.5
1544-1555

1544-1555	1544/SN+-/SO+1555/SN


# id : NWRW1800000025.347.8.1
▽세계 악기 명인들의 무료 공연=여수시와 월드마스터조직위원회는 2010년 여수세계박람회 성공 개최를 기원하는 ‘월드마스터 페스티벌’을 3∼5일 전남 여수시 오림동 여수진남체육관에서 연다.

▽세계	▽/SW+세계/NNG
악기	악기/NNG
명인들의	명인/NNG+들/XSN+의/JKG
무료	무료/NNG
공연=여수시와	공연/NNG+=/SW+여수시/NNP+와/JC
월드마스터조직위원회는	월드마스터/NNG+조직/NNG+위원회/NNG+는/JX
2010년	2010/SN+년/NNB
여수세계박람회	여수/NNP+세계/NNG+박람회/NNG
성공	성공/NNG
개최를	개최/NNG+를/JKO
기원하는	기원/NNG+하/XSV+는/ETM
‘월드마스터	‘/SS+월드마스터/NNG
페스티벌’을	페스티벌/NNG+’/SS+을/JKO
3∼5일	3/SN+∼/SO+5/SN+일/NNB
전남	전남/NNP
여수시	여수시/NNP
오림동	오림동/NNP
여수진남체육관에서	여수진남체육관/NNP+에서/JKB
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.347.8.2
세르비아의 전통 백파이프 연주자 에디 타임 씨를 비롯해 전통 공연과 미술 전시에 30여 개 나라의 장인 60여 명이 참여한다.

세르비아의	세르비아/NNP+의/JKG
전통	전통/NNG
백파이프	백파이프/NNG
연주자	연주자/NNG
에디	에디/NNP
타임	타임/NNP
씨를	씨/NNB+를/JKO
비롯해	비롯하/VV+아/EC
공연과	공연/NNG+과/JC
미술	미술/NNG
전시에	전시/NNG+에/JKB
30여	30/SN+여/XSN
개	개/NNB
나라의	나라/NNG+의/JKG
장인	장인/NNG
60여	60/SN+여/XSN
명이	명/NNB+이/JKS
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.347.8.3
무료.

무료.	무료/NNG+./SF


# id : NWRW1800000025.347.8.4
070-8228-0990

070-8228-0990	070/SN+-/SO+8228/SN+-/SO+0990/SN


