# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.405
metadata : {}


# id : NWRW1800000021.405.1.1
“두 다리 못 쓰는 사람 앞에 내 장애는 미미”

“두	“/SS+두/MMN
# id : NWRW1800000021.405.6.2
나도 방과 후엔 일을 거들었다.”

나도	나/NP+도/JX
방과	방과/NNG
후엔	후/NNG+에/JKB+ㄴ/JX
일을	일/NNG+을/JKO
거들었다.”	거들/VV+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000021.405.7.1
3남 3녀 중 장남인 그는 이민살이의 고단한 짊을 부모와 함께 져야 했다.

3남	3/SN+남/NNG
3녀	3/SN+녀/NNG
중	중/NNB
장남인	장남/NNG+이/VCP+ㄴ/ETM
그는	그/NP+는/JX
이민살이의	이민살이/NNG+의/JKG
고단한	고단하/VA+ㄴ/ETM
짊을	짊/NNG+을/JKO
부모와	부모/NNG+와/JKB
함께	함께/MAG
져야	지/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.405.7.2
그에게 장애는 큰 문제가 아니었다.

그에게	그/NP+에게/JKB
장애는	장애/NNG+는/JX
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000021.405.7.3
어려운 환경에서도 박 씨는 남캘리포니아대(USC)에서 경영학을 전공했다.

어려운	어렵/VA+ㄴ/ETM
환경에서도	환경/NNG+에서/JKB+도/JX
박	박/NNP
씨는	씨/NNB+는/JX
남캘리포니아대(USC)에서	남캘리포니아대/NNP+(/SS+USC/SL+)/SS+에서/JKB
경영학을	경영학/NNG+을/JKO
전공했다.	전공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.405.8.1
○ 자원봉사는 나의 삶

○	○/SW
자원봉사는	자원봉사/NNG+는/JX
나의	나/NP+의/JKG
삶	삶/NNG


# id : NWRW1800000021.405.9.1
첫 직장은 돈 잘 버는 번듯한 곳이 아니었다.

첫	첫/MMN
직장은	직장/NNG+은/JX
돈	돈/NNG
잘	잘/MAG
버는	벌/VV+는/ETM
번듯한	번듯하/VA+ㄴ/ETM
곳이	곳/NNG+이/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000021.405.9.2
로스앤젤레스 한인타운의 한인봉사회와 한인건강센터에서 자원봉사에 나섰다.

로스앤젤레스	로스앤젤레스/NNP
한인타운의	한인/NNG+타운/NNG+의/JKG
한인봉사회와	한인/NNG+봉사회/NNG+와/JC
한인건강센터에서	한인/NNG+건강/NNG+센터/NNG+에서/JKB
자원봉사에	자원봉사/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.405.9.3
주변에선 “실없이 왜 저런 일을 하느냐”며 만류하는 사람도 있었다.

주변에선	주변/NNG+에서/JKB+ㄴ/JX
“실없이	“/SS+실없이/MAG
왜	왜/MAG
저런	저런/MMD
일을	일/NNG+을/JKO
하느냐”며	하/VV+느냐/EF+”/SS+며/EC
만류하는	만류/NNG+하/XSV+는/ETM
사람도	사람/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.405.10.1
“1970년대 후반엔 이민 가족들 가운데 남편에게 매 맞는 여자들이 많았다.

“1970년대	“/SS+1970/SN+년대/NNB
후반엔	후반/NNG+에/JKB+ㄴ/JX
이민	이민/NNG
가족들	가족/NNG+들/XSN
가운데	가운데/NNG
남편에게	남편/NNG+에게/JKB
매	매/NNG
맞는	맞/VV+는/ETM
여자들이	여자/NNG+들/XSN+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.405.10.2
학대받고 가출한 여자들을 YWCA에 데려다주고 이들이 독립해서 살 수 있는 길을 가르쳐줬다.”

학대받고	학대/NNG+받/XSV+고/EC
가출한	가출/NNG+하/XSV+ㄴ/ETM
여자들을	여자/NNG+들/XSN+을/JKO
YWCA에	YWCA/SL+에/JKB
데려다주고	데려다주/VV+고/EC
이들이	이/NP+들/XSN+이/JKS
독립해서	독립/NNG+하/XSV+아서/EC
살	살/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
길을	길/NNG+을/JKO
가르쳐줬다.”	가르치/VV+어/EC+주/VX+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000021.405.11.1
1년 동안 이곳에서 일하던 그는 한인센터 맞은편 전화국에서 일하게 된다.

1년	1/SN+년/NNB
동안	동안/NNG
이곳에서	이곳/NP+에서/JKB
일하던	일/NNG+하/XSV+던/ETM
그는	그/NP+는/JX
한인센터	한인/NNG+센터/NNG
맞은편	맞은편/NNG
전화국에서	전화국/NNG+에서/JKB
일하게	일/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.405.11.2
AT&T의 지역 전화회사인 ‘퍼시픽텔레폰’사였다.

AT&T의	AT/SL+&/SW+T/SL+의/JKG
지역	지역/NNG
전화회사인	전화/NNG+회사/NNG+이/VCP+ㄴ/ETM
‘퍼시픽텔레폰’사였다.	‘/SS+퍼시픽텔레폰/NNP+’/SS+사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.405.11.3
그곳에서 26년 동안 마케팅과 전산 및 지원업무 등 다양한 분야를 거쳤다.

그곳에서	그곳/NP+에서/JKB
26년	26/SN+년/NNB
동안	동안/NNG
마케팅과	마케팅/NNG+과/JC
전산	전산/NNG
및	및/MAG
지원업무	지원/NNG+업무/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
분야를	분야/NNG+를/JKO
거쳤다.	거치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.405.11.4
직급이 올라가면서 홍보국장까지 지냈다.

직급이	직급/NNG+이/JKS
올라가면서	올라가/VV+면서/EC
홍보국장까지	홍보국장/NNG+까지/JX
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.405.12.1
직장 일을 하면서도 그는 장애인과 노인을 위한 자원봉사 활동을 계속했다.

직장	직장/NNG
일을	일/NNG+을/JKO
하면서도	하/VV+면서/EC+도/JX
그는	그/NP+는/JX
장애인과	장애인/NNG+과/JC
노인을	노인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
자원봉사	자원봉사/NNG
활동을	활동/NNG+을/JKO
계속했다.	계속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.405.12.2
캘리포니아 주 오렌지카운티 노인국과 교통국에서 자문위원을 지내면서 한인사회 장애인과 노인들에게 교통편을 제공하기 위해 55만 달러의 지원비를 따내기도 했다.

캘리포니아	캘리포니아/NNP
주	주/NNG
오렌지카운티	오렌지카운티/NNP
노인국과	노인국/NNG+과/JC
교통국에서	교통국/NNG+에서/JKB
자문위원을	자문/NNG+위원/NNG+을/JKO
지내면서	지내/VV+면서/EC
한인사회	한인/NNG+사회/NNG
장애인과	장애인/NNG+과/JC
노인들에게	노인/NNG+들/XSN+에게/JKB
교통편을	교통편/NNG+을/JKO
제공하기	제공/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
55만	55/SN+만/NR
달러의	달러/NNB+의/JKG
지원비를	지원비/NNG+를/JKO
따내기도	따내/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.405.13.1
박 씨는 2002년 한인상가가 밀집해 있는 오렌지카운티 가든그로브 시에서 시의원에 도전했다.

박	박/NNP
씨는	씨/NNB+는/JX
2002년	2002/SN+년/NNB
한인상가가	한인/NNG+상가/NNG+가/JKS
밀집해	밀집/NNG+하/XSV+아/EC
있는	있/VX+는/ETM
오렌지카운티	오렌지카운티/NNP
가든그로브	가든그로브/NNP
시에서	시/NNG+에서/JKB
시의원에	시/NNG+의원/NNG+에/JKB
도전했다.	도전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.405.13.2
미국에서 3번째로 한인상가가 큰 곳이었지만 그는 백인 후보에게 1500표 차로 졌다.

미국에서	미국/NNP+에서/JKB
3번째로	3/SN+번/NNB+째/XSN+로/JKB
한인상가가	한인/NNG+상가/NNG+가/JKS
큰	크/VA+ㄴ/ETM
곳이었지만	곳/NNG+이/VCP+었/EP+지만/EC
그는	그/NP+는/JX
백인	백인/NNG
후보에게	후보/NNG+에게/JKB
1500표	1500/SN+표/NNG
차로	차/NNG+로/JKB
졌다.	지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.405.13.3
26년 통신회사 생활을 마무리하고 6년 전 조기 퇴직한 그는 오렌지카운티의 지역은행인 농상은행(Farmers and Merchants Bank) 가든그로브 지점의 부지점장으로 일하고 있다.

26년	26/SN+년/NNB
통신회사	통신/NNG+회사/NNG
생활을	생활/NNG+을/JKO
마무리하고	마무리/NNG+하/XSV+고/EC
6년	6/SN+년/NNB
전	전/NNG
조기	조기/NNG
퇴직한	퇴직/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
오렌지카운티의	오렌지카운티/NNP+의/JKG
지역은행인	지역/NNG+은행/NNG+이/VCP+ㄴ/ETM
농상은행(Farmers	농상/NNG+은행/NNG+(/SS+Farmers/SL
and	and/SL
Merchants	Merchants/SL
Bank)	Bank/SL+)/SS
가든그로브	가든그로브/NNP
지점의	지점/NNG+의/JKG
부지점장으로	부지점장/NNG+으로/JKB
일하고	일/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.405.14.1
○ 장애인 경제적 자립에 힘 보탤 것

○	○/SW
장애인	장애인/NNG
경제적	경제/NNG+적/XSN
자립에	자립/NNG+에/JKB
힘	힘/NNG
보탤	보태/VV+ㄹ/ETM
것	것/NNB


# id : NWRW1800000021.405.15.1
그는 지역선거가 있으면 민주당을 지원하는 자원봉사를 거르지 않는다.

그는	그/NP+는/JX
지역선거가	지역/NNG+선거/NNG+가/JKS
있으면	있/VA+으면/EC
민주당을	민주당/NNP+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
자원봉사를	자원봉사/NNG+를/JKO
거르지	거르/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000021.405.15.2
그를 국가장애위원회 위원으로 추천한 사람은 가든그로브 시의 연방하원의원인 로레타 산체스 씨(민주).

그를	그/NP+를/JKO
국가장애위원회	국가장애위원회/NNP
위원으로	위원/NNG+으로/JKB
추천한	추천/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
가든그로브	가든그로브/NNP
시의	시/NNG+의/JKG
연방하원의원인	연방/NNG+하원/NNG+의원/NNG+이/VCP+ㄴ/ETM
로레타	로레타/NNP
산체스	산체스/NNP
씨(민주).	씨/NNB+(/SS+민주/NNP+)/SS+./SF


# id : NWRW1800000021.405.15.3
박 씨는 버락 오바마 행정부에 대한 기대가 누구보다도 크다.

박	박/NNP
씨는	씨/NNB+는/JX
버락	버락/NNP
오바마	오바마/NNP
행정부에	행정부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대가	기대/NNG+가/JKS
누구보다도	누구/NP+보다/JKB+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000021.405.16.1
“오바마 대통령은 이전 정부에는 없던 장애인전담 보좌관 자리를 신설했다.

“오바마	“/SS+오바마/NNP
대통령은	대통령/NNG+은/JX
이전	이전/NNG
정부에는	정부/NNG+에/JKB+는/JX
없던	없/VA+던/ETM
장애인전담	장애인/NNG+전담/NNG
보좌관	보좌관/NNG
자리를	자리/NNG+를/JKO
신설했다.	신설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.405.16.2
5400만 명 미국 장애인의 경제적 자립을 위해 힘을 보태고 싶다.”

5400만	5400/SN+만/NR
명	명/NNB
미국	미국/NNP
장애인의	장애인/NNG+의/JKG
경제적	경제/NNG+적/XSN
자립을	자립/NNG+을/JKO
위해	위하/VV+아/EC
힘을	힘/NNG+을/JKO
보태고	보태/VV+고/EC
싶다.”	싶/VX+다/EF+./SF+”/SS


# id : NWRW1800000021.405.16.3
3년 임기인 국가장애위원회 위원은 차관보급의 비상근직으로 대통령에게 장애인 권익보호를 위한 자문을 하게 된다.

3년	3/SN+년/NNB
임기인	임기/NNG+이/VCP+ㄴ/ETM
국가장애위원회	국가장애위원회/NNP
위원은	위원/NNG+은/JX
차관보급의	차관보급/NNG+의/JKG
비상근직으로	비/XPN+상근직/NNG+으로/JKB
대통령에게	대통령/NNG+에게/JKB
장애인	장애인/NNG
권익보호를	권익/NNG+보호/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
자문을	자문/NNG+을/JKO
하게	하/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.405.16.4
박 씨는 농상은행 부지점장은 계속 맡는다.

박	박/NNP
씨는	씨/NNB+는/JX
농상은행	농상/NNG+은행/NNG
부지점장은	부지점장/NNG+은/JX
계속	계속/MAG
맡는다.	맡/VV+는다/EF+./SF


