# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.6
metadata : {}


# id : NWRW1800000024.6.1.1
유럽, 러-우크라이나 가스분쟁에 끙끙

유럽,	유럽/NNP+,/SP
반면 러시아는 우크라이나가 유럽 소비자들에게 공급될 가스의 6분의 1가량을 유용했다며, 스웨덴 스톡홀름의 국제중재법원에 제소할 방침이다.

반면	반면/NNG
러시아는	러시아/NNP+는/JX
우크라이나가	우크라이나/NNP+가/JKS
유럽	유럽/NNP
소비자들에게	소비자/NNG+들/XSN+에게/JKB
공급될	공급/NNG+되/XSV+ㄹ/ETM
가스의	가스/NNG+의/JKG
6분의	6/SN+분/XSN+의/JKG
1가량을	1/SN+가량/XSN+을/JKO
유용했다며,	유용/NNG+하/XSV+았/EP+다며/EC+,/SP
스웨덴	스웨덴/NNP
스톡홀름의	스톡홀름/NNP+의/JKG
국제중재법원에	국제/NNG+중재/NNG+법원/NNG+에/JKB
제소할	제소/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.6.5.1
러시아와 우크라이나는 2006년에도 유사한 분쟁을 일으켜, 이탈리아를 비롯한 일부 유럽 나라 국민들을 혹한에 떨게 만들었다.

러시아와	러시아/NNP+와/JC
우크라이나는	우크라이나/NNP+는/JX
2006년에도	2006/SN+년/NNB+에/JKB+도/JX
유사한	유사/NNG+하/XSA+ㄴ/ETM
분쟁을	분쟁/NNG+을/JKO
일으켜,	일으키/VV+어/EC+,/SP
이탈리아를	이탈리아/NNP+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
일부	일부/NNG
유럽	유럽/NNP
나라	나라/NNG
국민들을	국민/NNG+들/XSN+을/JKO
혹한에	혹한/NNG+에/JKB
떨게	떨/VV+게/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.6.5.2
과거 소련에 속했던 우크라이나는 거의 특혜 수준의 가격으로 러시아 가스를 공급받았다.

과거	과거/NNG
소련에	소련/NNP+에/JKB
속했던	속하/VV+았/EP+던/ETM
우크라이나는	우크라이나/NNP+는/JX
거의	거의/MAG
특혜	특혜/NNG
수준의	수준/NNG+의/JKG
가격으로	가격/NNG+으로/JKB
러시아	러시아/NNP
가스를	가스/NNG+를/JKO
공급받았다.	공급/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.6.5.3
하지만 우크라이나가 2004년 ‘오렌지 혁명’ 뒤 친서방정권으로 돌아서자, 양국 관계는 급속히 냉랭해졌고 러시아의 가격 인상 요구도 거세졌다.

하지만	하지만/MAJ
우크라이나가	우크라이나/NNP+가/JKS
2004년	2004/SN+년/NNB
‘오렌지	‘/SS+오렌지/NNG
혁명’	혁명/NNG+’/SS
뒤	뒤/NNG
친서방정권으로	친/XPN+서방/NNG+정권/NNG+으로/JKB
돌아서자,	돌아서/VV+자/EC+,/SP
양국	양국/NNG
관계는	관계/NNG+는/JX
급속히	급속히/MAG
냉랭해졌고	냉랭하/VA+아/EC+지/VX+었/EP+고/EC
러시아의	러시아/NNP+의/JKG
가격	가격/NNG
인상	인상/NNG
요구도	요구/NNG+도/JX
거세졌다.	거세지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.6.6.1
우크라이나 국영에너지 기업 나프토가스의 임원 올레 두비나는 4일 “양국의 협상이 이미 막다른 골목에 접어들었다”며 타협의 여지가 없음을 내비쳤다.

우크라이나	우크라이나/NNP
국영에너지	국영/NNG+에너지/NNG
기업	기업/NNG
나프토가스의	나프토가스/NNP+의/JKG
임원	임원/NNG
올레	올레/NNP
두비나는	두비나/NNP+는/JX
4일	4/SN+일/NNB
“양국의	“/SS+양국/NNG+의/JKG
협상이	협상/NNG+이/JKS
이미	이미/MAG
막다른	막다르/VA+ㄴ/ETM
골목에	골목/NNG+에/JKB
접어들었다”며	접어들/VV+었/EP+다/EF+”/SS+며/EC
타협의	타협/NNG+의/JKG
여지가	여지/NNB+가/JKS
없음을	없/VA+음/ETN+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.6.6.2
러시아의 가스프롬은 가스 1천㎥당 450달러를 요구하고, 우크라이나는 201달러까지만 줄 수 있다고 버틴다.

러시아의	러시아/NNP+의/JKG
가스프롬은	가스프롬/NNP+은/JX
가스	가스/NNG
1천㎥당	1/SN+천/NR+㎥/SW+당/XSN
450달러를	450/SN+달러/NNB+를/JKO
요구하고,	요구/NNG+하/XSV+고/EC+,/SP
우크라이나는	우크라이나/NNP+는/JX
201달러까지만	201/SN+달러/NNB+까지/JX+만/JX
줄	주/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
버틴다.	버티/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.6.6.3
지난해 우크라이나가 러시아에 지급한 금액은 179.5달러였다.

지난해	지난해/NNG
우크라이나가	우크라이나/NNP+가/JKS
러시아에	러시아/NNP+에/JKB
지급한	지급/NNG+하/XSV+ㄴ/ETM
금액은	금액/NNG+은/JX
179.5달러였다.	179/SN+./SP+5/SN+달러/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.6.7.1
이번 협상에서 러시아가 보인 강경한 태도는 최근 러시아가 겪고 있는 정치적·경제적 처지를 반영하는 것이라고 <에이피>(AP) 통신은 분석했다.

이번	이번/NNG
협상에서	협상/NNG+에서/JKB
러시아가	러시아/NNP+가/JKS
보인	보이/VV+ㄴ/ETM
강경한	강경/NNG+하/XSA+ㄴ/ETM
태도는	태도/NNG+는/JX
최근	최근/MAG
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
정치적·경제적	정치/NNG+적/XSN+·/SP+경제/NNG+적/XSN
처지를	처지/NNG+를/JKO
반영하는	반영/NNG+하/XSV+는/ETM
것이라고	것/NNB+이/VCP+라고/EC
<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신은	통신/NNG+은/JX
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.6.7.2
한때 러시아 부활의 상징이었던 에너지 대기업 가스프롬은 지난해 금융위기 뒤 극심한 부채에 시달리고 있다.

한때	한때/NNG
러시아	러시아/NNP
부활의	부활/NNG+의/JKG
상징이었던	상징/NNG+이/VCP+었/EP+던/ETM
에너지	에너지/NNG
대기업	대/XPN+기업/NNG
가스프롬은	가스프롬/NNP+은/JX
지난해	지난해/NNG
금융위기	금융/NNG+위기/NNG
뒤	뒤/NNG
극심한	극심하/VA+ㄴ/ETM
부채에	부채/NNG+에/JKB
시달리고	시달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.6.7.3
또 우크라이나는 북대서양조약기구(나토) 가입을 갈망하고 있어 러시아의 심기를 불편하게 했다.

또	또/MAG
우크라이나는	우크라이나/NNP+는/JX
북대서양조약기구(나토)	북대서양조약기구/NNP+(/SS+나토/NNP+)/SS
가입을	가입/NNG+을/JKO
갈망하고	갈망/NNG+하/XSV+고/EC
있어	있/VX+어/EC
러시아의	러시아/NNP+의/JKG
심기를	심기/NNG+를/JKO
불편하게	불편/NNG+하/XSA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.6.8.1
유럽연합(EU) 집행위원회는 5일 순회의장국인 체코 당국자와 집행위 고위관계자로 구성된 진상조사단을 우크라이나 수도 키예프에 파견했다.

유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
집행위원회는	집행/NNG+위원회/NNG+는/JX
5일	5/SN+일/NNB
순회의장국인	순회/NNG+의장국/NNG+이/VCP+ㄴ/ETM
체코	체코/NNP
당국자와	당국자/NNG+와/JKB
집행위	집행위/NNG
고위관계자로	고위/NNG+관계자/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
진상조사단을	진상/NNG+조사단/NNG+을/JKO
우크라이나	우크라이나/NNP
수도	수도/NNG
키예프에	키예프/NNP+에/JKB
파견했다.	파견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.6.8.2
러시아 가스의 최대 수입국인 독일 등에선 아직 파장이 나타나지 않고 있지만, 사태가 장기화되면 유럽 전역에 에너지 대란이 일어날 수도 있어 대책 마련에 나선 것이다.

러시아	러시아/NNP
가스의	가스/NNG+의/JKG
최대	최대/NNG
수입국인	수입국/NNG+이/VCP+ㄴ/ETM
독일	독일/NNP
등에선	등/NNB+에서/JKB+ㄴ/JX
아직	아직/MAG
파장이	파장/NNG+이/JKS
나타나지	나타나/VV+지/EC
않고	않/VX+고/EC
있지만,	있/VX+지만/EC+,/SP
사태가	사태/NNG+가/JKS
장기화되면	장기/NNG+화/XSN+되/XSV+면/EC
유럽	유럽/NNP
전역에	전역/NNG+에/JKB
에너지	에너지/NNG
대란이	대란/NNG+이/JKS
일어날	일어나/VV+ㄹ/ETM
수도	수/NNB+도/JX
있어	있/VA+어/EC
대책	대책/NNG
마련에	마련/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.6.8.3
가스프롬에 대한 의존도를 줄일 방안을 찾아야 한다는 주장이 나오지만, 당장은 뾰족한 해법이 없다는 게 중론이다.

가스프롬에	가스프롬/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
의존도를	의존도/NNG+를/JKO
줄일	줄이/VV+ㄹ/ETM
방안을	방안/NNG+을/JKO
찾아야	찾/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
주장이	주장/NNG+이/JKS
나오지만,	나오/VV+지만/EC+,/SP
당장은	당장/NNG+은/JX
뾰족한	뾰족/MAG+하/XSA+ㄴ/ETM
해법이	해법/NNG+이/JKS
없다는	없/VA+다는/ETM
게	거/NNB+이/JKS
중론이다.	중론/NNG+이/VCP+다/EF+./SF


