# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.339
metadata : {}


# id : NWRW1800000029.339.1.1
[뉴스분석]정부 “비핵화 논의하자” 逆제의 전략

[뉴스분석]정부	[/SS+뉴스/NNG+분석/NNG+]/SS+정부/NNG
및	및/MAG
개성공단	개성공단/NNP
관련	관련/NNG
당국	당국/NNG
간	간/NNB
회담을	회담/NNG+을/JKO
재개하자”며	재개/NNG+하/XSV+자/EF+”/SS+며/EC
“대표단은	“/SS+대표단/NNG+은/JX
종전대로	종전/NNG+대로/JX
하든가	하/VV+든가/EC
새로	새로/MAG
구성할	구성/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.339.3.3
또 담화는 “폐쇄된 판문점 북남 적십자 통로를 다시 열고 개성공업지구의 북남경제협력협의사무소(경협사무소) 동결을 해제할 것”이라고 통보했다.

또	또/MAG
담화는	담화/NNG+는/JX
“폐쇄된	“/SS+폐쇄/NNG+되/XSV+ㄴ/ETM
판문점	판문점/NNP
북남	북남/NNP
적십자	적십자/NNP
통로를	통로/NNG+를/JKO
다시	다시/MAG
열고	열/VV+고/EC
개성공업지구의	개성공업지구/NNP+의/JKG
북남경제협력협의사무소(경협사무소)	북남경제협력협의사무소/NNP+(/SS+경협/NNG+사무소/NNG+)/SS
동결을	동결/NNG+을/JKO
해제할	해제/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.339.3.4
이에 대해 통일부 당국자는 9일 “조평통 담화는 연합성명의 연장선에 있으며 담화의 형식 등으로 볼 때 진정성 있는 대화 제의로 보기 힘들다”고 선을 그었다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
통일부	통일부/NNG
당국자는	당국자/NNG+는/JX
9일	9/SN+일/NNB
“조평통	“/SS+조평통/NNG
담화는	담화/NNG+는/JX
연합성명의	연합/NNG+성명/NNG+의/JKG
연장선에	연장선/NNG+에/JKB
있으며	있/VA+으며/EC
담화의	담화/NNG+의/JKG
형식	형식/NNG
등으로	등/NNB+으로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
진정성	진정/NNG+성/XSN
있는	있/VA+는/ETM
대화	대화/NNG
제의로	제의/NNG+로/JKB
보기	보/VV+기/ETN
힘들다”고	힘들/VA+다/EF+”/SS+고/JKQ
선을	선/NNG+을/JKO
그었다.	긋/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.339.3.5
그러나 그는 “이번에는 좀 더 구체적인 사항들이 포함됐기 때문에 북한의 태도를 보아가며 검토해 나갈 것”이라고 말해 여지를 남겼다.

그러나	그러나/MAJ
그는	그/NP+는/JX
“이번에는	“/SS+이번/NNG+에/JKB+는/JX
좀	좀/MAG
더	더/MAG
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
사항들이	사항/NNG+들/XSN+이/JKS
포함됐기	포함/NNG+되/XSV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
북한의	북한/NNP+의/JKG
태도를	태도/NNG+를/JKO
보아가며	보/VV+아/EC+가/VX+며/EC
검토해	검토/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말해	말/NNG+하/XSV+아/EC
여지를	여지/NNG+를/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.339.3.6
청와대 고위 관계자도 “북한이 앞으로 다양한 채널을 통해 정식으로 대화를 제안해 오면 내용을 검토해 대응할 것”이라고 덧붙였다.

청와대	청와대/NNP
고위	고위/NNG
관계자도	관계자/NNG+도/JX
“북한이	“/SS+북한/NNP+이/JKS
앞으로	앞/NNG+으로/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
채널을	채널/NNG+을/JKO
통해	통하/VV+아/EC
정식으로	정식/NNG+으로/JKB
대화를	대화/NNG+를/JKO
제안해	제안/NNG+하/XSV+아/EC
오면	오/VX+면/EC
내용을	내용/NNG+을/JKO
검토해	검토/NNG+하/XSV+아/EC
대응할	대응/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.339.4.1
요컨대 당장 대응하기보다는 좀 더 시간을 두고 남측 요구조건의 수준을 높이면서 북한이 꺼내는 카드를 보겠다는 것이다.

요컨대	요컨대/MAG
당장	당장/NNG
대응하기보다는	대응/NNG+하/XSV+기/ETN+보다/JKB+는/JX
좀	좀/MAG
더	더/MAG
시간을	시간/NNG+을/JKO
두고	두/VV+고/EC
남측	남측/NNG
요구조건의	요구/NNG+조건/NNG+의/JKG
수준을	수준/NNG+을/JKO
높이면서	높이/VV+면서/EC
북한이	북한/NNP+이/JKS
꺼내는	꺼내/VV+는/ETM
카드를	카드/NNG+를/JKO
보겠다는	보/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.339.4.2
조평통 담화는 그동안 남측이 요구해 온 ‘천안함과 연평도 도발에 대한 책임 있는 조치’를 내놓지 않았다.

조평통	조평통/NNG
담화는	담화/NNG+는/JX
그동안	그동안/NNG
남측이	남측/NNG+이/JKS
요구해	요구/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
‘천안함과	‘/SS+천안함/NNP+과/JC
연평도	연평도/NNP
도발에	도발/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책임	책임/NNG
있는	있/VA+는/ETM
조치’를	조치/NNG+’/SS+를/JKO
내놓지	내놓/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.339.4.3
또 담화가 “(대화 제의에는) 아무런 조건도 없다”고 주장했지만 일단 회담이 시작되면 북한은 이산가족 상봉 정례화 등의 대가로 쌀 50만 t, 비료 30만 t 등을 요구할 것이 뻔하다는 게 정부의 판단이다.

또	또/MAG
담화가	담화/NNG+가/JKS
“(대화	“/SS+(/SS+대화/NNG
제의에는)	제의/NNG+에/JKB+는/JX+)/SS
아무런	아무런/MMD
조건도	조건/NNG+도/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
주장했지만	주장/NNG+하/XSV+았/EP+지만/EC
일단	일단/MAG
회담이	회담/NNG+이/JKS
시작되면	시작/NNG+되/XSV+면/EC
북한은	북한/NNP+은/JX
이산가족	이산가족/NNG
상봉	상봉/NNG
정례화	정례/NNG+화/XSN
등의	등/NNB+의/JKG
대가로	대가/NNG+로/JKB
쌀	쌀/NNG
50만	50/SN+만/NR
t,	t/SW+,/SP
비료	비료/NNG
30만	30/SN+만/NR
t	t/SW
등을	등/NNB+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
것이	것/NNB+이/JKS
뻔하다는	뻔하/VA+다는/ETM
게	거/NNB+이/JKS
정부의	정부/NNG+의/JKG
판단이다.	판단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.339.5.1
그러나 한편으로 정부 당국자들은 북한의 이런 위장 평화공세가 국제사회에는 ‘진정한 관계 진전을 위한 노력’으로 비치고 6자회담의 장기 공전 원인이 한국 정부의 경직된 태도 때문이라는 오해를 받을 가능성을 우려하고 있다.

그러나	그러나/MAJ
한편으로	한편/NNG+으로/JKB
정부	정부/NNG
당국자들은	당국자/NNG+들/XSN+은/JX
북한의	북한/NNP+의/JKG
이런	이런/MMD
위장	위장/NNG
평화공세가	평화/NNG+공세/NNG+가/JKS
국제사회에는	국제/NNG+사회/NNG+에/JKB+는/JX
‘진정한	‘/SS+진정하/VA+ㄴ/ETM
관계	관계/NNG
진전을	진전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
노력’으로	노력/NNG+’/SS+으로/JKB
비치고	비치/VV+고/EC
6자회담의	6/SN+자/NNB+회담/NNG+의/JKG
장기	장기/NNG
공전	공전/NNG
원인이	원인/NNG+이/JKS
한국	한국/NNP
정부의	정부/NNG+의/JKG
경직된	경직/NNG+되/XSV+ㄴ/ETM
태도	태도/NNG
때문이라는	때문/NNB+이/VCP+라는/ETM
오해를	오해/NNG+를/JKO
받을	받/VV+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
우려하고	우려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.339.6.1
이에 따라 정부는 청와대와 외교안보 부처 간 전략회의를 통해 남북관계와 북핵문제를 분리 대응할 필요성 등을 검토해 나가기로 했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
정부는	정부/NNG+는/JX
청와대와	청와대/NNP+와/JC
외교안보	외교/NNG+안보/NNG
부처	부처/NNG
간	간/NNB
전략회의를	전략/NNG+회의/NNG+를/JKO
통해	통하/VV+아/EC
남북관계와	남북/NNP+관계/NNG+와/JC
북핵문제를	북핵/NNG+문제/NNG+를/JKO
분리	분리/NNG
대응할	대응/NNG+하/XSV+ㄹ/ETM
필요성	필요/NNG+성/XSN
등을	등/NNB+을/JKO
검토해	검토/NNG+하/XSV+아/EC
나가기로	나가/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.339.6.2
정부 당국자는 “핵 문제를 전담하는 북한 외무성 라인과 대남 라인인 통일전선부 라인 양쪽을 통해 북한의 진정성을 확인하는 ‘투 트랙’으로 접근할 필요가 있다”고 말했다.

정부	정부/NNG
당국자는	당국자/NNG+는/JX
“핵	“/SS+핵/NNG
문제를	문제/NNG+를/JKO
전담하는	전담/NNG+하/XSV+는/ETM
북한	북한/NNP
외무성	외무성/NNG
라인과	라인/NNG+과/JC
대남	대남/NNG
라인인	라인/NNG+이/VCP+ㄴ/ETM
통일전선부	통일/NNG+전선부/NNG
라인	라인/NNG
양쪽을	양쪽/NNG+을/JKO
통해	통하/VV+아/EC
북한의	북한/NNP+의/JKG
진정성을	진정/NNG+성/XSN+을/JKO
확인하는	확인/NNG+하/XSV+는/ETM
‘투	‘/SS+투/NNG
트랙’으로	트랙/NNG+’/SS+으로/JKB
접근할	접근/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.339.7.1
또 정부는 남북대화에선 북한의 무력도발 사건과 함께 비핵화 문제가 다뤄져야 한다고 강조하고 있다.

또	또/MAG
정부는	정부/NNG+는/JX
남북대화에선	남북/NNP+대화/NNG+에서/JKB+ㄴ/JX
북한의	북한/NNP+의/JKG
무력도발	무력/NNG+도발/NNG
사건과	사건/NNG+과/JKB
함께	함께/MAG
비핵화	비핵/NNG+화/XSN
문제가	문제/NNG+가/JKS
다뤄져야	다루/VV+어/EC+지/VX+어야/EC
한다고	하/VX+ㄴ다고/EC
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.339.7.2
외교부 당국자는 “엄중한 이슈인 북한의 핵개발 노력을 막아내려면 남북 간 대화를 통해 이 문제를 논의할 필요가 있다”고 밝혔다.

외교부	외교부/NNG
당국자는	당국자/NNG+는/JX
“엄중한	“/SS+엄중/NNG+하/XSA+ㄴ/ETM
이슈인	이슈/NNG+이/VCP+ㄴ/ETM
북한의	북한/NNP+의/JKG
핵개발	핵/NNG+개발/NNG
노력을	노력/NNG+을/JKO
막아내려면	막/VV+아/EC+내/VX+려면/EC
남북	남북/NNP
간	간/NNB
대화를	대화/NNG+를/JKO
통해	통하/VV+아/EC
이	이/MMD
문제를	문제/NNG+를/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.339.8.1
결국 향후 남북대화는 북한이 공식적으로 대화를 제의해오고, 이에 정부가 우라늄농축프로그램(UEP) 등 핵 문제와 천안함 사건, 연평도 도발 등을 다루자고 역(逆)제의를 한 이후 나타날 북한의 반응에 달려 있다는 게 지배적인 분석이다.

결국	결국/MAG
향후	향후/NNG
남북대화는	남북/NNP+대화/NNG+는/JX
북한이	북한/NNP+이/JKS
공식적으로	공식/NNG+적/XSN+으로/JKB
대화를	대화/NNG+를/JKO
제의해오고,	제의/NNG+하/XSV+아/EC+오/VX+고/EC+,/SP
이에	이/NP+에/JKB
정부가	정부/NNG+가/JKS
우라늄농축프로그램(UEP)	우라늄/NNG+농축/NNG+프로그램/NNG+(/SS+UEP/SL+)/SS
등	등/NNB
핵	핵/NNG
문제와	문제/NNG+와/JC
천안함	천안함/NNP
사건,	사건/NNG+,/SP
연평도	연평도/NNP
도발	도발/NNG
등을	등/NNB+을/JKO
다루자고	다루/VV+자고/EC
역(逆)제의를	역/NA+(/SS+逆/SH+)/SS+제의/NNG+를/JKO
한	하/VV+ㄴ/ETM
이후	이후/NNG
나타날	나타나/VV+ㄹ/ETM
북한의	북한/NNP+의/JKG
반응에	반응/NNG+에/JKB
달려	달리/VV+어/EC
있다는	있/VX+다는/ETM
게	거/NNB+이/JKS
지배적인	지배/NNG+적/XSN+이/VCP+ㄴ/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


