# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.363
metadata : {}


# id : NWRW1800000037.363.1.1
“길거리 채용 눈도장”… 휴지 줍는 대학생들

“길거리	“/SS+길거리/NNG
예컨대 ‘중요한 미팅이 있는데 무단횡단을 하지 않으면 늦는다, 어떻게 할 것인가’라는 예상 질문을 내고 토론을 거쳐 도출한 ‘모범 답안’을 달달 외우는 것이다.

예컨대	예컨대/MAG
‘중요한	‘/SS+중요/NNG+하/XSA+ㄴ/ETM
미팅이	미팅/NNG+이/JKS
있는데	있/VA+는데/EC
무단횡단을	무단/NNG+횡단/NNG+을/JKO
하지	하/VV+지/EC
않으면	않/VX+으면/EC
늦는다,	늦/VA+는다/EF+,/SP
어떻게	어떻/VA+게/EC
할	하/VV+ㄹ/ETM
것인가’라는	것/NNB+이/VCP+ㄴ가/EF+’/SS+이/VCP+라는/ETM
예상	예상/NNG
질문을	질문/NNG+을/JKO
내고	내/VV+고/EC
토론을	토론/NNG+을/JKO
거쳐	거치/VV+어/EC
도출한	도출/NNG+하/XSV+ㄴ/ETM
‘모범	‘/SS+모범/NNG
답안’을	답안/NNG+’/SS+을/JKO
달달	달달/MAG
외우는	외우/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.363.9.3
이때 자신의 생각은 중요하지 않다.

이때	이때/NNG
자신의	자신/NNG+의/JKG
생각은	생각/NNG+은/JX
중요하지	중요/NNG+하/XSA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000037.363.9.4
또 진짜 창업이 목적이 아니라 이력서에 적기 위해 창업동아리에 가입해 활동하는 취업 준비생들도 있다.

또	또/MAG
진짜	진짜/NNG
창업이	창업/NNG+이/JKS
목적이	목적/NNG+이/JKC
아니라	아니/VCN+라/EC
이력서에	이력서/NNG+에/JKB
적기	적/VV+기/ETN
위해	위하/VV+아/EC
창업동아리에	창업/NNG+동아리/NNG+에/JKB
가입해	가입/NNG+하/XSV+아/EC
활동하는	활동/NNG+하/XSV+는/ETM
취업	취업/NNG
준비생들도	준비/NNG+생/XSN+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.363.10.1
대기업 인사담당자들은 이 같은 ‘벼락치기’식 대비는 큰 효과를 거두기 어렵다고 입을 모았다.

대기업	대/XPN+기업/NNG
인사담당자들은	인사/NNG+담당자/NNG+들/XSN+은/JX
이	이/NP
같은	같/VA+은/ETM
‘벼락치기’식	‘/SS+벼락치기/NNG+’/SS+식/NNB
대비는	대비/NNG+는/JX
큰	크/VA+ㄴ/ETM
효과를	효과/NNG+를/JKO
거두기	거두/VV+기/ETN
어렵다고	어렵/VA+다고/EC
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.363.10.2
한 대기업 인사담당 임원은 “취업을 위해 단기간에 인위적으로 쌓은 봉사활동이나 경력은 면접 때 꼬리에 꼬리를 무는 질문 과정에서 대부분 드러난다”며 “진정성을 보여주는 것이 중요하다”고 강조했다.

한	한/MMN
대기업	대/XPN+기업/NNG
인사담당	인사/NNG+담당/NNG
임원은	임원/NNG+은/JX
“취업을	“/SS+취업/NNG+을/JKO
위해	위하/VV+아/EC
단기간에	단기간/NNG+에/JKB
인위적으로	인위/NNG+적/XSN+으로/JKB
쌓은	쌓/VV+은/ETM
봉사활동이나	봉사/NNG+활동/NNG+이나/JC
경력은	경력/NNG+은/JX
면접	면접/NNG
때	때/NNG
꼬리에	꼬리/NNG+에/JKB
꼬리를	꼬리/NNG+를/JKO
무는	물/VV+는/ETM
질문	질문/NNG
과정에서	과정/NNG+에서/JKB
대부분	대/XPN+부분/NNG
드러난다”며	드러나/VV+ㄴ다/EF+”/SS+며/EC
“진정성을	“/SS+진정/NNG+성/XSN+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
것이	것/NNB+이/JKS
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.363.10.3
다른 기업 관계자는 “봉사활동 전문가나 엔터테이너가 아니라 오랫동안 함께 일할 ‘동료’를 뽑는다는 사실을 알아야 한다”고 말했다.

다른	다른/MMD
기업	기업/NNG
관계자는	관계자/NNG+는/JX
“봉사활동	“/SS+봉사/NNG+활동/NNG
전문가나	전문가/NNG+나/JC
엔터테이너가	엔터테이너/NNG+가/JKC
아니라	아니/VCN+라/EC
오랫동안	오랫동안/NNG
함께	함께/MAG
일할	일/NNG+하/XSV+ㄹ/ETM
‘동료’를	‘/SS+동료/NNG+’/SS+를/JKO
뽑는다는	뽑/VV+는다는/ETM
사실을	사실/NNG+을/JKO
알아야	알/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.363.11.1
서미영 인크루트 상무는 “대학생들이 취업하기 위해 본말이 전도된 활동을 하는 것은 사회적으로도 낭비”라며 “취업난으로 왜곡돼 있는 채용시장이 답답하다”고 안타까워했다.

서미영	서미영/NNP
인크루트	인크루트/NNP
상무는	상무/NNG+는/JX
“대학생들이	“/SS+대학/NNG+생/XSN+들/XSN+이/JKS
취업하기	취업/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
본말이	본말/NNG+이/JKS
전도된	전도/NNG+되/XSV+ㄴ/ETM
활동을	활동/NNG+을/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
사회적으로도	사회/NNG+적/XSN+으로/JKB+도/JX
낭비”라며	낭비/NNG+”/SS+이/VCP+라며/EC
“취업난으로	“/SS+취업난/NNG+으로/JKB
왜곡돼	왜곡/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
채용시장이	채용/NNG+시장/NNG+이/JKS
답답하다”고	답답하/VA+다/EF+”/SS+고/JKQ
안타까워했다.	안타까워하/VV+았/EP+다/EF+./SF


