# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.305
metadata : {}


# id : NWRW1800000024.305.1.1
부실우려 중기 1400곳 옥석 가린다

부실우려	부실/NNG+우려/NNG
선정할	선정/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.305.2.3
채권은행들은 지난달에 여신규모 50억~500억원 규모의 중소기업들을 대상으로 1차 구조조정을 실시했으며, 이번에는 좀더 작은 규모의 기업들을 대상으로 한 2차 구조조정에 들어간다.

채권은행들은	채권/NNG+은행/NNG+들/XSN+은/JX
지난달에	지난달/NNG+에/JKB
여신규모	여신/NNG+규모/NNG
50억~500억원	50/SN+억/NR+~/SO+500/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
중소기업들을	중소기업/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
1차	1/SN+차/NNB
구조조정을	구조/NNG+조정/NNG+을/JKO
실시했으며,	실시/NNG+하/XSV+았/EP+으며/EC+,/SP
이번에는	이번/NNG+에/JKB+는/JX
좀더	좀/MAG+더/MAG
작은	작/VA+은/ETM
기업들을	기업/NNG+들/XSN+을/JKO
한	하/VV+ㄴ/ETM
2차	2/SN+차/NNB
구조조정에	구조/NNG+조정/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.305.2.4
2차 평가 대상에는 여신규모 30억원 이상 50억원 미만인 8630개사와 1차 평가에서 세부평가 대상(861개사)으로 선정되지 않았던 6988개사가 포함됐다.

2차	2/SN+차/NNB
평가	평가/NNG
대상에는	대상/NNG+에/JKB+는/JX
여신규모	여신/NNG+규모/NNG
30억원	30/SN+억/NR+원/NNB
이상	이상/NNG
50억원	50/SN+억/NR+원/NNB
미만인	미만/NNG+이/VCP+ㄴ/ETM
8630개사와	8630/SN+개사/NNB+와/JC
1차	1/SN+차/NNB
평가에서	평가/NNG+에서/JKB
세부평가	세부/NNG+평가/NNG
대상(861개사)으로	대상/NNG+(/SS+861/SN+개사/NNB+)/SS+으로/JKB
선정되지	선정/NNG+되/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
6988개사가	6988/SN+개사/NNB+가/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.305.3.1
채권은행들은 3년 연속 영업현금흐름 적자, 3년 연속 이자보상배율 1 미만 등 재무적 요인과 올해 중 연체·압류 발생, 당좌계좌 한도 80% 이상 소진 등 질적 요인을 고려해 세부평가 대상을 분류했다고 금감원은 설명했다.

채권은행들은	채권/NNG+은행/NNG+들/XSN+은/JX
3년	3/SN+년/NNB
연속	연속/NNG
영업현금흐름	영업/NNG+현금/NNG+흐름/NNG
적자,	적자/NNG+,/SP
이자보상배율	이자/NNG+보상/NNG+배율/NNG
1	1/SN
미만	미만/NNG
등	등/NNB
재무적	재무/NNG+적/XSN
요인과	요인/NNG+과/JC
올해	올해/NNG
중	중/NNB
연체·압류	연체/NNG+·/SP+압류/NNG
발생,	발생/NNG+,/SP
당좌계좌	당좌/NNG+계좌/NNG
한도	한도/NNG
80%	80/SN+%/SW
이상	이상/NNG
소진	소진/NNG
질적	질/NNG+적/XSN
요인을	요인/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
세부평가	세부/NNG+평가/NNG
대상을	대상/NNG+을/JKO
분류했다고	분류/NNG+하/XSV+았/EP+다고/EC
금감원은	금감원/NNG+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.305.4.1
은행들은 세부평가 결과 중소기업들을 A등급(정상), B등급(일시 유동성 부족), C등급(워크아웃), D등급(퇴출)으로 분류하게 된다.

은행들은	은행/NNG+들/XSN+은/JX
세부평가	세부/NNG+평가/NNG
결과	결과/NNG
중소기업들을	중소기업/NNG+들/XSN+을/JKO
A등급(정상),	A/SL+등급/NNG+(/SS+정상/NNG+)/SS+,/SP
B등급(일시	B/SL+등급/NNG+(/SS+일시/MAG
유동성	유동/NNG+성/XSN
부족),	부족/NNG+)/SS+,/SP
C등급(워크아웃),	C/SL+등급/NNG+(/SS+워크아웃/NNG+)/SS+,/SP
D등급(퇴출)으로	D/SL+등급/NNG+(/SS+퇴출/NNG+)/SS+으로/JKB
분류하게	분류/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.305.4.2
A·B등급 업체는 유동성 지원을 받지만 C·D등급은 구조조정 대상이 된다.

A·B등급	A/SL+·/SP+B/SL+등급/NNG
업체는	업체/NNG+는/JX
유동성	유동/NNG+성/XSN
지원을	지원/NNG+을/JKO
받지만	받/VV+지만/EC
C·D등급은	C/SL+·/SP+D/SL+등급/NNG+은/JX
구조조정	구조/NNG+조정/NNG
대상이	대상/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


