# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.207
metadata : {}


# id : NWRW1800000033.207.1.1
檢, 경찰이 신청한 ‘金검사 계좌 수색영장’ 기각

檢,	檢/SH+,/SP
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.207.6.2
100여 명의 경찰관은 이날 오후 7시 충남 세종시 전동면의 한 펜션에서 ‘긴급 현안토론회’를 열었다.

100여	100/SN+여/XSN
명의	명/NNB+의/JKG
경찰관은	경찰관/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
7시	7/SN+시/NNB
충남	충남/NNP
세종시	세종시/NNP
전동면의	전동면/NNP+의/JKG
한	한/MMN
펜션에서	펜션/NNG+에서/JKB
‘긴급	‘/SS+긴급/NNG
현안토론회’를	현안/NNG+토론회/NNG+’/SS+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.207.6.3
이들은 펜션 곳곳에 ‘경찰은 국민사랑, 검찰은 조직사랑’ ‘비리검사도, 특임검사도 의사가 아니라 모두 장의사다.

이들은	이/NP+들/XSN+은/JX
펜션	펜션/NNG
곳곳에	곳곳/NNG+에/JKB
‘경찰은	‘/SS+경찰/NNG+은/JX
국민사랑,	국민/NNG+사랑/NNG+,/SP
검찰은	검찰/NNG+은/JX
조직사랑’	조직/NNG+사랑/NNG+’/SS
‘비리검사도,	‘/SS+비리/NNG+검사/NNG+도/JX+,/SP
특임검사도	특임/NNG+검사/NNG+도/JX
의사가	의사/NNG+가/JKC
아니라	아니/VCN+라/EC
모두	모두/MAG
장의사다.	장의사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.207.6.4
왜?

왜?	왜/MAG+?/SF


# id : NWRW1800000033.207.6.5
죽은 권력만 상대하니까’ 등 검찰을 비난하는 문구를 써 붙였다.

죽은	죽/VV+은/ETM
권력만	권력/NNG+만/JX
상대하니까’	상대/NNG+하/XSV+니까/EC+’/SS
등	등/NNB
검찰을	검찰/NNG+을/JKO
비난하는	비난/NNG+하/XSV+는/ETM
문구를	문구/NNG+를/JKO
써	쓰/VV+어/EC
붙였다.	붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.207.6.6
식당 한 구석에 프로젝터를 설치해 나치 독일을 소재로 한 영화에 영화내용과 관계없는 검찰 비난 자막을 넣은 동영상을 상영했다.

식당	식당/NNG
한	하/VV+ㄴ/ETM
구석에	구석/NNG+에/JKB
프로젝터를	프로젝터/NNG+를/JKO
설치해	설치/NNG+하/XSV+아/EC
나치	나치/NNP
독일을	독일/NNP+을/JKO
소재로	소재/NNG+로/JKB
영화에	영화/NNG+에/JKB
영화내용과	영화/NNG+내용/NNG+과/JKB
관계없는	관계없/VA+는/ETM
검찰	검찰/NNG
비난	비난/NNG
자막을	자막/NNG+을/JKO
넣은	넣/VV+은/ETM
동영상을	동영상/NNG+을/JKO
상영했다.	상영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.207.7.1
토론회에 참석한 충남경찰청 소속 조대현 경정은 “특임검사를 임명한 것은 명백한 가로채기”라고 말했다.

토론회에	토론회/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
충남경찰청	충남경찰청/NNP
소속	소속/NNG
조대현	조대현/NNP
경정은	경정/NNG+은/JX
“특임검사를	“/SS+특임/NNG+검사/NNG+를/JKO
임명한	임명/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
명백한	명백하/VA+ㄴ/ETM
가로채기”라고	가로채기/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.207.7.2
경찰관들은 밤늦은 시간까지 난상토론을 벌이며 울분을 토했다.

경찰관들은	경찰관/NNG+들/XSN+은/JX
밤늦은	밤늦/VA+은/ETM
시간까지	시간/NNG+까지/JX
난상토론을	난상/NNG+토론/NNG+을/JKO
벌이며	벌이/VV+며/EC
울분을	울분/NNG+을/JKO
토했다.	토하/VV+았/EP+다/EF+./SF


