# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.285
metadata : {}


# id : NWRW1800000038.285.1.1
[발언대] 신문구독료 소득공제 발의를 환영하며

[발언대]	[/SS+발언대/NNG+]/SS

처음엔	처음/NNG+에/JKB+ㄴ/JX
아이	아이/NNG
아빠가	아빠/NNG+가/JKS
매일	매일/MAG
신문을	신문/NNG+을/JKO
들고	들/VV+고/EC
사니	살/VV+니/EC
그냥	그냥/MAG
흉내	흉내/NNG
내나	내/VV+나/EF
싶었는데	싶/VX+었/EP+는데/EC
제목	제목/NNG
정도는	정도/NNG+는/JX
거침없이	거침없이/MAG
읽으며	읽/VV+으며/EC
뿌듯해한다.	뿌듯하/VA+아/EC+하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.285.2.7
이에 질세라 샘 많은 세 살배기 둘째도 덩달아 언니 흉내를 낸다.

이에	이/NP+에/JKB
질세라	지/VV+ㄹ세라/EC
샘	샘/NNG
많은	많/VA+은/ETM
세	세/MMN
살배기	살/NNB+배기/XSN
둘째도	둘째/NR+도/JX
덩달아	덩달/VV+아/EC
언니	언니/NNG
흉내를	흉내/NNG+를/JKO
낸다.	내/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.285.2.8
아이 아빠는 집에선 신문도 맘 편히 못 본다며 푸념이지만 내심 기분은 좋은 눈치다.

아이	아이/NNG
아빠는	아빠/NNG+는/JX
집에선	집/NNG+에서/JKB+ㄴ/JX
신문도	신문/NNG+도/JX
맘	맘/NNG
편히	편히/MAG
못	못/MAG
본다며	보/VV+ㄴ다며/EC
푸념이지만	푸념/NNG+이/VCP+지만/EC
내심	내심/NNG
기분은	기분/NNG+은/JX
좋은	좋/VA+은/ETM
눈치다.	눈치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.285.3.1
사실 이런 광경은 불과 20년 전만 해도 어느 집이나 흔한 광경이었다.

사실	사실/MAG
이런	이런/MMD
광경은	광경/NNG+은/JX
불과	불과/MAG
20년	20/SN+년/NNB
전만	전/NNG+만/JX
해도	하/VV+아도/EC
어느	어느/MMD
집이나	집/NNG+이나/JX
흔한	흔하/VA+ㄴ/ETM
광경이었다.	광경/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.285.3.2
부모는 신문을 읽고 아이는 신문으로 놀이를 했다.

부모는	부모/NNG+는/JX
신문을	신문/NNG+을/JKO
읽고	읽/VV+고/EC
아이는	아이/NNG+는/JX
신문으로	신문/NNG+으로/JKB
놀이를	놀이/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.285.3.3
아이는 신문으로 한글을 깨쳤고 세상을 읽었다.

아이는	아이/NNG+는/JX
신문으로	신문/NNG+으로/JKB
한글을	한글/NNG+을/JKO
깨쳤고	깨치/VV+었/EP+고/EC
세상을	세상/NNG+을/JKO
읽었다.	읽/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.285.3.4
그런데 어느 틈엔가 세상과 아이들 사이에 인터넷과 스마트폰이 자리를 차지하게 됐다.

그런데	그런데/MAJ
어느	어느/MMD
틈엔가	틈/NNB+에/JKB+이/VCP+ㄴ가/EF
세상과	세상/NNG+과/JC
아이들	아이/NNG+들/XSN
사이에	사이/NNG+에/JKB
인터넷과	인터넷/NNG+과/JC
스마트폰이	스마트폰/NNG+이/JKS
자리를	자리/NNG+를/JKO
차지하게	차지/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.285.3.5
아이들이 신문 읽는 게 어느덧 익숙하지 않고 특이한 세상이 된 것이다.

아이들이	아이/NNG+들/XSN+이/JKS
신문	신문/NNG
읽는	읽/VV+는/ETM
게	거/NNB+이/JKS
어느덧	어느덧/MAG
익숙하지	익숙하/VA+지/EC
않고	않/VX+고/EC
특이한	특이/NNG+하/XSA+ㄴ/ETM
세상이	세상/NNG+이/JKC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.285.3.6
버스를 타도, 공원 벤치에서도 아이들은 스마트폰으로 게임을 하고 동영상을 본다.

버스를	버스/NNG+를/JKO
타도,	타/VV+아도/EC+,/SP
공원	공원/NNG
벤치에서도	벤치/NNG+에서/JKB+도/JX
아이들은	아이/NNG+들/XSN+은/JX
스마트폰으로	스마트폰/NNG+으로/JKB
게임을	게임/NNG+을/JKO
하고	하/VV+고/EC
동영상을	동영상/NNG+을/JKO
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.285.3.7
레스토랑에서도 엄마들은 아이에게 스마트폰을 쥐여주고 맘 편히 친구들과 수다 삼매경에 빠진다.

레스토랑에서도	레스토랑/NNG+에서/JKB+도/JX
엄마들은	엄마/NNG+들/XSN+은/JX
아이에게	아이/NNG+에게/JKB
스마트폰을	스마트폰/NNG+을/JKO
쥐여주고	쥐이/VV+어/EC+주/VX+고/EC
맘	맘/NNG
편히	편히/MAG
친구들과	친구/NNG+들/XSN+과/JKB
수다	수다/NNG
삼매경에	삼매경/NNG+에/JKB
빠진다.	빠지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.285.3.8
그런 광경을 볼 때마다 어른들이 아이들에게 활자 매체와 접할 기회조차 주지 않는 것 아닌가 싶어 안타깝다.

그런	그런/MMD
광경을	광경/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
어른들이	어른/NNG+들/XSN+이/JKS
아이들에게	아이/NNG+들/XSN+에게/JKB
활자	활자/NNG
매체와	매체/NNG+와/JKB
접할	접하/VV+ㄹ/ETM
기회조차	기회/NNG+조차/JX
주지	주/VV+지/EC
않는	않/VX+는/ETM
것	것/NNB
아닌가	아니/VCN+ㄴ가/EF
싶어	싶/VX+어/EC
안타깝다.	안타깝/VA+다/EF+./SF


# id : NWRW1800000038.285.4.1
아이들이 신문을 읽기 시작하면서 나도 한동안 멀리했던 신문을 다시 보기 시작했다.

아이들이	아이/NNG+들/XSN+이/JKS
신문을	신문/NNG+을/JKO
읽기	읽/VV+기/ETN
시작하면서	시작/NNG+하/XSV+면서/EC
나도	나/NP+도/JX
한동안	한/XPN+동안/NNG
멀리했던	멀리/MAG+하/XSV+았/EP+던/ETM
다시	다시/MAG
보기	보/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.285.4.2
놀랐던 점은 신문이 아이 교육을 위한 지면을 매일 할애하고 있다는 것이다.

놀랐던	놀라/VV+았/EP+던/ETM
점은	점/NNG+은/JX
신문이	신문/NNG+이/JKS
아이	아이/NNG
교육을	교육/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
지면을	지면/NNG+을/JKO
매일	매일/MAG
할애하고	할애/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.285.4.3
한자부터 신문활용교육(NIE), 과학 상식까지 주제도 다양해 정말로 구독료 1만5000원이 아깝지 않다.

한자부터	한자/NNG+부터/JX
신문활용교육(NIE),	신문/NNG+활용/NNG+교육/NNG+(/SS+NIE/SL+)/SS+,/SP
과학	과학/NNG
상식까지	상식/NNG+까지/JX
주제도	주제/NNG+도/JX
다양해	다양/NNG+하/XSA+아/EC
정말로	정말로/MAG
구독료	구독료/NNG
1만5000원이	1/SN+만/NR+5000/SN+원/NNB+이/JKS
아깝지	아깝/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000038.285.4.4
맞벌이 엄마가 놓치기 쉬운 변화된 교육정책 등도 신문을 보면 쉽게 얻을 수 있다.

맞벌이	맞벌이/NNG
엄마가	엄마/NNG+가/JKS
놓치기	놓치/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
변화된	변화/NNG+되/XSV+ㄴ/ETM
교육정책	교육/NNG+정책/NNG
등도	등/NNB+도/JX
신문을	신문/NNG+을/JKO
보면	보/VV+면/EC
쉽게	쉽/VA+게/EC
얻을	얻/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.285.4.5
꼭 교육 면이 아니라도 활자 매체에 대한 친숙함을 길러주기 위해 신문을 지속적으로 읽혀야겠다는 생각이 든다.

꼭	꼭/MAG
교육	교육/NNG
면이	면/NNG+이/JKC
아니라도	아니/VCN+라도/EC
활자	활자/NNG
매체에	매체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
친숙함을	친숙/NNG+하/XSA+ㅁ/ETN+을/JKO
길러주기	기르/VV+어/EC+주/VX+기/ETN
위해	위하/VV+아/EC
신문을	신문/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
읽혀야겠다는	읽히/VV+어야/EC+하/VX+겠/EP+다는/ETM
생각이	생각/NNG+이/JKS
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.285.4.6
그런 점에서 최근 신문에서 본 민주통합당 윤관석 의원이 신문구독료에 대해 연간 20만원까지 소득공제 혜택을 주는 소득세법 개정안을 발의한다는 기사는 환영할 만하다.

그런	그런/MMD
점에서	점/NNG+에서/JKB
최근	최근/NNG
신문에서	신문/NNG+에서/JKB
본	보/VV+ㄴ/ETM
민주통합당	민주통합당/NNP
윤관석	윤관석/NNP
의원이	의원/NNG+이/JKS
신문구독료에	신문/NNG+구독료/NNG+에/JKB
대해	대하/VV+아/EC
연간	연간/NNG
20만원까지	20/SN+만/NR+원/NNB+까지/JX
소득공제	소득/NNG+공제/NNG
혜택을	혜택/NNG+을/JKO
주는	주/VV+는/ETM
소득세법	소득세법/NNG
개정안을	개정안/NNG+을/JKO
발의한다는	발의/NNG+하/XSV+ㄴ다는/ETM
기사는	기사/NNG+는/JX
환영할	환영/NNG+하/XSV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000038.285.4.7
스마트폰으로 자란 아이들 사이에서 신문을 읽고 자란 우리 아이는 어떤 존재로 성장하게 될지 상상만으로도 기대가 된다.

스마트폰으로	스마트폰/NNG+으로/JKB
자란	자라/VV+ㄴ/ETM
아이들	아이/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
신문을	신문/NNG+을/JKO
읽고	읽/VV+고/EC
우리	우리/NP
아이는	아이/NNG+는/JX
어떤	어떤/MMD
존재로	존재/NNG+로/JKB
성장하게	성장/NNG+하/XSV+게/EC
될지	되/VV+ㄹ지/EF
상상만으로도	상상/NNG+만/JX+으로/JKB+도/JX
기대가	기대/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.285.4.8
자라나는 우리 아이들에게 신문을 친구로 만들어주는 부모들이 늘었으면 하는 바람이다.

자라나는	자라나/VV+는/ETM
우리	우리/NP
아이들에게	아이/NNG+들/XSN+에게/JKB
신문을	신문/NNG+을/JKO
친구로	친구/NNG+로/JKB
만들어주는	만들/VV+어/EC+주/VX+는/ETM
부모들이	부모/NNG+들/XSN+이/JKS
늘었으면	늘/VV+었/EP+으면/EC
하는	하/VX+는/ETM
바람이다.	바람/NNG+이/VCP+다/EF+./SF


