# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.370
metadata : {}


# id : NWRW1800000032.370.1.1
“내년 3월 핵정상회의에 김정일 초청 용의”

“내년	“/SS+내년/NNG
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.370.6.3
이 대통령은 “지난번엔 기자 질문에 ‘그럴 수도 있다’고 한 것이고, 이번엔 메르켈 총리와 논의해 공식 제안한 것”이라고 말했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
“지난번엔	“/SS+지난번/NNG+에/JKB+ㄴ/JX
기자	기자/NNG
질문에	질문/NNG+에/JKB
‘그럴	‘/SS+그렇/VA+ㄹ/ETM
수도	수/NNB+도/JX
있다’고	있/VA+다/EF+’/SS+고/JKQ
한	하/VV+ㄴ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
메르켈	메르켈/NNP
총리와	총리/NNG+와/JKB
논의해	논의/NNG+하/XSV+아/EC
공식	공식/NNG
제안한	제안/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.370.7.1
이 대통령은 이를 위해 천안함·연평도 사태에 대한 사과가 선행돼야 한다고 강조했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
이를	이/NP+를/JKO
위해	위하/VV+아/EC
천안함·연평도	천안함/NNP+·/SP+연평도/NNP
사태에	사태/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사과가	사과/NNG+가/JKS
선행돼야	선행/NNG+되/XSV+어야/EC
한다고	하/VX+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.370.7.2
이 대통령은 “테러에 대한 사과는 핵 포기 의지의 진정성을 담보하는 최소한의 기준이라고 생각한다”며 “북한이 사과하는 문제는 6자 회담이나 남북 여러 가지의 기본”이라고 말했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
“테러에	“/SS+테러/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사과는	사과/NNG+는/JX
핵	핵/NNG
포기	포기/NNG
의지의	의지/NNG+의/JKG
진정성을	진정/NNG+성/XSN+을/JKO
담보하는	담보/NNG+하/XSV+는/ETM
최소한의	최소한/NNG+의/JKG
기준이라고	기준/NNG+이/VCP+라고/EC
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“북한이	“/SS+북한/NNP+이/JKS
사과하는	사과/NNG+하/XSV+는/ETM
문제는	문제/NNG+는/JX
6자	6/SN+자/NNB
회담이나	회담/NNG+이나/JC
남북	남북/NNP
여러	여러/MMN
가지의	가지/NNB+의/JKG
기본”이라고	기본/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


