# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.78
metadata : {}


# id : NWRW1800000038.78.1.1
책, 이렇게 야해도 돼?

책,	책/NNG+,/SP
박범신의 '은교', 임경선의 '어떤 날 그녀들이', 알랭 드 보통의 '우리는 사랑일까', 넬레 노이하우스의 '사랑받지 못한 여자', 일레인 사이올리노의 '프랑스 남자들은 뒷모습에 주목한다'….

박범신의	박범신/NNP+의/JKG
'은교',	'/SS+은교/NNP+'/SS+,/SP
임경선의	임경선/NNP+의/JKG
'어떤	'/SS+어떤/MMD
날	날/NNG
그녀들이',	그녀/NP+들/XSN+이/JKS+'/SS+,/SP
알랭	알랭/NNP
드	드/NNP
보통의	보통/NNP+의/JKG
'우리는	'/SS+우리/NP+는/JX
사랑일까',	사랑/NNG+이/VCP+ㄹ까/EF+'/SS+,/SP
넬레	넬레/NNP
노이하우스의	노이하우스/NNP+의/JKG
'사랑받지	'/SS+사랑/NNG+받/XSV+지/EC
못한	못하/VX+ㄴ/ETM
여자',	여자/NNG+'/SS+,/SP
일레인	일레인/NNP
사이올리노의	사이올리노/NNP+의/JKG
'프랑스	'/SS+프랑스/NNP
남자들은	남자/NNG+들/XSN+은/JX
뒷모습에	뒷모습/NNG+에/JKB
주목한다'….	주목/NNG+하/XSV+ㄴ다/EF+'/SS+…/SE+./SF


# id : NWRW1800000038.78.12.3
디자인은 점점 야해지고 있다.

디자인은	디자인/NNG+은/JX
점점	점점/MAG
야해지고	야하/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.78.12.4
출판계에서는 "신선하고 흥미로운 시도"라는 호평과 "격이 떨어지고 선정성에 기대려는 발상"이라는 비판이 엇갈린다.

출판계에서는	출판/NNG+계/XSN+에서/JKB+는/JX
"신선하고	"/SS+신선하/VA+고/EC
흥미로운	흥미/NNG+롭/XSA+ㄴ/ETM
시도"라는	시도/NNG+"/SS+이/VCP+라는/ETM
호평과	호평/NNG+과/JC
"격이	"/SS+격/NNG+이/JKS
떨어지고	떨어지/VV+고/EC
선정성에	선정/NNG+성/XSN+에/JKB
기대려는	기대/VV+려는/ETM
발상"이라는	발상/NNG+"/SS+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
엇갈린다.	엇갈리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.78.12.5
불황 속 책의 몸부림 현장이다.

불황	불황/NNG
속	속/NNG
책의	책/NNG+의/JKG
몸부림	몸부림/NNG
현장이다.	현장/NNG+이/VCP+다/EF+./SF


