# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.55
metadata : {}


# id : NWRW1800000054.55.1.1
봄 맞아 꽃피우네, 낭송 문학

봄	봄/NNG
문성근,	문성근/NNP+,/SP
조재현,	조재현/NNP+,/SP
최민식,	최민식/NNP+,/SP
정진영,	정진영/NNP+,/SP
문소리,	문소리/NNP+,/SP
김소희	김소희/NNP
등	등/NNB
100명이다.	100/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.55.8.1
배우 김소희는 '무녀도'의 무녀(巫女)가 부른 비나리를 직접 소리로 재현했고, 배우 이희준은 '동백꽃'의 강원도 사투리를 배워 맛깔나게 연기했다.

배우	배우/NNG
김소희는	김소희/NNP+는/JX
'무녀도'의	'/SS+무녀도/NNP+'/SS+의/JKG
무녀(巫女)가	무녀/NNG+(/SS+巫女/SH+)/SS+가/JKS
부른	부르/VV+ㄴ/ETM
비나리를	비나리/NNG+를/JKO
직접	직접/MAG
소리로	소리/NNG+로/JKB
재현했고,	재현/NNG+하/XSV+았/EP+고/EC+,/SP
이희준은	이희준/NNP+은/JX
'동백꽃'의	'/SS+동백꽃/NNP+'/SS+의/JKG
강원도	강원도/NNP
사투리를	사투리/NNG+를/JKO
배워	배우/VV+어/EC
맛깔나게	맛깔나/VA+게/EC
연기했다.	연기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.55.8.2
이 오디오 북의 강점은 "활자로 그린 인물들이 생생하게 살아난 듯한 느낌을 전한다"는 것.

이	이/MMD
오디오	오디오/NNG
북의	북/NNG+의/JKG
강점은	강점/NNG+은/JX
"활자로	"/SS+활자/NNG+로/JKB
그린	그리/VV+ㄴ/ETM
인물들이	인물/NNG+들/XSN+이/JKS
생생하게	생생하/VA+게/EC
살아난	살아나/VV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
전한다"는	전하/VV+ㄴ다/EF+"/SS+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000054.55.8.3
낭독 배우들의 감정을 살리기 위해 배경 음악을 쓰지 않았고, 원작의 초기 표기를 살려서 읽었다.

낭독	낭독/NNG
배우들의	배우/NNG+들/XSN+의/JKG
감정을	감정/NNG+을/JKO
살리기	살리/VV+기/ETN
위해	위하/VV+아/EC
배경	배경/NNG
음악을	음악/NNG+을/JKO
쓰지	쓰/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
원작의	원작/NNG+의/JKG
초기	초기/NNG
표기를	표기/NNG+를/JKO
살려서	살리/VV+어서/EC
읽었다.	읽/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.55.8.4
연극과 문학의 만남을 보여준 오디오 북 판매 수익은 한국연극인복지재단에 기부해 연극인 복지를 위해 쓸 예정이다.

연극과	연극/NNG+과/JC
문학의	문학/NNG+의/JKG
만남을	만남/NNG+을/JKO
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
오디오	오디오/NNG
북	북/NNG
판매	판매/NNG
수익은	수익/NNG+은/JX
한국연극인복지재단에	한국연극인복지재단/NNP+에/JKB
기부해	기부/NNG+하/XSV+아/EC
연극인	연극인/NNG
복지를	복지/NNG+를/JKO
위해	위하/VV+아/EC
쓸	쓰/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.55.9.1
'낭송 Q시리즈의 민담·설화' 4권(각 권 1만1000원)은 종이책이지만, 낭송회를 통해 활용될 수 있도록 제작됐다.

'낭송	'/SS+낭송/NNG
Q시리즈의	Q/SL+시리즈/NNG+의/JKG
민담·설화'	민담/NNG+·/SP+설화/NNG+'/SS
4권(각	4/SN+권/NNB+(/SS+각/MMD
권	권/NNB
1만1000원)은	1/SN+만/NR+1000/SN+원/NNB+)/SS+은/JX
종이책이지만,	종이책/NNG+이/VCP+지만/EC+,/SP
낭송회를	낭송회/NNG+를/JKO
통해	통하/VV+아/EC
활용될	활용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
제작됐다.	제작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.55.9.2
각 지역의 사투리를 살려 해당 지역의 지자체와 교육 기관, 독서 모임에서 함께 읽을 수 있도록 했다.

각	각/MMD
지역의	지역/NNG+의/JKG
사투리를	사투리/NNG+를/JKO
살려	살리/VV+어/EC
해당	해당/NNG
지자체와	지자체/NNG+와/JC
교육	교육/NNG
기관,	기관/NNG+,/SP
독서	독서/NNG
모임에서	모임/NNG+에서/JKB
함께	함께/MAG
읽을	읽/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.55.9.3
'낭송 제주도의 옛이야기'편을 비롯해 기본적으론 표준어를 사용했지만, 중요 부분을 사투리로 구사하면서 괄호 속에 표준어를 병기했다.

'낭송	'/SS+낭송/NNG
제주도의	제주도/NNP+의/JKG
옛이야기'편을	옛이야기/NNG+'/SS+편/NNB+을/JKO
비롯해	비롯하/VV+아/EC
기본적으론	기본/NNG+적/XSN+으로/JKB+ㄴ/JX
표준어를	표준어/NNG+를/JKO
사용했지만,	사용/NNG+하/XSV+았/EP+지만/EC+,/SP
중요	중요/NNG
부분을	부분/NNG+을/JKO
사투리로	사투리/NNG+로/JKB
구사하면서	구사/NNG+하/XSV+면서/EC
괄호	괄호/NNG
속에	속/NNG+에/JKB
병기했다.	병기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.55.9.4
'한라산 꼭대기에 가서 있다가 나 말대로만 헙서(하세요).

'한라산	'/SS+한라산/NNP
꼭대기에	꼭대기/NNG+에/JKB
가서	가/VV+아서/EC
있다가	있/VX+다가/EC
나	나/NP
말대로만	말/NNG+대로/JX+만/JX
헙서(하세요).	허/VV+ㅂ서/EF+(/SS+하/VV+시/EP+어요/EF+)/SS+./SF


# id : NWRW1800000054.55.9.5
거기서 오줌을 누면서 낭(나무)을 그것으로 막 패어 두드리면서 오줌을 작작 골깁서(갈기세요).

거기서	거기/NP+서/JKB
오줌을	오줌/NNG+을/JKO
누면서	누/VV+면서/EC
낭(나무)을	낭/NNG+(/SS+나무/NNG+)/SS+을/JKO
그것으로	그것/NP+으로/JKB
막	막/MAG
패어	패/VV+어/EC
두드리면서	두드리/VV+면서/EC
작작	작작/MAG
골깁서(갈기세요).	골기/VV+ㅂ서/EF+(/SS+갈기/VV+시/EP+어요/EF+)/SS+./SF


# id : NWRW1800000054.55.9.6
경허민(그러면) 산돼지이고 노루고 다 잡아질 텝주(터이지요)'라는 식이다.

경허민(그러면)	경허민/NA+(/SS+그러면/MAJ+)/SS
산돼지이고	산돼지/NNG+이고/JC
노루고	노루/NNG+고/JC
다	다/MAG
잡아질	잡/VV+아/EC+지/VX+ㄹ/ETM
텝주(터이지요)'라는	텝주/NA+(/SS+터/NNB+이/VCP+지요/EF+)/SS+'/SS+이/VCP+라는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.55.9.7
토속어의 맛을 느끼게 하면서 옛이야기에 보존된 구전(口傳)의 지혜를 새삼 일깨우는 책이다.

토속어의	토속어/NNG+의/JKG
맛을	맛/NNG+을/JKO
느끼게	느끼/VV+게/EC
하면서	하/VX+면서/EC
옛이야기에	옛이야기/NNG+에/JKB
보존된	보존/NNG+되/XSV+ㄴ/ETM
구전(口傳)의	구전/NNG+(/SS+口傳/SH+)/SS+의/JKG
지혜를	지혜/NNG+를/JKO
새삼	새삼/MAG
일깨우는	일깨우/VV+는/ETM
책이다.	책/NNG+이/VCP+다/EF+./SF


