# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.184
metadata : {}


# id : NWRW1800000025.184.1.1
[신바람 신종교인]사찰 재정자립 시도하는 문경 대승사 철산 스님

[신바람	[/SS+신바람/NNG
대승사에서	대승사/NNP+에서/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.184.4.4
다양한 다기들도 스님이 가마에서 구웠다.

다양한	다양/NNG+하/XSA+ㄴ/ETM
다기들도	다기/NNG+들/XSN+도/JX
스님이	스님/NNG+이/JKS
가마에서	가마/NNG+에서/JKB
구웠다.	굽/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.184.5.1
대승사의 하안거는 엄격한 정진으로 명성이 났지만 이곳은 몇 년 사이 참선이나 교학에 전념하는 스님들뿐 아니라 불자들과 시민들이 즐겨 찾는 곳으로 탈바꿈했다.

대승사의	대승사/NNP+의/JKG
하안거는	하안거/NNG+는/JX
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
정진으로	정진/NNG+으로/JKB
명성이	명성/NNG+이/JKS
났지만	나/VV+았/EP+지만/EC
이곳은	이곳/NP+은/JX
몇	몇/NR
년	년/NNB
사이	사이/NNG
참선이나	참선/NNG+이나/JC
교학에	교학/NNG+에/JKB
전념하는	전념/NNG+하/XSV+는/ETM
스님들뿐	스님/NNG+들/XSN+뿐/JX
아니라	아니/VCN+라/EC
불자들과	불자/NNG+들/XSN+과/JC
시민들이	시민/NNG+들/XSN+이/JKS
즐겨	즐기/VV+어/EC
찾는	찾/VV+는/ETM
곳으로	곳/NNG+으로/JKB
탈바꿈했다.	탈바꿈/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.184.5.2
사찰 내에는 템플스테이 공간을 비롯해 산에서 직접 재배한 도라지 더덕 버섯 차 장뇌삼 등을 가공하고 판매하는 공간, 도자기를 직접 만들어 구울 수 있는 도예장도 마련돼 있다.

사찰	사찰/NNG
내에는	내/NNB+에/JKB+는/JX
템플스테이	템플스테이/NNG
공간을	공간/NNG+을/JKO
비롯해	비롯하/VV+아/EC
산에서	산/NNG+에서/JKB
직접	직접/MAG
재배한	재배/NNG+하/XSV+ㄴ/ETM
도라지	도라지/NNG
더덕	더덕/NNG
버섯	버섯/NNG
차	차/NNG
장뇌삼	장뇌삼/NNG
등을	등/NNB+을/JKO
가공하고	가공/NNG+하/XSV+고/EC
판매하는	판매/NNG+하/XSV+는/ETM
공간,	공간/NNG+,/SP
도자기를	도자기/NNG+를/JKO
만들어	만들/VV+어/EC
구울	굽/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
도예장도	도예장/NNG+도/JX
마련돼	마련/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.184.5.3
한 해 7000여 명이 이곳 프로그램을 직접 체험한다.

한	한/MMN
해	해/NNG
7000여	7000/SN+여/XSN
명이	명/NNB+이/JKS
이곳	이곳/NP
프로그램을	프로그램/NNG+을/JKO
직접	직접/MAG
체험한다.	체험/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.184.6.1
시주에만 의존해서는 사찰 운영이 점차 어려워지는 상황에서 이런 시도는 의미 있는 변화로 평가받는다.

시주에만	시주/NNG+에/JKB+만/JX
의존해서는	의존/NNG+하/XSV+아서/EC+는/JX
사찰	사찰/NNG
운영이	운영/NNG+이/JKS
점차	점차/MAG
어려워지는	어렵/VA+어/EC+지/VX+는/ETM
상황에서	상황/NNG+에서/JKB
이런	이런/MMD
시도는	시도/NNG+는/JX
의미	의미/NNG
있는	있/VA+는/ETM
변화로	변화/NNG+로/JKB
평가받는다.	평가/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000025.184.6.2
철산 스님은 “절에서 재배하고 판매한 수익금을 대부분 장학금으로 사용하고 있지만 시간이 지나면 재정 자립에 많은 도움이 될 것 같다”며 “그뿐만 아니라 산사에서 얻을 수 있는 체험을 우리만 누리는 게 아니라 시민들에게 되돌려주자는 것이다.

철산	철산/NNP
스님은	스님/NNG+은/JX
“절에서	“/SS+절/NNG+에서/JKB
재배하고	재배/NNG+하/XSV+고/EC
판매한	판매/NNG+하/XSV+ㄴ/ETM
수익금을	수익금/NNG+을/JKO
대부분	대/XPN+부분/NNG
장학금으로	장학금/NNG+으로/JKB
사용하고	사용/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
시간이	시간/NNG+이/JKS
지나면	지나/VV+면/EC
재정	재정/NNG
자립에	자립/NNG+에/JKB
많은	많/VA+은/ETM
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
“그뿐만	“/SS+그/NP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
산사에서	산사/NNG+에서/JKB
얻을	얻/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
체험을	체험/NNG+을/JKO
우리만	우리/NP+만/JX
누리는	누리/VV+는/ETM
게	거/NNB+이/JKC
시민들에게	시민/NNG+들/XSN+에게/JKB
되돌려주자는	되돌리/VV+어/EC+주/VX+자는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.184.6.3
종교가 다르든 같든 대승사에 오가는 사람들이 늘어나니 그것이 무엇보다 좋다”고 말했다.

종교가	종교/NNG+가/JKS
다르든	다르/VA+든/EC
같든	같/VA+든/EC
대승사에	대승사/NNP+에/JKB
오가는	오가/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
늘어나니	늘어나/VV+니/EC
그것이	그것/NP+이/JKS
무엇보다	무엇/NP+보다/JKB
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.184.7.1
하안거 중인 스님들을 입선시킨 뒤 스님은 짚모자를 쓰고 사찰 인근의 산길 주변에 자란 삼을 직접 캤다.

하안거	하안거/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
스님들을	스님/NNG+들/XSN+을/JKO
입선시킨	입선/NNG+시키/XSV+ㄴ/ETM
뒤	뒤/NNG
스님은	스님/NNG+은/JX
짚모자를	짚/NNG+모자/NNG+를/JKO
쓰고	쓰/VV+고/EC
사찰	사찰/NNG
인근의	인근/NNG+의/JKG
산길	산길/NNG
주변에	주변/NNG+에/JKB
자란	자라/VV+ㄴ/ETM
삼을	삼/NNG+을/JKO
직접	직접/MAG
캤다.	캐/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.184.7.2
“산이란 것은 굉장한 자원인데 씨앗 하나 뿌리지 않고 채취만 하는 건 복을 감하는 일입니다.

“산이란	“/SS+산/NNG+이/VCP+란/ETM
것은	것/NNB+은/JX
굉장한	굉장하/VA+ㄴ/ETM
자원인데	자원/NNG+이/VCP+ㄴ데/EC
씨앗	씨앗/NNG
하나	하나/NR
뿌리지	뿌리/VV+지/EC
않고	않/VX+고/EC
채취만	채취/NNG+만/JX
하는	하/VV+는/ETM
건	거/NNB+ㄴ/JX
복을	복/NNG+을/JKO
감하는	감하/VV+는/ETM
일입니다.	일/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.184.7.3
올봄에도 주변 밭에 삼, 도라지, 더덕 씨를 한가득 뿌려뒀어요.

올봄에도	올봄/NNG+에/JKB+도/JX
주변	주변/NNG
밭에	밭/NNG+에/JKB
삼,	삼/NNG+,/SP
도라지,	도라지/NNG+,/SP
더덕	더덕/NNG
씨를	씨/NNG+를/JKO
한가득	한가득/MAG
뿌려뒀어요.	뿌리/VV+어/EC+두/VX+었/EP+어요/EF+./SF


# id : NWRW1800000025.184.7.4
선이란 게 앉아 있기만 하는 게 아닙니다.

선이란	선/NNG+이/VCP+란/ETM
게	거/NNB+이/JKC
앉아	앉/VV+아/EC
있기만	있/VX+기/ETN+만/JX
하는	하/VX+는/ETM
아닙니다.	아니/VCN+ㅂ니다/EF+./SF


# id : NWRW1800000025.184.7.5
다니면서 움직이고 먹고, 생각하는 것이 모두 다 선입니다.”

다니면서	다니/VV+면서/EC
움직이고	움직이/VV+고/EC
먹고,	먹/VV+고/EC+,/SP
생각하는	생각/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
모두	모두/MAG
다	다/MAG
선입니다.”	선/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000025.184.8.1
스님은 지난해부터 문경읍의 금우문화재단에서 불교와 관련된 수업뿐 아니라 도자기 다도 수묵화 등을 배울 수 있는 문화 프로그램을 운영하면서 문화적으로 소외된 지역민들에게 다양한 경험을 제공하고 있다.

스님은	스님/NNG+은/JX
지난해부터	지난해/NNG+부터/JX
문경읍의	문경읍/NNP+의/JKG
금우문화재단에서	금우/NNP+문화/NNG+재단/NNG+에서/JKB
불교와	불교/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
수업뿐	수업/NNG+뿐/JX
아니라	아니/VCN+라/EC
도자기	도자기/NNG
다도	다도/NNG
수묵화	수묵화/NNG
등을	등/NNB+을/JKO
배울	배우/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
문화	문화/NNG
프로그램을	프로그램/NNG+을/JKO
운영하면서	운영/NNG+하/XSV+면서/EC
문화적으로	문화/NNG+적/XSN+으로/JKB
소외된	소외/NNG+되/XSV+ㄴ/ETM
지역민들에게	지역민/NNG+들/XSN+에게/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
경험을	경험/NNG+을/JKO
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.184.9.1
햇살이 따갑게 내리쬐는 사찰 한편에서는 뽕나무로 옹기를 굽는 가마의 장작불이 활활 타오르고 있었다.

햇살이	햇살/NNG+이/JKS
따갑게	따갑/VA+게/EC
내리쬐는	내리쬐/VV+는/ETM
사찰	사찰/NNG
한편에서는	한편/NNG+에서/JKB+는/JX
뽕나무로	뽕나무/NNG+로/JKB
옹기를	옹기/NNG+를/JKO
굽는	굽/VV+는/ETM
가마의	가마/NNG+의/JKG
장작불이	장작불/NNG+이/JKS
활활	활활/MAG
타오르고	타오르/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.184.9.2
10년 전 도예를 시작했다는 스님이 다완을 뚝딱 만들어내는 과정을 보고 난 뒤 다실로 올라가자 10여 명의 불자가 그를 기다리고 있었다.

10년	10/SN+년/NNB
전	전/NNG
도예를	도예/NNG+를/JKO
시작했다는	시작/NNG+하/XSV+았/EP+다는/ETM
스님이	스님/NNG+이/JKS
다완을	다완/NNG+을/JKO
뚝딱	뚝딱/MAG
만들어내는	만들/VV+어/EC+내/VX+는/ETM
과정을	과정/NNG+을/JKO
보고	보/VV+고/EC
난	나/VX+ㄴ/ETM
뒤	뒤/NNG
다실로	다실/NNG+로/JKB
올라가자	올라가/VV+자/EC
10여	10/SN+여/XSN
명의	명/NNB+의/JKG
불자가	불자/NNG+가/JKS
그를	그/NP+를/JKO
기다리고	기다리/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.184.9.3
스님은 “차 한 잔들 드시자”며 반갑게 맞았다.

스님은	스님/NNG+은/JX
“차	“/SS+차/NNG
한	한/MMN
잔들	잔/NNG+들/XSN
드시자”며	들/VV+시/EP+자/EF+”/SS+며/EC
반갑게	반갑/VA+게/EC
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.184.10.1
참선과 정진의 공간에 소통과 재정 자립의 기틀을 함께 마련해온 철산 스님.

참선과	참선/NNG+과/JC
정진의	정진/NNG+의/JKG
공간에	공간/NNG+에/JKB
소통과	소통/NNG+과/JC
재정	재정/NNG
자립의	자립/NNG+의/JKG
기틀을	기틀/NNG+을/JKO
함께	함께/MAG
마련해온	마련/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
철산	철산/NNP
스님.	스님/NNG+./SF


# id : NWRW1800000025.184.10.2
그는 찾아오는 손님들에게 아낌없이 내줄 만큼 넉넉했다.

그는	그/NP+는/JX
찾아오는	찾아오/VV+는/ETM
손님들에게	손/NNG+님/XSN+들/XSN+에게/JKB
아낌없이	아낌없이/MAG
내줄	내주/VV+ㄹ/ETM
만큼	만큼/NNB
넉넉했다.	넉넉하/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.184.11.1
“자립이 뭐 다른 것이겠습니까?

“자립이	“/SS+자립/NNG+이/JKS
뭐	뭐/IC
다른	다르/VA+ㄴ/ETM
것이겠습니까?	것/NNB+이/VCP+겠/EP+습니까/EF+?/SF


# id : NWRW1800000025.184.11.2
여기 오시는 분들이 좌선하고 참선하는 것뿐 아니라 산길을 따라 걸으며 삼도 캐고 반딧불이 구경도 하면서 산의 기운을 마음껏 다 가져갈 수 있었으면 합니다.”

여기	여기/NP
오시는	오/VV+시/EP+는/ETM
분들이	분/NNB+들/XSN+이/JKS
좌선하고	좌선/NNG+하/XSV+고/EC
참선하는	참선/NNG+하/XSV+는/ETM
것뿐	것/NNB+뿐/JX
아니라	아니/VCN+라/EC
산길을	산길/NNG+을/JKO
따라	따르/VV+아/EC
걸으며	걷/VV+으며/EC
삼도	삼/NNG+도/JX
캐고	캐/VV+고/EC
반딧불이	반딧불이/NNG
구경도	구경/NNG+도/JX
하면서	하/VV+면서/EC
산의	산/NNG+의/JKG
기운을	기운/NNG+을/JKO
마음껏	마음껏/MAG
다	다/MAG
가져갈	가져가/VV+ㄹ/ETM
수	수/NNB
있었으면	있/VA+었/EP+으면/EC
합니다.”	하/VX+ㅂ니다/EF+./SF+”/SS


