# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.38
metadata : {}


# id : NWRW1800000048.38.1.1
금융사 고객정보 공유내역 통지 면제 논란

금융사	금융사/NNG
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.38.6.2
현재 금융지주 산하 은행, 카드사, 증권사 등은 내부적인 이용 목적으로 특정고객의 정보를 서로 주고받을 경우 1년에 한차례 이상 우편이나 전자우편으로 고객에게 통지해야 한다.

현재	현재/MAG
금융지주	금융/NNG+지주/NNG
산하	산하/NNG
은행,	은행/NNG+,/SP
카드사,	카드사/NNG+,/SP
증권사	증권사/NNG
등은	등/NNB+은/JX
내부적인	내부/NNG+적/XSN+이/VCP+ㄴ/ETM
이용	이용/NNG
목적으로	목적/NNG+으로/JKB
특정고객의	특정/NNG+고객/NNG+의/JKG
정보를	정보/NNG+를/JKO
서로	서로/MAG
주고받을	주고받/VV+을/ETM
경우	경우/NNG
1년에	1/SN+년/NNB+에/JKB
한차례	한/MMN+차례/NNG
이상	이상/NNG
우편이나	우편/NNG+이나/JC
전자우편으로	전자/NNG+우편/NNG+으로/JKB
고객에게	고객/NNG+에게/JKB
통지해야	통지/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.38.6.3
통지내용은 고객정보 제공자와 제공받은 자, 제공 목적 및 항목이다.

통지내용은	통지/NNG+내용/NNG+은/JX
고객정보	고객/NNG+정보/NNG
제공자와	제공자/NNG+와/JC
제공받은	제공/NNG+받/XSV+은/ETM
자,	자/NNB+,/SP
제공	제공/NNG
목적	목적/NNG
및	및/MAG
항목이다.	항목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.38.6.4
금융위 개선안은 우편, 전자우편 외에 고객이 금융지주 누리집을 직접 찾아 조회하는 방법을 추가하겠다는 것이다.

금융위	금융위/NNG
개선안은	개선안/NNG+은/JX
우편,	우편/NNG+,/SP
전자우편	전자/NNG+우편/NNG
외에	외/NNB+에/JKB
고객이	고객/NNG+이/JKS
금융지주	금융/NNG+지주/NNG
누리집을	누리집/NNG+을/JKO
직접	직접/MAG
찾아	찾/VV+아/EC
조회하는	조회/NNG+하/XSV+는/ETM
방법을	방법/NNG+을/JKO
추가하겠다는	추가/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.38.7.1
언뜻 들으면 고객들이 자신의 정보가 이용된 내역을 확인할 길이 넓어진 듯 보이지만 실상은 정반대다.

언뜻	언뜻/MAG
들으면	듣/VV+으면/EC
고객들이	고객/NNG+들/XSN+이/JKS
자신의	자신/NNG+의/JKG
정보가	정보/NNG+가/JKS
이용된	이용/NNG+되/XSV+ㄴ/ETM
내역을	내역/NNG+을/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
길이	길/NNG+이/JKS
넓어진	넓어지/VV+ㄴ/ETM
듯	듯/NNB
보이지만	보이/VV+지만/EC
실상은	실상/NNG+은/JX
정반대다.	정반대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.38.7.2
금융위가 손을 보겠다는 금융지주회사법 시행령 27조2의 8항은 ‘고객에게 통지는 우편·전자우편 등의 방법으로 할 수 있다’고 돼 있다.

금융위가	금융위/NNG+가/JKS
손을	손/NNG+을/JKO
보겠다는	보/VV+겠/EP+다는/ETM
금융지주회사법	금융/NNG+지주/NNG+회사법/NNG
시행령	시행령/NNG
27조2의	27/SN+조/NNB+2/SN+의/JKG
8항은	8/SN+항/NNG+은/JX
‘고객에게	‘/SS+고객/NNG+에게/JKB
통지는	통지/NNG+는/JX
우편·전자우편	우편/NNG+·/SP+전자/NNG+우편/NNG
등의	등/NNB+의/JKG
방법으로	방법/NNG+으로/JKB
할	하/VV+ㄹ/ETM
수	수/NNB
있다’고	있/VA+다/EF+’/SS+고/JKQ
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.38.7.3
이 조항에 들어있는 방법 중 한가지만 선택해 통지하면 되는데, 여기에 ‘누리집 조회’를 끼워넣겠다는 것이다.

이	이/MMD
조항에	조항/NNG+에/JKB
들어있는	들/VV+어/EC+있/VX+는/ETM
방법	방법/NNG
중	중/NNB
한가지만	한/MMN+가지/NNB+만/JX
선택해	선택/NNG+하/XSV+아/EC
통지하면	통지/NNG+하/XSV+면/EC
되는데,	되/VV+는데/EC+,/SP
여기에	여기/NP+에/JKB
‘누리집	‘/SS+누리집/NNG
조회’를	조회/NNG+’/SS+를/JKO
끼워넣겠다는	끼우/VV+어/EC+넣/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.38.7.4
한 금융지주 관계자는 23일 “각 회사 정책에 맞춰 선택하겠지만 당연히 비용이 덜 드는 누리집 조회로 바꾸지 않겠느냐”고 말했다.

한	한/MMN
금융지주	금융/NNG+지주/NNG
관계자는	관계자/NNG+는/JX
23일	23/SN+일/NNB
“각	“/SS+각/MMD
회사	회사/NNG
정책에	정책/NNG+에/JKB
맞춰	맞추/VV+어/EC
선택하겠지만	선택/NNG+하/XSV+겠/EP+지만/EC
당연히	당연히/MAG
비용이	비용/NNG+이/JKS
덜	덜/MAG
드는	들/VV+는/ETM
누리집	누리집/NNG
조회로	조회/NNG+로/JKB
바꾸지	바꾸/VV+지/EC
않겠느냐”고	않/VX+겠/EP+느냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.38.8.1
‘누리집 조회’ 방법이 일반화되면 금융지주의 통지 의무는 법적으로 사실상 면책되는 반면, 그만큼 고객들의 ‘자기 정보지키기’ 부담은 커진다.

‘누리집	‘/SS+누리집/NNG
조회’	조회/NNG+’/SS
방법이	방법/NNG+이/JKS
일반화되면	일반/NNG+화/XSN+되/XSV+면/EC
금융지주의	금융/NNG+지주/NNG+의/JKG
통지	통지/NNG
의무는	의무/NNG+는/JX
법적으로	법/NNG+적/XSN+으로/JKB
사실상	사실상/MAG
면책되는	면책/NNG+되/XSV+는/ETM
반면,	반면/NNG+,/SP
그만큼	그만큼/MAG
고객들의	고객/NNG+들/XSN+의/JKG
‘자기	‘/SS+자기/NNG
정보지키기’	정보/NNG+지키/VV+기/ETN+’/SS
부담은	부담/NNG+은/JX
커진다.	커지/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.38.8.2
현재는 고객이 가만히 앉아있으면 금융지주가 적극적으로 정보 이용내역을 알려줘야 하는데, 앞으로는 고객 스스로 금융지주 누리집을 방문해 자신의 정보를 누가, 언제, 어떻게 썼는지 알아봐야 하기 때문이다.

현재는	현재/NNG+는/JX
고객이	고객/NNG+이/JKS
가만히	가만히/MAG
앉아있으면	앉/VV+아/EC+있/VX+으면/EC
금융지주가	금융/NNG+지주/NNG+가/JKS
적극적으로	적극/NNG+적/XSN+으로/JKB
정보	정보/NNG
이용내역을	이용/NNG+내역/NNG+을/JKO
알려줘야	알리/VV+어/EC+주/VX+어야/EC
하는데,	하/VX+는데/EC+,/SP
앞으로는	앞/NNG+으로/JKB+는/JX
고객	고객/NNG
스스로	스스로/MAG
금융지주	금융/NNG+지주/NNG
누리집을	누리집/NNG+을/JKO
방문해	방문/NNG+하/XSV+아/EC
자신의	자신/NNG+의/JKG
정보를	정보/NNG+를/JKO
누가,	누구/NP+가/JKS+,/SP
언제,	언제/MAG+,/SP
어떻게	어떻/VA+게/EC
썼는지	쓰/VV+었/EP+는지/EF
알아봐야	알아보/VV+아야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.38.9.1
금융위는 ‘누리집 조회’가 가능하다는 것을 휴대전화 문자메시지나 누리집 공지로 고객들에게 충분히 알릴 수 있다는 태도다.

금융위는	금융위/NNG+는/JX
‘누리집	‘/SS+누리집/NNG
조회’가	조회/NNG+’/SS+가/JKS
가능하다는	가능/NNG+하/XSA+다는/ETM
것을	것/NNB+을/JKO
휴대전화	휴대/NNG+전화/NNG
문자메시지나	문자/NNG+메시지/NNG+나/JC
누리집	누리집/NNG
공지로	공지/NNG+로/JKB
고객들에게	고객/NNG+들/XSN+에게/JKB
충분히	충분히/MAG
알릴	알리/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.38.9.2
금융위 관계자는 “고객 부담이 늘어나는 측면이 있어 고민되는 부분이긴 하지만 현재는 금융지주의 우편 통지 비용이 너무 크고, 일부는 잘못된 주소지에 배송돼 정보유출 우려도 있다”고 말했다.

금융위	금융위/NNG
관계자는	관계자/NNG+는/JX
“고객	“/SS+고객/NNG
부담이	부담/NNG+이/JKS
늘어나는	늘어나/VV+는/ETM
측면이	측면/NNG+이/JKS
있어	있/VA+어/EC
고민되는	고민/NNG+되/XSV+는/ETM
부분이긴	부분/NNG+이/VCP+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
현재는	현재/NNG+는/JX
금융지주의	금융/NNG+지주/NNG+의/JKG
우편	우편/NNG
통지	통지/NNG
비용이	비용/NNG+이/JKS
너무	너무/MAG
크고,	크/VA+고/EC+,/SP
일부는	일부/NNG+는/JX
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
주소지에	주소지/NNG+에/JKB
배송돼	배송/NNG+되/XSV+어/EC
정보유출	정보/NNG+유출/NNG
우려도	우려/NNG+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.38.10.1
강형구 금융소비자연맹 금융국장은 “최근 금융복합점포가 증가하는 등 금융지주 내부의 고객정보 공유가 많아지는 추세라 해당 고객에 대한 통지 의무도 강화해야 한다.

강형구	강형구/NNP
금융소비자연맹	금융소비자연맹/NNP
금융국장은	금융국장/NNG+은/JX
“최근	“/SS+최근/NNG
금융복합점포가	금융/NNG+복합/NNG+점포/NNG+가/JKS
증가하는	증가/NNG+하/XSV+는/ETM
등	등/NNB
금융지주	금융/NNG+지주/NNG
내부의	내부/NNG+의/JKG
고객정보	고객/NNG+정보/NNG
공유가	공유/NNG+가/JKS
많아지는	많아지/VV+는/ETM
추세라	추세/NNG+이/VCP+라/EC
해당	해당/NNG
고객에	고객/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
통지	통지/NNG
의무도	의무/NNG+도/JX
강화해야	강화/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.38.10.2
사람들은 평소엔 금융지주 누리집에 잘 방문하지도 않는다.

사람들은	사람/NNG+들/XSN+은/JX
평소엔	평소/NNG+에/JKB+ㄴ/JX
금융지주	금융/NNG+지주/NNG
누리집에	누리집/NNG+에/JKB
잘	잘/MAG
방문하지도	방문/NNG+하/XSV+지/EC+도/JX
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000048.38.10.3
누리집 조회는 보조적 수단이고 반드시 개인에게 직접 통지하는 방안이 병행돼야 한다.

누리집	누리집/NNG
조회는	조회/NNG+는/JX
보조적	보조/NNG+적/XSN
수단이고	수단/NNG+이/VCP+고/EC
반드시	반드시/MAG
개인에게	개인/NNG+에게/JKB
직접	직접/MAG
통지하는	통지/NNG+하/XSV+는/ETM
방안이	방안/NNG+이/JKS
병행돼야	병행/NNG+되/XSV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.38.10.4
오는 10월 시행령 개정 전까지 보완장치를 마련해야 한다”고 말했다.

오는	오/VV+는/ETM
10월	10/SN+월/NNB
시행령	시행령/NNG
개정	개정/NNG
전까지	전/NNG+까지/JX
보완장치를	보완/NNG+장치/NNG+를/JKO
마련해야	마련/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


