# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.393
metadata : {}


# id : NWRW1800000032.393.1.1
여, 양승태 동의안 단독처리키로

여,	여/NNG+,/SP
원내대표는	원내/NNG+대표/NNG+는/JX
20일	20/SN+일/NNB
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
국정감사대책회의에서	국정/NNG+감사/NNG+대책/NNG+회의/NNG+에서/JKB
“이용훈	“/SS+이용훈/NNP
대법원장의	대법원장/NNG+의/JKG
임기가	임기/NNG+가/JKS
오는	오/VV+는/ETM
24일로	24/SN+일/NNB+로/JKB
만료(퇴임식은	만료/NNG+(/SS+퇴임식/NNG+은/JX
23일)되기	23/SN+일/NNB+)/SS+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
새	새/MMA
사법부	사법부/NNG
수장	수장/NNG
선출	선출/NNG
절차를	절차/NNG+를/JKO
마쳐야	마치/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“21일	“/SS+21/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
본회의를	본회의/NNG+를/JKO
열	열/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.393.4.2
이제는 표결에 임해야 하고, 의결 절차도 진행할 것”이라고 밝혔다.

이제는	이제/NNG+는/JX
표결에	표결/NNG+에/JKB
임해야	임하/VV+아야/EC
하고,	하/VX+고/EC+,/SP
의결	의결/NNG
절차도	절차/NNG+도/JX
진행할	진행/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.393.5.1
그러나 김진표 민주당 원내대표는 <한겨레>와의 통화에서 “한나라당이 조용환 헌법재판소 재판관 후보자에 대한 권고적 찬성 당론을 명시하지 않는 이상 동참할 수 없다”며 “박희태 국회의장과 한나라당 지도부에 이런 뜻을 전달했다”고 말했다.

그러나	그러나/MAJ
김진표	김진표/NNP
민주당	민주당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“한나라당이	“/SS+한나라당/NNP+이/JKS
조용환	조용환/NNP
헌법재판소	헌법/NNG+재판소/NNG
재판관	재판관/NNG
후보자에	후보자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
권고적	권고/NNG+적/XSN
찬성	찬성/NNG
당론을	당론/NNG+을/JKO
명시하지	명시/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
이상	이상/NNG
동참할	동참/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“박희태	“/SS+박희태/NNP
국회의장과	국회/NNG+의장/NNG+과/JC
한나라당	한나라당/NNP
지도부에	지도부/NNG+에/JKB
이런	이런/MMD
뜻을	뜻/NNG+을/JKO
전달했다”고	전달/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.393.5.2
민주당은 21일 오전 9시30분 열리는 의원총회에서 이를 다시 확인할 예정이다.

민주당은	민주당/NNP+은/JX
21일	21/SN+일/NNB
오전	오전/NNG
9시30분	9/SN+시/NNB+30/SN+분/NNB
열리는	열리/VV+는/ETM
의원총회에서	의원/NNG+총회/NNG+에서/JKB
이를	이/NP+를/JKO
다시	다시/MAG
확인할	확인/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.393.5.3
김진표 원내대표는 “여당이 단독처리를 강행할 경우 본회의에 불참하거나, 본회의에 일단 출석한 뒤 의사진행 발언 등을 통해 우리의 뜻을 밝힌 뒤 일괄 퇴장하는 방안을 검토중”이라고 밝혔다.

김진표	김진표/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“여당이	“/SS+여당/NNG+이/JKS
단독처리를	단독/NNG+처리/NNG+를/JKO
강행할	강행/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
본회의에	본회의/NNG+에/JKB
불참하거나,	불참/NNG+하/XSV+거나/EC+,/SP
일단	일단/MAG
출석한	출석/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
의사진행	의사/NNG+진행/NNG
발언	발언/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
우리의	우리/NP+의/JKG
뜻을	뜻/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
일괄	일괄/NNG
퇴장하는	퇴장/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토중”이라고	검토/NNG+중/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.393.6.1
한나라당과 민주당 원내지도부는 애초 양 후보자 임명동의안과 조용환 헌법재판소 재판관 후보자 선출안을 동시에 처리하려 해왔다.

한나라당과	한나라당/NNP+과/JC
민주당	민주당/NNP
원내지도부는	원내/NNG+지도부/NNG+는/JX
애초	애초/NNG
양	양/NNP
후보자	후보자/NNG
임명동의안과	임명/NNG+동의안/NNG+과/JC
조용환	조용환/NNP
헌법재판소	헌법/NNG+재판소/NNG
재판관	재판관/NNG
선출안을	선출/NNG+안/NNG+을/JKO
동시에	동시/NNG+에/JKB
처리하려	처리/NNG+하/XSV+려/EC
해왔다.	하/VX+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.393.6.2
그러나 한나라당이 국가관과 정체성 등을 이유로 조 후보자를 반대하고, 민주당은 한나라당에 조 후보자에 대한 ‘권고적 찬성 당론’을 채택하라고 맞서면서 지난 9일, 16일 두 차례 본회의 처리가 무산됐다.

그러나	그러나/MAJ
한나라당이	한나라당/NNP+이/JKS
국가관과	국가관/NNG+과/JC
정체성	정체/NNG+성/XSN
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
조	조/NNP
후보자를	후보자/NNG+를/JKO
반대하고,	반대/NNG+하/XSV+고/EC+,/SP
민주당은	민주당/NNP+은/JX
한나라당에	한나라당/NNP+에/JKB
후보자에	후보자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘권고적	‘/SS+권고/NNG+적/XSN
찬성	찬성/NNG
당론’을	당론/NNG+’/SS+을/JKO
채택하라고	채택/NNG+하/XSV+라고/EC
맞서면서	맞서/VV+면서/EC
지난	지나/VV+ㄴ/ETM
9일,	9/SN+일/NNB+,/SP
16일	16/SN+일/NNB
두	두/MMN
차례	차례/NNG
본회의	본회의/NNG
처리가	처리/NNG+가/JKS
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.393.6.3
이명규 한나라당 원내수석부대표는 “사법부 수장의 공백 상태가 벌어지면 국민에게서 국회가 무슨 욕을 먹겠느냐”며 “21일에는 반드시 양 후보자 임명동의안을 처리할 것”이라고 말했다.

이명규	이명규/NNP
한나라당	한나라당/NNP
원내수석부대표는	원내/NNG+수석/NNG+부대표/NNG+는/JX
“사법부	“/SS+사법부/NNG
수장의	수장/NNG+의/JKG
공백	공백/NNG
상태가	상태/NNG+가/JKS
벌어지면	벌어지/VV+면/EC
국민에게서	국민/NNG+에게서/JKB
국회가	국회/NNG+가/JKS
무슨	무슨/MMD
욕을	욕/NNG+을/JKO
먹겠느냐”며	먹/VV+겠/EP+느냐/EF+”/SS+며/EC
“21일에는	“/SS+21/SN+일/NNB+에/JKB+는/JX
반드시	반드시/MAG
양	양/NNP
후보자	후보자/NNG
임명동의안을	임명/NNG+동의안/NNG+을/JKO
처리할	처리/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.393.6.4
그러나 노영민 민주당 원내 수석부대표는 “조용환 후보자는 재야 출신의 법조인 중 최고의 인물”이라며 “인적 구성의 정치적 다양성을 인정한 헌법재판소의 설립 취지를 한나라당이 다수의 힘으로 거부하는 것”이라고 말했다.

그러나	그러나/MAJ
노영민	노영민/NNP
민주당	민주당/NNP
원내	원내/NNG
수석부대표는	수석/NNG+부대표/NNG+는/JX
“조용환	“/SS+조용환/NNP
후보자는	후보자/NNG+는/JX
재야	재야/NNG
출신의	출신/NNG+의/JKG
법조인	법조인/NNG
중	중/NNB
최고의	최고/NNG+의/JKG
인물”이라며	인물/NNG+”/SS+이/VCP+라며/EC
“인적	“/SS+인/NNG+적/XSN
구성의	구성/NNG+의/JKG
정치적	정치/NNG+적/XSN
다양성을	다양/NNG+성/XSN+을/JKO
인정한	인정/NNG+하/XSV+ㄴ/ETM
헌법재판소의	헌법/NNG+재판소/NNG+의/JKG
설립	설립/NNG
취지를	취지/NNG+를/JKO
한나라당이	한나라당/NNP+이/JKS
다수의	다수/NNG+의/JKG
힘으로	힘/NNG+으로/JKB
거부하는	거부/NNG+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.393.7.1
임명동의안 처리에는 재적의원 과반수(148명) 출석에, 출석의원 과반수 찬성이 필요하기 때문에 한나라당 의원들만 참석하더라도 처리는 가능하다.

임명동의안	임명/NNG+동의안/NNG
처리에는	처리/NNG+에/JKB+는/JX
재적의원	재적/NNG+의원/NNG
과반수(148명)	과반수/NNG+(/SS+148/SN+명/NNB+)/SS
출석에,	출석/NNG+에/JKB+,/SP
출석의원	출석/NNG+의원/NNG
과반수	과반수/NNG
찬성이	찬성/NNG+이/JKS
필요하기	필요/NNG+하/XSA+기/ETN
때문에	때문/NNB+에/JKB
한나라당	한나라당/NNP
의원들만	의원/NNG+들/XSN+만/JX
참석하더라도	참석/NNG+하/XSV+더라도/EC
처리는	처리/NNG+는/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000032.393.7.2
이명규 한나라당 수석부대표는 “168명의 당 소속 의원들 가운데 10명이 국정감사 출장 때문에 본회의에 불참할 예정이지만 정족수를 채우는 데는 문제가 없다”고 말했다.

이명규	이명규/NNP
한나라당	한나라당/NNP
수석부대표는	수석/NNG+부대표/NNG+는/JX
“168명의	“/SS+168/SN+명/NNB+의/JKG
당	당/NNG
소속	소속/NNG
의원들	의원/NNG+들/XSN
가운데	가운데/NNG
10명이	10/SN+명/NNB+이/JKS
국정감사	국정/NNG+감사/NNG
출장	출장/NNG
때문에	때문/NNB+에/JKB
본회의에	본회의/NNG+에/JKB
불참할	불참/NNG+하/XSV+ㄹ/ETM
예정이지만	예정/NNG+이/VCP+지만/EC
정족수를	정족수/NNG+를/JKO
채우는	채우/VV+는/ETM
데는	데/NNB+는/JX
문제가	문제/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


