# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.334
metadata : {}


# id : NWRW1800000026.334.1.1
'아시아 생물공학 연합체' 문 열어;한국서 사무실 첫 개소

'아시아	'/SS+아시아/NNP
전	전/MMD
생물산업협회장	생물/NNG+산업/NNG+협회장/NNG
등	등/NNB
100여명이	100/SN+여/XSN+명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.334.3.2
박 사무총장은 "유럽과 미국은 30여년 전부터 각국 연합기관이 구성돼 교류가 활발히 이뤄지고 있다"며 "세계 인구의 3분의 2를 차지하는 아시아에서도 앞으로 바이오 산업과 학문의 발전이 크게 앞당겨질 것으로 기대한다"고 말했다.

박	박/NNP
사무총장은	사무총장/NNG+은/JX
"유럽과	"/SS+유럽/NNP+과/JC
미국은	미국/NNP+은/JX
30여년	30/SN+여/XSN+년/NNB
전부터	전/NNG+부터/JX
각국	각국/NNG
연합기관이	연합/NNG+기관/NNG+이/JKS
구성돼	구성/NNG+되/XSV+어/EC
교류가	교류/NNG+가/JKS
활발히	활발히/MAG
이뤄지고	이뤄지/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"세계	"/SS+세계/NNG
인구의	인구/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
2를	2/SN+를/JKO
차지하는	차지/NNG+하/XSV+는/ETM
아시아에서도	아시아/NNP+에서/JKB+도/JX
앞으로	앞/NNG+으로/JKB
바이오	바이오/NNG
산업과	산업/NNG+과/JC
학문의	학문/NNG+의/JKG
발전이	발전/NNG+이/JKS
크게	크/VA+게/EC
앞당겨질	앞당기/VV+어/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다"고	기대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.334.4.1
이번 사무실 개설을 기념해 9일까지 송도컨벤시아에서 1500명이 참가하는 국제학술 심포지엄도 열린다.

이번	이번/NNG
사무실	사무실/NNG
개설을	개설/NNG+을/JKO
기념해	기념/NNG+하/XSV+아/EC
9일까지	9/SN+일/NNB+까지/JX
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
1500명이	1500/SN+명/NNB+이/JKS
참가하는	참가/NNG+하/XSV+는/ETM
국제학술	국제/NNG+학술/NNG
심포지엄도	심포지엄/NNG+도/JX
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.334.4.2
내년에는 네팔·중국·몽골에서 잇달아 심포지엄이 열리며, 아시아 다른 국가들의 참여도 적극 유도할 계획이다.

내년에는	내년/NNG+에/JKB+는/JX
네팔·중국·몽골에서	네팔/NNP+·/SP+중국/NNP+·/SP+몽골/NNP+에서/JKB
잇달아	잇달/VV+아/EC
심포지엄이	심포지엄/NNG+이/JKS
열리며,	열리/VV+며/EC+,/SP
아시아	아시아/NNP
다른	다른/MMD
국가들의	국가/NNG+들/XSN+의/JKG
참여도	참여/NNG+도/JX
적극	적극/NNG
유도할	유도/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


