# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.90
metadata : {}


# id : NWRW1800000045.90.1.1
[CEO&]㈜토페스, 국민의 안전과 행복 지키는 ‘가장 빛나는 눈’

[CEO&]㈜토페스,	[/SS+CEO/SL+&/SW+]/SS+㈜/SW+토페스/NNP+,/SP
게	거/NNB+이/JKS
바로	바로/MAG
교통	교통/NNG
CCTV	CCTV/SL
카메라다.	카메라/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.90.6.1
토페스는 1992년 기업 부설연구소를 통해 국내 최초로 ‘무인교통단속시스템’과 교통정보 수집 장치인 ‘영상식 차량검지기’ 개발에 성공했다.

토페스는	토페스/NNP+는/JX
1992년	1992/SN+년/NNB
기업	기업/NNG
부설연구소를	부설/NNG+연구소/NNG+를/JKO
통해	통하/VV+아/EC
국내	국내/NNG
최초로	최초/NNG+로/JKB
‘무인교통단속시스템’과	‘/SS+무인/NNG+교통/NNG+단속/NNG+시스템/NNG+’/SS+과/JC
교통정보	교통/NNG+정보/NNG
수집	수집/NNG
장치인	장치/NNG+이/VCP+ㄴ/ETM
‘영상식	‘/SS+영상식/NNG
차량검지기’	차량/NNG+검지기/NNG+’/SS
개발에	개발/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.90.6.2
이를 통해 산업용 CCTV뿐만 아니라 교통시스템 전문 메이커로서 입지를 탄탄히 구축하게 되었다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
산업용	산업/NNG+용/XSN
CCTV뿐만	CCTV/SL+뿐/JX+만/JX
아니라	아니/VCN+라/EC
교통시스템	교통/NNG+시스템/NNG
전문	전문/NNG
메이커로서	메이커/NNG+로서/JKB
입지를	입지/NNG+를/JKO
탄탄히	탄탄히/MAG
구축하게	구축/NNG+하/XSV+게/EC
되었다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.90.7.1
과속과 신호위반, 불법 주·정차 단속, 구간 교통정보수집시스템 등 교통단속 CCTV와 관련된 선도 기술은 대부분 토페스에 의해 탄생했다고 봐도 좋을 정도.

과속과	과속/NNG+과/JC
신호위반,	신호/NNG+위반/NNG+,/SP
불법	불법/NNG
주·정차	주·정차/NNG
단속,	단속/NNG+,/SP
구간	구간/NNG
교통정보수집시스템	교통/NNG+정보/NNG+수집/NNG+시스템/NNG
등	등/NNB
교통단속	교통/NNG+단속/NNG
CCTV와	CCTV/SL+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
선도	선도/NNG
기술은	기술/NNG+은/JX
대부분	대/XPN+부분/NNG
토페스에	토페스/NNP+에/JKB
의해	의하/VV+아/EC
탄생했다고	탄생/NNG+하/XSV+았/EP+다고/EC
봐도	보/VV+아도/EC
좋을	좋/VA+을/ETM
정도.	정도/NNG+./SF


# id : NWRW1800000045.90.7.2
국민의 안전과 행복을 지키는 ‘가장 빛나는 눈’을 개발해 교통문화 선진화에 기여한 것이다.

국민의	국민/NNG+의/JKG
안전과	안전/NNG+과/JC
행복을	행복/NNG+을/JKO
지키는	지키/VV+는/ETM
‘가장	‘/SS+가장/MAG
빛나는	빛나/VV+는/ETM
눈’을	눈/NNG+’/SS+을/JKO
개발해	개발/NNG+하/XSV+아/EC
교통문화	교통/NNG+문화/NNG
선진화에	선진/NNG+화/XSN+에/JKB
기여한	기여/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.90.7.3
이런 공로로 임 회장은 2012년 고용노동부로부터 ‘기능한국인 71호’에 선정되기도 했다.

이런	이런/MMD
공로로	공로/NNG+로/JKB
임	임/NNP
회장은	회장/NNG+은/JX
2012년	2012/SN+년/NNB
고용노동부로부터	고용/NNG+노동부/NNG+로부터/JKB
‘기능한국인	‘/SS+기능/NNG+한국인/NNG
71호’에	71/SN+호/NNB+’/SS+에/JKB
선정되기도	선정/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.90.8.1
토페스는 현재 해당 분야 최고의 전문가그룹으로 통한다.

토페스는	토페스/NNP+는/JX
현재	현재/MAG
해당	해당/NNG
분야	분야/NNG
최고의	최고/NNG+의/JKG
전문가그룹으로	전문가/NNG+그룹/NNG+으로/JKB
통한다.	통하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.90.8.2
가장 정확한 카메라 오차범위 기술을 갖고 단속 장비에 있어 전 세계적으로 인정받고 있다.

가장	가장/MAG
정확한	정확/NNG+하/XSA+ㄴ/ETM
카메라	카메라/NNG
오차범위	오차/NNG+범위/NNG
기술을	기술/NNG+을/JKO
갖고	갖/VV+고/EC
단속	단속/NNG
장비에	장비/NNG+에/JKB
있어	있/VA+어/EC
전	전/MMN
세계적으로	세계/NNG+적/XSN+으로/JKB
인정받고	인정/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.90.8.3
국내 발전소와 제철소, 화학단지 등 중화학 분야에 산업용 CCTV를 공급한다.

국내	국내/NNG
발전소와	발전소/NNG+와/JC
제철소,	제철소/NNG+,/SP
화학단지	화학/NNG+단지/NNG
등	등/NNB
중화학	중화학/NNG
분야에	분야/NNG+에/JKB
산업용	산업/NNG+용/XSN
CCTV를	CCTV/SL+를/JKO
공급한다.	공급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.90.8.4
2002년부터는 개발도상국에도 수출 길을 열었다.

2002년부터는	2002/SN+년/NNB+부터/JX+는/JX
개발도상국에도	개발/NNG+도상국/NNG+에/JKB+도/JX
수출	수출/NNG
길을	길/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.90.8.5
특히 모든 도로의 교통정보와 상황을 1km 단위로 실시간 전송하는 영상시스템은 전국에 설치된 제품의 90%를 점유하고 있다.

특히	특히/MAG
모든	모든/MMN
도로의	도로/NNG+의/JKG
교통정보와	교통/NNG+정보/NNG+와/JC
상황을	상황/NNG+을/JKO
1km	1/SN+km/SW
단위로	단위/NNG+로/JKB
실시간	실시간/NNG
전송하는	전송/NNG+하/XSV+는/ETM
영상시스템은	영상/NNG+시스템/NNG+은/JX
전국에	전국/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
제품의	제품/NNG+의/JKG
90%를	90/SN+%/SW+를/JKO
점유하고	점유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.90.8.6
영상저장 방식도 초기 디스크로 저장하는 방식에서 세계 최초로 온라인 방식을 개발했다.

영상저장	영상/NNG+저장/NNG
방식도	방식/NNG+도/JX
초기	초기/NNG
디스크로	디스크/NNG+로/JKB
저장하는	저장/NNG+하/XSV+는/ETM
방식에서	방식/NNG+에서/JKB
세계	세계/NNG
최초로	최초/NNG+로/JKB
온라인	온라인/NNG
방식을	방식/NNG+을/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.90.8.7
차량 번호인식 시스템도 세계 최초로 선보여 위반 차량의 영상을 중앙처리장치로 전송해 자동으로 고지서를 발부하는 편리한 시스템도 정착시켰다.

차량	차량/NNG
번호인식	번호/NNG+인식/NNG
시스템도	시스템/NNG+도/JX
세계	세계/NNG
최초로	최초/NNG+로/JKB
선보여	선보이/VV+어/EC
위반	위반/NNG
차량의	차량/NNG+의/JKG
영상을	영상/NNG+을/JKO
중앙처리장치로	중앙/NNG+처리/NNG+장치/NNG+로/JKB
전송해	전송/NNG+하/XSV+아/EC
자동으로	자동/NNG+으로/JKB
고지서를	고지서/NNG+를/JKO
발부하는	발부/NNG+하/XSV+는/ETM
편리한	편리/NNG+하/XSA+ㄴ/ETM
정착시켰다.	정착/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.90.9.1
임 회장은 “국산화된 CCTV가 보급되면서 교통사고 및 사망자 수가 꾸준히 감소해 2004년 ‘세계 교통사고 1위 국가’라는 불명예가 사라졌다”며 “30년 넘게 축적된 기술로 교통문화를 개선시켰다는 점에서 큰 보람을 느낀다”고 말했다.

임	임/NNP
회장은	회장/NNG+은/JX
“국산화된	“/SS+국산/NNG+화/XSN+되/XSV+ㄴ/ETM
CCTV가	CCTV/SL+가/JKS
보급되면서	보급/NNG+되/XSV+면서/EC
교통사고	교통사고/NNG
및	및/MAG
사망자	사망자/NNG
수가	수/NNG+가/JKS
꾸준히	꾸준히/MAG
감소해	감소/NNG+하/XSV+아/EC
2004년	2004/SN+년/NNB
‘세계	‘/SS+세계/NNG
1위	1/SN+위/NNB
국가’라는	국가/NNG+’/SS+이/VCP+라는/ETM
불명예가	불/XPN+명예/NNG+가/JKS
사라졌다”며	사라지/VV+었/EP+다/EF+”/SS+며/EC
“30년	“/SS+30/SN+년/NNB
넘게	넘/VV+게/EC
축적된	축적/NNG+되/XSV+ㄴ/ETM
기술로	기술/NNG+로/JKB
교통문화를	교통/NNG+문화/NNG+를/JKO
개선시켰다는	개선/NNG+시키/XSV+었/EP+다는/ETM
점에서	점/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
보람을	보람/NNG+을/JKO
느낀다”고	느끼/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


