# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.343
metadata : {}


# id : NWRW1800000041.343.1.1
日 반대 딛고 美에 2번째 소녀상 제막

日	日/SH
소녀상에	소녀상/NNG+에/JKB
이어	잇/VV+어/EC
미국	미국/NNP
내	내/NNB
두	두/MMN
번째이다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.343.5.1
이 자리에는 시드니 랜츠 사우스필드 시의원, 미시간 주 한국전쟁 참전용사, 한인사회 인사 등 150여 명이 참석했다.

이	이/MMD
자리에는	자리/NNG+에/JKB+는/JX
시드니	시드니/NNP
랜츠	랜츠/NNP
사우스필드	사우스필드/NNP
시의원,	시/NNG+의원/NNG+,/SP
미시간	미시간/NNP
주	주/NNG
한국전쟁	한국/NNP+전쟁/NNG
참전용사,	참전/NNG+용사/NNG+,/SP
한인사회	한인/NNG+사회/NNG
인사	인사/NNG
등	등/NNB
150여	150/SN+여/XSN
명이	명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.343.6.1
소녀상은 당초 사우스필드 공립도서관 앞에 건립될 예정이었다.

소녀상은	소녀상/NNG+은/JX
당초	당초/NNG
사우스필드	사우스필드/NNP
공립도서관	공립/NNG+도서관/NNG
앞에	앞/NNG+에/JKB
건립될	건립/NNG+되/XSV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.343.6.2
그러나 일본계 자동차 부품회사 덴소 등 사우스필드 소재 일본 기업과 일본총영사관 등이 “지역사회 갈등을 일으킬 수 있다”며 반대해 ‘한인문화회관 앞’으로 건립지가 바뀌는 어려움을 겪었다.

그러나	그러나/MAJ
일본계	일본/NNP+계/XSN
자동차	자동차/NNG
부품회사	부품/NNG+회사/NNG
덴소	덴소/NNP
등	등/NNB
사우스필드	사우스필드/NNP
소재	소재/NNG
일본	일본/NNP
기업과	기업/NNG+과/JC
일본총영사관	일본총영사관/NNP
등이	등/NNB+이/JKS
“지역사회	“/SS+지역/NNG+사회/NNG
갈등을	갈등/NNG+을/JKO
일으킬	일으키/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
반대해	반대/NNG+하/XSV+아/EC
‘한인문화회관	‘/SS+한인/NNG+문화/NNG+회관/NNG
앞’으로	앞/NNG+’/SS+으로/JKB
건립지가	건립지/NNG+가/JKS
바뀌는	바뀌/VV+는/ETM
어려움을	어려움/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.343.7.1
반면에 캘리포니아 풀러턴에 세워질 소녀상은 시 공공건물에 건립될 가능성이 높다.

반면에	반면/NNG+에/JKB
캘리포니아	캘리포니아/NNP
풀러턴에	풀러턴/NNP+에/JKB
세워질	세우/VV+어/EC+지/VX+ㄹ/ETM
소녀상은	소녀상/NNG+은/JX
시	시/NNG
공공건물에	공공건물/NNG+에/JKB
건립될	건립/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000041.343.7.2
시의회는 19일 연방 하원의 2007년 위안부 결의안(H.R. 121)을 지지하는 결의안을 채택하고 풀러턴 시립박물관을 평화의 소녀상 건립 부지 후보로 의결할 예정이다.

시의회는	시/NNG+의회/NNG+는/JX
19일	19/SN+일/NNB
연방	연방/NNG
하원의	하원/NNG+의/JKG
2007년	2007/SN+년/NNB
위안부	위안부/NNG
결의안(H.R.	결의안/NNG+(/SS+H/SL+./SP+R/SL+./SP
121)을	121/SN+)/SS+을/JKO
지지하는	지지/NNG+하/XSV+는/ETM
결의안을	결의안/NNG+을/JKO
채택하고	채택/NNG+하/XSV+고/EC
풀러턴	풀러턴/NNP
시립박물관을	시립/NNG+박물관/NNG+을/JKO
평화의	평화/NNG+의/JKG
소녀상	소녀상/NNG
건립	건립/NNG
부지	부지/NNG
후보로	후보/NNG+로/JKB
의결할	의결/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.343.8.1
미국 서부지역에서 위안부 문제를 주도해온 가주한미포럼(KAFC)은 “풀러턴 시의회가 제2차 세계대전 당시 일본군의 성노예 시스템이 지금도 세계 각국에서 인신매매 형태로 지속되는 것에 우려를 나타내고 이에 대한 교육과 홍보가 필요하다는 내용의 결의안을 채택할 것”이라고 전했다.

미국	미국/NNP
서부지역에서	서부/NNG+지역/NNG+에서/JKB
위안부	위안부/NNG
문제를	문제/NNG+를/JKO
주도해온	주도/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
가주한미포럼(KAFC)은	가주한미포럼/NNP+(/SS+KAFC/SL+)/SS+은/JX
“풀러턴	“/SS+풀러턴/NNP
시의회가	시/NNG+의회/NNG+가/JKS
제2차	제/XPN+2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
당시	당시/NNG
일본군의	일본군/NNG+의/JKG
성노예	성/NNG+노예/NNG
시스템이	시스템/NNG+이/JKS
지금도	지금/NNG+도/JX
세계	세계/NNG
각국에서	각국/NNG+에서/JKB
인신매매	인신매매/NNG
형태로	형태/NNG+로/JKB
지속되는	지속/NNG+되/XSV+는/ETM
것에	것/NNB+에/JKB
우려를	우려/NNG+를/JKO
나타내고	나타내/VV+고/EC
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
교육과	교육/NNG+과/JC
홍보가	홍보/NNG+가/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
내용의	내용/NNG+의/JKG
결의안을	결의안/NNG+을/JKO
채택할	채택/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


